Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,72.20067535,0.0,0.0
2024-10-02,71.08889669,0.0,0.0
2024-10-03,71.01198676,0.0,0.0
2024-10-04,71.32315167,0.0,0.0
2024-10-05,75.07046252,0.0,0.0
2024-10-06,74.88069445,0.0,0.0
2024-10-07,70.5217057,0.0,0.0
2024-10-08,71.4477528,0.0,0.0
2024-10-09,72.02821347,0.0,0.0
2024-10-10,74.96579072,0.0,0.0
2024-10-11,75.39950822,0.0,0.0
2024-10-12,74.78284295,0.0,0.0
2024-10-13,73.75046875,0.0,0.0
2024-10-14,70.38710404,0.0,0.0
2024-10-15,73.25052256,0.0,0.0
2024-10-16,70.54681398,0.0,0.0
2024-10-17,73.24543781,0.0,0.0
2024-10-18,76.10616072,0.0,0.0
2024-10-19,74.612947,0.0,0.0
2024-10-20,73.95487355,0.0,0.0
2024-10-21,70.39259295,0.0,0.0
2024-10-22,71.5673963,0.0,0.0
2024-10-23,74.04139871,0.0,0.0
2024-10-24,74.95713449,0.0,0.0
2024-10-25,76.26608924,0.0,0.0
2024-10-26,77.07346713,0.0,0.0
2024-10-27,77.41762446,0.0,0.0
2024-10-28,71.51058272,0.0,0.0
2024-10-29,71.47261637,0.0,0.0
2024-10-30,71.67476945,0.0,0.0
2024-11-01,33.40738513,0.0,0.0
2024-11-02,72.4403473,0.0,0.0
2024-11-03,72.52109251,0.0,0.0
2024-11-04,68.38826159,0.0,0.0
2024-11-05,69.56961035,0.0,0.0
2024-11-06,68.9280543,0.0,0.0
2024-11-07,69.23001586,0.0,0.0
2024-11-08,68.37354177,0.0,0.0
2024-11-09,72.14888213,0.0,0.0
2024-11-10,72.02654222,0.0,0.0
2024-11-11,68.98990552,0.0,0.0
2024-11-12,67.90189422,0.0,0.0
2024-11-13,67.30537758,0.0,0.0
2024-11-14,68.20426618,0.0,0.0
2024-11-15,70.13151017,0.0,0.0
2024-11-16,70.37243795,0.0,0.0
2024-11-17,69.44239564,0.0,0.0
2024-11-18,65.80888758,0.0,0.0
2024-11-19,70.5437367,0.0,0.0
2024-11-20,68.84728788,0.0,0.0
2024-11-21,70.14232257,0.0,0.0
2024-11-22,69.61733488,0.0,0.0
2024-11-23,70.84269302,0.0,0.0
2024-11-24,69.95878887,0.0,0.0
2024-11-25,68.08137212,0.0,0.0
2024-11-26,68.74633145,0.0,0.0
2024-11-27,68.2783428,0.0,0.0
2024-11-28,67.97524251,0.0,0.0
2024-11-29,68.28472382,0.0,0.0
2024-11-30,69.70480991,0.0,0.0
2024-12-01,68.71297654,0.0,0.0
2024-12-02,65.22858761,0.0,0.0
2024-12-03,66.67970327,0.0,0.0
2024-12-04,67.30192327,0.0,0.0
2024-12-05,69.9500589,0.0,0.0
2024-12-06,69.89479274,0.0,0.0
2024-12-07,71.86335717,0.0,0.0
2024-12-08,72.18491275,0.0,0.0
2024-12-09,73.11535856,0.0,0.0
2024-12-10,68.53295581,0.0,0.0
2024-12-11,68.37071913,0.0,0.0
2024-12-12,73.43070681,0.0,0.0
2024-12-13,68.15771853,0.0,0.0
2024-12-14,72.27871529,0.0,0.0
2024-12-15,72.25433494,0.0,0.0
2024-12-16,68.59500096,0.0,0.0
2024-12-17,68.42209303,0.0,0.0
2024-12-18,69.31781324,0.0,0.0
2024-12-19,69.07520898,0.0,0.0
2024-12-20,69.21875174,0.0,0.0
2024-12-21,73.42770501,0.0,0.0
2024-12-22,73.42770501,0.0,0.0
2024-12-23,70.02910353,0.0,0.0
2024-12-24,69.83358405,0.0,0.0
2024-12-25,69.83358405,0.0,0.0
2024-12-26,72.80264362,0.0,0.0
2024-12-27,73.95119377,0.0,0.0
2024-12-28,75.48702862,0.0,0.0
2024-12-29,76.77900766,0.0,0.0
2024-12-30,73.25427485,0.0,0.0
2024-12-31,76.8519468,0.0,0.0
2025-01-01,79.34,0.0,0.0
2025-01-02,72.17,0.0,0.0
2025-01-03,69.04,0.0,0.0
2025-01-04,68.41,0.0,0.0
2025-01-05,67.8,0.0,0.0
2025-01-06,66.54,0.0,0.0
2025-01-07,66.47,0.0,0.0
2025-01-08,66.23,0.0,0.0
2025-01-09,66.19,0.0,0.0
2025-01-10,65.92,0.0,0.0
2025-01-11,67.29,0.0,0.0
2025-01-12,66.36,0.0,0.0
2025-01-13,63.04,0.0,0.0
2025-01-14,65.29,0.0,0.0
2025-01-15,64.17,0.0,0.0
2025-01-16,66.21,0.0,0.0
2025-01-17,66.37,0.0,0.0
2025-01-18,71.13,0.0,0.0
2025-01-19,70.42,0.0,0.0
2025-01-20,66.31,0.0,0.0
2025-01-21,67.5,0.0,0.0
2025-01-22,65.91,0.0,0.0
2025-01-23,65.78,0.0,0.0
2025-01-24,65.23,0.0,0.0
2025-01-25,68.62,0.0,0.0
2025-01-26,73.05,0.0,0.0
2025-01-27,69.29,0.0,0.0
2025-01-28,67.35,0.0,0.0
2025-01-29,66.05,0.0,0.0
2025-01-30,64.32,0.0,0.0
2025-01-31,64.79,0.0,0.0
2025-02-01,66.91,0.0,0.0
2025-02-02,66.89,0.0,0.0
2025-02-03,61.71,0.0,0.0
2025-02-04,62.21,0.0,0.0
2025-02-05,62.29,0.0,0.0
2025-02-06,64.63,0.0,0.0
2025-02-07,63.99,0.0,0.0
2025-02-08,65.9,0.0,0.0
2025-02-09,74.73,0.0,0.0
2025-02-10,70.07,0.0,0.0
2025-02-11,66.75,0.0,0.0
2025-02-12,66.48,0.0,0.0
2025-02-13,65.33,0.0,0.0
2025-02-14,66.06,0.0,0.0
2025-02-15,67.27,0.0,0.0
2025-02-16,66.57,0.0,0.0
2025-02-17,65.74,0.0,0.0
2025-02-18,63.57,0.0,0.0
2025-02-19,62.74,0.0,0.0
2025-02-20,64.44,0.0,0.0
2025-02-21,65.39,0.0,0.0
2025-02-22,69.28,0.0,0.0
2025-02-23,67.22,0.0,0.0
2025-02-24,64.52,0.0,0.0
2025-02-25,64.52,0.0,0.0
2025-02-26,65.87,0.0,0.0
2025-02-27,62.51,0.0,0.0
2025-02-28,62.71,0.0,0.0
2025-03-01,57.23,0.0,0.0
2025-03-02,60.78,0.0,0.0
2025-03-03,58.69,0.0,0.0
2025-03-04,57.81,0.0,0.0
2025-03-05,59.66,0.0,0.0
2025-03-06,62.13,0.0,0.0
2025-03-07,62.41,0.0,0.0
2025-03-08,63.91,0.0,0.0
2025-03-09,62.09,0.0,0.0
2025-03-10,61.58,0.0,0.0
2025-03-11,63.05,0.0,0.0
2025-03-12,65.13,0.0,0.0
2025-03-13,65.31,0.0,0.0
2025-03-14,65.29,0.0,0.0
2025-03-15,67.3,0.0,0.0
2025-03-16,69.05,0.0,0.0
2025-03-17,67.0,0.0,0.0
2025-03-18,65.41,0.0,0.0
2025-03-19,73.13,0.0,0.0
2025-03-20,71.58,0.0,0.0
2025-03-21,68.26,0.0,0.0
2025-03-22,75.92,0.0,0.0
2025-03-23,77.37,0.0,0.0
2025-03-24,78.84,0.0,0.0
2025-03-25,79.93,0.0,0.0
2025-03-26,88.6,0.0,0.0
2025-03-27,97.18,0.0,0.0
2025-03-28,102.63,0.0,0.0
2025-03-29,104.23,0.0,0.0
2025-03-30,112.33,0.0,0.0
2025-03-31,126.36,0.0,0.0
2025-04-01,131.93,0.0,0.0
2025-04-02,135.78,0.0,0.0
2025-04-03,136.3382066,0.0,0.0
2025-04-04,129.8626412,0.0,0.0
2025-04-05,124.1839643,0.0,0.0
2025-04-06,114.0619097,0.0,0.0
2025-04-07,101.5792419,0.0,0.0
2025-04-08,98.85396044,0.0,0.0
2025-04-09,93.97443245,0.0,0.0
2025-04-10,88.26388659,0.0,0.0
2025-04-11,83.3930429,0.0,0.0
2025-04-12,83.6275772,0.0,0.0
2025-04-13,79.60380594,0.0,0.0
2025-04-14,76.06751693,0.0,0.0
2025-04-15,72.20491503,0.0,0.0
2025-04-16,71.40158075,0.0,0.0
2025-04-17,74.48965449,0.0,0.0
2025-04-18,73.65870028,0.0,0.0
2025-04-19,75.97446187,0.0,0.0
2025-04-20,73.15812144,0.0,0.0
2025-04-21,71.38399301,0.0,0.0
2025-04-22,70.49531413,0.0,0.0
2025-04-23,71.0447539,0.0,0.0
2025-04-24,71.51257033,0.0,0.0
2025-04-25,70.17427016,0.0,0.0
2025-04-26,74.31959328,0.0,0.0
2025-04-27,73.12713255,0.0,0.0
2025-04-28,68.7804231,0.0,0.0
2025-04-29,70.18834149,0.0,0.0
2025-04-30,70.05608943,0.0,0.0
2025-05-01,67.42197131,0.0,0.0
2025-05-02,68.87070336,0.0,0.0
2025-05-03,71.69185549,0.0,0.0
2025-05-04,70.56139872,0.0,0.0
2025-05-05,67.39971341,0.0,0.0
2025-05-06,67.1028998,0.0,0.0
2025-05-07,69.20729589,0.0,0.0
2025-05-08,69.233284,0.0,0.0
2025-05-09,70.95884937,0.0,0.0
2025-05-10,75.16052708,0.0,0.0
2025-05-11,80.38411633,0.0,0.0
2025-05-12,72.48451202,0.0,0.0
2025-05-13,68.65965383,0.0,0.0
2025-05-14,70.32717404,0.0,0.0
2025-05-15,69.04937979,0.0,0.0
2025-05-16,69.58615384,0.0,0.0
2025-05-17,70.58404834,0.0,0.0
2025-05-18,71.13855353,0.0,0.0
2025-05-19,67.99051255,0.0,0.0
2025-05-20,67.57520909,0.0,0.0
2025-05-21,69.80103112,0.0,0.0
2025-05-22,70.80743333,0.0,0.0
2025-05-23,69.91449572,0.0,0.0
2025-05-24,73.48784512,0.0,0.0
2025-05-25,71.48330243,0.0,0.0
2025-05-26,67.95657711,0.0,0.0
2025-05-27,68.15859465,0.0,0.0
2025-05-28,70.94537602,0.0,0.0
2025-05-29,71.85972155,0.0,0.0
2025-05-30,71.21969461,0.0,0.0
2025-05-31,74.46844544,0.0,0.0
2025-06-01,73.70855398,0.0,0.0
2025-06-02,68.61938494,0.0,0.0
2025-06-03,68.69666371,0.0,0.0
2025-06-04,70.78906056,0.0,0.0
2025-06-05,78.9902831,0.0,0.0
2025-06-06,77.90428824,0.0,0.0
2025-06-07,76.90903697,0.0,0.0
2025-06-08,77.88878568,0.0,0.0
2025-06-09,70.40176186,0.0,0.0
2025-06-10,73.74599734,0.0,0.0
2025-06-11,73.96458623,0.0,0.0
2025-06-12,75.96141894,0.0,0.0
2025-06-13,75.3941838,0.0,0.0
2025-06-14,76.36794174,0.0,0.0
2025-06-15,77.23702455,0.0,0.0
2025-06-16,72.33943281,0.0,0.0
2025-06-17,71.98552091,0.0,0.0
2025-06-18,73.46426043,0.0,0.0
2025-06-19,72.2937686,0.0,0.0
2025-06-20,74.06360926,0.0,0.0
2025-06-21,76.03612273,0.0,0.0
2025-06-22,76.78884587,0.0,0.0
2025-06-23,73.15382693,0.0,0.0
2025-06-24,73.48583933,0.0,0.0
2025-06-25,74.11917234,0.0,0.0
2025-06-26,75.71265295,0.0,0.0
2025-06-27,77.6447153,0.0,0.0
2025-06-28,78.34188718,0.0,0.0
2025-06-29,80.22068305,0.0,0.0
2025-06-30,72.35546348,0.0,0.0
2025-07-01,71.55536234,0.0,0.0
2025-07-02,72.02054847,0.0,0.0
2025-07-03,74.52280583,0.0,0.0
2025-07-04,73.78583447,0.0,0.0
2025-07-05,73.39871755,0.0,0.0
2025-07-06,76.86195177,0.0,0.0
2025-07-07,70.04335727,0.0,0.0
2025-07-08,70.06682647,0.0,0.0
2025-07-09,70.5071622,0.0,0.0
2025-07-10,72.07695501,0.0,0.0
2025-07-11,70.9231564,0.0,0.0
2025-07-12,75.12498826,0.0,0.0
2025-07-13,72.30949949,0.0,0.0
2025-07-14,71.03913292,0.0,0.0
2025-07-15,70.71176997,0.0,0.0
2025-07-16,72.01196816,0.0,0.0
2025-07-17,75.88051835,0.0,0.0
2025-07-18,74.60260887,0.0,0.0
2025-07-19,73.15092198,0.0,0.0
2025-07-20,72.74613005,0.0,0.0
2025-07-21,72.85364839,0.0,0.0
2025-07-22,71.90479075,0.0,0.0
2025-07-23,76.3301839,0.0,0.0
2025-07-24,79.47687001,0.0,0.0
2025-07-25,76.52380302,0.0,0.0
2025-07-26,73.73429573,0.0,0.0
2025-07-27,73.75994644,0.0,0.0
2025-07-28,70.70432857,0.0,0.0
2025-07-29,74.10298697,0.0,0.0
2025-07-30,74.46389167,0.0,0.0
