Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,7.344549016,0.0,0.0
2024-10-02,7.325461535,0.0,0.0
2024-10-03,7.505133937,0.0,0.0
2024-10-04,7.82294717,0.0,0.0
2024-10-05,8.034364223,0.0,0.0
2024-10-06,8.023412606,0.0,0.0
2024-10-07,7.397239601,0.0,0.0
2024-10-08,7.557740282,0.0,0.0
2024-10-09,7.539407361,0.0,0.0
2024-10-10,7.943030379,0.0,0.0
2024-10-11,8.159858013,0.0,0.0
2024-10-12,8.07476268,0.0,0.0
2024-10-13,8.69573931,0.0,0.0
2024-10-14,7.811967779,0.0,0.0
2024-10-15,8.297835011,0.0,0.0
2024-10-16,7.467842728,0.0,0.0
2024-10-17,7.636449411,0.0,0.0
2024-10-18,8.035686169,0.0,0.0
2024-10-19,8.344235168,0.0,0.0
2024-10-20,8.566940287,0.0,0.0
2024-10-21,7.561439292,0.0,0.0
2024-10-22,7.888757657,0.0,0.0
2024-10-23,7.846642893,0.0,0.0
2024-10-24,8.203619144,0.0,0.0
2024-10-25,8.17136785,0.0,0.0
2024-10-26,7.99611803,0.0,0.0
2024-10-27,8.337088577,0.0,0.0
2024-10-28,7.541908805,0.0,0.0
2024-10-29,7.850328423,0.0,0.0
2024-10-30,7.772157336,0.0,0.0
2024-11-01,4.502331322,0.0,0.0
2024-11-02,8.58957598,0.0,0.0
2024-11-03,8.50065543,0.0,0.0
2024-11-04,7.811088061,0.0,0.0
2024-11-05,8.020999119,0.0,0.0
2024-11-06,8.035334829,0.0,0.0
2024-11-07,8.304939613,0.0,0.0
2024-11-08,8.637119264,0.0,0.0
2024-11-09,8.685544919,0.0,0.0
2024-11-10,8.583907959,0.0,0.0
2024-11-11,8.083871022,0.0,0.0
2024-11-12,8.053996004,0.0,0.0
2024-11-13,8.031300681,0.0,0.0
2024-11-14,8.422946443,0.0,0.0
2024-11-15,6.852784235,0.0,0.0
2024-11-16,8.541072759,0.0,0.0
2024-11-17,8.66670308,0.0,0.0
2024-11-18,8.11274895,0.0,0.0
2024-11-19,8.606234853,0.0,0.0
2024-11-20,8.229005506,0.0,0.0
2024-11-21,8.571954659,0.0,0.0
