Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,75.863807,0.0,0.0
2024-10-02,76.16655663,0.0,0.0
2024-10-03,72.540587,0.0,0.0
2024-10-04,75.3683493,0.0,0.0
2024-10-05,80.32157324,0.0,0.0
2024-10-06,84.44497615,0.0,0.0
2024-10-07,76.01237909,0.0,0.0
2024-10-08,76.53486233,0.0,0.0
2024-10-09,77.91401648,0.0,0.0
2024-10-10,79.55038465,0.0,0.0
2024-10-11,81.19682989,0.0,0.0
2024-10-12,82.00561066,0.0,0.0
2024-10-13,85.1552427,0.0,0.0
2024-10-14,76.64097362,0.0,0.0
2024-10-15,77.33285319,0.0,0.0
2024-10-16,71.58742413,0.0,0.0
2024-10-17,75.40051755,0.0,0.0
2024-10-18,77.63258312,0.0,0.0
2024-10-19,79.38076899,0.0,0.0
2024-10-20,85.43813457,0.0,0.0
2024-10-21,74.96287131,0.0,0.0
2024-10-22,78.13450561,0.0,0.0
2024-10-23,76.77602146,0.0,0.0
2024-10-24,79.2681429,0.0,0.0
2024-10-25,81.0816491,0.0,0.0
2024-10-26,80.70135274,0.0,0.0
2024-10-27,84.87966187,0.0,0.0
2024-10-28,77.4564726,0.0,0.0
2024-10-29,77.20826072,0.0,0.0
2024-10-30,77.83010013,0.0,0.0
2024-11-01,38.0916412,0.0,0.0
2024-11-02,80.94159793,0.0,0.0
2024-11-03,84.63658133,0.0,0.0
2024-11-04,75.14476299,0.0,0.0
2024-11-05,74.1664653,0.0,0.0
2024-11-06,74.33069896,0.0,0.0
2024-11-07,73.77063332,0.0,0.0
2024-11-08,77.30739946,0.0,0.0
2024-11-09,78.39878136,0.0,0.0
2024-11-10,82.46650577,0.0,0.0
2024-11-11,75.53615017,0.0,0.0
2024-11-12,75.14001224,0.0,0.0
2024-11-13,74.80486468,0.0,0.0
2024-11-14,73.50170566,0.0,0.0
2024-11-15,76.66504117,0.0,0.0
2024-11-16,77.22467103,0.0,0.0
2024-11-17,79.98587262,0.0,0.0
2024-11-18,73.00691783,0.0,0.0
2024-11-19,74.5509305,0.0,0.0
2024-11-20,74.27932284,0.0,0.0
2024-11-21,74.99445991,0.0,0.0
2024-11-22,76.34725229,0.0,0.0
2024-11-23,78.9588463,0.0,0.0
2024-11-24,81.24335601,0.0,0.0
2024-11-25,77.11842319,0.0,0.0
2024-11-26,78.1743032,0.0,0.0
2024-11-27,84.11117413,0.0,0.0
2024-11-28,77.77562758,0.0,0.0
2024-11-29,78.65896695,0.0,0.0
2024-11-30,80.46445395,0.0,0.0
2024-12-01,82.41147206,0.0,0.0
2024-12-02,74.03227245,0.0,0.0
2024-12-03,74.17346406,0.0,0.0
2024-12-04,76.12027847,0.0,0.0
2024-12-05,77.6452515,0.0,0.0
2024-12-06,77.34480267,0.0,0.0
2024-12-07,80.77188177,0.0,0.0
2024-12-08,85.51165844,0.0,0.0
2024-12-09,76.58354277,0.0,0.0
2024-12-10,77.76584261,0.0,0.0
2024-12-11,75.64136032,0.0,0.0
2024-12-12,80.25832461,0.0,0.0
2024-12-13,77.11434121,0.0,0.0
2024-12-14,82.24999698,0.0,0.0
2024-12-15,85.56056219,0.0,0.0
2024-12-16,76.56695936,0.0,0.0
