Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,165.3396425,0.0,0.0
2024-10-02,164.5548849,0.0,0.0
2024-10-03,162.6482717,0.0,0.0
2024-10-04,168.2073408,0.0,0.0
2024-10-05,172.7980012,0.0,0.0
2024-10-06,182.4500073,0.0,0.0
2024-10-07,163.5700635,0.0,0.0
2024-10-08,165.0412558,0.0,0.0
2024-10-09,165.6562194,0.0,0.0
2024-10-10,172.9458202,0.0,0.0
2024-10-11,175.0855413,0.0,0.0
2024-10-12,176.2938873,0.0,0.0
2024-10-13,184.0275862,0.0,0.0
2024-10-14,168.4399828,0.0,0.0
2024-10-15,169.2762208,0.0,0.0
2024-10-16,163.9257659,0.0,0.0
2024-10-17,167.2551511,0.0,0.0
2024-10-18,172.8678936,0.0,0.0
2024-10-19,176.2106423,0.0,0.0
2024-10-20,185.8415672,0.0,0.0
2024-10-21,166.5124338,0.0,0.0
2024-10-22,169.1413689,0.0,0.0
2024-10-23,166.9626245,0.0,0.0
2024-10-24,171.6658164,0.0,0.0
2024-10-25,175.2559836,0.0,0.0
2024-10-26,174.6713796,0.0,0.0
2024-10-27,188.1184002,0.0,0.0
2024-10-28,163.734464,0.0,0.0
2024-10-29,165.0363523,0.0,0.0
2024-10-30,166.3956014,0.0,0.0
2024-11-01,83.47636782,0.0,0.0
2024-11-02,171.534933,0.0,0.0
2024-11-03,184.0251658,0.0,0.0
2024-11-04,164.492401,0.0,0.0
2024-11-05,162.6542415,0.0,0.0
2024-11-06,161.6704266,0.0,0.0
2024-11-07,161.0039968,0.0,0.0
2024-11-08,167.5110309,0.0,0.0
2024-11-09,172.8230867,0.0,0.0
2024-11-10,182.7239811,0.0,0.0
2024-11-11,166.4413652,0.0,0.0
2024-11-12,161.4054622,0.0,0.0
2024-11-13,162.7153317,0.0,0.0
2024-11-14,159.3243965,0.0,0.0
2024-11-15,166.6414763,0.0,0.0
2024-11-16,166.3627476,0.0,0.0
2024-11-17,174.8292074,0.0,0.0
2024-11-18,160.3236065,0.0,0.0
2024-11-19,165.2798766,0.0,0.0
2024-11-20,160.3389422,0.0,0.0
2024-11-21,159.7195556,0.0,0.0
2024-11-22,164.5960234,0.0,0.0
2024-11-23,166.1713776,0.0,0.0
2024-11-24,174.860611,0.0,0.0
2024-11-25,164.9050456,0.0,0.0
2024-11-26,167.7423384,0.0,0.0
2024-11-27,185.5084187,0.0,0.0
2024-11-28,166.3189851,0.0,0.0
2024-11-29,167.592397,0.0,0.0
2024-11-30,164.544608,0.0,0.0
2024-12-01,174.6803191,0.0,0.0
2024-12-02,161.3517014,0.0,0.0
2024-12-03,160.625293,0.0,0.0
2024-12-04,164.8520482,0.0,0.0
2024-12-05,165.9467739,0.0,0.0
2024-12-06,166.0895197,0.0,0.0
2024-12-07,173.433337,0.0,0.0
2024-12-08,178.7029691,0.0,0.0
2024-12-09,165.1917018,0.0,0.0
2024-12-10,162.4538048,0.0,0.0
2024-12-11,163.4797399,0.0,0.0
2024-12-12,171.117925,0.0,0.0
2024-12-13,165.33881,0.0,0.0
2024-12-14,168.3847198,0.0,0.0
2024-12-15,175.0176188,0.0,0.0
2024-12-16,164.6301209,0.0,0.0
2024-12-17,164.559081,0.0,0.0
2024-12-18,164.1518711,0.0,0.0
2024-12-19,164.1152226,0.0,0.0
2024-12-20,163.7469999,0.0,0.0
2024-12-21,170.3417042,0.0,0.0
2024-12-22,170.3417042,0.0,0.0
2024-12-23,168.4624372,0.0,0.0
2024-12-24,170.4203846,0.0,0.0
2024-12-25,170.4203846,0.0,0.0
2024-12-26,174.4660766,0.0,0.0
2024-12-27,172.0645471,0.0,0.0
2024-12-28,174.6102001,0.0,0.0
2024-12-29,179.7568749,0.0,0.0
2024-12-30,176.8667204,0.0,0.0
2024-12-31,178.1391628,0.0,0.0
2025-01-01,189.02,0.0,0.0
2025-01-02,166.94,0.0,0.0
2025-01-03,161.21,0.0,0.0
2025-01-04,162.86,0.0,0.0
2025-01-05,165.39,0.0,0.0
2025-01-06,151.78,0.0,0.0
2025-01-07,149.75,0.0,0.0
2025-01-08,149.25,0.0,0.0
2025-01-09,149.22,0.0,0.0
2025-01-10,154.31,0.0,0.0
2025-01-11,159.02,0.0,0.0
2025-01-12,163.38,0.0,0.0
2025-01-13,147.99,0.0,0.0
2025-01-14,148.68,0.0,0.0
2025-01-15,146.52,0.0,0.0
2025-01-16,147.86,0.0,0.0
2025-01-17,150.38,0.0,0.0
2025-01-18,152.7,0.0,0.0
2025-01-19,159.09,0.0,0.0
2025-01-20,145.7,0.0,0.0
2025-01-21,144.36,0.0,0.0
2025-01-22,144.94,0.0,0.0
2025-01-23,145.09,0.0,0.0
2025-01-24,150.12,0.0,0.0
2025-01-25,149.9,0.0,0.0
2025-01-26,163.6,0.0,0.0
2025-01-27,170.6,0.0,0.0
2025-01-28,159.8,0.0,0.0
2025-01-29,157.91,0.0,0.0
2025-01-30,147.2,0.0,0.0
2025-01-31,148.76,0.0,0.0
2025-02-01,147.49,0.0,0.0
2025-02-02,161.96,0.0,0.0
2025-02-03,141.61,0.0,0.0
2025-02-04,141.86,0.0,0.0
2025-02-05,141.47,0.0,0.0
2025-02-06,143.0,0.0,0.0
2025-02-07,146.51,0.0,0.0
2025-02-08,149.42,0.0,0.0
2025-02-09,156.68,0.0,0.0
2025-02-10,144.71,0.0,0.0
2025-02-11,143.31,0.0,0.0
2025-02-12,142.78,0.0,0.0
2025-02-13,144.31,0.0,0.0
2025-02-14,150.42,0.0,0.0
2025-02-15,151.99,0.0,0.0
2025-02-16,159.21,0.0,0.0
2025-02-17,145.83,0.0,0.0
2025-02-18,142.74,0.0,0.0
2025-02-19,144.74,0.0,0.0
2025-02-20,144.2,0.0,0.0
2025-02-21,151.63,0.0,0.0
2025-02-22,154.96,0.0,0.0
2025-02-23,161.89,0.0,0.0
2025-02-24,148.78,0.0,0.0
2025-02-25,146.08,0.0,0.0
2025-02-26,155.18,0.0,0.0
2025-02-27,153.73,0.0,0.0
2025-02-28,155.74,0.0,0.0
2025-03-01,157.47,0.0,0.0
2025-03-02,166.76,0.0,0.0
2025-03-03,156.41,0.0,0.0
2025-03-04,148.02,0.0,0.0
2025-03-05,153.75,0.0,0.0
2025-03-06,149.8,0.0,0.0
2025-03-07,155.76,0.0,0.0
2025-03-08,159.23,0.0,0.0
2025-03-09,163.53,0.0,0.0
2025-03-10,154.32,0.0,0.0
2025-03-11,154.34,0.0,0.0
2025-03-12,154.02,0.0,0.0
