Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,34.86731433,0.0,0.0
2024-10-02,35.07363661,0.0,0.0
2024-10-03,34.71210217,0.0,0.0
2024-10-04,36.08065616,0.0,0.0
2024-10-05,36.74239517,0.0,0.0
2024-10-06,37.37187614,0.0,0.0
2024-10-07,34.28429427,0.0,0.0
2024-10-08,34.88926306,0.0,0.0
2024-10-09,34.43513013,0.0,0.0
2024-10-10,36.10482042,0.0,0.0
2024-10-11,37.58463802,0.0,0.0
2024-10-12,36.00163536,0.0,0.0
2024-10-13,36.48509851,0.0,0.0
2024-10-14,34.18746898,0.0,0.0
2024-10-15,34.83306512,0.0,0.0
2024-10-16,34.81300785,0.0,0.0
2024-10-17,34.90316527,0.0,0.0
2024-10-18,36.43727945,0.0,0.0
2024-10-19,35.41149112,0.0,0.0
2024-10-20,36.80839244,0.0,0.0
2024-10-21,34.81628729,0.0,0.0
2024-10-22,35.02154817,0.0,0.0
2024-10-23,35.06722534,0.0,0.0
2024-10-24,37.01420127,0.0,0.0
2024-10-25,37.76919977,0.0,0.0
2024-10-26,37.28786987,0.0,0.0
2024-10-27,37.35814489,0.0,0.0
2024-10-28,36.23820458,0.0,0.0
2024-10-29,36.49984806,0.0,0.0
2024-10-30,34.77871581,0.0,0.0
2024-11-01,17.22020993,0.0,0.0
2024-11-02,35.86194023,0.0,0.0
2024-11-03,35.47761542,0.0,0.0
2024-11-04,34.08886845,0.0,0.0
2024-11-05,33.5333138,0.0,0.0
2024-11-06,32.99537789,0.0,0.0
2024-11-07,33.48005205,0.0,0.0
2024-11-08,35.94095046,0.0,0.0
2024-11-09,36.88849181,0.0,0.0
2024-11-10,35.81369561,0.0,0.0
2024-11-11,35.56151504,0.0,0.0
2024-11-12,34.41066567,0.0,0.0
2024-11-13,32.85774045,0.0,0.0
2024-11-14,32.56228492,0.0,0.0
2024-11-15,33.73715722,0.0,0.0
2024-11-16,34.49084345,0.0,0.0
2024-11-17,33.5992228,0.0,0.0
2024-11-18,31.82554246,0.0,0.0
2024-11-19,34.38085664,0.0,0.0
2024-11-20,34.11016252,0.0,0.0
2024-11-21,33.99280857,0.0,0.0
2024-11-22,35.93026548,0.0,0.0
2024-11-23,37.37585175,0.0,0.0
2024-11-24,35.26721243,0.0,0.0
2024-11-25,33.72871676,0.0,0.0
2024-11-26,35.22392026,0.0,0.0
2024-11-27,38.34422723,0.0,0.0
2024-11-28,36.88571012,0.0,0.0
2024-11-29,36.03452041,0.0,0.0
2024-11-30,35.04633961,0.0,0.0
2024-12-01,33.88923655,0.0,0.0
2024-12-02,31.98768099,0.0,0.0
2024-12-03,31.50495667,0.0,0.0
2024-12-04,33.50897023,0.0,0.0
2024-12-05,33.07678536,0.0,0.0
2024-12-06,33.54501751,0.0,0.0
2024-12-07,33.20409927,0.0,0.0
2024-12-08,35.21888576,0.0,0.0
2024-12-09,33.75581333,0.0,0.0
2024-12-10,33.19446591,0.0,0.0
2024-12-11,32.60554937,0.0,0.0
2024-12-12,35.01422871,0.0,0.0
2024-12-13,32.90062992,0.0,0.0
2024-12-14,33.87238977,0.0,0.0
