Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,277.6333995,0.0,0.0
2024-10-02,276.1574178,0.0,0.0
2024-10-03,264.5792826,0.0,0.0
2024-10-04,277.6233611,0.0,0.0
2024-10-05,303.4232853,0.0,0.0
2024-10-06,319.492784,0.0,0.0
2024-10-07,272.0403436,0.0,0.0
2024-10-08,273.2368583,0.0,0.0
2024-10-09,277.8272772,0.0,0.0
2024-10-10,288.9719588,0.0,0.0
2024-10-11,296.6598755,0.0,0.0
2024-10-12,305.4770333,0.0,0.0
2024-10-13,318.7230691,0.0,0.0
2024-10-14,279.925344,0.0,0.0
2024-10-15,280.5122938,0.0,0.0
2024-10-16,262.1502015,0.0,0.0
2024-10-17,279.1863524,0.0,0.0
2024-10-18,289.6202173,0.0,0.0
2024-10-19,305.0671678,0.0,0.0
2024-10-20,321.8325462,0.0,0.0
2024-10-21,272.385563,0.0,0.0
2024-10-22,286.6642597,0.0,0.0
2024-10-23,279.8416739,0.0,0.0
2024-10-24,286.5943399,0.0,0.0
2024-10-25,296.908496,0.0,0.0
2024-10-26,304.373068,0.0,0.0
2024-10-27,328.5662279,0.0,0.0
2024-10-28,276.4341308,0.0,0.0
2024-10-29,275.0074838,0.0,0.0
2024-10-30,276.7166699,0.0,0.0
2024-11-01,145.709478,0.0,0.0
2024-11-02,294.9635318,0.0,0.0
2024-11-03,313.5404256,0.0,0.0
2024-11-04,270.4744748,0.0,0.0
2024-11-05,268.4116504,0.0,0.0
2024-11-06,266.0942916,0.0,0.0
2024-11-07,271.6484595,0.0,0.0
2024-11-08,279.0163548,0.0,0.0
2024-11-09,296.044934,0.0,0.0
2024-11-10,305.5259177,0.0,0.0
2024-11-11,279.7587432,0.0,0.0
2024-11-12,273.9982628,0.0,0.0
2024-11-13,274.0838528,0.0,0.0
2024-11-14,271.8065917,0.0,0.0
2024-11-15,280.9223908,0.0,0.0
2024-11-16,293.5449888,0.0,0.0
2024-11-17,307.1200248,0.0,0.0
2024-11-18,267.6208815,0.0,0.0
2024-11-19,273.0628246,0.0,0.0
2024-11-20,266.1447077,0.0,0.0
2024-11-21,270.8567862,0.0,0.0
2024-11-22,279.1484483,0.0,0.0
2024-11-23,294.213372,0.0,0.0
2024-11-24,304.9519711,0.0,0.0
2024-11-25,274.6766223,0.0,0.0
2024-11-26,275.1445243,0.0,0.0
2024-11-27,312.1312425,0.0,0.0
2024-11-28,275.7724667,0.0,0.0
2024-11-29,275.6170842,0.0,0.0
2024-11-30,291.7342891,0.0,0.0
2024-12-01,305.0907575,0.0,0.0
2024-12-02,260.056411,0.0,0.0
2024-12-03,267.7135151,0.0,0.0
2024-12-04,271.6829061,0.0,0.0
2024-12-05,271.1269025,0.0,0.0
2024-12-06,275.9722554,0.0,0.0
2024-12-07,295.6364204,0.0,0.0
2024-12-08,305.1688306,0.0,0.0
2024-12-09,277.1162926,0.0,0.0
2024-12-10,279.9498437,0.0,0.0
2024-12-11,277.3214726,0.0,0.0
2024-12-12,290.5451751,0.0,0.0
2024-12-13,282.0891008,0.0,0.0
2024-12-14,305.2187578,0.0,0.0
2024-12-15,315.1198311,0.0,0.0
2024-12-16,277.9763672,0.0,0.0
2024-12-17,276.5497935,0.0,0.0
2024-12-18,281.2953739,0.0,0.0
2024-12-19,280.3154308,0.0,0.0
2024-12-20,282.724384,0.0,0.0
2024-12-21,305.8303016,0.0,0.0
2024-12-22,305.8303016,0.0,0.0
2024-12-23,294.4784775,0.0,0.0
2024-12-24,292.7434909,0.0,0.0
2024-12-25,292.7434909,0.0,0.0
2024-12-26,301.8917257,0.0,0.0
2024-12-27,301.9221963,0.0,0.0
2024-12-28,309.9750345,0.0,0.0
2024-12-29,328.5333002,0.0,0.0
2024-12-30,299.7725642,0.0,0.0
2024-12-31,304.6231932,0.0,0.0
2025-01-01,333.22,0.0,0.0
2025-01-02,288.55,0.0,0.0
2025-01-03,290.2,0.0,0.0
2025-01-04,297.81,0.0,0.0
2025-01-05,299.98,0.0,0.0
2025-01-06,269.05,0.0,0.0
2025-01-07,264.26,0.0,0.0
2025-01-08,260.43,0.0,0.0
2025-01-09,269.47,0.0,0.0
2025-01-10,268.98,0.0,0.0
2025-01-11,282.31,0.0,0.0
2025-01-12,299.71,0.0,0.0
2025-01-13,255.36,0.0,0.0
2025-01-14,259.82,0.0,0.0
2025-01-15,255.62,0.0,0.0
2025-01-16,249.26,0.0,0.0
2025-01-17,262.72,0.0,0.0
2025-01-18,285.28,0.0,0.0
2025-01-19,294.4,0.0,0.0
2025-01-20,264.58,0.0,0.0
2025-01-21,258.79,0.0,0.0
2025-01-22,257.64,0.0,0.0
2025-01-23,253.32,0.0,0.0
2025-01-24,261.62,0.0,0.0
2025-01-25,277.63,0.0,0.0
2025-01-26,297.1,0.0,0.0
2025-01-27,299.2,0.0,0.0
2025-01-28,284.24,0.0,0.0
2025-01-29,283.64,0.0,0.0
2025-01-30,254.32,0.0,0.0
2025-01-31,257.1,0.0,0.0
2025-02-01,281.16,0.0,0.0
2025-02-02,300.82,0.0,0.0
2025-02-03,248.72,0.0,0.0
