Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,286.7887476,0.0,0.0
2024-10-02,287.361535,0.0,0.0
2024-10-03,288.3184224,0.0,0.0
2024-10-04,295.9077077,0.0,0.0
2024-10-05,303.6131742,0.0,0.0
2024-10-06,312.3144621,0.0,0.0
2024-10-07,284.2212806,0.0,0.0
2024-10-08,288.6888544,0.0,0.0
2024-10-09,288.9946836,0.0,0.0
2024-10-10,301.0329206,0.0,0.0
2024-10-11,304.9655615,0.0,0.0
2024-10-12,301.8499377,0.0,0.0
2024-10-13,308.1843166,0.0,0.0
2024-10-14,284.6042467,0.0,0.0
2024-10-15,291.6771506,0.0,0.0
2024-10-16,285.2027523,0.0,0.0
2024-10-17,290.0599336,0.0,0.0
2024-10-18,298.8720935,0.0,0.0
2024-10-19,302.2098981,0.0,0.0
2024-10-20,312.6062904,0.0,0.0
2024-10-21,287.1672841,0.0,0.0
2024-10-22,295.9222692,0.0,0.0
2024-10-23,296.6312022,0.0,0.0
2024-10-24,302.9952025,0.0,0.0
2024-10-25,309.5951216,0.0,0.0
2024-10-26,303.0544105,0.0,0.0
2024-10-27,318.2316999,0.0,0.0
2024-10-28,287.8904167,0.0,0.0
2024-10-29,290.6308852,0.0,0.0
2024-10-30,293.0675902,0.0,0.0
2024-11-01,141.3920224,0.0,0.0
2024-11-02,294.0072853,0.0,0.0
2024-11-03,302.7687022,0.0,0.0
2024-11-04,280.0272026,0.0,0.0
2024-11-05,280.2861761,0.0,0.0
2024-11-06,283.6428369,0.0,0.0
2024-11-07,284.6630484,0.0,0.0
2024-11-08,293.2364952,0.0,0.0
2024-11-09,299.003636,0.0,0.0
2024-11-10,305.1309156,0.0,0.0
2024-11-11,287.1250688,0.0,0.0
2024-11-12,285.9294635,0.0,0.0
2024-11-13,286.5521343,0.0,0.0
2024-11-14,288.5722853,0.0,0.0
2024-11-15,298.3170202,0.0,0.0
2024-11-16,289.7136045,0.0,0.0
2024-11-17,298.7300614,0.0,0.0
2024-11-18,277.5040975,0.0,0.0
2024-11-19,285.6539241,0.0,0.0
2024-11-20,280.0944996,0.0,0.0
2024-11-21,283.2871516,0.0,0.0
2024-11-22,295.0853308,0.0,0.0
2024-11-23,300.1416053,0.0,0.0
2024-11-24,302.3180199,0.0,0.0
2024-11-25,284.7553271,0.0,0.0
2024-11-26,289.4298839,0.0,0.0
2024-11-27,306.186986,0.0,0.0
2024-11-28,283.6666092,0.0,0.0
2024-11-29,290.5390354,0.0,0.0
2024-11-30,295.4908589,0.0,0.0
2024-12-01,295.6777222,0.0,0.0
2024-12-02,276.2815121,0.0,0.0
2024-12-03,278.5719736,0.0,0.0
2024-12-04,286.4849338,0.0,0.0
2024-12-05,292.1773747,0.0,0.0
2024-12-06,295.8233637,0.0,0.0
2024-12-07,301.2432621,0.0,0.0
2024-12-08,310.9771373,0.0,0.0
2024-12-09,286.5079255,0.0,0.0
2024-12-10,290.5438842,0.0,0.0
2024-12-11,292.501483,0.0,0.0
2024-12-12,304.7462446,0.0,0.0
2024-12-13,293.3763051,0.0,0.0
2024-12-14,299.758599,0.0,0.0
2024-12-15,303.0845608,0.0,0.0
2024-12-16,291.3002687,0.0,0.0
2024-12-17,294.5925244,0.0,0.0
2024-12-18,293.3864435,0.0,0.0
2024-12-19,293.9257361,0.0,0.0
2024-12-20,297.8436854,0.0,0.0
2024-12-21,304.4192357,0.0,0.0
2024-12-22,304.4192357,0.0,0.0
2024-12-23,297.7168693,0.0,0.0
2024-12-24,301.2954677,0.0,0.0
