Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,133.9913329,0.0,0.0
2024-10-02,133.4367116,0.0,0.0
2024-10-03,125.6063537,0.0,0.0
2024-10-04,130.6761844,0.0,0.0
2024-10-05,143.2940686,0.0,0.0
2024-10-06,151.4937989,0.0,0.0
2024-10-07,132.268889,0.0,0.0
2024-10-08,132.4671697,0.0,0.0
2024-10-09,134.841203,0.0,0.0
2024-10-10,138.4524171,0.0,0.0
2024-10-11,140.1925902,0.0,0.0
2024-10-12,144.7280177,0.0,0.0
2024-10-13,153.9842346,0.0,0.0
2024-10-14,136.7534595,0.0,0.0
2024-10-15,136.0665771,0.0,0.0
2024-10-16,125.6201712,0.0,0.0
2024-10-17,132.4831343,0.0,0.0
2024-10-18,136.1605589,0.0,0.0
2024-10-19,143.4475456,0.0,0.0
2024-10-20,156.4757718,0.0,0.0
2024-10-21,131.4744191,0.0,0.0
2024-10-22,135.1278277,0.0,0.0
2024-10-23,133.7981437,0.0,0.0
2024-10-24,139.3644042,0.0,0.0
2024-10-25,142.3027485,0.0,0.0
2024-10-26,144.7823361,0.0,0.0
2024-10-27,158.0751588,0.0,0.0
2024-10-28,135.5202242,0.0,0.0
2024-10-29,133.9153015,0.0,0.0
2024-10-30,134.1867668,0.0,0.0
2024-11-01,68.41954121,0.0,0.0
2024-11-02,140.1217689,0.0,0.0
2024-11-03,151.4502485,0.0,0.0
2024-11-04,132.1493466,0.0,0.0
2024-11-05,131.0787305,0.0,0.0
2024-11-06,131.2878258,0.0,0.0
2024-11-07,129.9756942,0.0,0.0
2024-11-08,135.0498141,0.0,0.0
2024-11-09,142.4262618,0.0,0.0
2024-11-10,149.6540289,0.0,0.0
2024-11-11,133.1829882,0.0,0.0
2024-11-12,131.883619,0.0,0.0
2024-11-13,128.8418743,0.0,0.0
2024-11-14,127.895246,0.0,0.0
2024-11-15,131.6155069,0.0,0.0
2024-11-16,137.6274279,0.0,0.0
2024-11-17,145.8048397,0.0,0.0
2024-11-18,128.6034914,0.0,0.0
2024-11-19,130.5284128,0.0,0.0
2024-11-20,130.309935,0.0,0.0
2024-11-21,131.3010704,0.0,0.0
2024-11-22,134.8615638,0.0,0.0
2024-11-23,139.7838567,0.0,0.0
2024-11-24,148.7850966,0.0,0.0
2024-11-25,133.4720564,0.0,0.0
2024-11-26,137.3235256,0.0,0.0
2024-11-27,155.3980784,0.0,0.0
2024-11-28,136.2251223,0.0,0.0
2024-11-29,135.0326551,0.0,0.0
2024-11-30,140.9337665,0.0,0.0
2024-12-01,145.7609541,0.0,0.0
2024-12-02,131.235877,0.0,0.0
2024-12-03,131.4321097,0.0,0.0
2024-12-04,130.8187212,0.0,0.0
2024-12-05,131.7479641,0.0,0.0
2024-12-06,130.8422619,0.0,0.0
2024-12-07,141.4065206,0.0,0.0
2024-12-08,150.2005837,0.0,0.0
2024-12-09,131.6465984,0.0,0.0
2024-12-10,133.6280732,0.0,0.0
2024-12-11,131.8270016,0.0,0.0
2024-12-12,138.2933955,0.0,0.0
2024-12-13,133.6416021,0.0,0.0
2024-12-14,143.4611947,0.0,0.0
2024-12-15,149.6121207,0.0,0.0
2024-12-16,133.7714329,0.0,0.0
2024-12-17,132.9834763,0.0,0.0
2024-12-18,135.6009867,0.0,0.0
2024-12-19,133.0038859,0.0,0.0
