Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,84.0494665,0.0,0.0
2024-10-02,82.73972866,0.0,0.0
2024-10-03,73.33526932,0.0,0.0
2024-10-04,71.7187729,0.0,0.0
2024-10-05,96.30641437,0.0,0.0
2024-10-06,105.768391,0.0,0.0
2024-10-07,82.78544508,0.0,0.0
2024-10-08,83.21907247,0.0,0.0
2024-10-09,84.17842464,0.0,0.0
2024-10-10,86.29799745,0.0,0.0
2024-10-11,88.41351698,0.0,0.0
2024-10-12,97.60939769,0.0,0.0
2024-10-13,104.6098682,0.0,0.0
2024-10-14,84.74492159,0.0,0.0
2024-10-15,80.06583337000001,0.0,0.0
2024-10-16,79.38211334,0.0,0.0
2024-10-17,83.73204692,0.0,0.0
2024-10-18,87.37116031,0.0,0.0
2024-10-19,97.82072991,0.0,0.0
2024-10-20,104.0129198,0.0,0.0
2024-10-21,83.35819167,0.0,0.0
2024-10-22,83.63383743,0.0,0.0
2024-10-23,84.72034135,0.0,0.0
2024-10-24,86.32911871,0.0,0.0
2024-10-25,89.35411096,0.0,0.0
2024-10-26,98.63051619,0.0,0.0
2024-10-27,108.0637408,0.0,0.0
2024-10-28,84.50856961,0.0,0.0
2024-10-29,85.64720612,0.0,0.0
2024-10-30,86.06368706,0.0,0.0
2024-11-01,41.30462508,0.0,0.0
2024-11-02,94.30115619,0.0,0.0
2024-11-03,104.0428986,0.0,0.0
2024-11-04,81.82243189,0.0,0.0
2024-11-05,81.79800341,0.0,0.0
2024-11-06,80.95298076,0.0,0.0
2024-11-07,82.20840783,0.0,0.0
2024-11-08,84.82161978,0.0,0.0
2024-11-09,96.91456905,0.0,0.0
2024-11-10,102.3696513,0.0,0.0
2024-11-11,83.50386186,0.0,0.0
2024-11-12,81.50193662,0.0,0.0
2024-11-13,81.54990925,0.0,0.0
2024-11-14,80.23319686,0.0,0.0
2024-11-15,84.49779884,0.0,0.0
2024-11-16,93.6973855,0.0,0.0
2024-11-17,98.60525781,0.0,0.0
2024-11-18,79.59154868,0.0,0.0
2024-11-19,80.99287609,0.0,0.0
2024-11-20,78.47960655,0.0,0.0
2024-11-21,80.85415072,0.0,0.0
2024-11-22,84.24601571,0.0,0.0
2024-11-23,93.81587602,0.0,0.0
2024-11-24,100.1366754,0.0,0.0
2024-11-25,85.46638118,0.0,0.0
2024-11-26,86.02068165,0.0,0.0
2024-11-27,98.01350582,0.0,0.0
2024-11-28,85.00511439,0.0,0.0
2024-11-29,84.52433743,0.0,0.0
2024-11-30,93.86179947,0.0,0.0
2024-12-01,97.1779743,0.0,0.0
2024-12-02,82.00622672,0.0,0.0
2024-12-03,81.90585177,0.0,0.0
2024-12-04,84.65217119,0.0,0.0
2024-12-05,84.05063404,0.0,0.0
2024-12-06,87.6220878,0.0,0.0
2024-12-07,94.31980078,0.0,0.0
2024-12-08,100.9798275,0.0,0.0
2024-12-09,83.89062383,0.0,0.0
2024-12-10,86.18404677,0.0,0.0
2024-12-11,83.95254466,0.0,0.0
2024-12-12,90.8093931,0.0,0.0
2024-12-13,87.30326177,0.0,0.0
2024-12-14,97.45615818,0.0,0.0
2024-12-15,101.9478298,0.0,0.0
2024-12-16,86.17045227,0.0,0.0
2024-12-17,86.45402367,0.0,0.0
2024-12-18,86.19800373,0.0,0.0
2024-12-19,86.26748942,0.0,0.0
2024-12-20,86.5236782,0.0,0.0
2024-12-21,94.22425018,0.0,0.0
2024-12-22,94.22425018,0.0,0.0
2024-12-23,92.01778547,0.0,0.0
2024-12-24,92.38217253,0.0,0.0
2024-12-25,92.38217253,0.0,0.0
2024-12-26,98.31249427,0.0,0.0
2024-12-27,95.76116236,0.0,0.0
2024-12-28,102.7585522,0.0,0.0
2024-12-29,107.9157183,0.0,0.0
2024-12-30,95.38213426,0.0,0.0
2024-12-31,99.28561685,0.0,0.0
2025-01-01,111.81,0.0,0.0
2025-01-02,87.95,0.0,0.0
2025-01-03,86.11,0.0,0.0
2025-01-04,92.66,0.0,0.0
2025-01-05,97.41,0.0,0.0
2025-01-06,79.6,0.0,0.0
2025-01-07,79.09,0.0,0.0
2025-01-08,80.34,0.0,0.0
2025-01-09,78.79,0.0,0.0
2025-01-10,82.4,0.0,0.0
2025-01-11,90.02,0.0,0.0
2025-01-12,97.19,0.0,0.0
2025-01-13,77.33,0.0,0.0
2025-01-14,78.34,0.0,0.0
2025-01-15,77.76,0.0,0.0
2025-01-16,77.93,0.0,0.0
2025-01-17,79.0,0.0,0.0
2025-01-18,87.61,0.0,0.0
2025-01-19,92.15,0.0,0.0
2025-01-20,76.89,0.0,0.0
2025-01-21,73.77,0.0,0.0
2025-01-22,74.78,0.0,0.0
2025-01-23,75.6,0.0,0.0
2025-01-24,77.89,0.0,0.0
2025-01-25,86.24,0.0,0.0
2025-01-26,103.57,0.0,0.0
2025-01-27,102.07,0.0,0.0
2025-01-28,90.44,0.0,0.0
2025-01-29,89.47,0.0,0.0
2025-01-30,75.78,0.0,0.0
2025-01-31,77.91,0.0,0.0
2025-02-01,84.17,0.0,0.0
2025-02-02,91.98,0.0,0.0
