Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,161.3195635,0.0,0.0
2024-10-02,161.6661334,0.0,0.0
2024-10-03,137.988035,0.0,0.0
2024-10-04,137.4509301,0.0,0.0
2024-10-05,176.8043203,0.0,0.0
2024-10-06,185.2639173,0.0,0.0
2024-10-07,155.303645,0.0,0.0
2024-10-08,157.4008201,0.0,0.0
2024-10-09,161.4057327,0.0,0.0
2024-10-10,166.6016431,0.0,0.0
2024-10-11,172.8892948,0.0,0.0
2024-10-12,181.0677679,0.0,0.0
2024-10-13,187.95157,0.0,0.0
2024-10-14,160.9074637,0.0,0.0
2024-10-15,152.35343,0.0,0.0
2024-10-16,148.815024,0.0,0.0
2024-10-17,159.1725515,0.0,0.0
2024-10-18,167.3947578,0.0,0.0
2024-10-19,181.08635,0.0,0.0
2024-10-20,191.0891758,0.0,0.0
2024-10-21,160.6520541,0.0,0.0
2024-10-22,160.7751367,0.0,0.0
2024-10-23,163.4555038,0.0,0.0
2024-10-24,168.303096,0.0,0.0
2024-10-25,172.9407678,0.0,0.0
2024-10-26,183.8696745,0.0,0.0
2024-10-27,194.5006156,0.0,0.0
2024-10-28,162.4303014,0.0,0.0
2024-10-29,162.4176507,0.0,0.0
2024-10-30,163.9205354,0.0,0.0
2024-11-01,80.86637489,0.0,0.0
2024-11-02,178.6779658,0.0,0.0
2024-11-03,185.5498235,0.0,0.0
2024-11-04,155.6753797,0.0,0.0
2024-11-05,154.3456988,0.0,0.0
2024-11-06,155.736424,0.0,0.0
2024-11-07,159.8337168,0.0,0.0
2024-11-08,165.2146605,0.0,0.0
2024-11-09,178.1950964,0.0,0.0
2024-11-10,186.2475673,0.0,0.0
2024-11-11,160.5656875,0.0,0.0
2024-11-12,156.1470773,0.0,0.0
2024-11-13,159.7230912,0.0,0.0
2024-11-14,159.8597933,0.0,0.0
2024-11-15,163.2272621,0.0,0.0
2024-11-16,177.3053869,0.0,0.0
2024-11-17,181.42924,0.0,0.0
2024-11-18,157.8841778,0.0,0.0
2024-11-19,160.5622582,0.0,0.0
2024-11-20,155.6807008,0.0,0.0
2024-11-21,159.0015146,0.0,0.0
2024-11-22,164.6820298,0.0,0.0
