Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,164.9204317,0.0,0.0
2024-10-02,164.0060581,0.0,0.0
2024-10-03,147.0405181,0.0,0.0
2024-10-04,142.572786,0.0,0.0
2024-10-05,176.1968968,0.0,0.0
2024-10-06,185.9165991,0.0,0.0
2024-10-07,161.9387535,0.0,0.0
2024-10-08,162.6234828,0.0,0.0
2024-10-09,165.9787701,0.0,0.0
2024-10-10,172.0463228,0.0,0.0
2024-10-11,175.0277392,0.0,0.0
2024-10-12,176.495338,0.0,0.0
2024-10-13,186.1636253,0.0,0.0
2024-10-14,164.6066542,0.0,0.0
2024-10-15,160.8147848,0.0,0.0
2024-10-16,153.8377966,0.0,0.0
2024-10-17,166.7185262,0.0,0.0
2024-10-18,168.3123599,0.0,0.0
2024-10-19,177.2489081,0.0,0.0
2024-10-20,185.2962804,0.0,0.0
2024-10-21,162.9690337,0.0,0.0
2024-10-22,166.0666811,0.0,0.0
2024-10-23,166.2273945,0.0,0.0
2024-10-24,168.4733021,0.0,0.0
2024-10-25,175.7265606,0.0,0.0
2024-10-26,178.2291432,0.0,0.0
2024-10-27,190.2557619,0.0,0.0
2024-10-28,166.5546544,0.0,0.0
2024-10-29,165.648596,0.0,0.0
2024-10-30,165.5433584,0.0,0.0
2024-11-01,83.16423244,0.0,0.0
2024-11-02,173.5838014,0.0,0.0
2024-11-03,185.4197716,0.0,0.0
2024-11-04,163.9598684,0.0,0.0
2024-11-05,161.469418,0.0,0.0
2024-11-06,163.3710211,0.0,0.0
2024-11-07,161.5263817,0.0,0.0
2024-11-08,167.8478223,0.0,0.0
2024-11-09,166.1457362,0.0,0.0
2024-11-10,185.2618517,0.0,0.0
2024-11-11,171.3885129,0.0,0.0
2024-11-12,165.2068668,0.0,0.0
2024-11-13,165.4662437,0.0,0.0
2024-11-14,163.9462886,0.0,0.0
2024-11-15,170.5061854,0.0,0.0
2024-11-16,173.7199397,0.0,0.0
2024-11-17,181.3564887,0.0,0.0
2024-11-18,161.399213,0.0,0.0
2024-11-19,166.9029432,0.0,0.0
2024-11-20,161.4844708,0.0,0.0
2024-11-21,165.1675157,0.0,0.0
2024-11-22,169.1809854,0.0,0.0
2024-11-23,173.7640773,0.0,0.0
2024-11-24,182.0101049,0.0,0.0
2024-11-25,165.3204809,0.0,0.0
2024-11-26,170.0722405,0.0,0.0
2024-11-27,187.8397509,0.0,0.0
2024-11-28,174.832122,0.0,0.0
2024-11-29,167.4966044,0.0,0.0
2024-11-30,176.0916308,0.0,0.0
2024-12-01,185.0915089,0.0,0.0
2024-12-02,162.6677122,0.0,0.0
2024-12-03,167.8551973,0.0,0.0
2024-12-04,168.5148681,0.0,0.0
2024-12-05,168.1710004,0.0,0.0
2024-12-06,170.1563569,0.0,0.0
2024-12-07,180.5652302,0.0,0.0
2024-12-08,185.0569562,0.0,0.0
