Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,261.3572667,0.0,0.0
2024-10-02,261.733145,0.0,0.0
2024-10-03,229.0348312,0.0,0.0
2024-10-04,222.5265134,0.0,0.0
2024-10-05,294.1504251,0.0,0.0
2024-10-06,314.0808949,0.0,0.0
2024-10-07,260.4265787,0.0,0.0
2024-10-08,261.5126017,0.0,0.0
2024-10-09,263.5791923,0.0,0.0
2024-10-10,269.8904979,0.0,0.0
2024-10-11,275.4787383,0.0,0.0
2024-10-12,294.2228497,0.0,0.0
2024-10-13,311.3212574,0.0,0.0
2024-10-14,262.6425867,0.0,0.0
2024-10-15,248.5896483,0.0,0.0
2024-10-16,241.9074322,0.0,0.0
2024-10-17,258.3497901,0.0,0.0
2024-10-18,268.7738634,0.0,0.0
2024-10-19,293.8480502,0.0,0.0
2024-10-20,314.3151394,0.0,0.0
2024-10-21,258.89951,0.0,0.0
2024-10-22,259.3234409,0.0,0.0
2024-10-23,261.6605652,0.0,0.0
2024-10-24,267.7242733,0.0,0.0
2024-10-25,276.2552083,0.0,0.0
2024-10-26,294.1473362,0.0,0.0
2024-10-27,321.765649,0.0,0.0
2024-10-28,263.3578749,0.0,0.0
2024-10-29,263.4274406,0.0,0.0
2024-10-30,261.5767236,0.0,0.0
2024-11-01,131.5131271,0.0,0.0
2024-11-02,285.981275,0.0,0.0
2024-11-03,307.4871729,0.0,0.0
2024-11-04,256.0140849,0.0,0.0
2024-11-05,252.9639187,0.0,0.0
2024-11-06,255.9408223,0.0,0.0
2024-11-07,259.8314436,0.0,0.0
2024-11-08,266.4540298,0.0,0.0
2024-11-09,294.9500645,0.0,0.0
2024-11-10,310.5012496,0.0,0.0
2024-11-11,264.1621491,0.0,0.0
2024-11-12,255.5843332,0.0,0.0
2024-11-13,259.0980554,0.0,0.0
2024-11-14,258.0447064,0.0,0.0
2024-11-15,265.0944436,0.0,0.0
2024-11-16,285.8859061,0.0,0.0
2024-11-17,299.8350568,0.0,0.0
2024-11-18,255.086418,0.0,0.0
2024-11-19,259.5286497,0.0,0.0
2024-11-20,252.7152345,0.0,0.0
2024-11-21,257.8308662,0.0,0.0
2024-11-22,266.8598757,0.0,0.0
2024-11-23,288.7613558,0.0,0.0
2024-11-24,306.7555513,0.0,0.0
2024-11-25,264.4200515,0.0,0.0
2024-11-26,266.6225092,0.0,0.0
2024-11-27,302.6484502,0.0,0.0
2024-11-28,264.7170166,0.0,0.0
2024-11-29,262.6525241,0.0,0.0
2024-11-30,290.1268234,0.0,0.0
2024-12-01,298.6902999,0.0,0.0
2024-12-02,255.6037335,0.0,0.0
2024-12-03,257.2208018,0.0,0.0
2024-12-04,265.0176574,0.0,0.0
2024-12-05,274.1630415,0.0,0.0
2024-12-06,273.0157333,0.0,0.0
2024-12-07,295.0217751,0.0,0.0
2024-12-08,317.6343339,0.0,0.0
2024-12-09,268.9566045,0.0,0.0
2024-12-10,273.3552424,0.0,0.0
2024-12-11,267.1207892,0.0,0.0
2024-12-12,282.5395149,0.0,0.0
2024-12-13,273.555781,0.0,0.0
2024-12-14,304.2016103,0.0,0.0
2024-12-15,311.6360012,0.0,0.0
2024-12-16,271.7099008,0.0,0.0
2024-12-17,274.2523177,0.0,0.0
2024-12-18,267.7717154,0.0,0.0
2024-12-19,269.6563129,0.0,0.0
2024-12-20,277.5250495,0.0,0.0
2024-12-21,293.898167,0.0,0.0
2024-12-22,293.898167,0.0,0.0
2024-12-23,283.5799126,0.0,0.0
2024-12-24,287.482113,0.0,0.0
2024-12-25,287.482113,0.0,0.0
2024-12-26,295.2530008,0.0,0.0
2024-12-27,291.4187202,0.0,0.0
2024-12-28,311.9275142,0.0,0.0
2024-12-29,322.5796715,0.0,0.0
2024-12-30,296.1535301,0.0,0.0
2024-12-31,296.6658984,0.0,0.0
2025-01-01,328.19,0.0,0.0
2025-01-02,271.37,0.0,0.0
2025-01-03,269.49,0.0,0.0
2025-01-04,282.58,0.0,0.0
2025-01-05,304.27,0.0,0.0
2025-01-06,254.19,0.0,0.0
2025-01-07,249.13,0.0,0.0
2025-01-08,251.36,0.0,0.0
2025-01-09,248.38,0.0,0.0
2025-01-10,259.58,0.0,0.0
2025-01-11,273.17,0.0,0.0
2025-01-12,297.77,0.0,0.0
2025-01-13,245.64,0.0,0.0
2025-01-14,250.99,0.0,0.0
2025-01-15,247.81,0.0,0.0
2025-01-16,247.63,0.0,0.0
2025-01-17,255.91,0.0,0.0
2025-01-18,270.57,0.0,0.0
2025-01-19,294.64,0.0,0.0
2025-01-20,245.79,0.0,0.0
2025-01-21,246.07,0.0,0.0
2025-01-22,244.21,0.0,0.0
2025-01-23,248.89,0.0,0.0
2025-01-24,255.68,0.0,0.0
2025-01-25,268.82,0.0,0.0
2025-01-26,302.5,0.0,0.0
2025-01-27,303.19,0.0,0.0
2025-01-28,281.15,0.0,0.0
2025-01-29,284.33,0.0,0.0
2025-01-30,243.8,0.0,0.0
2025-01-31,250.03,0.0,0.0
2025-02-01,268.58,0.0,0.0
2025-02-02,295.93,0.0,0.0
2025-02-03,241.76,0.0,0.0
2025-02-04,243.04,0.0,0.0
2025-02-05,243.03,0.0,0.0
2025-02-06,246.4,0.0,0.0
2025-02-07,252.51,0.0,0.0
2025-02-08,270.92,0.0,0.0
2025-02-09,287.82,0.0,0.0
2025-02-10,242.97,0.0,0.0
2025-02-11,240.95,0.0,0.0
2025-02-12,242.27,0.0,0.0
2025-02-13,246.88,0.0,0.0
2025-02-14,254.97,0.0,0.0
2025-02-15,271.29,0.0,0.0
2025-02-16,289.91,0.0,0.0
2025-02-17,243.9,0.0,0.0
2025-02-18,242.13,0.0,0.0
2025-02-19,242.14,0.0,0.0
2025-02-20,244.73,0.0,0.0
2025-02-21,254.6,0.0,0.0
2025-02-22,282.08,0.0,0.0
2025-02-23,295.79,0.0,0.0
2025-02-24,251.15,0.0,0.0
2025-02-25,245.09,0.0,0.0
2025-02-26,256.97,0.0,0.0
2025-02-27,263.9,0.0,0.0
2025-02-28,261.61,0.0,0.0
2025-03-01,274.2,0.0,0.0
2025-03-02,293.51,0.0,0.0
2025-03-03,264.45,0.0,0.0
2025-03-04,254.48,0.0,0.0
2025-03-05,262.8,0.0,0.0
2025-03-06,255.51,0.0,0.0
2025-03-07,263.42,0.0,0.0
2025-03-08,287.91,0.0,0.0
2025-03-09,294.16,0.0,0.0
2025-03-10,260.38,0.0,0.0
2025-03-11,254.94,0.0,0.0
2025-03-12,259.82,0.0,0.0
2025-03-13,257.07,0.0,0.0
2025-03-14,264.29,0.0,0.0
2025-03-15,283.62,0.0,0.0
2025-03-16,300.11,0.0,0.0
2025-03-17,268.02,0.0,0.0
2025-03-18,261.88,0.0,0.0
2025-03-19,269.86,0.0,0.0
2025-03-20,267.21,0.0,0.0
2025-03-21,275.91,0.0,0.0
2025-03-22,296.22,0.0,0.0
2025-03-23,308.58,0.0,0.0
2025-03-24,285.9,0.0,0.0
2025-03-25,277.09,0.0,0.0
2025-03-26,296.65,0.0,0.0
2025-03-27,305.9,0.0,0.0
2025-03-28,337.1,0.0,0.0
2025-03-29,338.87,0.0,0.0
2025-03-30,364.86,0.0,0.0
2025-03-31,383.16,0.0,0.0
2025-04-01,390.32,0.0,0.0
2025-04-02,409.93,0.0,0.0
2025-04-03,402.8752109,0.0,0.0
2025-04-04,382.1432757,0.0,0.0
2025-04-05,367.1282998,0.0,0.0
2025-04-06,354.5244523,0.0,0.0
2025-04-07,318.9759317,0.0,0.0
2025-04-08,304.2634822,0.0,0.0
2025-04-09,290.317103,0.0,0.0
2025-04-10,293.6680359,0.0,0.0
2025-04-11,284.3099641,0.0,0.0
2025-04-12,297.5954464,0.0,0.0
2025-04-13,318.7332341,0.0,0.0
2025-04-14,265.9447687,0.0,0.0
2025-04-15,261.5448206,0.0,0.0
2025-04-16,260.4642889,0.0,0.0
2025-04-17,268.2864508,0.0,0.0
2025-04-18,308.1513155,0.0,0.0
2025-04-19,293.291752,0.0,0.0
2025-04-20,308.5830278,0.0,0.0
2025-04-21,267.9028841,0.0,0.0
2025-04-22,262.1810581,0.0,0.0
2025-04-23,261.5864529,0.0,0.0
2025-04-24,265.3591499,0.0,0.0
2025-04-25,272.7101996,0.0,0.0
2025-04-26,293.0706198,0.0,0.0
2025-04-27,312.4208463,0.0,0.0
2025-04-28,260.2494911,0.0,0.0
2025-04-29,260.2202329,0.0,0.0
2025-04-30,266.1135477,0.0,0.0
2025-05-01,298.4175672,0.0,0.0
2025-05-02,248.7042167,0.0,0.0
2025-05-03,290.7117325,0.0,0.0
2025-05-04,313.558216,0.0,0.0
2025-05-05,267.2535861,0.0,0.0
2025-05-06,269.7511765,0.0,0.0
2025-05-07,273.5298598,0.0,0.0
2025-05-08,273.7105994,0.0,0.0
2025-05-09,280.8866095,0.0,0.0
2025-05-10,298.4095264,0.0,0.0
2025-05-11,333.0362958,0.0,0.0
2025-05-12,313.5475008,0.0,0.0
2025-05-13,290.1141715,0.0,0.0
2025-05-14,265.7027529,0.0,0.0
2025-05-15,264.442341,0.0,0.0
2025-05-16,274.1096675,0.0,0.0
2025-05-17,290.9151524,0.0,0.0
2025-05-18,312.5416294,0.0,0.0
2025-05-19,267.4730555,0.0,0.0
2025-05-20,263.2961518,0.0,0.0
2025-05-21,264.351357,0.0,0.0
2025-05-22,272.4408171,0.0,0.0
2025-05-23,269.8014777,0.0,0.0
2025-05-24,291.4080468,0.0,0.0
2025-05-25,309.4991936,0.0,0.0
2025-05-26,263.0444922,0.0,0.0
2025-05-27,258.3846332,0.0,0.0
2025-05-28,264.7341063,0.0,0.0
2025-05-29,299.9731409,0.0,0.0
2025-05-30,286.9210568,0.0,0.0
2025-05-31,300.5404044,0.0,0.0
2025-06-01,303.8502188,0.0,0.0
2025-06-02,261.7809237,0.0,0.0
2025-06-03,262.8942306,0.0,0.0
2025-06-04,266.1546348,0.0,0.0
2025-06-05,288.8058627,0.0,0.0
2025-06-06,324.918321,0.0,0.0
2025-06-07,308.9482324,0.0,0.0
2025-06-08,320.0734462,0.0,0.0
2025-06-09,282.3345187,0.0,0.0
2025-06-10,269.4821723,0.0,0.0
2025-06-11,270.9972291,0.0,0.0
2025-06-12,276.0884682,0.0,0.0
2025-06-13,276.9291168,0.0,0.0
2025-06-14,299.0399328,0.0,0.0
2025-06-15,318.0190977,0.0,0.0
2025-06-16,272.7746044,0.0,0.0
2025-06-17,277.663327,0.0,0.0
2025-06-18,272.9278938,0.0,0.0
2025-06-19,272.1843777,0.0,0.0
2025-06-20,276.372133,0.0,0.0
2025-06-21,299.3609865,0.0,0.0
2025-06-22,321.2591769,0.0,0.0
2025-06-23,282.9548576,0.0,0.0
2025-06-24,283.255339,0.0,0.0
2025-06-25,283.6244678,0.0,0.0
2025-06-26,290.7849791,0.0,0.0
2025-06-27,322.4989912,0.0,0.0
2025-06-28,309.6465395,0.0,0.0
2025-06-29,323.1992497,0.0,0.0
2025-06-30,286.5892942,0.0,0.0
2025-07-01,288.6451289,0.0,0.0
2025-07-02,285.2154997,0.0,0.0
2025-07-03,284.9885642,0.0,0.0
2025-07-04,285.7103038,0.0,0.0
2025-07-05,300.1244758,0.0,0.0
2025-07-06,321.8924689,0.0,0.0
2025-07-07,291.7949029,0.0,0.0
2025-07-08,282.2671493,0.0,0.0
2025-07-09,278.3508425,0.0,0.0
2025-07-10,277.388949,0.0,0.0
2025-07-11,280.2684693,0.0,0.0
2025-07-12,296.144816,0.0,0.0
2025-07-13,306.5806921,0.0,0.0
2025-07-14,266.1365649,0.0,0.0
2025-07-15,267.083091,0.0,0.0
2025-07-16,265.7999809,0.0,0.0
2025-07-17,270.1339191,0.0,0.0
2025-07-18,277.9260956,0.0,0.0
2025-07-19,296.7259909,0.0,0.0
