Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,6.516844137,0.0,0.0
2024-10-02,6.55787943,0.0,0.0
2024-10-03,6.452322386,0.0,0.0
2024-10-04,6.585812751,0.0,0.0
2024-10-05,6.799830645,0.0,0.0
2024-10-06,6.886912406,0.0,0.0
2024-10-07,6.128360813,0.0,0.0
2024-10-08,6.126417876,0.0,0.0
2024-10-09,6.026272879,0.0,0.0
2024-10-10,6.360312556,0.0,0.0
2024-10-11,6.801729682,0.0,0.0
2024-10-12,6.506436997,0.0,0.0
2024-10-13,6.831833162,0.0,0.0
2024-10-14,6.467038304,0.0,0.0
2024-10-15,6.813837459,0.0,0.0
2024-10-16,6.255469949,0.0,0.0
2024-10-17,6.266513074,0.0,0.0
2024-10-18,6.57817088,0.0,0.0
2024-10-19,6.969212224,0.0,0.0
2024-10-20,6.748885424,0.0,0.0
2024-10-21,6.207796598,0.0,0.0
2024-10-22,6.492796695,0.0,0.0
2024-10-23,6.550894277,0.0,0.0
2024-10-24,6.901309774,0.0,0.0
2024-10-25,6.934716576,0.0,0.0
2024-10-26,6.740817723,0.0,0.0
2024-10-27,7.221180838,0.0,0.0
2024-10-28,6.516715211,0.0,0.0
2024-10-29,6.614158685,0.0,0.0
2024-10-30,6.67773743,0.0,0.0
2024-11-01,3.126215508,0.0,0.0
2024-11-02,6.855381175,0.0,0.0
2024-11-03,7.122390747,0.0,0.0
2024-11-04,6.338350592,0.0,0.0
2024-11-05,6.256143146,0.0,0.0
2024-11-06,6.282046611,0.0,0.0
2024-11-07,6.419366516,0.0,0.0
2024-11-08,6.693648739,0.0,0.0
2024-11-09,6.808914387,0.0,0.0
2024-11-10,6.837817143,0.0,0.0
2024-11-11,6.616436934,0.0,0.0
2024-11-12,6.821707598,0.0,0.0
2024-11-13,6.625330608,0.0,0.0
2024-11-14,6.723476265,0.0,0.0
2024-11-15,5.870731241,0.0,0.0
2024-11-16,6.552479001,0.0,0.0
2024-11-17,6.912698333,0.0,0.0
2024-11-18,6.380506943,0.0,0.0
2024-11-19,6.803193408,0.0,0.0
2024-11-20,6.477499777,0.0,0.0
2024-11-21,7.261821858,0.0,0.0
2024-11-22,7.088774384,0.0,0.0
2024-11-23,7.422641266,0.0,0.0
2024-11-24,6.923561041,0.0,0.0
2024-11-25,6.674466674,0.0,0.0
2024-11-26,6.536719401,0.0,0.0
2024-11-27,7.420104459,0.0,0.0
2024-11-28,7.078450019,0.0,0.0
2024-11-29,6.909016605,0.0,0.0
2024-11-30,7.118037095,0.0,0.0
2024-12-01,7.208390953,0.0,0.0
2024-12-02,6.326945873,0.0,0.0
2024-12-03,6.307204955,0.0,0.0
2024-12-04,7.262698786,0.0,0.0
2024-12-05,7.190835846,0.0,0.0
2024-12-06,6.851007952,0.0,0.0
2024-12-07,7.191263634,0.0,0.0
2024-12-08,7.652877584,0.0,0.0
2024-12-09,7.188521265,0.0,0.0
2024-12-10,6.72238213,0.0,0.0
2024-12-11,6.773631499,0.0,0.0
2024-12-12,7.142748979,0.0,0.0
2024-12-13,6.804620766,0.0,0.0
2024-12-14,6.857401532,0.0,0.0
2024-12-15,7.392658371,0.0,0.0
2024-12-16,6.923208306,0.0,0.0
2024-12-17,6.852472049,0.0,0.0
2024-12-18,6.730115214,0.0,0.0
2024-12-19,6.33415691,0.0,0.0
2024-12-20,6.980369741,0.0,0.0
2024-12-21,7.021732289,0.0,0.0
2024-12-22,7.021732289,0.0,0.0
2024-12-23,6.854345647,0.0,0.0
2024-12-24,7.239376383,0.0,0.0
2024-12-25,7.239376383,0.0,0.0
2024-12-26,7.170063478,0.0,0.0
2024-12-27,6.913512182,0.0,0.0
2024-12-28,5.594873602,0.0,0.0
2024-12-29,6.820014953,0.0,0.0
2024-12-30,6.386217289,0.0,0.0
2024-12-31,6.60064005,0.0,0.0
2025-01-01,7.28,0.0,0.0
2025-01-02,6.52,0.0,0.0
2025-01-03,6.55,0.0,0.0
2025-01-04,6.73,0.0,0.0
2025-01-05,6.91,0.0,0.0
2025-01-06,6.36,0.0,0.0
2025-01-07,6.31,0.0,0.0
2025-01-08,6.42,0.0,0.0
2025-01-09,6.12,0.0,0.0
2025-01-10,6.96,0.0,0.0
2025-01-11,6.64,0.0,0.0
2025-01-12,6.59,0.0,0.0
2025-01-13,6.21,0.0,0.0
2025-01-14,5.67,0.0,0.0
2025-01-15,6.39,0.0,0.0
2025-01-16,6.31,0.0,0.0
2025-01-17,6.63,0.0,0.0
2025-01-18,6.38,0.0,0.0
2025-01-19,6.4,0.0,0.0
2025-01-20,6.5,0.0,0.0
2025-01-21,6.41,0.0,0.0
2025-01-22,6.18,0.0,0.0
2025-01-23,6.08,0.0,0.0
2025-01-24,6.05,0.0,0.0
2025-01-25,6.07,0.0,0.0
2025-01-26,6.59,0.0,0.0
2025-01-27,6.06,0.0,0.0
2025-01-28,5.93,0.0,0.0
2025-01-29,6.02,0.0,0.0
2025-01-30,6.09,0.0,0.0
2025-01-31,5.81,0.0,0.0
2025-02-01,5.83,0.0,0.0
2025-02-02,6.05,0.0,0.0
2025-02-03,5.84,0.0,0.0
2025-02-04,6.01,0.0,0.0
2025-02-05,5.68,0.0,0.0
2025-02-06,6.31,0.0,0.0
2025-02-07,6.29,0.0,0.0
2025-02-08,6.43,0.0,0.0
2025-02-09,6.1,0.0,0.0
2025-02-10,6.0,0.0,0.0
2025-02-11,5.98,0.0,0.0
2025-02-12,5.98,0.0,0.0
2025-02-13,5.9,0.0,0.0
2025-02-14,6.13,0.0,0.0
2025-02-15,5.78,0.0,0.0
2025-02-16,6.14,0.0,0.0
2025-02-17,5.99,0.0,0.0
2025-02-18,5.85,0.0,0.0
2025-02-19,5.83,0.0,0.0
2025-02-20,6.02,0.0,0.0
2025-02-21,6.08,0.0,0.0
2025-02-22,6.34,0.0,0.0
2025-02-23,6.41,0.0,0.0
2025-02-24,6.31,0.0,0.0
2025-02-25,6.37,0.0,0.0
2025-02-26,6.33,0.0,0.0
2025-02-27,6.29,0.0,0.0
2025-02-28,6.19,0.0,0.0
2025-03-01,6.03,0.0,0.0
2025-03-02,6.65,0.0,0.0
2025-03-03,6.38,0.0,0.0
2025-03-04,6.16,0.0,0.0
2025-03-05,6.61,0.0,0.0
2025-03-06,6.52,0.0,0.0
2025-03-07,6.46,0.0,0.0
2025-03-08,6.91,0.0,0.0
2025-03-09,7.21,0.0,0.0
2025-03-10,6.78,0.0,0.0
2025-03-11,6.92,0.0,0.0
2025-03-12,7.13,0.0,0.0
2025-03-13,7.41,0.0,0.0
2025-03-14,7.38,0.0,0.0
2025-03-15,7.43,0.0,0.0
2025-03-16,7.51,0.0,0.0
2025-03-17,7.31,0.0,0.0
2025-03-18,7.4,0.0,0.0
2025-03-19,7.31,0.0,0.0
2025-03-20,7.56,0.0,0.0
2025-03-21,7.43,0.0,0.0
2025-03-22,7.85,0.0,0.0
2025-03-23,8.15,0.0,0.0
2025-03-24,7.99,0.0,0.0
2025-03-25,7.87,0.0,0.0
2025-03-26,8.14,0.0,0.0
2025-03-27,8.08,0.0,0.0
2025-03-28,8.24,0.0,0.0
2025-03-29,8.58,0.0,0.0
2025-03-30,8.54,0.0,0.0
2025-03-31,7.99,0.0,0.0
2025-04-01,7.77,0.0,0.0
2025-04-02,8.39,0.0,0.0
2025-04-03,8.595116799,0.0,0.0
2025-04-04,8.403859235,0.0,0.0
2025-04-05,7.852662821,0.0,0.0
2025-04-06,8.163376857,0.0,0.0
2025-04-07,8.050588069,0.0,0.0
2025-04-08,8.079304994,0.0,0.0
2025-04-09,8.270323886,0.0,0.0
2025-04-10,8.273523921,0.0,0.0
2025-04-11,8.106625376,0.0,0.0
2025-04-12,8.082411661,0.0,0.0
2025-04-13,8.297000418,0.0,0.0
2025-04-14,7.984997636,0.0,0.0
2025-04-15,7.534291309,0.0,0.0
2025-04-16,7.65276688,0.0,0.0
2025-04-17,8.201516938,0.0,0.0
2025-04-18,8.624147913,0.0,0.0
2025-04-19,8.258942869,0.0,0.0
2025-04-20,7.976492926,0.0,0.0
2025-04-21,7.722031884,0.0,0.0
2025-04-22,7.925730301,0.0,0.0
2025-04-23,7.79099806,0.0,0.0
2025-04-24,8.145523532,0.0,0.0
2025-04-25,8.262809965,0.0,0.0
2025-04-26,8.751172111,0.0,0.0
2025-04-27,8.734180533,0.0,0.0
2025-04-28,8.05130191,0.0,0.0
2025-04-29,8.364344108,0.0,0.0
2025-04-30,8.3393356,0.0,0.0
2025-05-01,8.718919766,0.0,0.0
2025-05-02,8.402941924,0.0,0.0
2025-05-03,8.607192575,0.0,0.0
2025-05-04,8.727563198,0.0,0.0
2025-05-05,8.624005661,0.0,0.0
2025-05-06,8.888443369,0.0,0.0
2025-05-07,9.172209167,0.0,0.0
2025-05-08,8.936140422,0.0,0.0
2025-05-09,9.216624894,0.0,0.0
2025-05-10,9.156785752,0.0,0.0
2025-05-11,9.638594243,0.0,0.0
2025-05-12,9.062354203,0.0,0.0
2025-05-13,9.008813988,0.0,0.0
2025-05-14,8.977352341,0.0,0.0
2025-05-15,8.865016106,0.0,0.0
2025-05-16,9.067059789,0.0,0.0
2025-05-17,9.036422529,0.0,0.0
2025-05-18,9.200223357,0.0,0.0
2025-05-19,9.031217172,0.0,0.0
2025-05-20,9.001288443,0.0,0.0
2025-05-21,9.192228136,0.0,0.0
2025-05-22,9.551753767,0.0,0.0
2025-05-23,9.477655386,0.0,0.0
2025-05-24,9.323367455,0.0,0.0
2025-05-25,9.556451779,0.0,0.0
2025-05-26,9.09818897,0.0,0.0
2025-05-27,9.167507213,0.0,0.0
2025-05-28,9.205990093,0.0,0.0
2025-05-29,9.413767384,0.0,0.0
2025-05-30,9.236152585,0.0,0.0
2025-05-31,9.149531862,0.0,0.0
2025-06-01,9.289125318,0.0,0.0
2025-06-02,9.101066858,0.0,0.0
2025-06-03,9.020735051,0.0,0.0
2025-06-04,9.115445366,0.0,0.0
2025-06-05,9.384850869,0.0,0.0
2025-06-06,9.539202437,0.0,0.0
2025-06-07,8.965793135,0.0,0.0
2025-06-08,8.950185845,0.0,0.0
2025-06-09,9.39590158,0.0,0.0
2025-06-10,9.476547897,0.0,0.0
2025-06-11,9.461841564,0.0,0.0
2025-06-12,9.688435903,0.0,0.0
2025-06-13,9.80493261,0.0,0.0
2025-06-14,9.627994188,0.0,0.0
2025-06-15,9.671180151,0.0,0.0
2025-06-16,8.932806532,0.0,0.0
2025-06-17,9.046088144,0.0,0.0
2025-06-18,9.034509484,0.0,0.0
2025-06-19,8.994005306,0.0,0.0
2025-06-20,9.360167395,0.0,0.0
2025-06-21,9.0360508,0.0,0.0
2025-06-22,9.405102821,0.0,0.0
2025-06-23,8.973396549,0.0,0.0
2025-06-24,9.016353849,0.0,0.0
2025-06-25,9.246281572,0.0,0.0
2025-06-26,9.353291752,0.0,0.0
2025-06-27,9.66332801,0.0,0.0
2025-06-28,9.316554618,0.0,0.0
2025-06-29,9.498022092,0.0,0.0
2025-06-30,9.214246107,0.0,0.0
2025-07-01,9.287040329,0.0,0.0
2025-07-02,9.281160969,0.0,0.0
2025-07-03,9.161069516,0.0,0.0
2025-07-04,9.340889222,0.0,0.0
2025-07-05,9.130743158,0.0,0.0
2025-07-06,9.492619174,0.0,0.0
2025-07-07,9.205406146,0.0,0.0
2025-07-08,9.057430179,0.0,0.0
2025-07-09,9.20011899,0.0,0.0
2025-07-10,9.145454399,0.0,0.0
2025-07-11,8.176996133,0.0,0.0
2025-07-12,8.610870977,0.0,0.0
2025-07-13,8.986943443,0.0,0.0
2025-07-14,9.030805069,0.0,0.0
2025-07-15,9.179262543,0.0,0.0
2025-07-16,9.023772054,0.0,0.0
2025-07-17,9.130621035,0.0,0.0
2025-07-18,9.488512069,0.0,0.0
2025-07-19,8.943747592,0.0,0.0
2025-07-20,8.028173226,0.0,0.0
2025-07-21,9.407589519,0.0,0.0
2025-07-22,9.498232632,0.0,0.0
2025-07-23,9.413159279,0.0,0.0
2025-07-24,9.597946272,0.0,0.0
2025-07-25,10.22670603,0.0,0.0
2025-07-26,9.821124781,0.0,0.0
2025-07-27,10.08462721,0.0,0.0
2025-07-28,9.355596757,0.0,0.0
2025-07-29,9.914181878,0.0,0.0
2025-07-30,9.682102934,0.0,0.0
2025-07-31,8.618855751,0.0,0.0
2025-08-01,9.512174338,0.0,0.0
2025-08-02,9.124375025,0.0,0.0
2025-08-03,9.803232799,0.0,0.0
2025-08-04,9.074041218,0.0,0.0
2025-08-05,9.297788792,0.0,0.0
2025-08-06,9.528845909,0.0,0.0
2025-08-07,9.58771363,0.0,0.0
2025-08-08,9.891395997,0.0,0.0
2025-08-09,9.956546377,0.0,0.0
2025-08-10,10.35916188,0.0,0.0
2025-08-11,9.417435363,0.0,0.0
2025-08-12,9.671282341,0.0,0.0
2025-08-13,9.295260735,0.0,0.0
2025-08-14,9.849652797,0.0,0.0
2025-08-15,9.858731202,0.0,0.0
2025-08-16,10.12756741,0.0,0.0
2025-08-17,10.7309619,0.0,0.0
2025-08-18,10.16662358,0.0,0.0
2025-08-19,9.541240933,0.0,0.0
2025-08-20,9.234761941,0.0,0.0
2025-08-21,9.488192601,0.0,0.0
2025-08-22,9.620700574,0.0,0.0
2025-08-23,9.711154748,0.0,0.0
2025-08-24,10.40925457,0.0,0.0
2025-08-25,9.757176672,0.0,0.0
2025-08-26,9.636621826,0.0,0.0
2025-08-27,9.609049534,0.0,0.0
2025-08-28,9.205524602,0.0,0.0
2025-08-29,10.18481829,0.0,0.0
2025-08-30,10.90525712,0.0,0.0
2025-08-31,10.71734539,0.0,0.0
2025-09-01,10.20416092,0.0,0.0
2025-09-02,9.840548485,0.0,0.0
2025-09-03,9.959156246,0.0,0.0
2025-09-04,10.13224103,0.0,0.0
2025-09-05,11.04723968,0.0,0.0
2025-09-06,10.80644534,0.0,0.0
2025-09-07,10.87219415,0.0,0.0
2025-09-08,10.62577397,0.0,0.0
2025-09-09,10.90958009,0.0,0.0
2025-09-10,10.48009456,0.0,0.0
2025-09-11,10.59449964,0.0,0.0
2025-09-12,10.84251981,0.0,0.0
2025-09-13,11.23475346,0.0,0.0
2025-09-14,11.45800019,0.0,0.0
2025-09-15,10.66852682,0.0,0.0
2025-09-16,11.13413063,0.0,0.0
2025-09-17,10.91804034,0.0,0.0
2025-09-18,10.60157478,0.0,0.0
2025-09-19,11.11207171,0.0,0.0
2025-09-20,11.30072933,0.0,0.0
2025-09-21,13.91560871,0.0,0.0
2025-09-22,11.06495621,0.0,0.0
2025-09-23,11.11292144,0.0,0.0
2025-09-24,11.62280186,0.0,0.0
2025-09-25,11.0589272,0.0,0.0
2025-09-26,11.06479384,0.0,0.0
2025-09-27,11.51491048,0.0,0.0
2025-09-28,11.74255328,0.0,0.0
2025-09-29,10.75347492,0.0,0.0
2025-09-30,10.93549659,0.0,0.0
2025-10-01,10.68993684,0.0,0.0
2025-10-02,10.74351602,0.0,0.0
2025-10-03,11.07105217,0.0,0.0
2025-10-04,11.25119014,0.0,0.0
2025-10-05,12.00513732,0.0,0.0
2025-10-06,10.82562133,0.0,0.0
2025-10-07,11.09896361,0.0,0.0
2025-10-08,11.1065179,0.0,0.0
2025-10-09,12.82249413,0.0,0.0
2025-10-10,11.40147657,0.0,0.0
2025-10-11,11.37748203,0.0,0.0
2025-10-12,12.06337986,0.0,0.0
2025-10-13,11.12075059,0.0,0.0
2025-10-14,11.45848971,0.0,0.0
2025-10-15,11.05943434,0.0,0.0
2025-10-16,10.54452675,0.0,0.0
2025-10-17,11.09584666,0.0,0.0
