Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,37.05955191,0.0,0.0
2024-10-02,36.86741172,0.0,0.0
2024-10-03,36.89025464,0.0,0.0
2024-10-04,37.3386478,0.0,0.0
2024-10-05,37.93072245,0.0,0.0
2024-10-06,37.61531297,0.0,0.0
2024-10-07,35.84461282,0.0,0.0
2024-10-08,35.71559337,0.0,0.0
2024-10-09,36.54359637,0.0,0.0
2024-10-10,37.75697471,0.0,0.0
2024-10-11,38.12376067,0.0,0.0
2024-10-12,37.9316589,0.0,0.0
2024-10-13,37.61122313,0.0,0.0
2024-10-14,36.63383907,0.0,0.0
2024-10-15,37.12479101,0.0,0.0
2024-10-16,36.50794647,0.0,0.0
2024-10-17,36.88992704,0.0,0.0
2024-10-18,37.60952148,0.0,0.0
2024-10-19,37.70873961,0.0,0.0
2024-10-20,38.30797466,0.0,0.0
2024-10-21,36.9375612,0.0,0.0
2024-10-22,37.31591237,0.0,0.0
2024-10-23,37.67415689,0.0,0.0
2024-10-24,38.04131157,0.0,0.0
2024-10-25,38.47208939,0.0,0.0
2024-10-26,37.84809083,0.0,0.0
2024-10-27,38.73708249,0.0,0.0
2024-10-28,37.04833668,0.0,0.0
2024-10-29,37.46097523,0.0,0.0
2024-10-30,37.13168551,0.0,0.0
2024-11-01,17.74533646,0.0,0.0
2024-11-02,37.64831625,0.0,0.0
2024-11-03,37.55604946,0.0,0.0
2024-11-04,36.58717284,0.0,0.0
2024-11-05,36.70672479,0.0,0.0
2024-11-06,36.94876073,0.0,0.0
2024-11-07,36.6320553,0.0,0.0
2024-11-08,37.20885088,0.0,0.0
2024-11-09,37.73104703,0.0,0.0
2024-11-10,38.24541082,0.0,0.0
2024-11-11,36.84830915,0.0,0.0
2024-11-12,36.20865075,0.0,0.0
2024-11-13,36.63887668,0.0,0.0
2024-11-14,35.75055282,0.0,0.0
2024-11-15,37.09137955,0.0,0.0
2024-11-16,36.90253502,0.0,0.0
2024-11-17,37.09249585,0.0,0.0
2024-11-18,36.45862805,0.0,0.0
2024-11-19,36.9027455,0.0,0.0
2024-11-20,36.27512938,0.0,0.0
2024-11-21,37.34817012,0.0,0.0
2024-11-22,37.83621519,0.0,0.0
2024-11-23,37.71243718,0.0,0.0
2024-11-24,37.5178573,0.0,0.0
2024-11-25,36.86632789,0.0,0.0
2024-11-26,38.04858492,0.0,0.0
2024-11-27,38.68302295,0.0,0.0
2024-11-28,37.41029208,0.0,0.0
2024-11-29,37.20707509,0.0,0.0
2024-11-30,37.08292295,0.0,0.0
2024-12-01,36.81502281,0.0,0.0
2024-12-02,36.18109222,0.0,0.0
2024-12-03,36.48218091,0.0,0.0
2024-12-04,36.64236075,0.0,0.0
2024-12-05,37.19879296,0.0,0.0
2024-12-06,38.25130633,0.0,0.0
2024-12-07,41.60511831,0.0,0.0
2024-12-08,39.88750911,0.0,0.0
2024-12-09,37.99114123,0.0,0.0
2024-12-10,38.44277503,0.0,0.0
2024-12-11,37.97007207,0.0,0.0
2024-12-12,38.72597721,0.0,0.0
2024-12-13,38.06044027,0.0,0.0
2024-12-14,39.28478406,0.0,0.0
2024-12-15,38.34821514,0.0,0.0
2024-12-16,37.41806477,0.0,0.0
2024-12-17,37.6789825,0.0,0.0
2024-12-18,36.76492631,0.0,0.0
2024-12-19,36.89661476,0.0,0.0
2024-12-20,37.45740745,0.0,0.0
2024-12-21,38.50493252,0.0,0.0
2024-12-22,38.50493252,0.0,0.0
2024-12-23,37.1778339,0.0,0.0
2024-12-24,37.61411437,0.0,0.0
2024-12-25,37.61411437,0.0,0.0
2024-12-26,36.98042469,0.0,0.0
2024-12-27,37.68516984,0.0,0.0
