Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,65.63993912,0.0,0.0
2024-10-02,64.52246343,0.0,0.0
2024-10-03,61.75609137,0.0,0.0
2024-10-04,66.25468108,0.0,0.0
2024-10-05,67.12829949,0.0,0.0
2024-10-06,67.39702266,0.0,0.0
2024-10-07,62.76555178,0.0,0.0
2024-10-08,64.26875388,0.0,0.0
2024-10-09,66.08010913,0.0,0.0
2024-10-10,69.4985543,0.0,0.0
2024-10-11,71.81884297,0.0,0.0
2024-10-12,69.96065086,0.0,0.0
2024-10-13,73.76666854,0.0,0.0
2024-10-14,65.61865864,0.0,0.0
2024-10-15,66.54388904,0.0,0.0
2024-10-16,62.4424448,0.0,0.0
2024-10-17,66.47851975,0.0,0.0
2024-10-18,69.80720977,0.0,0.0
2024-10-19,67.78904261,0.0,0.0
2024-10-20,69.1996674,0.0,0.0
2024-10-21,63.40318881,0.0,0.0
2024-10-22,67.29114344,0.0,0.0
2024-10-23,66.68789606,0.0,0.0
2024-10-24,68.06648852,0.0,0.0
2024-10-25,73.42958124,0.0,0.0
2024-10-26,69.00153392,0.0,0.0
2024-10-27,71.59765093,0.0,0.0
2024-10-28,65.58582104,0.0,0.0
2024-10-29,66.1253737,0.0,0.0
2024-10-30,65.6545057,0.0,0.0
2024-11-01,33.25971247,0.0,0.0
2024-11-02,66.15295498,0.0,0.0
2024-11-03,69.08091885,0.0,0.0
2024-11-04,63.10728922,0.0,0.0
2024-11-05,63.66424263,0.0,0.0
2024-11-06,63.23477617,0.0,0.0
2024-11-07,63.43731678,0.0,0.0
2024-11-08,68.06110528,0.0,0.0
2024-11-09,66.25303549,0.0,0.0
2024-11-10,67.92067808,0.0,0.0
2024-11-11,65.79335879,0.0,0.0
2024-11-12,63.65047912,0.0,0.0
2024-11-13,64.20218201,0.0,0.0
2024-11-14,64.73019435,0.0,0.0
2024-11-15,68.73749556,0.0,0.0
2024-11-16,67.1596343,0.0,0.0
2024-11-17,66.45680577,0.0,0.0
2024-11-18,63.54057268,0.0,0.0
2024-11-19,64.94309313,0.0,0.0
2024-11-20,65.05070381,0.0,0.0
2024-11-21,66.34769011,0.0,0.0
2024-11-22,70.12420718,0.0,0.0
2024-11-23,67.65703567,0.0,0.0
2024-11-24,68.9534416,0.0,0.0
2024-11-25,66.91773184,0.0,0.0
2024-11-26,67.92397222,0.0,0.0
2024-11-27,72.46638466,0.0,0.0
2024-11-28,67.45050237,0.0,0.0
2024-11-29,73.61197841,0.0,0.0
2024-11-30,70.69890134,0.0,0.0
2024-12-01,71.81714929,0.0,0.0
2024-12-02,69.32826701,0.0,0.0
2024-12-03,69.4745991,0.0,0.0
