Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,490.7393797,0.0,0.0
2024-10-02,488.9957324,0.0,0.0
2024-10-03,467.2662757,0.0,0.0
2024-10-04,481.6479047,0.0,0.0
2024-10-05,509.2095493,0.0,0.0
2024-10-06,503.8810388,0.0,0.0
2024-10-07,473.8510589,0.0,0.0
2024-10-08,487.6633408,0.0,0.0
2024-10-09,490.4345712,0.0,0.0
2024-10-10,505.8548316,0.0,0.0
2024-10-11,514.8474845,0.0,0.0
2024-10-12,506.4424975,0.0,0.0
2024-10-13,508.8002342,0.0,0.0
2024-10-14,482.5136333,0.0,0.0
2024-10-15,496.806798,0.0,0.0
2024-10-16,462.7226142,0.0,0.0
2024-10-17,482.6006418,0.0,0.0
2024-10-18,493.6164459,0.0,0.0
2024-10-19,504.4813839,0.0,0.0
2024-10-20,513.7700577,0.0,0.0
2024-10-21,465.3511492,0.0,0.0
2024-10-22,496.2053249,0.0,0.0
2024-10-23,499.4548669,0.0,0.0
2024-10-24,509.5876889,0.0,0.0
2024-10-25,515.6711357,0.0,0.0
2024-10-26,514.3480571,0.0,0.0
2024-10-27,528.9856332,0.0,0.0
2024-10-28,486.7868802,0.0,0.0
2024-10-29,501.7511954,0.0,0.0
2024-10-30,503.2662773,0.0,0.0
2024-11-01,253.1887421,0.0,0.0
2024-11-02,498.4243885,0.0,0.0
2024-11-03,495.3911015,0.0,0.0
2024-11-04,476.8602336,0.0,0.0
2024-11-05,482.0322868,0.0,0.0
2024-11-06,483.7151012,0.0,0.0
2024-11-07,482.4850784,0.0,0.0
2024-11-08,492.116365,0.0,0.0
2024-11-09,501.3173305,0.0,0.0
2024-11-10,508.8147709,0.0,0.0
2024-11-11,486.6416656,0.0,0.0
2024-11-12,488.8670854,0.0,0.0
2024-11-13,495.705864,0.0,0.0
2024-11-14,492.6455423,0.0,0.0
2024-11-15,502.6944311,0.0,0.0
2024-11-16,506.2713348,0.0,0.0
2024-11-17,497.7054784,0.0,0.0
2024-11-18,477.2369284,0.0,0.0
2024-11-19,500.5553247,0.0,0.0
2024-11-20,484.438011,0.0,0.0
2024-11-21,495.3745998,0.0,0.0
2024-11-22,502.7684382,0.0,0.0
2024-11-23,505.703723,0.0,0.0
2024-11-24,502.6173516,0.0,0.0
2024-11-25,479.8531381,0.0,0.0
2024-11-26,477.9663961,0.0,0.0
2024-11-27,498.6900245,0.0,0.0
2024-11-28,478.8418979,0.0,0.0
2024-11-29,480.7852298,0.0,0.0
2024-11-30,506.4353318,0.0,0.0
2024-12-01,501.280037,0.0,0.0
2024-12-02,475.0411856,0.0,0.0
2024-12-03,489.2091719,0.0,0.0
2024-12-04,491.6581445,0.0,0.0
2024-12-05,501.757247,0.0,0.0
2024-12-06,504.0985369,0.0,0.0
2024-12-07,515.8894667,0.0,0.0
2024-12-08,518.7158297,0.0,0.0
2024-12-09,490.7385965,0.0,0.0
2024-12-10,501.3850768,0.0,0.0
2024-12-11,509.0927938,0.0,0.0
2024-12-12,524.1794544,0.0,0.0
2024-12-13,503.946587,0.0,0.0
2024-12-14,517.7138958,0.0,0.0
2024-12-15,519.3030935,0.0,0.0
2024-12-16,488.1930093,0.0,0.0
2024-12-17,496.2433431,0.0,0.0
2024-12-18,507.0793553,0.0,0.0
2024-12-19,498.9401698,0.0,0.0
2024-12-20,497.0790561,0.0,0.0
