Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,68.74139831,0.0,0.0
2024-10-02,68.39817404,0.0,0.0
2024-10-03,60.04969998,0.0,0.0
2024-10-04,59.37565981,0.0,0.0
2024-10-05,75.02484801,0.0,0.0
2024-10-06,78.64741229,0.0,0.0
2024-10-07,66.81405799,0.0,0.0
2024-10-08,67.35252183,0.0,0.0
2024-10-09,68.40263947,0.0,0.0
2024-10-10,70.70141036,0.0,0.0
2024-10-11,72.24034822,0.0,0.0
2024-10-12,77.42681278,0.0,0.0
2024-10-13,80.17677374,0.0,0.0
2024-10-14,69.67165616,0.0,0.0
2024-10-15,64.96956754,0.0,0.0
2024-10-16,62.90744125,0.0,0.0
2024-10-17,67.42249113,0.0,0.0
2024-10-18,70.83056426,0.0,0.0
2024-10-19,76.03258586,0.0,0.0
2024-10-20,81.11072652,0.0,0.0
2024-10-21,67.4163963,0.0,0.0
2024-10-22,67.71029629,0.0,0.0
2024-10-23,68.13576519,0.0,0.0
2024-10-24,70.08609859,0.0,0.0
2024-10-25,72.94284233,0.0,0.0
2024-10-26,75.91247082,0.0,0.0
2024-10-27,81.36643217,0.0,0.0
2024-10-28,69.06164461,0.0,0.0
2024-10-29,69.23395886,0.0,0.0
2024-10-30,68.9259915,0.0,0.0
2024-11-01,34.1538089,0.0,0.0
2024-11-02,73.59688945,0.0,0.0
2024-11-03,77.28302573,0.0,0.0
2024-11-04,66.82023424,0.0,0.0
2024-11-05,65.94966463,0.0,0.0
2024-11-06,67.16510019,0.0,0.0
2024-11-07,66.65765583,0.0,0.0
2024-11-08,68.74394736,0.0,0.0
2024-11-09,75.0579789,0.0,0.0
2024-11-10,79.18154524,0.0,0.0
2024-11-11,68.27050301,0.0,0.0
2024-11-12,67.15933918,0.0,0.0
2024-11-13,67.57929826,0.0,0.0
2024-11-14,66.76281728,0.0,0.0
2024-11-15,68.26981622,0.0,0.0
2024-11-16,72.40662985,0.0,0.0
2024-11-17,77.09912043,0.0,0.0
2024-11-18,63.15942565,0.0,0.0
2024-11-19,67.84815317,0.0,0.0
2024-11-20,67.13413893,0.0,0.0
2024-11-21,68.19898676,0.0,0.0
2024-11-22,68.66955216,0.0,0.0
2024-11-23,73.61983409,0.0,0.0
2024-11-24,77.61674565,0.0,0.0
2024-11-25,68.9694793,0.0,0.0
2024-11-26,68.18104214,0.0,0.0
2024-11-27,76.03286114,0.0,0.0
2024-11-28,68.72554937,0.0,0.0
2024-11-29,67.60619076,0.0,0.0
2024-11-30,74.20304379,0.0,0.0
2024-12-01,75.2930375,0.0,0.0
2024-12-02,64.67222726,0.0,0.0
2024-12-03,65.79159372,0.0,0.0
2024-12-04,67.21687505,0.0,0.0
2024-12-05,70.17603039,0.0,0.0
2024-12-06,70.68713533,0.0,0.0
2024-12-07,74.18079455,0.0,0.0
2024-12-08,76.88309722,0.0,0.0
2024-12-09,68.18662374,0.0,0.0
2024-12-10,67.64331695,0.0,0.0
2024-12-11,67.30337407,0.0,0.0
2024-12-12,74.47206997,0.0,0.0
2024-12-13,69.19364826,0.0,0.0
2024-12-14,76.78067833,0.0,0.0
2024-12-15,78.374741,0.0,0.0
2024-12-16,67.69322202,0.0,0.0
2024-12-17,67.60483559,0.0,0.0
2024-12-18,68.06332514,0.0,0.0
2024-12-19,68.17363542,0.0,0.0
2024-12-20,69.25556783,0.0,0.0
2024-12-21,72.84167176,0.0,0.0
2024-12-22,72.84167176,0.0,0.0
2024-12-23,69.22496387,0.0,0.0
2024-12-24,72.28092572,0.0,0.0
2024-12-25,72.28092572,0.0,0.0
2024-12-26,76.90836911,0.0,0.0
2024-12-27,72.04717299,0.0,0.0
2024-12-28,76.38890587,0.0,0.0
2024-12-29,80.21729384,0.0,0.0
2024-12-30,72.56121463,0.0,0.0
2024-12-31,73.08465831,0.0,0.0
2025-01-01,78.91,0.0,0.0
2025-01-02,67.28,0.0,0.0
2025-01-03,67.02,0.0,0.0
2025-01-04,69.96,0.0,0.0
2025-01-05,74.97,0.0,0.0
2025-01-06,62.38,0.0,0.0
2025-01-07,62.53,0.0,0.0
2025-01-08,62.06,0.0,0.0
2025-01-09,62.86,0.0,0.0
2025-01-10,65.38,0.0,0.0
2025-01-11,69.41,0.0,0.0
2025-01-12,74.27,0.0,0.0
2025-01-13,61.77,0.0,0.0
2025-01-14,62.82,0.0,0.0
2025-01-15,61.42,0.0,0.0
2025-01-16,61.48,0.0,0.0
2025-01-17,63.25,0.0,0.0
