Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,28.9752943,0.0,0.0
2024-10-02,28.90873273,0.0,0.0
2024-10-03,29.44247443,0.0,0.0
2024-10-04,29.43877168,0.0,0.0
2024-10-05,30.67794917,0.0,0.0
2024-10-06,31.75607791,0.0,0.0
2024-10-07,28.58260557,0.0,0.0
2024-10-08,28.75879751,0.0,0.0
2024-10-09,29.34298613,0.0,0.0
2024-10-10,30.30002386,0.0,0.0
2024-10-11,30.15594226,0.0,0.0
2024-10-12,30.63346778,0.0,0.0
2024-10-13,31.30833616,0.0,0.0
2024-10-14,29.38904626,0.0,0.0
2024-10-15,29.73783727,0.0,0.0
2024-10-16,28.74355387,0.0,0.0
2024-10-17,29.18025197,0.0,0.0
2024-10-18,29.81397086,0.0,0.0
2024-10-19,30.29990861,0.0,0.0
2024-10-20,31.46680328,0.0,0.0
2024-10-21,28.80575364,0.0,0.0
2024-10-22,28.69196677,0.0,0.0
2024-10-23,28.41567285,0.0,0.0
2024-10-24,28.93587199,0.0,0.0
2024-10-25,29.37711017,0.0,0.0
2024-10-26,30.25488357,0.0,0.0
2024-10-27,32.25270707,0.0,0.0
2024-10-28,28.93597787,0.0,0.0
2024-10-29,29.17495118,0.0,0.0
2024-10-30,30.08647734,0.0,0.0
2024-11-01,14.35762037,0.0,0.0
2024-11-02,30.06072479,0.0,0.0
2024-11-03,30.45569104,0.0,0.0
2024-11-04,28.89090305,0.0,0.0
2024-11-05,28.79522338,0.0,0.0
2024-11-06,29.69258602,0.0,0.0
2024-11-07,29.25624987,0.0,0.0
2024-11-08,29.45527063,0.0,0.0
2024-11-09,30.44226309,0.0,0.0
2024-11-10,31.51177601,0.0,0.0
2024-11-11,29.3224814,0.0,0.0
2024-11-12,29.17909052,0.0,0.0
2024-11-13,29.04129379,0.0,0.0
2024-11-14,29.49271424,0.0,0.0
2024-11-15,29.88406219,0.0,0.0
2024-11-16,30.77028816,0.0,0.0
2024-11-17,31.37666651,0.0,0.0
2024-11-18,28.69239088,0.0,0.0
2024-11-19,29.39641585,0.0,0.0
2024-11-20,28.34779398,0.0,0.0
2024-11-21,28.6935417,0.0,0.0
2024-11-22,29.13886529,0.0,0.0
2024-11-23,29.77697503,0.0,0.0
2024-11-24,31.04038611,0.0,0.0
2024-11-25,29.68573326,0.0,0.0
2024-11-26,30.30764157,0.0,0.0
2024-11-27,32.02048349,0.0,0.0
2024-11-28,30.30631024,0.0,0.0
2024-11-29,30.29380377,0.0,0.0
2024-11-30,30.67665621,0.0,0.0
2024-12-01,30.80781172,0.0,0.0
2024-12-02,27.67417881,0.0,0.0
2024-12-03,26.85551163,0.0,0.0
2024-12-04,30.06545986,0.0,0.0
2024-12-05,30.87962997,0.0,0.0
2024-12-06,29.6135273,0.0,0.0
2024-12-07,30.54079081,0.0,0.0
2024-12-08,31.42691765,0.0,0.0
2024-12-09,29.47148083,0.0,0.0
2024-12-10,29.61027791,0.0,0.0
2024-12-11,30.74966907,0.0,0.0
2024-12-12,28.92816809,0.0,0.0
2024-12-13,30.29781557,0.0,0.0
2024-12-14,30.44709767,0.0,0.0
2024-12-15,32.98657161,0.0,0.0
2024-12-16,29.1900731,0.0,0.0
2024-12-17,29.25555719,0.0,0.0
2024-12-18,30.04455628,0.0,0.0
2024-12-19,31.19961039,0.0,0.0
2024-12-20,29.50234329,0.0,0.0
2024-12-21,31.77794923,0.0,0.0
2024-12-22,31.77794923,0.0,0.0
2024-12-23,32.59100399,0.0,0.0
2024-12-24,30.3371948,0.0,0.0
2024-12-25,30.3371948,0.0,0.0
2024-12-26,32.72549002,0.0,0.0
2024-12-27,32.1477088,0.0,0.0
2024-12-28,32.65928663,0.0,0.0
2024-12-29,34.33516773,0.0,0.0
2024-12-30,31.3390194,0.0,0.0
2024-12-31,31.54290427,0.0,0.0
2025-01-01,32.07,0.0,0.0
2025-01-02,32.06,0.0,0.0
2025-01-03,32.0,0.0,0.0
2025-01-04,31.18,0.0,0.0
2025-01-05,30.83,0.0,0.0
2025-01-06,28.96,0.0,0.0
2025-01-07,30.0,0.0,0.0
2025-01-08,29.7,0.0,0.0
2025-01-09,29.42,0.0,0.0
2025-01-10,29.85,0.0,0.0
2025-01-11,30.62,0.0,0.0
2025-01-12,31.13,0.0,0.0
2025-01-13,29.92,0.0,0.0
2025-01-14,29.63,0.0,0.0
2025-01-15,31.45,0.0,0.0
2025-01-16,27.92,0.0,0.0
2025-01-17,29.39,0.0,0.0
2025-01-18,29.69,0.0,0.0
2025-01-19,30.98,0.0,0.0
2025-01-20,27.75,0.0,0.0
2025-01-21,27.85,0.0,0.0
2025-01-22,29.1,0.0,0.0
2025-01-23,28.18,0.0,0.0
2025-01-24,27.98,0.0,0.0
2025-01-25,24.06,0.0,0.0
2025-01-26,30.77,0.0,0.0
2025-01-27,31.18,0.0,0.0
2025-01-28,28.51,0.0,0.0
2025-01-29,30.6,0.0,0.0
2025-01-30,29.14,0.0,0.0
2025-01-31,31.32,0.0,0.0
2025-02-01,28.56,0.0,0.0
2025-02-02,29.56,0.0,0.0
2025-02-03,27.06,0.0,0.0
2025-02-04,27.89,0.0,0.0
2025-02-05,27.27,0.0,0.0
2025-02-06,28.76,0.0,0.0
2025-02-07,31.65,0.0,0.0
2025-02-08,29.03,0.0,0.0
2025-02-09,30.24,0.0,0.0
2025-02-10,27.74,0.0,0.0
2025-02-11,27.0,0.0,0.0
2025-02-12,28.4,0.0,0.0
2025-02-13,28.15,0.0,0.0
2025-02-14,28.21,0.0,0.0
2025-02-15,28.91,0.0,0.0
2025-02-16,30.06,0.0,0.0
2025-02-17,27.58,0.0,0.0
2025-02-18,28.77,0.0,0.0
2025-02-19,29.23,0.0,0.0
2025-02-20,29.12,0.0,0.0
2025-02-21,28.46,0.0,0.0
2025-02-22,29.21,0.0,0.0
2025-02-23,30.4,0.0,0.0
2025-02-24,28.13,0.0,0.0
2025-02-25,28.28,0.0,0.0
2025-02-26,29.53,0.0,0.0
2025-02-27,30.58,0.0,0.0
2025-02-28,30.39,0.0,0.0
2025-03-01,30.49,0.0,0.0
2025-03-02,32.09,0.0,0.0
2025-03-03,30.67,0.0,0.0
2025-03-04,29.66,0.0,0.0
2025-03-05,31.26,0.0,0.0
2025-03-06,30.45,0.0,0.0
2025-03-07,30.31,0.0,0.0
2025-03-08,31.77,0.0,0.0
2025-03-09,33.21,0.0,0.0
2025-03-10,30.26,0.0,0.0
2025-03-11,31.16,0.0,0.0
2025-03-12,30.91,0.0,0.0
2025-03-13,31.8,0.0,0.0
2025-03-14,31.88,0.0,0.0
2025-03-15,32.8,0.0,0.0
2025-03-16,33.37,0.0,0.0
2025-03-17,31.66,0.0,0.0
2025-03-18,30.79,0.0,0.0
2025-03-19,31.12,0.0,0.0
2025-03-20,32.28,0.0,0.0
2025-03-21,33.43,0.0,0.0
2025-03-22,34.74,0.0,0.0
2025-03-23,33.0,0.0,0.0
2025-03-24,32.87,0.0,0.0
2025-03-25,32.57,0.0,0.0
2025-03-26,32.99,0.0,0.0
2025-03-27,33.76,0.0,0.0
2025-03-28,34.92,0.0,0.0
2025-03-29,34.61,0.0,0.0
2025-03-30,34.29,0.0,0.0
2025-03-31,33.85,0.0,0.0
2025-04-01,34.76,0.0,0.0
2025-04-02,34.13,0.0,0.0
2025-04-03,34.04916796,0.0,0.0
2025-04-04,33.66100222,0.0,0.0
2025-04-05,34.57093692,0.0,0.0
2025-04-06,34.53965841,0.0,0.0
2025-04-07,33.53618139,0.0,0.0
2025-04-08,33.61833574,0.0,0.0
2025-04-09,33.97467751,0.0,0.0
2025-04-10,33.54941203,0.0,0.0
2025-04-11,33.17844613,0.0,0.0
2025-04-12,33.5205439,0.0,0.0
2025-04-13,34.98982369,0.0,0.0
2025-04-14,32.98317304,0.0,0.0
2025-04-15,32.72395875,0.0,0.0
2025-04-16,34.44644061,0.0,0.0
2025-04-17,35.65847014,0.0,0.0
2025-04-18,35.46343768,0.0,0.0
2025-04-19,36.48408633,0.0,0.0
2025-04-20,36.06227114,0.0,0.0
2025-04-21,33.51069308,0.0,0.0
2025-04-22,33.02356666,0.0,0.0
2025-04-23,33.28006513,0.0,0.0
2025-04-24,32.64359903,0.0,0.0
2025-04-25,33.16313193,0.0,0.0
2025-04-26,34.09795547,0.0,0.0
2025-04-27,36.64056657,0.0,0.0
2025-04-28,32.12009652,0.0,0.0
2025-04-29,33.20940479,0.0,0.0
2025-04-30,34.4069231,0.0,0.0
2025-05-01,36.9650662,0.0,0.0
2025-05-02,34.55686424,0.0,0.0
2025-05-03,35.23231707,0.0,0.0
2025-05-04,36.57867642,0.0,0.0
2025-05-05,34.68440723,0.0,0.0
2025-05-06,35.46290412,0.0,0.0
2025-05-07,37.29919298,0.0,0.0
2025-05-08,34.44109906,0.0,0.0
2025-05-09,35.12876528,0.0,0.0
2025-05-10,35.86113086,0.0,0.0
2025-05-11,39.67672411,0.0,0.0
2025-05-12,36.87510581,0.0,0.0
2025-05-13,36.19435616,0.0,0.0
2025-05-14,34.6563512,0.0,0.0
2025-05-15,34.63911245,0.0,0.0
2025-05-16,35.21978565,0.0,0.0
2025-05-17,35.74346508,0.0,0.0
2025-05-18,36.81854817,0.0,0.0
2025-05-19,35.1083905,0.0,0.0
2025-05-20,34.88747413,0.0,0.0
2025-05-21,35.95567032,0.0,0.0
2025-05-22,36.29215314,0.0,0.0
2025-05-23,35.91024439,0.0,0.0
