Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,209.9903057,0.0,0.0
2024-10-02,208.5125446,0.0,0.0
2024-10-03,184.2712153,0.0,0.0
2024-10-04,177.7799532,0.0,0.0
2024-10-05,232.1613428,0.0,0.0
2024-10-06,243.991825,0.0,0.0
2024-10-07,206.851413,0.0,0.0
2024-10-08,208.9605022,0.0,0.0
2024-10-09,209.3162511,0.0,0.0
2024-10-10,217.3002319,0.0,0.0
2024-10-11,221.353342,0.0,0.0
2024-10-12,233.4884966,0.0,0.0
2024-10-13,245.3379785,0.0,0.0
2024-10-14,210.7049703,0.0,0.0
2024-10-15,200.889735,0.0,0.0
2024-10-16,195.0071554,0.0,0.0
2024-10-17,208.0673763,0.0,0.0
2024-10-18,217.1231466,0.0,0.0
2024-10-19,234.7180581,0.0,0.0
2024-10-20,247.6160596,0.0,0.0
2024-10-21,207.6681219,0.0,0.0
2024-10-22,210.7490426,0.0,0.0
2024-10-23,210.0608069,0.0,0.0
2024-10-24,217.3012654,0.0,0.0
2024-10-25,225.8771306,0.0,0.0
2024-10-26,236.3703954,0.0,0.0
2024-10-27,254.4762719,0.0,0.0
2024-10-28,211.8153211,0.0,0.0
2024-10-29,210.8796166,0.0,0.0
2024-10-30,211.6377529,0.0,0.0
2024-11-01,105.3915086,0.0,0.0
2024-11-02,226.9909222,0.0,0.0
2024-11-03,227.1405686,0.0,0.0
2024-11-04,204.7566196,0.0,0.0
2024-11-05,201.2406243,0.0,0.0
2024-11-06,201.7525232,0.0,0.0
2024-11-07,204.6682975,0.0,0.0
2024-11-08,213.3246647,0.0,0.0
2024-11-09,231.1151951,0.0,0.0
2024-11-10,242.9452996,0.0,0.0
2024-11-11,210.3964952,0.0,0.0
2024-11-12,203.5856635,0.0,0.0
2024-11-13,205.4918099,0.0,0.0
2024-11-14,204.7550631,0.0,0.0
2024-11-15,212.9425136,0.0,0.0
2024-11-16,227.7525294,0.0,0.0
2024-11-17,235.7911324,0.0,0.0
2024-11-18,203.6255883,0.0,0.0
2024-11-19,209.1623029,0.0,0.0
2024-11-20,200.654779,0.0,0.0
2024-11-21,205.8786322,0.0,0.0
2024-11-22,212.052731,0.0,0.0
2024-11-23,227.0658731,0.0,0.0
2024-11-24,236.9791825,0.0,0.0
2024-11-25,204.0337408,0.0,0.0
2024-11-26,210.5885793,0.0,0.0
2024-11-27,237.3465616,0.0,0.0
2024-11-28,209.4263364,0.0,0.0
2024-11-29,208.0045411,0.0,0.0
2024-11-30,230.3543806,0.0,0.0
2024-12-01,237.2232069,0.0,0.0
2024-12-02,200.5070972,0.0,0.0
2024-12-03,203.2336032,0.0,0.0
2024-12-04,207.4590063,0.0,0.0
2024-12-05,211.2441866,0.0,0.0
2024-12-06,213.611037,0.0,0.0
2024-12-07,227.7551477,0.0,0.0
2024-12-08,244.088968,0.0,0.0
2024-12-09,211.1044487,0.0,0.0
2024-12-10,211.8555629,0.0,0.0
2024-12-11,210.282523,0.0,0.0
2024-12-12,224.3354947,0.0,0.0
2024-12-13,215.7099532,0.0,0.0
2024-12-14,232.1726758,0.0,0.0
2024-12-15,245.6748636,0.0,0.0
2024-12-16,210.9009067,0.0,0.0
2024-12-17,216.0870928,0.0,0.0
2024-12-18,212.8047759,0.0,0.0
2024-12-19,213.7461854,0.0,0.0
2024-12-20,221.3225688,0.0,0.0
2024-12-21,233.2493211,0.0,0.0
2024-12-22,233.2493211,0.0,0.0
2024-12-23,226.2165268,0.0,0.0
2024-12-24,226.7447457,0.0,0.0
2024-12-25,226.7447457,0.0,0.0
2024-12-26,231.0116689,0.0,0.0
2024-12-27,229.1648257,0.0,0.0
2024-12-28,239.949996,0.0,0.0
2024-12-29,247.7738992,0.0,0.0
2024-12-30,231.3929627,0.0,0.0
2024-12-31,232.1185313,0.0,0.0
2025-01-01,252.52,0.0,0.0
2025-01-02,214.94,0.0,0.0
2025-01-03,213.18,0.0,0.0
2025-01-04,217.65,0.0,0.0
2025-01-05,229.94,0.0,0.0
2025-01-06,199.56,0.0,0.0
2025-01-07,195.2,0.0,0.0
2025-01-08,195.26,0.0,0.0
2025-01-09,195.35,0.0,0.0
2025-01-10,205.3,0.0,0.0
2025-01-11,215.55,0.0,0.0
2025-01-12,230.84,0.0,0.0
2025-01-13,193.66,0.0,0.0
2025-01-14,197.58,0.0,0.0
2025-01-15,194.15,0.0,0.0
2025-01-16,194.51,0.0,0.0
2025-01-17,203.09,0.0,0.0
2025-01-18,210.21,0.0,0.0
2025-01-19,225.52,0.0,0.0
2025-01-20,192.74,0.0,0.0
2025-01-21,194.18,0.0,0.0
2025-01-22,193.71,0.0,0.0
2025-01-23,194.75,0.0,0.0
2025-01-24,203.52,0.0,0.0
2025-01-25,213.93,0.0,0.0
2025-01-26,239.86,0.0,0.0
2025-01-27,234.0,0.0,0.0
2025-01-28,218.68,0.0,0.0
2025-01-29,219.81,0.0,0.0
2025-01-30,196.0,0.0,0.0
2025-01-31,198.59,0.0,0.0
2025-02-01,210.66,0.0,0.0
2025-02-02,227.53,0.0,0.0
2025-02-03,194.59,0.0,0.0
2025-02-04,192.33,0.0,0.0
2025-02-05,193.92,0.0,0.0
2025-02-06,197.65,0.0,0.0
2025-02-07,203.68,0.0,0.0
2025-02-08,216.45,0.0,0.0
2025-02-09,226.56,0.0,0.0
2025-02-10,195.76,0.0,0.0
2025-02-11,196.65,0.0,0.0
2025-02-12,198.82,0.0,0.0
2025-02-13,203.35,0.0,0.0
2025-02-14,206.83,0.0,0.0
2025-02-15,218.93,0.0,0.0
2025-02-16,234.4,0.0,0.0
2025-02-17,200.18,0.0,0.0
2025-02-18,196.12,0.0,0.0
2025-02-19,193.98,0.0,0.0
2025-02-20,200.12,0.0,0.0
2025-02-21,206.69,0.0,0.0
2025-02-22,225.04,0.0,0.0
2025-02-23,233.47,0.0,0.0
2025-02-24,202.8,0.0,0.0
2025-02-25,198.9,0.0,0.0
2025-02-26,208.62,0.0,0.0
2025-02-27,215.71,0.0,0.0
2025-02-28,218.47,0.0,0.0
2025-03-01,222.07,0.0,0.0
2025-03-02,234.83,0.0,0.0
2025-03-03,213.93,0.0,0.0
2025-03-04,205.15,0.0,0.0
2025-03-05,211.3,0.0,0.0
2025-03-06,206.58,0.0,0.0
2025-03-07,213.89,0.0,0.0
2025-03-08,230.85,0.0,0.0
2025-03-09,234.19,0.0,0.0
2025-03-10,212.03,0.0,0.0
2025-03-11,208.5,0.0,0.0
2025-03-12,211.76,0.0,0.0
2025-03-13,211.32,0.0,0.0
2025-03-14,214.25,0.0,0.0
2025-03-15,228.44,0.0,0.0
2025-03-16,236.49,0.0,0.0
2025-03-17,214.9,0.0,0.0
2025-03-18,211.94,0.0,0.0
2025-03-19,217.94,0.0,0.0
2025-03-20,217.43,0.0,0.0
2025-03-21,224.36,0.0,0.0
2025-03-22,241.91,0.0,0.0
2025-03-23,248.46,0.0,0.0
2025-03-24,235.65,0.0,0.0
2025-03-25,226.56,0.0,0.0
2025-03-26,240.35,0.0,0.0
2025-03-27,243.75,0.0,0.0
2025-03-28,264.85,0.0,0.0
2025-03-29,258.88,0.0,0.0
2025-03-30,278.93,0.0,0.0
2025-03-31,286.57,0.0,0.0
2025-04-01,295.32,0.0,0.0
2025-04-02,308.94,0.0,0.0
2025-04-03,311.035936,0.0,0.0
2025-04-04,306.2683354,0.0,0.0
2025-04-05,295.420164,0.0,0.0
2025-04-06,285.8454888,0.0,0.0
2025-04-07,267.2455947,0.0,0.0
2025-04-08,255.3233355,0.0,0.0
2025-04-09,246.7958397,0.0,0.0
2025-04-10,244.5108371,0.0,0.0
2025-04-11,242.4372158,0.0,0.0
2025-04-12,245.8669752,0.0,0.0
2025-04-13,256.7671026,0.0,0.0
2025-04-14,221.5710131,0.0,0.0
2025-04-15,216.1701177,0.0,0.0
2025-04-16,218.0220532,0.0,0.0
2025-04-17,221.6589754,0.0,0.0
2025-04-18,246.9788378,0.0,0.0
2025-04-19,237.8771708,0.0,0.0
2025-04-20,244.9716438,0.0,0.0
2025-04-21,219.1079565,0.0,0.0
2025-04-22,213.9147016,0.0,0.0
2025-04-23,216.8990732,0.0,0.0
2025-04-24,218.7012618,0.0,0.0
2025-04-25,219.0258505,0.0,0.0
2025-04-26,233.6161632,0.0,0.0
2025-04-27,247.9739898,0.0,0.0
2025-04-28,211.2122613,0.0,0.0
2025-04-29,209.5468162,0.0,0.0
2025-04-30,213.6970815,0.0,0.0
2025-05-01,235.4484311,0.0,0.0
2025-05-02,201.9879015,0.0,0.0
2025-05-03,233.2355532,0.0,0.0
2025-05-04,246.8404452,0.0,0.0
2025-05-05,213.5091575,0.0,0.0
2025-05-06,214.4904215,0.0,0.0
2025-05-07,221.4986791,0.0,0.0
2025-05-08,218.9452571,0.0,0.0
2025-05-09,224.4999544,0.0,0.0
2025-05-10,237.9485183,0.0,0.0
2025-05-11,262.1403127,0.0,0.0
2025-05-12,250.1234614,0.0,0.0
2025-05-13,239.552628,0.0,0.0
2025-05-14,216.7100628,0.0,0.0
2025-05-15,216.1148946,0.0,0.0
2025-05-16,222.3531731,0.0,0.0
2025-05-17,229.6090732,0.0,0.0
2025-05-18,250.4996597,0.0,0.0
2025-05-19,216.1675986,0.0,0.0
2025-05-20,209.4632949,0.0,0.0
2025-05-21,216.5213897,0.0,0.0
2025-05-22,222.0337159,0.0,0.0
2025-05-23,220.6113855,0.0,0.0
2025-05-24,235.419756,0.0,0.0
2025-05-25,246.6181853,0.0,0.0
2025-05-26,214.5837771,0.0,0.0
2025-05-27,211.0803981,0.0,0.0
2025-05-28,216.0066002,0.0,0.0
2025-05-29,238.9663406,0.0,0.0
2025-05-30,230.1131104,0.0,0.0
2025-05-31,238.253067,0.0,0.0
2025-06-01,239.216384,0.0,0.0
2025-06-02,210.87734,0.0,0.0
2025-06-03,212.536546,0.0,0.0
2025-06-04,216.8050513,0.0,0.0
2025-06-05,232.5973927,0.0,0.0
2025-06-06,256.8057057,0.0,0.0
2025-06-07,242.6833105,0.0,0.0
2025-06-08,251.9701776,0.0,0.0
2025-06-09,226.5548207,0.0,0.0
2025-06-10,215.1857323,0.0,0.0
2025-06-11,216.5541157,0.0,0.0
2025-06-12,220.3677786,0.0,0.0
2025-06-13,219.6833882,0.0,0.0
2025-06-14,236.6423491,0.0,0.0
2025-06-15,248.1676138,0.0,0.0
2025-06-16,216.5155858,0.0,0.0
2025-06-17,218.9290371,0.0,0.0
2025-06-18,216.7890813,0.0,0.0
2025-06-19,218.7769847,0.0,0.0
2025-06-20,223.7613043,0.0,0.0
2025-06-21,240.1113284,0.0,0.0
2025-06-22,252.919035,0.0,0.0
2025-06-23,228.8761139,0.0,0.0
2025-06-24,229.6653723,0.0,0.0
2025-06-25,227.2274779,0.0,0.0
2025-06-26,232.7389449,0.0,0.0
2025-06-27,252.6004874,0.0,0.0
2025-06-28,244.8397151,0.0,0.0
2025-06-29,253.4050244,0.0,0.0
2025-06-30,227.3894241,0.0,0.0
2025-07-01,228.9616684,0.0,0.0
2025-07-02,226.9385096,0.0,0.0
2025-07-03,229.4226329,0.0,0.0
2025-07-04,228.3856611,0.0,0.0
2025-07-05,230.8576113,0.0,0.0
2025-07-06,254.5111721,0.0,0.0
2025-07-07,232.1459069,0.0,0.0
2025-07-08,227.3576774,0.0,0.0
2025-07-09,222.1395142,0.0,0.0
2025-07-10,222.398775,0.0,0.0
2025-07-11,223.9664312,0.0,0.0
2025-07-12,231.5153831,0.0,0.0
2025-07-13,241.0134198,0.0,0.0
2025-07-14,210.5163934,0.0,0.0
2025-07-15,211.2607015,0.0,0.0
2025-07-16,212.3856751,0.0,0.0
2025-07-17,213.8101899,0.0,0.0
2025-07-18,220.7363112,0.0,0.0
2025-07-19,231.6071357,0.0,0.0
2025-07-20,240.5157191,0.0,0.0
2025-07-21,210.6686117,0.0,0.0
2025-07-22,211.4425579,0.0,0.0
2025-07-23,216.3764497,0.0,0.0
2025-07-24,216.5350465,0.0,0.0
2025-07-25,222.3220168,0.0,0.0
2025-07-26,236.3064165,0.0,0.0
2025-07-27,246.2604553,0.0,0.0
