Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,219.8836673,0.0,0.0
2024-10-02,219.0573089,0.0,0.0
2024-10-03,218.6774026,0.0,0.0
2024-10-04,224.4061292,0.0,0.0
2024-10-05,238.4359826,0.0,0.0
2024-10-06,255.6048241,0.0,0.0
2024-10-07,215.4834878,0.0,0.0
2024-10-08,216.2254351,0.0,0.0
2024-10-09,220.477215,0.0,0.0
2024-10-10,226.2358827,0.0,0.0
2024-10-11,230.672764,0.0,0.0
2024-10-12,238.6239107,0.0,0.0
2024-10-13,254.3697927,0.0,0.0
2024-10-14,221.0427398,0.0,0.0
2024-10-15,223.1605306,0.0,0.0
2024-10-16,218.5702718,0.0,0.0
2024-10-17,221.2249454,0.0,0.0
2024-10-18,229.005173,0.0,0.0
2024-10-19,238.2151022,0.0,0.0
2024-10-20,258.6508822,0.0,0.0
2024-10-21,221.8525931,0.0,0.0
2024-10-22,224.3691809,0.0,0.0
2024-10-23,223.3024061,0.0,0.0
2024-10-24,229.9737336,0.0,0.0
2024-10-25,233.2795605,0.0,0.0
2024-10-26,238.8324885,0.0,0.0
2024-10-27,260.818405,0.0,0.0
2024-10-28,220.4996231,0.0,0.0
2024-10-29,221.8635361,0.0,0.0
2024-10-30,221.8203393,0.0,0.0
2024-11-01,107.6375779,0.0,0.0
2024-11-02,231.717281,0.0,0.0
2024-11-03,252.1392042,0.0,0.0
2024-11-04,215.2468358,0.0,0.0
2024-11-05,213.3186418,0.0,0.0
2024-11-06,214.0545128,0.0,0.0
2024-11-07,214.4067912,0.0,0.0
2024-11-08,220.4739944,0.0,0.0
2024-11-09,234.3304921,0.0,0.0
2024-11-10,249.900214,0.0,0.0
2024-11-11,223.0383245,0.0,0.0
2024-11-12,217.4569166,0.0,0.0
2024-11-13,215.8639634,0.0,0.0
2024-11-14,214.9143017,0.0,0.0
2024-11-15,222.4445202,0.0,0.0
2024-11-16,228.7046549,0.0,0.0
2024-11-17,246.9029219,0.0,0.0
2024-11-18,216.1170665,0.0,0.0
2024-11-19,218.7592101,0.0,0.0
2024-11-20,215.2744513,0.0,0.0
2024-11-21,219.0845095,0.0,0.0
2024-11-22,224.3946189,0.0,0.0
2024-11-23,235.5158395,0.0,0.0
2024-11-24,247.2178977,0.0,0.0
2024-11-25,221.3476869,0.0,0.0
2024-11-26,223.8782173,0.0,0.0
2024-11-27,252.8668716,0.0,0.0
2024-11-28,225.0630492,0.0,0.0
2024-11-29,225.2110451,0.0,0.0
2024-11-30,235.4499511,0.0,0.0
2024-12-01,249.6081353,0.0,0.0
2024-12-02,215.7257559,0.0,0.0
2024-12-03,217.564103,0.0,0.0
2024-12-04,220.9018954,0.0,0.0
2024-12-05,225.6290815,0.0,0.0
2024-12-06,233.066483,0.0,0.0
2024-12-07,249.3063493,0.0,0.0
2024-12-08,264.9480407,0.0,0.0
2024-12-09,225.9653666,0.0,0.0
2024-12-10,229.0701082,0.0,0.0
2024-12-11,226.2196297,0.0,0.0
2024-12-12,236.9645249,0.0,0.0
2024-12-13,231.0013128,0.0,0.0
2024-12-14,239.7396616,0.0,0.0
2024-12-15,254.5728375,0.0,0.0
2024-12-16,225.8590024,0.0,0.0
2024-12-17,226.6310474,0.0,0.0
2024-12-18,223.2825799,0.0,0.0
2024-12-19,224.1690398,0.0,0.0
2024-12-20,227.1370909,0.0,0.0
2024-12-21,240.3613808,0.0,0.0
2024-12-22,240.3613808,0.0,0.0
2024-12-23,229.3269635,0.0,0.0
2024-12-24,233.7470184,0.0,0.0
2024-12-25,233.7470184,0.0,0.0
2024-12-26,233.5903642,0.0,0.0
2024-12-27,230.0143271,0.0,0.0
2024-12-28,237.7980294,0.0,0.0
2024-12-29,250.2437804,0.0,0.0
2024-12-30,231.1440794,0.0,0.0
2024-12-31,245.0069713,0.0,0.0
2025-01-01,271.44,0.0,0.0
2025-01-02,225.54,0.0,0.0
2025-01-03,215.39,0.0,0.0
2025-01-04,222.4,0.0,0.0
2025-01-05,238.02,0.0,0.0
2025-01-06,209.87,0.0,0.0
2025-01-07,209.65,0.0,0.0
2025-01-08,207.35,0.0,0.0
2025-01-09,207.68,0.0,0.0
2025-01-10,216.14,0.0,0.0
2025-01-11,224.18,0.0,0.0
2025-01-12,239.33,0.0,0.0
2025-01-13,208.52,0.0,0.0
2025-01-14,209.78,0.0,0.0
2025-01-15,206.34,0.0,0.0
2025-01-16,208.22,0.0,0.0
2025-01-17,214.34,0.0,0.0
2025-01-18,220.8,0.0,0.0
2025-01-19,237.84,0.0,0.0
2025-01-20,205.16,0.0,0.0
2025-01-21,207.0,0.0,0.0
2025-01-22,206.62,0.0,0.0
2025-01-23,207.53,0.0,0.0
2025-01-24,207.48,0.0,0.0
2025-01-25,217.64,0.0,0.0
2025-01-26,236.3,0.0,0.0
2025-01-27,239.21,0.0,0.0
2025-01-28,223.81,0.0,0.0
2025-01-29,229.0,0.0,0.0
2025-01-30,203.73,0.0,0.0
2025-01-31,206.31,0.0,0.0
2025-02-01,214.01,0.0,0.0
2025-02-02,236.23,0.0,0.0
2025-02-03,199.87,0.0,0.0
2025-02-04,201.24,0.0,0.0
2025-02-05,199.49,0.0,0.0
2025-02-06,202.25,0.0,0.0
2025-02-07,208.53,0.0,0.0
2025-02-08,215.12,0.0,0.0
2025-02-09,236.27,0.0,0.0
2025-02-10,203.56,0.0,0.0
2025-02-11,201.72,0.0,0.0
2025-02-12,203.05,0.0,0.0
2025-02-13,204.77,0.0,0.0
2025-02-14,211.23,0.0,0.0
2025-02-15,220.96,0.0,0.0
2025-02-16,234.69,0.0,0.0
2025-02-17,203.16,0.0,0.0
2025-02-18,201.48,0.0,0.0
2025-02-19,203.2,0.0,0.0
2025-02-20,207.94,0.0,0.0
2025-02-21,213.85,0.0,0.0
2025-02-22,228.37,0.0,0.0
2025-02-23,243.32,0.0,0.0
2025-02-24,215.43,0.0,0.0
2025-02-25,207.43,0.0,0.0
2025-02-26,213.43,0.0,0.0
2025-02-27,214.08,0.0,0.0
2025-02-28,215.72,0.0,0.0
2025-03-01,213.98,0.0,0.0
2025-03-02,232.96,0.0,0.0
2025-03-03,211.93,0.0,0.0
2025-03-04,203.8,0.0,0.0
2025-03-05,209.53,0.0,0.0
2025-03-06,212.44,0.0,0.0
2025-03-07,216.68,0.0,0.0
2025-03-08,225.55,0.0,0.0
2025-03-09,233.64,0.0,0.0
2025-03-10,209.87,0.0,0.0
2025-03-11,210.69,0.0,0.0
2025-03-12,213.05,0.0,0.0
2025-03-13,215.97,0.0,0.0
2025-03-14,218.11,0.0,0.0
2025-03-15,232.47,0.0,0.0
2025-03-16,242.52,0.0,0.0
2025-03-17,215.73,0.0,0.0
2025-03-18,215.71,0.0,0.0
2025-03-19,217.84,0.0,0.0
2025-03-20,220.18,0.0,0.0
2025-03-21,222.87,0.0,0.0
2025-03-22,233.46,0.0,0.0
2025-03-23,246.05,0.0,0.0
2025-03-24,225.83,0.0,0.0
2025-03-25,219.35,0.0,0.0
2025-03-26,229.91,0.0,0.0
2025-03-27,230.65,0.0,0.0
2025-03-28,245.3,0.0,0.0
2025-03-29,236.96,0.0,0.0
2025-03-30,250.11,0.0,0.0
2025-03-31,269.61,0.0,0.0
2025-04-01,267.51,0.0,0.0
2025-04-02,269.28,0.0,0.0
2025-04-03,269.1123659,0.0,0.0
2025-04-04,266.5622625,0.0,0.0
2025-04-05,262.5817682,0.0,0.0
2025-04-06,259.3954802,0.0,0.0
2025-04-07,244.9072038,0.0,0.0
2025-04-08,236.3571709,0.0,0.0
2025-04-09,227.527824,0.0,0.0
2025-04-10,230.7953867,0.0,0.0
2025-04-11,228.2620447,0.0,0.0
2025-04-12,236.0808096,0.0,0.0
2025-04-13,247.0338631,0.0,0.0
2025-04-14,219.9758654,0.0,0.0
2025-04-15,214.2409219,0.0,0.0
2025-04-16,214.332682,0.0,0.0
2025-04-17,220.6468201,0.0,0.0
2025-04-18,235.1278122,0.0,0.0
2025-04-19,233.8976303,0.0,0.0
2025-04-20,245.5488706,0.0,0.0
2025-04-21,218.1604001,0.0,0.0
2025-04-22,217.638807,0.0,0.0
2025-04-23,219.6048315,0.0,0.0
2025-04-24,219.7509321,0.0,0.0
2025-04-25,224.7644618,0.0,0.0
2025-04-26,235.5842462,0.0,0.0
2025-04-27,250.6833867,0.0,0.0
2025-04-28,215.3785205,0.0,0.0
2025-04-29,215.7173156,0.0,0.0
2025-04-30,218.3005882,0.0,0.0
2025-05-01,239.0671425,0.0,0.0
2025-05-02,221.0748698,0.0,0.0
2025-05-03,229.9570394,0.0,0.0
2025-05-04,249.8541051,0.0,0.0
2025-05-05,218.0922248,0.0,0.0
2025-05-06,218.9889848,0.0,0.0
2025-05-07,220.1436287,0.0,0.0
2025-05-08,220.9650444,0.0,0.0
2025-05-09,223.0655458,0.0,0.0
2025-05-10,239.7800472,0.0,0.0
2025-05-11,264.5301933,0.0,0.0
2025-05-12,252.4392501,0.0,0.0
2025-05-13,227.7534014,0.0,0.0
2025-05-14,220.7385322,0.0,0.0
2025-05-15,218.6615519,0.0,0.0
2025-05-16,223.9763046,0.0,0.0
2025-05-17,229.9919437,0.0,0.0
2025-05-18,249.5453389,0.0,0.0
2025-05-19,222.123184,0.0,0.0
2025-05-20,215.8848572,0.0,0.0
2025-05-21,219.3991172,0.0,0.0
2025-05-22,223.6581285,0.0,0.0
2025-05-23,227.1066176,0.0,0.0
2025-05-24,236.8279858,0.0,0.0
2025-05-25,254.5398883,0.0,0.0
2025-05-26,220.5445667,0.0,0.0
2025-05-27,219.1494522,0.0,0.0
2025-05-28,224.5667061,0.0,0.0
2025-05-29,246.5606676,0.0,0.0
2025-05-30,233.9633139,0.0,0.0
2025-05-31,238.8249404,0.0,0.0
2025-06-01,250.1181747,0.0,0.0
2025-06-02,213.28267,0.0,0.0
2025-06-03,213.8860318,0.0,0.0
2025-06-04,216.5487192,0.0,0.0
2025-06-05,234.4725413,0.0,0.0
2025-06-06,255.0146403,0.0,0.0
2025-06-07,240.5426817,0.0,0.0
2025-06-08,252.7685312,0.0,0.0
2025-06-09,230.1164032,0.0,0.0
2025-06-10,222.9424318,0.0,0.0
2025-06-11,225.74915,0.0,0.0
2025-06-12,225.9430732,0.0,0.0
2025-06-13,225.4425953,0.0,0.0
2025-06-14,237.3512434,0.0,0.0
2025-06-15,253.072003,0.0,0.0
2025-06-16,221.2586974,0.0,0.0
2025-06-17,223.8569821,0.0,0.0
2025-06-18,221.5852736,0.0,0.0
2025-06-19,221.2246552,0.0,0.0
2025-06-20,221.7178957,0.0,0.0
2025-06-21,238.2448571,0.0,0.0
2025-06-22,252.061834,0.0,0.0
2025-06-23,224.1323178,0.0,0.0
2025-06-24,226.5411446,0.0,0.0
2025-06-25,225.1028924,0.0,0.0
2025-06-26,227.4364387,0.0,0.0
2025-06-27,246.1146969,0.0,0.0
2025-06-28,238.8886307,0.0,0.0
2025-06-29,249.5262728,0.0,0.0
2025-06-30,223.0369615,0.0,0.0
2025-07-01,225.0981188,0.0,0.0
2025-07-02,224.5860766,0.0,0.0
2025-07-03,228.305516,0.0,0.0
2025-07-04,227.4460107,0.0,0.0
2025-07-05,232.701617,0.0,0.0
2025-07-06,254.1723978,0.0,0.0
2025-07-07,230.3980099,0.0,0.0
2025-07-08,223.5551577,0.0,0.0
2025-07-09,222.0365715,0.0,0.0
2025-07-10,222.4086547,0.0,0.0
2025-07-11,223.0830444,0.0,0.0
2025-07-12,235.8330238,0.0,0.0
2025-07-13,241.8857046,0.0,0.0
2025-07-14,220.1874419,0.0,0.0
2025-07-15,220.0619595,0.0,0.0
2025-07-16,217.4530511,0.0,0.0
2025-07-17,217.9732952,0.0,0.0
