Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,4.981104874,0.0,0.0
2024-10-02,4.771110805,0.0,0.0
2024-10-03,4.811902045,0.0,0.0
2024-10-04,4.960122484,0.0,0.0
2024-10-05,5.045651744,0.0,0.0
2024-10-06,5.294231783,0.0,0.0
2024-10-07,4.42236808,0.0,0.0
2024-10-08,4.847440139,0.0,0.0
2024-10-09,4.946338582,0.0,0.0
2024-10-10,5.028710732,0.0,0.0
2024-10-11,5.134629372,0.0,0.0
2024-10-12,5.253422716,0.0,0.0
2024-10-13,5.586239704,0.0,0.0
2024-10-14,5.029033691,0.0,0.0
2024-10-15,5.276891035,0.0,0.0
2024-10-16,4.987917603,0.0,0.0
2024-10-17,4.960887926,0.0,0.0
2024-10-18,5.074925592,0.0,0.0
2024-10-19,5.361364965,0.0,0.0
2024-10-20,5.555704481,0.0,0.0
2024-10-21,5.043404434,0.0,0.0
2024-10-22,4.966564569,0.0,0.0
2024-10-23,5.138113679,0.0,0.0
2024-10-24,5.183462044,0.0,0.0
2024-10-25,5.191349364,0.0,0.0
2024-10-26,5.353573706,0.0,0.0
2024-10-27,5.913345764,0.0,0.0
2024-10-28,5.087741839,0.0,0.0
2024-10-29,5.02888768,0.0,0.0
2024-10-30,5.143204405,0.0,0.0
2024-11-01,2.607038679,0.0,0.0
2024-11-02,5.474245585,0.0,0.0
2024-11-03,5.73619812,0.0,0.0
2024-11-04,4.89999648,0.0,0.0
2024-11-05,5.169045123,0.0,0.0
2024-11-06,5.22613717,0.0,0.0
2024-11-07,5.305889755,0.0,0.0
2024-11-08,5.344087711,0.0,0.0
2024-11-09,5.674756618,0.0,0.0
2024-11-10,5.820827952,0.0,0.0
2024-11-11,5.19935341,0.0,0.0
2024-11-12,5.164015542,0.0,0.0
2024-11-13,5.442265933,0.0,0.0
2024-11-14,5.461272073,0.0,0.0
2024-11-15,5.455826526,0.0,0.0
2024-11-16,5.568368432,0.0,0.0
2024-11-17,5.756360294,0.0,0.0
2024-11-18,5.308874085,0.0,0.0
2024-11-19,5.58621573,0.0,0.0
2024-11-20,5.414377754,0.0,0.0
2024-11-21,5.277879711,0.0,0.0
2024-11-22,5.557751648,0.0,0.0
2024-11-23,5.662450526,0.0,0.0
2024-11-24,5.949434725,0.0,0.0
2024-11-25,5.391791305,0.0,0.0
2024-11-26,5.735503164,0.0,0.0
2024-11-27,5.983083098,0.0,0.0
2024-11-28,5.856283435,0.0,0.0
2024-11-29,5.652342536,0.0,0.0
2024-11-30,5.930386998,0.0,0.0
2024-12-01,6.301075068,0.0,0.0
2024-12-02,5.47123729,0.0,0.0
2024-12-03,5.221151881,0.0,0.0
2024-12-04,6.062686949,0.0,0.0
2024-12-05,6.009595568,0.0,0.0
2024-12-06,5.981860982,0.0,0.0
2024-12-07,6.263993129,0.0,0.0
2024-12-08,6.441132453,0.0,0.0
2024-12-09,5.978374408,0.0,0.0
2024-12-10,6.015138765,0.0,0.0
2024-12-11,5.99847969,0.0,0.0
2024-12-12,5.07984488,0.0,0.0
2024-12-13,6.201386313,0.0,0.0
2024-12-14,6.038209065,0.0,0.0
2024-12-15,6.39914549,0.0,0.0
2024-12-16,5.860986049,0.0,0.0
2024-12-17,5.947677691,0.0,0.0
2024-12-18,6.107177901,0.0,0.0
2024-12-19,6.021431466,0.0,0.0
