Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,212.1524946,0.0,0.0
2024-10-02,210.7459747,0.0,0.0
2024-10-03,201.7798123,0.0,0.0
2024-10-04,223.6646837,0.0,0.0
2024-10-05,225.1562277,0.0,0.0
2024-10-06,231.1147774,0.0,0.0
2024-10-07,210.1973827,0.0,0.0
2024-10-08,210.376708,0.0,0.0
2024-10-09,214.5234227,0.0,0.0
2024-10-10,224.0980611,0.0,0.0
2024-10-11,234.9146003,0.0,0.0
2024-10-12,227.8888026,0.0,0.0
2024-10-13,234.706399,0.0,0.0
2024-10-14,213.0639753,0.0,0.0
2024-10-15,214.3446395,0.0,0.0
2024-10-16,199.2102827,0.0,0.0
2024-10-17,215.5227808,0.0,0.0
2024-10-18,229.533544,0.0,0.0
2024-10-19,223.8863807,0.0,0.0
2024-10-20,232.5569181,0.0,0.0
2024-10-21,206.0919461,0.0,0.0
2024-10-22,217.6527276,0.0,0.0
2024-10-23,214.3227434,0.0,0.0
2024-10-24,219.3742744,0.0,0.0
2024-10-25,240.5949988,0.0,0.0
2024-10-26,226.6045491,0.0,0.0
2024-10-27,237.3775968,0.0,0.0
2024-10-28,213.9951146,0.0,0.0
2024-10-29,215.1691811,0.0,0.0
2024-10-30,212.2023334,0.0,0.0
2024-11-01,115.8994097,0.0,0.0
2024-11-02,217.5813153,0.0,0.0
2024-11-03,230.6929548,0.0,0.0
2024-11-04,206.2046228,0.0,0.0
2024-11-05,207.0229971,0.0,0.0
2024-11-06,203.5168992,0.0,0.0
2024-11-07,206.4786744,0.0,0.0
2024-11-08,225.1199508,0.0,0.0
2024-11-09,219.0354562,0.0,0.0
2024-11-10,228.4413166,0.0,0.0
2024-11-11,213.9148473,0.0,0.0
2024-11-12,208.3130761,0.0,0.0
2024-11-13,207.451413,0.0,0.0
2024-11-14,207.9296191,0.0,0.0
2024-11-15,225.2856187,0.0,0.0
2024-11-16,219.3815196,0.0,0.0
2024-11-17,220.1556482,0.0,0.0
2024-11-18,205.0480131,0.0,0.0
2024-11-19,207.4579603,0.0,0.0
2024-11-20,202.7641327,0.0,0.0
2024-11-21,207.9708025,0.0,0.0
2024-11-22,226.2315671,0.0,0.0
2024-11-23,223.6715712,0.0,0.0
2024-11-24,224.9098547,0.0,0.0
2024-11-25,212.9848786,0.0,0.0
2024-11-26,217.5030564,0.0,0.0
2024-11-27,241.1200685,0.0,0.0
2024-11-28,217.7089355,0.0,0.0
2024-11-29,222.4522111,0.0,0.0
2024-11-30,216.8310018,0.0,0.0
2024-12-01,225.6036898,0.0,0.0
2024-12-02,207.8615012,0.0,0.0
2024-12-03,207.9896958,0.0,0.0
2024-12-04,206.8755506,0.0,0.0
2024-12-05,209.7902741,0.0,0.0
2024-12-06,225.8104479,0.0,0.0
2024-12-07,220.7545259,0.0,0.0
2024-12-08,228.1986565,0.0,0.0
2024-12-09,214.6705385,0.0,0.0
2024-12-10,215.4705169,0.0,0.0
2024-12-11,214.2067876,0.0,0.0
2024-12-12,228.1278625,0.0,0.0
2024-12-13,226.0673191,0.0,0.0
2024-12-14,222.4160169,0.0,0.0
2024-12-15,230.514525,0.0,0.0
2024-12-16,210.8730122,0.0,0.0
2024-12-17,210.5811996,0.0,0.0
2024-12-18,218.4781569,0.0,0.0
2024-12-19,216.7221828,0.0,0.0
2024-12-20,226.3046033,0.0,0.0
2024-12-21,223.7014568,0.0,0.0
2024-12-22,223.7014568,0.0,0.0
2024-12-23,220.4961835,0.0,0.0
2024-12-24,220.3427439,0.0,0.0
2024-12-25,220.3427439,0.0,0.0
2024-12-26,221.3658608,0.0,0.0
2024-12-27,229.9374589,0.0,0.0
2024-12-28,228.8142598,0.0,0.0
2024-12-29,229.4521888,0.0,0.0
2024-12-30,222.4718404,0.0,0.0
2024-12-31,228.5375519,0.0,0.0
2025-01-01,239.78,0.0,0.0
2025-01-02,213.43,0.0,0.0
2025-01-03,220.75,0.0,0.0
2025-01-04,214.54,0.0,0.0
2025-01-05,211.15,0.0,0.0
2025-01-06,199.62,0.0,0.0
2025-01-07,194.07,0.0,0.0
2025-01-08,197.4,0.0,0.0
2025-01-09,200.08,0.0,0.0
2025-01-10,209.91,0.0,0.0
2025-01-11,205.79,0.0,0.0
2025-01-12,215.26,0.0,0.0
2025-01-13,193.42,0.0,0.0
2025-01-14,193.7,0.0,0.0
2025-01-15,191.22,0.0,0.0
2025-01-16,189.6,0.0,0.0
2025-01-17,208.44,0.0,0.0
2025-01-18,199.92,0.0,0.0
2025-01-19,209.01,0.0,0.0
2025-01-20,197.79,0.0,0.0
2025-01-21,212.25,0.0,0.0
2025-01-22,200.65,0.0,0.0
2025-01-23,198.46,0.0,0.0
2025-01-24,211.34,0.0,0.0
2025-01-25,208.12,0.0,0.0
2025-01-26,223.0,0.0,0.0
2025-01-27,219.13,0.0,0.0
2025-01-28,207.45,0.0,0.0
2025-01-29,216.71,0.0,0.0
2025-01-30,204.42,0.0,0.0
