Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,125.7254814,0.0,0.0
2024-10-02,123.9628114,0.0,0.0
2024-10-03,118.0287122,0.0,0.0
2024-10-04,123.219691,0.0,0.0
2024-10-05,135.2295681,0.0,0.0
2024-10-06,137.8404942,0.0,0.0
2024-10-07,121.4838234,0.0,0.0
2024-10-08,123.0877227,0.0,0.0
2024-10-09,126.8177055,0.0,0.0
2024-10-10,131.0686988,0.0,0.0
2024-10-11,130.4700162,0.0,0.0
2024-10-12,137.2129192,0.0,0.0
2024-10-13,138.7600683,0.0,0.0
2024-10-14,125.942612,0.0,0.0
2024-10-15,125.6819774,0.0,0.0
2024-10-16,118.1140081,0.0,0.0
2024-10-17,123.7431793,0.0,0.0
2024-10-18,126.1432716,0.0,0.0
2024-10-19,134.3474206,0.0,0.0
2024-10-20,141.9508267,0.0,0.0
2024-10-21,120.0682785,0.0,0.0
2024-10-22,125.6324096,0.0,0.0
2024-10-23,124.7559927,0.0,0.0
2024-10-24,127.5380641,0.0,0.0
2024-10-25,132.5273574,0.0,0.0
2024-10-26,135.1484723,0.0,0.0
2024-10-27,142.774589,0.0,0.0
2024-10-28,123.7347994,0.0,0.0
2024-10-29,122.2799609,0.0,0.0
2024-10-30,123.5515659,0.0,0.0
2024-11-01,63.80175976,0.0,0.0
2024-11-02,128.9687633,0.0,0.0
2024-11-03,140.1764971,0.0,0.0
2024-11-04,120.576868,0.0,0.0
2024-11-05,119.2624595,0.0,0.0
2024-11-06,120.8170533,0.0,0.0
2024-11-07,121.3002248,0.0,0.0
2024-11-08,126.6960994,0.0,0.0
2024-11-09,131.1850877,0.0,0.0
2024-11-10,136.4820623,0.0,0.0
2024-11-11,124.3792577,0.0,0.0
2024-11-12,121.4992342,0.0,0.0
2024-11-13,124.5310594,0.0,0.0
2024-11-14,122.3131834,0.0,0.0
2024-11-15,125.9238678,0.0,0.0
2024-11-16,132.0409991,0.0,0.0
2024-11-17,136.1079987,0.0,0.0
2024-11-18,120.8513897,0.0,0.0
2024-11-19,122.6368634,0.0,0.0
2024-11-20,121.6398335,0.0,0.0
2024-11-21,124.7961173,0.0,0.0
2024-11-22,127.4927063,0.0,0.0
2024-11-23,135.7812987,0.0,0.0
2024-11-24,136.433189,0.0,0.0
2024-11-25,122.5266421,0.0,0.0
2024-11-26,127.5458872,0.0,0.0
2024-11-27,140.8858345,0.0,0.0
2024-11-28,129.0426377,0.0,0.0
2024-11-29,122.9928437,0.0,0.0
2024-11-30,131.8953299,0.0,0.0
