Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,373.3826004,0.0,0.0
2024-10-02,369.6212592,0.0,0.0
2024-10-03,327.9357954,0.0,0.0
2024-10-04,305.6652752,0.0,0.0
2024-10-05,394.9524616,0.0,0.0
2024-10-06,398.2513142,0.0,0.0
2024-10-07,362.0345587,0.0,0.0
2024-10-08,367.8138952,0.0,0.0
2024-10-09,372.9466365,0.0,0.0
2024-10-10,381.6867489,0.0,0.0
2024-10-11,386.2070929,0.0,0.0
2024-10-12,390.7070032,0.0,0.0
2024-10-13,395.6858476,0.0,0.0
2024-10-14,359.4546285,0.0,0.0
2024-10-15,346.1251398,0.0,0.0
2024-10-16,335.7765997,0.0,0.0
2024-10-17,359.6810837,0.0,0.0
2024-10-18,378.8419458,0.0,0.0
2024-10-19,396.262667,0.0,0.0
2024-10-20,401.4700158,0.0,0.0
2024-10-21,359.5225098,0.0,0.0
2024-10-22,363.2135553,0.0,0.0
2024-10-23,373.5931525,0.0,0.0
2024-10-24,384.3635189,0.0,0.0
2024-10-25,391.8119773,0.0,0.0
2024-10-26,401.4774877,0.0,0.0
2024-10-27,415.7707411,0.0,0.0
2024-10-28,372.7748355,0.0,0.0
2024-10-29,377.9750858,0.0,0.0
2024-10-30,381.6448941,0.0,0.0
2024-11-01,178.8661092,0.0,0.0
2024-11-02,386.8059115,0.0,0.0
2024-11-03,392.9331717,0.0,0.0
2024-11-04,359.0147948,0.0,0.0
2024-11-05,354.696482,0.0,0.0
2024-11-06,365.0227591,0.0,0.0
2024-11-07,368.5685386,0.0,0.0
2024-11-08,372.332863,0.0,0.0
2024-11-09,399.515965,0.0,0.0
2024-11-10,400.7779934,0.0,0.0
2024-11-11,369.456436,0.0,0.0
2024-11-12,364.2901954,0.0,0.0
2024-11-13,366.4631412,0.0,0.0
2024-11-14,369.5428405,0.0,0.0
2024-11-15,375.3056142,0.0,0.0
2024-11-16,381.4747254,0.0,0.0
2024-11-17,390.2501229,0.0,0.0
2024-11-18,361.0239833,0.0,0.0
2024-11-19,375.4204878,0.0,0.0
2024-11-20,367.0966901,0.0,0.0
2024-11-21,370.4655997,0.0,0.0
2024-11-22,377.9659963,0.0,0.0
2024-11-23,394.2694813,0.0,0.0
2024-11-24,403.8808401,0.0,0.0
2024-11-25,372.9287431,0.0,0.0
2024-11-26,363.6105918,0.0,0.0
2024-11-27,380.0316617,0.0,0.0
2024-11-28,367.4192763,0.0,0.0
2024-11-29,367.1586627,0.0,0.0
2024-11-30,396.9334475,0.0,0.0
2024-12-01,386.8305075,0.0,0.0
2024-12-02,355.4989691,0.0,0.0
2024-12-03,366.0831836,0.0,0.0
2024-12-04,374.335917,0.0,0.0
2024-12-05,383.5117548,0.0,0.0
2024-12-06,383.5102404,0.0,0.0
2024-12-07,398.8850024,0.0,0.0
2024-12-08,403.4010835,0.0,0.0
2024-12-09,370.5273338,0.0,0.0
2024-12-10,381.7110582,0.0,0.0
2024-12-11,375.5762951,0.0,0.0
2024-12-12,397.4564169,0.0,0.0
2024-12-13,383.709196,0.0,0.0
2024-12-14,398.2932403,0.0,0.0
2024-12-15,399.528596,0.0,0.0
2024-12-16,369.9264497,0.0,0.0
2024-12-17,379.5515778,0.0,0.0
2024-12-18,378.4049903,0.0,0.0
2024-12-19,376.1359826,0.0,0.0
2024-12-20,377.1544904,0.0,0.0
2024-12-21,385.0805588,0.0,0.0
2024-12-22,385.0805588,0.0,0.0
2024-12-23,371.2842818,0.0,0.0
2024-12-24,376.4042726,0.0,0.0
2024-12-25,376.4042726,0.0,0.0
2024-12-26,377.6823175,0.0,0.0
2024-12-27,374.7669573,0.0,0.0
2024-12-28,385.0949923,0.0,0.0
2024-12-29,387.2181265,0.0,0.0
2024-12-30,371.4522145,0.0,0.0
2024-12-31,370.7127082,0.0,0.0
2025-01-01,395.66,0.0,0.0
2025-01-02,343.41,0.0,0.0
2025-01-03,345.76,0.0,0.0
2025-01-04,356.0,0.0,0.0
2025-01-05,367.07,0.0,0.0
2025-01-06,326.6,0.0,0.0
2025-01-07,326.64,0.0,0.0
2025-01-08,331.01,0.0,0.0
2025-01-09,330.99,0.0,0.0
2025-01-10,343.44,0.0,0.0
2025-01-11,354.59,0.0,0.0
2025-01-12,363.22,0.0,0.0
2025-01-13,322.98,0.0,0.0
2025-01-14,333.58,0.0,0.0
2025-01-15,331.7,0.0,0.0
2025-01-16,333.94,0.0,0.0
2025-01-17,341.9,0.0,0.0
2025-01-18,352.34,0.0,0.0
2025-01-19,359.62,0.0,0.0
2025-01-20,323.23,0.0,0.0
2025-01-21,333.49,0.0,0.0
2025-01-22,330.04,0.0,0.0
2025-01-23,336.17,0.0,0.0
2025-01-24,343.13,0.0,0.0
2025-01-25,353.03,0.0,0.0
2025-01-26,374.07,0.0,0.0
2025-01-27,375.86,0.0,0.0
2025-01-28,361.99,0.0,0.0
2025-01-29,359.37,0.0,0.0
2025-01-30,329.86,0.0,0.0
2025-01-31,335.61,0.0,0.0
2025-02-01,348.06,0.0,0.0
2025-02-02,358.48,0.0,0.0
2025-02-03,322.13,0.0,0.0
2025-02-04,328.23,0.0,0.0
2025-02-05,329.16,0.0,0.0
2025-02-06,340.07,0.0,0.0
2025-02-07,342.74,0.0,0.0
2025-02-08,356.37,0.0,0.0
2025-02-09,361.21,0.0,0.0
2025-02-10,333.46,0.0,0.0
2025-02-11,337.71,0.0,0.0
2025-02-12,343.56,0.0,0.0
2025-02-13,348.09,0.0,0.0
2025-02-14,351.8,0.0,0.0
2025-02-15,367.36,0.0,0.0
2025-02-16,373.16,0.0,0.0
2025-02-17,342.15,0.0,0.0
2025-02-18,337.88,0.0,0.0
2025-02-19,339.16,0.0,0.0
2025-02-20,343.79,0.0,0.0
2025-02-21,357.77,0.0,0.0
2025-02-22,379.85,0.0,0.0
2025-02-23,377.02,0.0,0.0
