Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,2.626820516,0.0,0.0
2024-10-02,2.768330156,0.0,0.0
2024-10-03,2.74916843,0.0,0.0
2024-10-04,2.698888296,0.0,0.0
2024-10-05,2.770950855,0.0,0.0
2024-10-06,2.837797955,0.0,0.0
2024-10-07,2.659710891,0.0,0.0
2024-10-08,2.670421871,0.0,0.0
2024-10-09,2.700916678,0.0,0.0
2024-10-10,2.960552517,0.0,0.0
2024-10-11,3.00469969,0.0,0.0
2024-10-12,2.863013899,0.0,0.0
2024-10-13,2.873954064,0.0,0.0
2024-10-14,2.800957857,0.0,0.0
2024-10-15,3.055575247,0.0,0.0
2024-10-16,2.824513285,0.0,0.0
2024-10-17,2.816379819,0.0,0.0
2024-10-18,2.849163555,0.0,0.0
2024-10-19,2.785470262,0.0,0.0
2024-10-20,2.869211342,0.0,0.0
2024-10-21,2.616110153,0.0,0.0
2024-10-22,2.725547127,0.0,0.0
2024-10-23,2.636226014,0.0,0.0
2024-10-24,2.809234086,0.0,0.0
2024-10-25,2.873005179,0.0,0.0
2024-10-26,2.9220986,0.0,0.0
2024-10-27,2.884608059,0.0,0.0
2024-10-28,2.835080736,0.0,0.0
2024-10-29,2.959667241,0.0,0.0
2024-10-30,2.910282405,0.0,0.0
2024-11-01,1.393748691,0.0,0.0
2024-11-02,2.867503573,0.0,0.0
2024-11-03,2.78436764,0.0,0.0
2024-11-04,2.465329782,0.0,0.0
2024-11-05,2.722584516,0.0,0.0
2024-11-06,2.73234067,0.0,0.0
2024-11-07,2.862103208,0.0,0.0
2024-11-08,2.837655635,0.0,0.0
2024-11-09,2.866058392,0.0,0.0
2024-11-10,2.841861036,0.0,0.0
2024-11-11,2.66566249,0.0,0.0
2024-11-12,2.790931083,0.0,0.0
2024-11-13,2.771138894,0.0,0.0
2024-11-14,2.842591571,0.0,0.0
2024-11-15,2.812734646,0.0,0.0
2024-11-16,2.784980629,0.0,0.0
2024-11-17,2.974286927,0.0,0.0
2024-11-18,2.624808795,0.0,0.0
2024-11-19,2.949930662,0.0,0.0
2024-11-20,2.760800954,0.0,0.0
2024-11-21,2.648669665,0.0,0.0
2024-11-22,2.766388301,0.0,0.0
2024-11-23,2.988862721,0.0,0.0
2024-11-24,3.019148528,0.0,0.0
2024-11-25,2.170726925,0.0,0.0
2024-11-26,3.017083858,0.0,0.0
2024-11-27,3.01492941,0.0,0.0
2024-11-28,3.018697252,0.0,0.0
2024-11-29,2.838329894,0.0,0.0
2024-11-30,2.706695612,0.0,0.0
2024-12-01,2.956683941,0.0,0.0
2024-12-02,2.768810368,0.0,0.0
2024-12-03,2.830943191,0.0,0.0
2024-12-04,2.995614232,0.0,0.0
2024-12-05,3.05378983,0.0,0.0
2024-12-06,3.112380561,0.0,0.0
2024-12-07,2.886965685,0.0,0.0
2024-12-08,3.059775045,0.0,0.0
2024-12-09,2.933461503,0.0,0.0
2024-12-10,2.964304105,0.0,0.0
2024-12-11,2.857879368,0.0,0.0
2024-12-12,2.068007733,0.0,0.0
2024-12-13,3.041217517,0.0,0.0
2024-12-14,2.98620627,0.0,0.0
2024-12-15,3.198624522,0.0,0.0
2024-12-16,3.01697077,0.0,0.0
2024-12-17,2.988381499,0.0,0.0
2024-12-18,3.093622323,0.0,0.0
2024-12-19,3.23942063,0.0,0.0
2024-12-20,3.045681612,0.0,0.0
2024-12-21,2.984892458,0.0,0.0
2024-12-22,2.984892458,0.0,0.0
2024-12-23,2.96657384,0.0,0.0
2024-12-24,3.024409867,0.0,0.0
2024-12-25,3.024409867,0.0,0.0
2024-12-26,3.168780439,0.0,0.0
2024-12-27,3.169873051,0.0,0.0
2024-12-28,3.155690408,0.0,0.0
