Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,20.90789378,0.0,0.0
2024-10-02,20.84379983,0.0,0.0
2024-10-03,21.45064161,0.0,0.0
2024-10-04,21.76097489,0.0,0.0
2024-10-05,23.64935122,0.0,0.0
2024-10-06,23.98655772,0.0,0.0
2024-10-07,20.95425946,0.0,0.0
2024-10-08,21.14347897,0.0,0.0
2024-10-09,21.09635134,0.0,0.0
2024-10-10,23.04224989,0.0,0.0
2024-10-11,22.93820691,0.0,0.0
2024-10-12,23.25379342,0.0,0.0
2024-10-13,24.02521229,0.0,0.0
2024-10-14,21.63739849,0.0,0.0
2024-10-15,22.45949955,0.0,0.0
2024-10-16,21.5518821,0.0,0.0
2024-10-17,22.57955412,0.0,0.0
2024-10-18,23.15093173,0.0,0.0
2024-10-19,23.9798743,0.0,0.0
2024-10-20,26.00791947,0.0,0.0
2024-10-21,22.11293121,0.0,0.0
2024-10-22,22.38085739,0.0,0.0
2024-10-23,21.81883054,0.0,0.0
2024-10-24,22.60236944,0.0,0.0
2024-10-25,23.67151455,0.0,0.0
2024-10-26,24.56209767,0.0,0.0
2024-10-27,25.15419339,0.0,0.0
2024-10-28,21.45651179,0.0,0.0
2024-10-29,21.28622628,0.0,0.0
2024-10-30,21.56604955,0.0,0.0
2024-11-01,10.09553896,0.0,0.0
2024-11-02,23.66643152,0.0,0.0
2024-11-03,24.43774592,0.0,0.0
2024-11-04,20.9679485,0.0,0.0
2024-11-05,21.15665858,0.0,0.0
2024-11-06,20.861773,0.0,0.0
2024-11-07,21.297329,0.0,0.0
2024-11-08,21.35990504,0.0,0.0
2024-11-09,22.0362544,0.0,0.0
2024-11-10,23.6782377,0.0,0.0
2024-11-11,21.31998127,0.0,0.0
2024-11-12,21.53797701,0.0,0.0
2024-11-13,20.87412963,0.0,0.0
2024-11-14,20.75924857,0.0,0.0
2024-11-15,21.89476038,0.0,0.0
2024-11-16,22.21752575,0.0,0.0
2024-11-17,22.95200528,0.0,0.0
2024-11-18,20.84397945,0.0,0.0
2024-11-19,21.96185917,0.0,0.0
2024-11-20,20.84718412,0.0,0.0
2024-11-21,20.67853,0.0,0.0
2024-11-22,21.21708408,0.0,0.0
2024-11-23,21.41776458,0.0,0.0
2024-11-24,22.48768285,0.0,0.0
2024-11-25,21.40586046,0.0,0.0
2024-11-26,21.09668382,0.0,0.0
2024-11-27,21.56382573,0.0,0.0
2024-11-28,21.98727596,0.0,0.0
2024-11-29,21.42104649,0.0,0.0
2024-11-30,21.65098967,0.0,0.0
2024-12-01,21.50523616,0.0,0.0
2024-12-02,19.74375735,0.0,0.0
2024-12-03,19.61788819,0.0,0.0
2024-12-04,19.81231374,0.0,0.0
2024-12-05,20.14522574,0.0,0.0
2024-12-06,20.36005892,0.0,0.0
2024-12-07,21.73065561,0.0,0.0
2024-12-08,22.56733381,0.0,0.0
2024-12-09,20.1201349,0.0,0.0
2024-12-10,20.85428353,0.0,0.0
2024-12-11,20.59632902,0.0,0.0
