Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,165.5377264,0.0,0.0
2024-10-02,165.3727606,0.0,0.0
2024-10-03,165.1526033,0.0,0.0
2024-10-04,172.0691769,0.0,0.0
2024-10-05,175.7551645,0.0,0.0
2024-10-06,184.8683069,0.0,0.0
2024-10-07,164.3037681,0.0,0.0
2024-10-08,165.1825997,0.0,0.0
2024-10-09,167.923193,0.0,0.0
2024-10-10,173.6408291,0.0,0.0
2024-10-11,179.1237856,0.0,0.0
2024-10-12,176.4731986,0.0,0.0
2024-10-13,185.145067,0.0,0.0
2024-10-14,167.0901519,0.0,0.0
2024-10-15,168.9290081,0.0,0.0
2024-10-16,163.6436354,0.0,0.0
2024-10-17,166.8063548,0.0,0.0
2024-10-18,174.6662692,0.0,0.0
2024-10-19,177.0652818,0.0,0.0
2024-10-20,188.610178,0.0,0.0
2024-10-21,167.5140203,0.0,0.0
2024-10-22,172.5390546,0.0,0.0
2024-10-23,170.7640253,0.0,0.0
2024-10-24,174.7813881,0.0,0.0
2024-10-25,179.4837939,0.0,0.0
2024-10-26,177.7752676,0.0,0.0
2024-10-27,191.1131505,0.0,0.0
2024-10-28,168.5973188,0.0,0.0
2024-10-29,167.5590226,0.0,0.0
2024-10-30,167.5844178,0.0,0.0
2024-11-01,83.05703021,0.0,0.0
2024-11-02,172.2663087,0.0,0.0
2024-11-03,183.5017745,0.0,0.0
2024-11-04,164.2110839,0.0,0.0
2024-11-05,163.5563618,0.0,0.0
2024-11-06,163.8319985,0.0,0.0
2024-11-07,164.5166283,0.0,0.0
2024-11-08,171.0809159,0.0,0.0
2024-11-09,174.8523333,0.0,0.0
2024-11-10,183.4311295,0.0,0.0
2024-11-11,164.2581737,0.0,0.0
2024-11-12,166.6230382,0.0,0.0
2024-11-13,164.6210088,0.0,0.0
2024-11-14,163.9083566,0.0,0.0
2024-11-15,171.0038685,0.0,0.0
2024-11-16,170.002133,0.0,0.0
2024-11-17,177.396956,0.0,0.0
2024-11-18,160.2943419,0.0,0.0
2024-11-19,165.4664651,0.0,0.0
2024-11-20,161.6689973,0.0,0.0
2024-11-21,163.3291568,0.0,0.0
2024-11-22,170.1320729,0.0,0.0
2024-11-23,171.0482569,0.0,0.0
2024-11-24,177.2454918,0.0,0.0
2024-11-25,165.7428423,0.0,0.0
2024-11-26,171.1738494,0.0,0.0
2024-11-27,187.4189365,0.0,0.0
2024-11-28,167.1131452,0.0,0.0
2024-11-29,171.8318038,0.0,0.0
2024-11-30,171.5389453,0.0,0.0
2024-12-01,177.4669,0.0,0.0
2024-12-02,161.8382825,0.0,0.0
2024-12-03,161.1767684,0.0,0.0
2024-12-04,164.433364,0.0,0.0
2024-12-05,166.3365123,0.0,0.0
2024-12-06,177.3300881,0.0,0.0
2024-12-07,172.1123082,0.0,0.0
2024-12-08,181.1459393,0.0,0.0
2024-12-09,165.3176566,0.0,0.0
2024-12-10,166.701915,0.0,0.0
2024-12-11,165.8884252,0.0,0.0
2024-12-12,176.9025126,0.0,0.0
2024-12-13,170.3403008,0.0,0.0
2024-12-14,178.4410731,0.0,0.0
2024-12-15,178.5665654,0.0,0.0
2024-12-16,170.3053811,0.0,0.0
2024-12-17,166.9837645,0.0,0.0
2024-12-18,167.1401207,0.0,0.0
2024-12-19,168.1105151,0.0,0.0
2024-12-20,171.7572169,0.0,0.0
2024-12-21,179.0610894,0.0,0.0
2024-12-22,179.0610894,0.0,0.0
2024-12-23,177.7431764,0.0,0.0
2024-12-24,178.1114733,0.0,0.0
2024-12-25,178.1114733,0.0,0.0
2024-12-26,184.2815656,0.0,0.0
2024-12-27,178.5758447,0.0,0.0
2024-12-28,184.0713434,0.0,0.0
2024-12-29,186.399349,0.0,0.0
2024-12-30,180.2202286,0.0,0.0
2024-12-31,184.5545584,0.0,0.0
2025-01-01,198.08,0.0,0.0
2025-01-02,172.56,0.0,0.0
2025-01-03,166.3,0.0,0.0
2025-01-04,167.67,0.0,0.0
2025-01-05,171.04,0.0,0.0
2025-01-06,155.6,0.0,0.0
2025-01-07,152.58,0.0,0.0
2025-01-08,154.09,0.0,0.0
2025-01-09,153.39,0.0,0.0
2025-01-10,160.26,0.0,0.0
2025-01-11,159.85,0.0,0.0
2025-01-12,168.73,0.0,0.0
2025-01-13,150.6,0.0,0.0
2025-01-14,151.98,0.0,0.0
2025-01-15,149.99,0.0,0.0
2025-01-16,153.62,0.0,0.0
2025-01-17,157.2,0.0,0.0
2025-01-18,157.02,0.0,0.0
2025-01-19,165.56,0.0,0.0
2025-01-20,149.91,0.0,0.0
2025-01-21,153.27,0.0,0.0
2025-01-22,153.01,0.0,0.0
2025-01-23,152.76,0.0,0.0
2025-01-24,156.52,0.0,0.0
2025-01-25,158.13,0.0,0.0
2025-01-26,168.47,0.0,0.0
2025-01-27,173.91,0.0,0.0
2025-01-28,166.37,0.0,0.0
2025-01-29,163.92,0.0,0.0
2025-01-30,151.21,0.0,0.0
2025-01-31,153.01,0.0,0.0
2025-02-01,156.43,0.0,0.0
2025-02-02,170.01,0.0,0.0
2025-02-03,144.87,0.0,0.0
2025-02-04,146.29,0.0,0.0
2025-02-05,145.15,0.0,0.0
2025-02-06,151.03,0.0,0.0
2025-02-07,153.78,0.0,0.0
2025-02-08,154.71,0.0,0.0
2025-02-09,157.86,0.0,0.0
2025-02-10,148.94,0.0,0.0
2025-02-11,149.06,0.0,0.0
2025-02-12,149.89,0.0,0.0
2025-02-13,151.39,0.0,0.0
2025-02-14,155.31,0.0,0.0
2025-02-15,156.29,0.0,0.0
2025-02-16,164.92,0.0,0.0
2025-02-17,148.33,0.0,0.0
2025-02-18,148.57,0.0,0.0
2025-02-19,148.33,0.0,0.0
2025-02-20,149.87,0.0,0.0
2025-02-21,157.4,0.0,0.0
2025-02-22,159.46,0.0,0.0
2025-02-23,166.97,0.0,0.0
2025-02-24,151.62,0.0,0.0
2025-02-25,146.85,0.0,0.0
2025-02-26,154.26,0.0,0.0
2025-02-27,157.73,0.0,0.0
2025-02-28,158.11,0.0,0.0
2025-03-01,161.13,0.0,0.0
2025-03-02,169.41,0.0,0.0
2025-03-03,161.32,0.0,0.0
2025-03-04,154.98,0.0,0.0
2025-03-05,159.69,0.0,0.0
2025-03-06,155.91,0.0,0.0
2025-03-07,158.55,0.0,0.0
2025-03-08,161.85,0.0,0.0
2025-03-09,168.12,0.0,0.0
2025-03-10,162.97,0.0,0.0
2025-03-11,155.33,0.0,0.0
2025-03-12,157.62,0.0,0.0
2025-03-13,163.26,0.0,0.0
2025-03-14,162.87,0.0,0.0
2025-03-15,164.44,0.0,0.0
2025-03-16,171.47,0.0,0.0
2025-03-17,163.08,0.0,0.0
2025-03-18,159.27,0.0,0.0
2025-03-19,164.85,0.0,0.0
2025-03-20,166.26,0.0,0.0
2025-03-21,168.43,0.0,0.0
2025-03-22,181.42,0.0,0.0
2025-03-23,181.09,0.0,0.0
2025-03-24,173.71,0.0,0.0
2025-03-25,174.39,0.0,0.0
2025-03-26,180.82,0.0,0.0
