Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,76.6957303,0.0,0.0
2024-10-02,76.30157162,0.0,0.0
2024-10-03,66.6863995,0.0,0.0
2024-10-04,64.98794919,0.0,0.0
2024-10-05,82.22950264,0.0,0.0
2024-10-06,83.26541624,0.0,0.0
2024-10-07,73.01554182,0.0,0.0
2024-10-08,74.04842493,0.0,0.0
2024-10-09,77.11862762,0.0,0.0
2024-10-10,79.98970736,0.0,0.0
2024-10-11,80.02630233,0.0,0.0
2024-10-12,81.62891002,0.0,0.0
2024-10-13,84.61652484,0.0,0.0
2024-10-14,75.12747644,0.0,0.0
2024-10-15,74.36648472,0.0,0.0
2024-10-16,69.29392964,0.0,0.0
2024-10-17,74.61362349,0.0,0.0
2024-10-18,76.82598617,0.0,0.0
2024-10-19,82.91358133,0.0,0.0
2024-10-20,83.97599006,0.0,0.0
2024-10-21,73.06525073,0.0,0.0
2024-10-22,75.19125629,0.0,0.0
2024-10-23,74.87697063,0.0,0.0
2024-10-24,76.83542094,0.0,0.0
2024-10-25,78.80709862,0.0,0.0
2024-10-26,80.6118559,0.0,0.0
2024-10-27,85.03411549,0.0,0.0
2024-10-28,74.36646844,0.0,0.0
2024-10-29,74.64132936,0.0,0.0
2024-10-30,75.77890452,0.0,0.0
2024-11-01,36.51039565,0.0,0.0
2024-11-02,78.87335,0.0,0.0
2024-11-03,81.92107505,0.0,0.0
2024-11-04,74.17525062,0.0,0.0
2024-11-05,73.45890215,0.0,0.0
2024-11-06,73.20534524,0.0,0.0
2024-11-07,73.52280837,0.0,0.0
2024-11-08,75.95005674,0.0,0.0
2024-11-09,80.04641889,0.0,0.0
2024-11-10,82.06680737,0.0,0.0
2024-11-11,75.23115015,0.0,0.0
2024-11-12,73.50562516,0.0,0.0
2024-11-13,73.67565584,0.0,0.0
2024-11-14,73.012433,0.0,0.0
2024-11-15,76.64278773,0.0,0.0
2024-11-16,79.21890153,0.0,0.0
2024-11-17,79.79650334,0.0,0.0
2024-11-18,71.63861576,0.0,0.0
2024-11-19,78.08283655,0.0,0.0
2024-11-20,72.34424668,0.0,0.0
2024-11-21,74.52875596,0.0,0.0
2024-11-22,75.96840268,0.0,0.0
2024-11-23,78.15654047,0.0,0.0
2024-11-24,79.73656301,0.0,0.0
2024-11-25,72.8899832,0.0,0.0
2024-11-26,73.28172222,0.0,0.0
2024-11-27,77.89798638,0.0,0.0
2024-11-28,75.33685974,0.0,0.0
2024-11-29,71.69250919,0.0,0.0
2024-11-30,77.53795975,0.0,0.0
2024-12-01,81.70185853,0.0,0.0
2024-12-02,71.17907764,0.0,0.0
2024-12-03,71.67880281,0.0,0.0
2024-12-04,71.40819243,0.0,0.0
2024-12-05,72.90504357,0.0,0.0
2024-12-06,72.52719312,0.0,0.0
2024-12-07,76.65401259,0.0,0.0
2024-12-08,79.67638379,0.0,0.0
2024-12-09,72.842481,0.0,0.0
2024-12-10,74.40357217,0.0,0.0
2024-12-11,72.8133095,0.0,0.0
2024-12-12,76.2308426,0.0,0.0
2024-12-13,71.02327435,0.0,0.0
2024-12-14,75.81756159,0.0,0.0
2024-12-15,80.78377322,0.0,0.0
2024-12-16,72.30482057,0.0,0.0
2024-12-17,73.48918796,0.0,0.0
2024-12-18,74.20045536,0.0,0.0
2024-12-19,72.35255862,0.0,0.0
2024-12-20,73.97151985,0.0,0.0
2024-12-21,78.4885105,0.0,0.0
2024-12-22,78.4885105,0.0,0.0
2024-12-23,79.3333726,0.0,0.0
2024-12-24,78.27202676,0.0,0.0
2024-12-25,78.27202676,0.0,0.0
2024-12-26,82.01329198,0.0,0.0
2024-12-27,80.00501693,0.0,0.0
2024-12-28,83.49484263,0.0,0.0
2024-12-29,84.48708624,0.0,0.0
2024-12-30,81.65075058,0.0,0.0
2024-12-31,81.89110685,0.0,0.0
2025-01-01,84.42,0.0,0.0
2025-01-02,74.95,0.0,0.0
2025-01-03,74.48,0.0,0.0
2025-01-04,75.28,0.0,0.0
2025-01-05,77.45,0.0,0.0
2025-01-06,70.03,0.0,0.0
2025-01-07,66.52,0.0,0.0
2025-01-08,65.69,0.0,0.0
2025-01-09,66.26,0.0,0.0
2025-01-10,67.99,0.0,0.0
2025-01-11,71.96,0.0,0.0
2025-01-12,75.38,0.0,0.0
2025-01-13,66.04,0.0,0.0
2025-01-14,66.99,0.0,0.0
2025-01-15,67.28,0.0,0.0
2025-01-16,66.49,0.0,0.0
2025-01-17,67.98,0.0,0.0
2025-01-18,69.76,0.0,0.0
2025-01-19,72.76,0.0,0.0
2025-01-20,66.22,0.0,0.0
2025-01-21,66.21,0.0,0.0
2025-01-22,66.37,0.0,0.0
2025-01-23,66.55,0.0,0.0
2025-01-24,69.28,0.0,0.0
2025-01-25,71.73,0.0,0.0
2025-01-26,82.62,0.0,0.0
2025-01-27,80.33,0.0,0.0
2025-01-28,74.5,0.0,0.0
2025-01-29,70.83,0.0,0.0
2025-01-30,67.54,0.0,0.0
2025-01-31,66.44,0.0,0.0
2025-02-01,67.98,0.0,0.0
2025-02-02,72.26,0.0,0.0
2025-02-03,64.63,0.0,0.0
2025-02-04,64.91,0.0,0.0
2025-02-05,66.04,0.0,0.0
2025-02-06,66.45,0.0,0.0
2025-02-07,67.82,0.0,0.0
2025-02-08,71.95,0.0,0.0
2025-02-09,73.41,0.0,0.0
2025-02-10,66.72,0.0,0.0
2025-02-11,66.1,0.0,0.0
2025-02-12,66.71,0.0,0.0
2025-02-13,71.13,0.0,0.0
2025-02-14,71.94,0.0,0.0
2025-02-15,72.25,0.0,0.0
2025-02-16,75.63,0.0,0.0
2025-02-17,68.93,0.0,0.0
2025-02-18,68.7,0.0,0.0
2025-02-19,68.87,0.0,0.0
2025-02-20,69.94,0.0,0.0
2025-02-21,70.84,0.0,0.0
2025-02-22,72.85,0.0,0.0
2025-02-23,75.42,0.0,0.0
2025-02-24,69.47,0.0,0.0
2025-02-25,69.55,0.0,0.0
2025-02-26,70.94,0.0,0.0
2025-02-27,70.24,0.0,0.0
2025-02-28,69.94,0.0,0.0
2025-03-01,65.1,0.0,0.0
2025-03-02,69.68,0.0,0.0
2025-03-03,67.67,0.0,0.0
2025-03-04,63.69,0.0,0.0
2025-03-05,66.24,0.0,0.0
2025-03-06,68.17,0.0,0.0
2025-03-07,69.45,0.0,0.0
2025-03-08,70.94,0.0,0.0
2025-03-09,71.07,0.0,0.0
2025-03-10,67.45,0.0,0.0
2025-03-11,67.35,0.0,0.0
2025-03-12,70.89,0.0,0.0
2025-03-13,69.86,0.0,0.0
2025-03-14,70.47,0.0,0.0
2025-03-15,71.23,0.0,0.0
2025-03-16,71.79,0.0,0.0
2025-03-17,68.72,0.0,0.0
2025-03-18,68.83,0.0,0.0
2025-03-19,73.09,0.0,0.0
2025-03-20,73.35,0.0,0.0
2025-03-21,72.48,0.0,0.0
2025-03-22,77.1,0.0,0.0
2025-03-23,77.72,0.0,0.0
2025-03-24,77.34,0.0,0.0
2025-03-25,77.31,0.0,0.0
2025-03-26,82.18,0.0,0.0
2025-03-27,84.1,0.0,0.0
2025-03-28,94.18,0.0,0.0
2025-03-29,96.11,0.0,0.0
2025-03-30,106.92,0.0,0.0
2025-03-31,115.07,0.0,0.0
2025-04-01,120.65,0.0,0.0
2025-04-02,132.21,0.0,0.0
2025-04-03,134.4925988,0.0,0.0
2025-04-04,130.6595104,0.0,0.0
2025-04-05,122.1953624,0.0,0.0
2025-04-06,116.8765486,0.0,0.0
2025-04-07,102.5090226,0.0,0.0
2025-04-08,96.2299857,0.0,0.0
2025-04-09,92.1065644,0.0,0.0
2025-04-10,89.39755943,0.0,0.0
2025-04-11,88.19596412,0.0,0.0
2025-04-12,89.05840519,0.0,0.0
2025-04-13,91.13673046,0.0,0.0
2025-04-14,80.97849943,0.0,0.0
2025-04-15,77.30690291,0.0,0.0
2025-04-16,76.62624679,0.0,0.0
2025-04-17,78.49926488,0.0,0.0
2025-04-18,85.5206285,0.0,0.0
2025-04-19,83.84379437,0.0,0.0
2025-04-20,81.53853378,0.0,0.0
2025-04-21,75.02522108,0.0,0.0
2025-04-22,73.2916982,0.0,0.0
2025-04-23,74.45407099,0.0,0.0
2025-04-24,74.68976256,0.0,0.0
2025-04-25,73.78915964,0.0,0.0
2025-04-26,77.59320222,0.0,0.0
2025-04-27,81.51663118,0.0,0.0
2025-04-28,71.9984944,0.0,0.0
2025-04-29,71.88455433,0.0,0.0
2025-04-30,72.81215913,0.0,0.0
2025-05-01,76.38866234,0.0,0.0
2025-05-02,67.01115647,0.0,0.0
2025-05-03,76.44704944,0.0,0.0
2025-05-04,79.49589681,0.0,0.0
2025-05-05,72.31527034,0.0,0.0
2025-05-06,74.69151838,0.0,0.0
2025-05-07,75.92320331,0.0,0.0
2025-05-08,75.2726535,0.0,0.0
2025-05-09,75.29052555,0.0,0.0
2025-05-10,81.35069884,0.0,0.0
2025-05-11,93.02369424,0.0,0.0
2025-05-12,83.05788797,0.0,0.0
2025-05-13,77.9661911,0.0,0.0
2025-05-14,72.79634259,0.0,0.0
2025-05-15,71.94746458,0.0,0.0
2025-05-16,73.23944246,0.0,0.0
2025-05-17,74.40077256,0.0,0.0
2025-05-18,79.70753072,0.0,0.0
2025-05-19,72.88936313,0.0,0.0
2025-05-20,70.25149877,0.0,0.0
2025-05-21,72.40400875,0.0,0.0
2025-05-22,73.7735953,0.0,0.0
2025-05-23,73.32500125,0.0,0.0
2025-05-24,76.4243442,0.0,0.0
2025-05-25,77.23125891,0.0,0.0
2025-05-26,68.79558993,0.0,0.0
2025-05-27,68.90623541,0.0,0.0
2025-05-28,70.75796269,0.0,0.0
2025-05-29,76.99453206,0.0,0.0
2025-05-30,76.4872745,0.0,0.0
2025-05-31,77.63219792,0.0,0.0
2025-06-01,76.91654602,0.0,0.0
2025-06-02,69.00919723,0.0,0.0
2025-06-03,70.78617733,0.0,0.0
2025-06-04,73.28841654,0.0,0.0
2025-06-05,80.63615324,0.0,0.0
2025-06-06,84.7135536,0.0,0.0
2025-06-07,83.26638002,0.0,0.0
2025-06-08,84.88861222,0.0,0.0
2025-06-09,75.90613221,0.0,0.0
2025-06-10,73.95489679,0.0,0.0
2025-06-11,73.82761968,0.0,0.0
2025-06-12,73.89712246,0.0,0.0
2025-06-13,74.11588942,0.0,0.0
2025-06-14,78.41612467,0.0,0.0
2025-06-15,80.33361458,0.0,0.0
2025-06-16,72.70152786,0.0,0.0
2025-06-17,73.34312379,0.0,0.0
2025-06-18,72.55829121,0.0,0.0
2025-06-19,72.41606899,0.0,0.0
2025-06-20,73.13512673,0.0,0.0
2025-06-21,78.64228806,0.0,0.0
2025-06-22,82.46547723,0.0,0.0
2025-06-23,75.45932288,0.0,0.0
2025-06-24,77.04034648,0.0,0.0
2025-06-25,75.89289388,0.0,0.0
2025-06-26,76.21609229,0.0,0.0
2025-06-27,82.67878004,0.0,0.0
2025-06-28,83.89017062,0.0,0.0
2025-06-29,83.81411377,0.0,0.0
2025-06-30,75.69618544,0.0,0.0
2025-07-01,77.49790493,0.0,0.0
2025-07-02,77.16915476,0.0,0.0
2025-07-03,78.34084487,0.0,0.0
2025-07-04,77.76399151,0.0,0.0
2025-07-05,78.54845556,0.0,0.0
2025-07-06,86.1089333,0.0,0.0
2025-07-07,80.38667006,0.0,0.0
2025-07-08,78.87068276,0.0,0.0
2025-07-09,77.5253262,0.0,0.0
2025-07-10,77.07661119,0.0,0.0
2025-07-11,75.51761391,0.0,0.0
2025-07-12,78.86751235,0.0,0.0
2025-07-13,80.82209541,0.0,0.0
2025-07-14,73.03985849,0.0,0.0
2025-07-15,74.96697108,0.0,0.0
2025-07-16,73.74385043,0.0,0.0
2025-07-17,72.82273253,0.0,0.0
2025-07-18,75.00564145,0.0,0.0
2025-07-19,77.85840918,0.0,0.0
2025-07-20,78.67715956,0.0,0.0
2025-07-21,73.19494843,0.0,0.0
2025-07-22,72.72503954,0.0,0.0
2025-07-23,74.63232944,0.0,0.0
2025-07-24,75.93569254,0.0,0.0
2025-07-25,76.90358255,0.0,0.0
2025-07-26,78.19560784,0.0,0.0
2025-07-27,80.2001616,0.0,0.0
2025-07-28,72.57904881,0.0,0.0
2025-07-29,76.01014561,0.0,0.0
2025-07-30,73.97269621,0.0,0.0
2025-07-31,72.27104702,0.0,0.0
2025-08-01,74.05763475,0.0,0.0
2025-08-02,77.3919214,0.0,0.0
2025-08-03,82.1133039,0.0,0.0
2025-08-04,72.34062549,0.0,0.0
2025-08-05,71.84285959,0.0,0.0
2025-08-06,73.23927184,0.0,0.0
2025-08-07,73.26127612,0.0,0.0
