Date,Traffic_H3I (TB),Traffic_IM3 (TB),Traffic_Total(TB)
2024-10-01,60.88780489,183.5584458,244.4462507
2024-10-02,60.92620942,182.3873178,243.3135272
2024-10-03,60.75143223,181.0533131,241.8047453
2024-10-04,59.8053319,176.4110509,236.2163828
2024-10-05,62.18046322,180.2943392,242.4748024
2024-10-06,63.22279565,187.4326406,250.6554362
2024-10-07,61.00841819,182.5559542,243.5643724
2024-10-08,60.92167368,184.7635673,245.6852409
2024-10-09,61.40273068,186.824946,248.2276767
2024-10-10,63.45300603,191.321526,254.774532
2024-10-11,64.17465068,193.1488592,257.3235099
2024-10-12,63.92686589,190.7030238,254.6298897
2024-10-13,64.47661392,194.3169396,258.7935535
2024-10-14,60.40467365,182.3916831,242.7963567
2024-10-15,61.13735003,184.0848389,245.222189
2024-10-16,59.97081418,179.6134322,239.5842464
2024-10-17,61.15320546,182.4076359,243.5608413
2024-10-18,61.910134,185.8615675,247.7717015
2024-10-19,62.9853542,187.8722297,250.8575839
2024-10-20,64.03156459,194.8941122,258.9256768
2024-10-21,60.73165635,185.313016,246.0446724
2024-10-22,61.25470546,186.8754332,248.1301386
2024-10-23,62.32080348,189.182967,251.5037705
2024-10-24,63.97856182,193.9199665,257.8985283
2024-10-25,65.3977078,195.627031,261.0247388
2024-10-26,64.95104803,194.5766814,259.5277294
2024-10-27,67.63582495,204.0986417,271.7344666
2024-10-28,61.58255441,185.915313,247.4978674
2024-10-29,62.42718562,187.50299,249.9301757
2024-10-30,63.52068064,187.7168819,251.2375625
2024-11-01,30.02906418,90.91027611,120.9393403
2024-11-02,62.53657242,184.7716705,247.3082429
2024-11-03,63.57637439,188.4061544,251.9825288
2024-11-04,59.88528114,179.4817894,239.3670705
2024-11-05,60.04144798,177.5992999,237.6407479
2024-11-06,61.24878275,182.5041639,243.7529467
2024-11-07,61.76848506,184.6234653,246.3919503
2024-11-08,63.29461468,188.7157393,252.010354
2024-11-09,62.72770257,186.7861397,249.5138422
2024-11-10,64.80113932,192.8577969,257.6589362
2024-11-11,60.91395818,181.6979671,242.6119253
2024-11-12,61.46253323,181.4177161,242.8802494
2024-11-13,62.73219817,184.245741,246.9779392
2024-11-14,62.4037084,182.1384467,244.5421551
2024-11-15,62.25158552,184.5888292,246.8404147
2024-11-16,62.95515272,183.2127553,246.167908
2024-11-17,63.46624381,187.5512424,251.0174862
2024-11-18,59.98330954,178.5333376,238.5166471
2024-11-19,62.02577049,184.4661386,246.4919091
2024-11-20,61.55804141,181.9941972,243.5522386
2024-11-21,63.66008895,186.6066718,250.2667608
2024-11-22,63.36116934,187.5546872,250.9158565
2024-11-23,63.92617415,189.6295994,253.5557735
2024-11-24,66.24818186,194.319222,260.5674039
2024-11-25,62.57644857,184.0105905,246.5870391
2024-11-26,61.6441192,181.0405696,242.6846888
2024-11-27,63.81168197,186.4967078,250.3083898
2024-11-28,62.27213436,185.2737271,247.5458615
2024-11-29,61.96006817,183.7682488,245.728317
2024-11-30,65.61735624,194.6114343,260.2287906
2024-12-01,63.81340213,193.2925673,257.1059694
2024-12-02,59.97324459,178.2052024,238.178447
2024-12-03,57.57133262,173.3922873,230.96362
2024-12-04,63.92629817,189.2820172,253.2083153
2024-12-05,64.57422339,190.4743851,255.0486085
2024-12-06,66.57101835,199.4281025,265.9991209
2024-12-07,65.55564222,193.1855121,258.7411543
2024-12-08,67.44093371,199.60573,267.0466637
2024-12-09,65.52730458,194.4567472,259.9840517
2024-12-10,61.43945472,183.186231,244.6256857
2024-12-11,65.61244561,192.6256215,258.2380671
2024-12-12,66.93602311,198.9977622,265.9337853
2024-12-13,63.62917959,186.0429878,249.6721674
2024-12-14,65.73711998,193.2999633,259.0370833
2024-12-15,66.27074104,194.1718531,260.4425942
2024-12-16,65.35870413,193.1347128,258.493417
2024-12-17,63.44873958,185.2180545,248.6667941
2024-12-18,66.72064142,198.1298522,264.8504937
2024-12-19,63.73589692,186.4639861,250.199883
2024-12-20,64.38811111,188.277129,252.6652401
2024-12-21,67.78486628,202.852119,270.6369853
2024-12-22,67.78486628,202.852119,270.6369853
2024-12-23,62.46342594,183.3472865,245.8107124
2024-12-24,63.33575539,183.473611,246.8093664
2024-12-25,63.33575539,183.473611,246.8093664
2024-12-26,65.99175805,190.7227658,256.7145238
2024-12-27,64.27534054,186.5759238,250.8512643
2024-12-28,66.56502346,193.9384926,260.5035161
2024-12-29,66.3467258,191.6538424,258.0005682
2024-12-30,63.69996534,181.9967718,245.6967371
2024-12-31,67.86207625,191.0686682,258.9307445
2025-01-01,70.42,201.73,272.15
2025-01-02,63.04,181.48,244.52
2025-01-03,62.15,179.28,241.43
2025-01-04,63.35,184.43,247.78
2025-01-05,62.27,181.71,243.98
2025-01-06,59.74,175.65,235.39
2025-01-07,60.44,177.39,237.83
2025-01-08,60.75,176.73,237.48
2025-01-09,60.32,177.63,237.94
2025-01-10,62.29,187.49,249.78
2025-01-11,65.35,195.65,260.99
2025-01-12,63.63,190.68,254.32
2025-01-13,58.47,175.28,233.75
2025-01-14,59.19,177.06,236.25
2025-01-15,59.33,178.75,238.08
2025-01-16,59.44,179.47,238.9
2025-01-17,60.04,181.17,241.22
2025-01-18,61.17,183.14,244.3
2025-01-19,61.53,186.85,248.38
2025-01-20,58.71,179.25,237.96
2025-01-21,57.7,174.07,231.77
2025-01-22,59.46,177.42,236.88
2025-01-23,60.44,181.16,241.61
2025-01-24,62.08,186.9,248.98
2025-01-25,61.94,186.75,248.69
2025-01-26,64.91,195.17,260.08
