Date,Traffic_H3I (TB),Traffic_IM3 (TB),Traffic_Total(TB)
2024-10-01,118.5632173,113.4207165,231.9839338
2024-10-02,118.3732555,114.2285952,232.6018507
2024-10-03,102.5281043,98.22298725,200.7510915
2024-10-04,98.25830196,92.68120632,190.9395083
2024-10-05,128.4039161,123.1579418,251.5618579
2024-10-06,134.2412379,127.8938104,262.1350483
2024-10-07,117.1500525,110.6595854,227.8096379
2024-10-08,117.9687364,111.5739211,229.5426574
2024-10-09,118.7453373,113.8739462,232.6192835
2024-10-10,121.5247562,117.2397044,238.7644607
2024-10-11,123.6575788,118.730871,242.3884498
2024-10-12,127.5057355,123.1415855,250.647321
2024-10-13,132.5318796,126.1013458,258.6332253
2024-10-14,116.6338373,111.9694675,228.6033049
2024-10-15,110.154132,106.2138472,216.3679792
2024-10-16,108.6688961,101.6169594,210.2858554
2024-10-17,114.4173898,110.2842671,224.7016569
2024-10-18,119.2841375,116.2328938,235.5170313
2024-10-19,126.821627,123.4427908,250.2644179
2024-10-20,133.9083023,128.3503069,262.2586092
2024-10-21,113.6506444,110.2125683,223.8632127
2024-10-22,115.2514767,111.1418902,226.3933669
2024-10-23,116.8413682,113.7492733,230.5906415
2024-10-24,119.7105349,116.733456,236.4439909
2024-10-25,123.123866,120.2525336,243.3763996
2024-10-26,127.6218996,124.317918,251.9398176
2024-10-27,137.4336649,132.1227328,269.5563977
2024-10-28,117.8033152,114.2153948,232.01871
2024-10-29,118.5460765,115.3653002,233.9113768
2024-10-30,117.7548289,115.6518139,233.4066428
2024-11-01,56.55508841,55.2252806,111.780369
2024-11-02,123.5494827,121.5975166,245.1469993
2024-11-03,129.9769296,126.1466885,256.1236181
2024-11-04,113.5948637,110.0905906,223.6854543
2024-11-05,113.1039346,109.4131123,222.5170468
2024-11-06,112.9731104,110.1493369,223.1224472
2024-11-07,114.1645124,111.6668715,225.8313839
2024-11-08,116.3546917,113.9193053,230.273997
2024-11-09,127.4182234,125.1192306,252.537454
2024-11-10,132.3558373,128.3739659,260.7298032
2024-11-11,117.0543425,112.7365445,229.790887
2024-11-12,113.9892632,110.7920473,224.7813105
2024-11-13,114.7623947,111.3097239,226.0721185
2024-11-14,114.6392849,111.2996664,225.9389514
2024-11-15,117.2964603,114.9974347,232.293895
2024-11-16,123.6026826,119.9007825,243.5034651
2024-11-17,128.0303956,123.5175203,251.5479159
2024-11-18,112.0511951,108.6569749,220.7081701
2024-11-19,115.2248376,112.6827797,227.9076173
2024-11-20,112.9631619,110.3977218,223.3608837
2024-11-21,114.0830581,112.1999364,226.2829945
2024-11-22,117.940437,113.9007485,231.8411855
2024-11-23,125.035077,121.2227198,246.2577968
2024-11-24,131.857947,125.7577364,257.6156835
2024-11-25,118.9081783,112.3454277,231.253606
2024-11-26,116.7514319,110.1689024,226.9203343
2024-11-27,128.5863403,119.0279849,247.6143252
2024-11-28,118.3334443,111.4915382,229.8249824
2024-11-29,118.3152167,110.7004769,229.0156936
2024-11-30,126.8935807,120.8505476,247.7441283
2024-12-01,129.3570313,121.1537863,250.5108176
2024-12-02,114.4306412,105.9323858,220.363027
2024-12-03,117.1951408,108.6837642,225.878905
2024-12-04,119.4570005,111.2568092,230.7138097
2024-12-05,123.4851896,114.7762495,238.261439
2024-12-06,124.8766521,115.0437537,239.9204058
2024-12-07,129.2656854,121.6941393,250.9598247
2024-12-08,134.7312365,124.9974543,259.7286908
2024-12-09,120.2882458,112.4406197,232.7288655
2024-12-10,122.8540454,114.2439979,237.0980433
2024-12-11,119.2898035,112.4529361,231.7427395
2024-12-12,128.6924129,121.8831641,250.575577
2024-12-13,121.9924661,113.6011913,235.5936574
2024-12-14,129.9556911,123.9355898,253.8912809
2024-12-15,133.037679,125.4726215,258.5103005
2024-12-16,119.7474292,112.1449444,231.8923736
2024-12-17,122.6920119,114.7888338,237.4808457
2024-12-18,121.7491232,115.6641014,237.4132246
2024-12-19,122.2621803,115.278912,237.5410923
2024-12-20,121.2373077,114.7756378,236.0129455
2024-12-21,124.1677259,120.1179288,244.2856547
2024-12-22,124.1677259,120.1179288,244.2856547
2024-12-23,120.9954584,114.9676548,235.9631132
2024-12-24,122.076583,116.7599232,238.8365062
2024-12-25,122.076583,116.7599232,238.8365062
2024-12-26,122.9763617,119.5081421,242.4845038
2024-12-27,122.1550995,119.2731865,241.428286
2024-12-28,126.6620761,123.4330185,250.0950946
2024-12-29,132.9147697,127.9907698,260.9055396
2024-12-30,122.1828613,115.925452,238.1083133
2024-12-31,123.5368157,117.26775430000001,240.8045699
2025-01-01,135.58,128.24,263.82
2025-01-02,114.23,108.18,222.4
2025-01-03,115.11,109.07,224.18
2025-01-04,120.19,114.41,234.59
2025-01-05,127.36,119.74,247.09
2025-01-06,108.45,102.56,211.01
2025-01-07,109.32,103.92,213.24
2025-01-08,109.42,104.11,213.52
2025-01-09,108.95,104.04,213.0
2025-01-10,113.32,108.86,222.18
2025-01-11,117.44,114.75,232.19
2025-01-12,123.88,120.49,244.37
2025-01-13,105.2,101.97,207.17
2025-01-14,108.25,105.8,214.05
2025-01-15,106.21,105.39,211.6
2025-01-16,107.11,106.46,213.57
2025-01-17,109.99,108.84,218.83
