Date,Traffic_H3I (TB),Traffic_IM3 (TB),Traffic_Total(TB)
2024-10-01,85.65314807,230.0521702,315.7053183
2024-10-02,84.70609447,226.1645705,310.8706649
2024-10-03,79.32607595,211.138573,290.464649
2024-10-04,80.81836982,215.5160165,296.3343863
2024-10-05,90.13618037,239.2065577,329.3427381
2024-10-06,93.94987674,248.6830692,342.632946
2024-10-07,82.20705496,219.8369931,302.0440481
2024-10-08,83.20664529,222.2629509,305.4695962
2024-10-09,85.48436674,228.1293126,313.6136794
2024-10-10,88.23660845,235.6388882,323.8754966
2024-10-11,88.33556823,235.5158158,323.851384
2024-10-12,90.83230023,243.2808565,334.1131567
2024-10-13,94.14495845,250.6607146,344.805673
2024-10-14,83.75381497,225.1227025,308.8765175
2024-10-15,83.33579674,223.9588684,307.2946652
2024-10-16,80.0575923,210.1518848,290.2094771
2024-10-17,83.32237825,224.3276323,307.6500105
2024-10-18,83.36484028,223.6561404,307.0209807
2024-10-19,89.75460726,240.7275711,330.4821784
2024-10-20,92.88274213,249.6357987,342.5185408
2024-10-21,81.69793457,218.4077266,300.1056611
2024-10-22,85.6262947,228.021918,313.6482127
2024-10-23,84.24357702,225.5177061,309.7612831
2024-10-24,86.11671577,230.6652607,316.7819765
2024-10-25,88.70497708,239.3519722,328.0569493
2024-10-26,90.17220585,243.2083543,333.3805601
2024-10-27,95.81148115,256.62416,352.4356412
2024-10-28,82.86749719,225.2479547,308.1154519
2024-10-29,83.79292945,225.873977,309.6669064
2024-10-30,84.79006008,228.3570529,313.147113
2024-11-01,43.71290091,117.1700542,160.8829551
2024-11-02,87.64773852,236.9308977,324.5786362
2024-11-03,91.46076033,247.197345,338.6581053
2024-11-04,81.69091587,221.8989896,303.5899055
2024-11-05,81.35895834,219.3383259,300.6972842
2024-11-06,82.16221563,220.8323805,302.9945961
2024-11-07,81.9788485,220.0624575,302.041306
2024-11-08,84.50467383,227.3007249,311.8053987
2024-11-09,88.05209142,236.35314,324.4052315
2024-11-10,90.84178029,245.0919281,335.9337084
2024-11-11,85.30936638,228.4119709,313.7213372
2024-11-12,83.49119522,224.3998177,307.891013
2024-11-13,84.18001661,225.5951313,309.7751479
2024-11-14,83.31345933,222.5953682,305.9088275
2024-11-15,84.81248593,227.2684751,312.080961
2024-11-16,88.41371277,236.2270092,324.640722
2024-11-17,88.86927156,238.035693,326.9049646
2024-11-18,81.6251129,219.0428723,300.6679852
2024-11-19,83.40688291,224.0050536,307.4119365
2024-11-20,81.92875926,220.1396981,302.0684573
2024-11-21,83.89099599,225.6382313,309.5292273
2024-11-22,85.44362204,228.3932573,313.8368793
2024-11-23,88.89319719,237.6994252,326.5926224
2024-11-24,90.44831578,240.2880569,330.7363727
2024-11-25,82.73178717,219.5352085,302.2669956
2024-11-26,83.21265238,221.0360856,304.248738
2024-11-27,90.03172661,238.8265068,328.8582334
2024-11-28,86.20282669,228.5720089,314.7748356
2024-11-29,83.26139657,218.0587667,301.3201633
2024-11-30,87.53340576,228.8858197,316.4192254
2024-12-01,92.39364236,241.8714254,334.2650677
2024-12-02,81.56555176,213.6099579,295.1755096
2024-12-03,82.78017775000001,215.1938136,297.9739914
2024-12-04,84.94329184,220.0284742,304.971766
2024-12-05,84.50311277,215.0521865,299.5552993
2024-12-06,85.65089331,222.3840412,308.0349345
2024-12-07,92.07710665,237.987244,330.0643506
2024-12-08,91.84715218,235.4976398,327.344792
2024-12-09,85.36392626,221.8679138,307.23184
2024-12-10,86.148334,224.3001416,310.4484756
2024-12-11,87.24377615,226.5129325,313.7567087
2024-12-12,88.89757342,232.4910741,321.3886475
2024-12-13,86.17631063,226.4189571,312.5952677
2024-12-14,90.10655913,236.8451926,326.9517517
2024-12-15,94.23025243,245.8437747,340.0740271
2024-12-16,85.08376697,221.9255361,307.0093031
2024-12-17,85.28659801,223.842262,309.12886
2024-12-18,87.25705534,228.3261553,315.5832107
2024-12-19,84.80483864,222.5009888,307.3058275
2024-12-20,86.13590334,228.6955919,314.8314952
2024-12-21,87.87947094,233.068094,320.9475649
2024-12-22,87.87947094,233.068094,320.9475649
2024-12-23,86.32110102,228.6892648,315.0103658
2024-12-24,87.35885957,232.0410048,319.3998644
2024-12-25,87.35885957,232.0410048,319.3998644
2024-12-26,87.59861092,233.4838235,321.0824344
2024-12-27,86.33247873,230.709513,317.0419917
2024-12-28,88.78256644,234.552883,323.3354495
2024-12-29,91.80948231,242.5134019,334.3228842
2024-12-30,88.34868969,233.8770003,322.22569
2024-12-31,90.05182578,239.1043045,329.1561303
2025-01-01,94.74,252.1,346.84
2025-01-02,82.64,221.06,303.7
2025-01-03,81.87,220.01,301.88
2025-01-04,82.53,224.13,306.66
2025-01-05,85.75,233.33,319.08
2025-01-06,75.78,208.4,284.18
2025-01-07,75.76,207.71,283.47
2025-01-08,74.55,204.61,279.16
2025-01-09,74.49,205.76,280.25
2025-01-10,77.09,212.93,290.02
2025-01-11,80.77,224.3,305.06
2025-01-12,81.18,227.77,308.95
2025-01-13,73.23,205.01,278.24
2025-01-14,73.25,208.15,281.4
2025-01-15,71.64,204.16,275.81
2025-01-16,70.75,203.95,274.7
2025-01-17,74.95,215.05,290.0
2025-01-18,76.01,218.05,294.06
2025-01-19,80.06,230.37,310.43
2025-01-20,71.64,205.43,277.07
2025-01-21,72.09,206.22,278.31
2025-01-22,71.6,204.95,276.55
2025-01-23,71.92,204.74,276.66
2025-01-24,74.3,212.29,286.59
2025-01-25,76.03,218.13,294.16
2025-01-26,81.77,232.77,314.54
2025-01-27,79.79,228.92,308.71
2025-01-28,77.89,225.02,302.91
2025-01-29,76.2,220.07,296.27
2025-01-30,71.92,205.19,277.1
2025-01-31,72.37,207.64,280.0
2025-02-01,75.42,218.11,293.53
2025-02-02,78.16,226.56,304.72
2025-02-03,69.07,200.73,269.8
2025-02-04,68.9,200.48,269.38
2025-02-05,69.03,201.21,270.24
2025-02-06,69.75,203.41,273.15
2025-02-07,71.32,208.33,279.66
2025-02-08,74.44,218.23,292.67
2025-02-09,76.38,223.72,300.11
2025-02-10,68.53,201.26,269.79
2025-02-11,69.05,202.53,271.58
2025-02-12,70.62,206.73,277.35
2025-02-13,72.4,211.18,283.58
2025-02-14,72.87,216.16,289.03
2025-02-15,75.69,223.5,299.19
2025-02-16,79.7,233.94,313.64
2025-02-17,72.06,212.42,284.47
2025-02-18,71.0,207.54,278.53
2025-02-19,71.5,208.87,280.37
2025-02-20,73.08,213.23,286.31
2025-02-21,75.09,220.95,296.04
2025-02-22,77.98,226.91,304.89
2025-02-23,80.61,233.61,314.22
2025-02-24,73.15,212.7,285.85
2025-02-25,74.21,212.9,287.11
2025-02-26,76.39,222.57,298.96
2025-02-27,76.45,224.31,300.75
2025-02-28,75.3,220.67,295.97
2025-03-01,73.44,215.93,289.37
2025-03-02,78.77,230.69,309.46
2025-03-03,76.52,224.34,300.86
2025-03-04,73.65,216.18,289.84
2025-03-05,76.16,221.76,297.92
2025-03-06,75.91,220.77,296.68
2025-03-07,77.15,224.46,301.61
2025-03-08,80.43,234.15,314.57
2025-03-09,81.8,237.37,319.17
2025-03-10,76.15,220.3,296.45
2025-03-11,75.94,217.44,293.38
2025-03-12,79.36,225.29,304.65
2025-03-13,77.53,219.16,296.68
2025-03-14,79.89,227.08,306.97
2025-03-15,83.93,236.19,320.12
2025-03-16,85.51,242.01,327.52
2025-03-17,79.76,225.65,305.4
2025-03-18,78.54,222.5,301.04
2025-03-19,81.03,230.58,311.6
2025-03-20,81.84,232.83,314.68
2025-03-21,82.31,237.07,319.38
2025-03-22,85.1,244.83,329.93
2025-03-23,87.62,251.17,338.78
2025-03-24,85.04,242.62,327.66
2025-03-25,81.29,234.04,315.34
2025-03-26,88.84,254.8,343.64
2025-03-27,90.82,259.95,350.77
2025-03-28,99.87,287.93,387.79
2025-03-29,101.63,289.91,391.54
2025-03-30,109.65,305.53,415.18
2025-03-31,114.26,314.36,428.63
2025-04-01,114.91,314.69,429.6
2025-04-02,118.27,323.13,441.4
2025-04-03,116.9951163,322.1697414,439.1648577
2025-04-04,116.6827453,324.8061219,441.4888672
2025-04-05,109.1856654,306.7137273,415.8993928
2025-04-06,104.1501826,294.443028,398.5932106
2025-04-07,95.7569925,274.7028032,370.4597957
2025-04-08,92.1027865,266.1700345,358.272821
2025-04-09,89.91424934,258.5898294,348.5040787
2025-04-10,71.30067921,280.452437,351.7531162
2025-04-11,87.84596081,254.8403157,342.6862765
2025-04-12,88.86804232,257.6516776,346.51972
2025-04-13,90.71951328,257.8912255,348.6107387
2025-04-14,81.30152273,233.0514307,314.3529535
2025-04-15,80.33071554,230.6724053,311.0031208
2025-04-16,80.59840657,230.3282719,310.9266785
2025-04-17,81.57508661,233.922805,315.4978916
2025-04-18,86.97556798,249.5526103,336.5281783
2025-04-19,84.38260995,239.7428702,324.1254802
2025-04-20,86.59981937,245.6998843,332.2997037
2025-04-21,80.85762658,230.0943701,310.9519967
2025-04-22,80.61540739,229.562434,310.1778414
2025-04-23,80.96339288,229.7793425,310.7427354
2025-04-24,82.29733656,232.8608893,315.1582258
2025-04-25,82.70049826,234.9972686,317.6977668
2025-04-26,85.81929791,244.6231322,330.4424301
2025-04-27,88.07544975,249.0054646,337.0809144
2025-04-28,78.56778637,222.8997346,301.4675209
2025-04-29,80.00111387,226.9172599,306.9183738
2025-04-30,80.99436443,229.8596284,310.8539928
2025-05-01,85.15415318,242.664505,327.8186582
2025-05-02,75.03392483,212.9195795,287.9535043
2025-05-03,84.36781294,240.6149459,324.9827589
2025-05-04,87.02140779,247.0760724,334.0974802
2025-05-05,80.07083979,227.5086568,307.5794965
2025-05-06,80.10573563,228.1653845,308.2711201
2025-05-07,84.54606628,233.9798617,318.5259279
2025-05-08,83.28680928,231.2464285,314.5332378
2025-05-09,83.41291687,231.6475894,315.0605062
2025-05-10,86.90125022,243.0872422,329.9884924
2025-05-11,93.22416654,259.7231564,352.9473229
2025-05-12,87.93645319,245.8910149,333.8274681
2025-05-13,85.76752943,239.8290901,325.5966195
2025-05-14,82.63394739,230.1399192,312.7738666
2025-05-15,81.08652289,226.5930716,307.6795945
2025-05-16,83.12111777,232.5490587,315.6701765
2025-05-17,83.84827851,235.2986021,319.1468807
2025-05-18,89.25564409,249.5353157,338.7909598
2025-05-19,81.00509679,227.2727532,308.27785
2025-05-20,80.55958489,224.0074684,304.5670532
2025-05-21,83.00394524,231.8734436,314.8773888
2025-05-22,85.03058685,238.2888787,323.3194655
2025-05-23,84.22113434,236.6724023,320.8935366
2025-05-24,85.73357403,240.6831086,326.4166827
2025-05-25,89.14807176,247.7317059,336.8797777
2025-05-26,80.09504287,224.28176,304.3768029
2025-05-27,80.53600476,225.3092862,305.8452909
2025-05-28,82.36316677,229.5775698,311.9407365
2025-05-29,86.79002574,240.869078,327.6591037
2025-05-30,85.21891624,235.9408014,321.1597177
2025-05-31,86.05301457,238.5789466,324.6319612
2025-06-01,88.29125841,241.7856702,330.0769286
2025-06-02,81.41127427,224.2112812,305.6225555
2025-06-03,81.61980179,225.6830516,307.3028533
2025-06-04,83.99798262,230.6440703,314.6420529
2025-06-05,86.5487908,241.1358985,327.6846893
2025-06-06,92.71526871,258.8130413,351.52831
2025-06-07,87.65453177,244.3826423,332.0371741
2025-06-08,89.12709232,248.7952284,337.9223207
2025-06-09,84.41261316,234.7778979,319.190511
2025-06-10,84.04045629,231.9485945,315.9890508
2025-06-11,86.01293042,237.3342184,323.3471488
2025-06-12,85.89405588,235.960151,321.8542069
2025-06-13,86.04208767,234.5319271,320.5740148
2025-06-14,90.96303455,247.8165638,338.7795984
2025-06-15,91.06659819,250.7203557,341.7869539
2025-06-16,83.85621437,232.7325865,316.5888009
2025-06-17,85.09845278,235.1859513,320.2844041
2025-06-18,83.17010063,230.4709865,313.6410871
2025-06-19,84.13530089,231.2573928,315.3926937
2025-06-20,84.42754979,231.2276339,315.6551837
2025-06-21,87.95614246,241.2278662,329.1840087
2025-06-22,91.56946406,248.0158585,339.5853226
2025-06-23,86.74455414,236.8697083,323.6142624
2025-06-24,85.66107635,233.8743431,319.5354195
2025-06-25,85.66130626,232.8748634,318.5361697
2025-06-26,86.4112809,234.1016628,320.5129437
2025-06-27,92.38825736,248.4880468,340.8763041
2025-06-28,90.23423186,243.6120577,333.8462896
2025-06-29,93.53196118,249.5549462,343.0869074
2025-06-30,86.71174044,233.6363775,320.348118
2025-07-01,86.95887796,235.777871,322.736749
2025-07-02,86.75855503,234.2711152,321.0296702
2025-07-03,85.97042797,231.7363371,317.7067651
2025-07-04,86.6441577,233.715407,320.3595647
2025-07-05,84.67938639,230.5876241,315.2670105
2025-07-06,91.92980424,245.7750296,337.7048338
2025-07-07,87.37916379,234.58759,321.9667538
2025-07-08,85.65719309,230.3813304,316.0385235
2025-07-09,84.96924719,227.1303361,312.0995833
2025-07-10,84.16847054,226.6218908,310.7903613
2025-07-11,84.05602617,225.6293825,309.6854086
2025-07-12,86.33825143,231.8523104,318.1905618
2025-07-13,88.49836704,237.2673992,325.7657662
2025-07-14,81.38349042,217.4692153,298.8527057
2025-07-15,81.03001079,219.6223178,300.6523286
2025-07-16,80.44041302,219.9400178,300.3804309
2025-07-17,81.32381102,221.2727552,302.5965663
2025-07-18,82.76594556,224.4869668,307.2529123
2025-07-19,85.29963215,231.7055671,317.0051992
2025-07-20,87.51711604,237.0521438,324.5692598
2025-07-21,79.40107899,215.2549668,294.6560458
2025-07-22,80.50530234,218.3872364,298.8925388
2025-07-23,82.07401092,223.01805,305.0920609
2025-07-24,81.51509932,221.1729904,302.6880897
2025-07-25,82.21498526,221.7374927,303.952478
2025-07-26,85.87994535,233.2385088,319.1184542
2025-07-27,89.05628637,239.8563877,328.9126741
2025-07-28,82.33481298,222.0071759,304.3419889
2025-07-29,85.17707853,230.963372,316.1404505
2025-07-30,81.07571176,218.1622108,299.2379226
2025-07-31,79.67070656,214.5790352,294.2497417
2025-08-01,82.24118198,221.6256116,303.8667936
2025-08-02,86.58387335,232.6587205,319.2425939
2025-08-03,89.83890935,240.8445458,330.6834551
2025-08-04,79.28858935,214.8189026,294.107492
2025-08-05,76.55495624,208.1559219,284.7108781
2025-08-06,80.93990559,218.7723871,299.7122926
