Date,Traffic_H3I (TB),Traffic_IM3 (TB),Traffic_Total(TB)
2024-10-01,45.68288732,161.8159801,207.4988674
2024-10-02,46.24898769,164.1647537,210.4137413
2024-10-03,39.57405929,141.8017842,181.3758435
2024-10-04,39.74178009,141.1352162,180.8769963
2024-10-05,51.91956114,183.1634908,235.083052
2024-10-06,55.43855264,195.0704459,250.5089985
2024-10-07,44.99536869,161.5641062,206.5594749
2024-10-08,44.92403812,160.7045744,205.6286125
2024-10-09,45.35351076,163.1069746,208.4604853
2024-10-10,46.75665641,167.1913617,213.9480181
2024-10-11,48.15256096,172.6261578,220.7787187
2024-10-12,51.42360231,184.4572548,235.8808571
2024-10-13,56.07297163,197.0765165,253.1494882
2024-10-14,45.28986636,163.8790371,209.1689035
2024-10-15,43.05615539,157.1471749,200.2033303
2024-10-16,42.7842405,151.6900107,194.4742512
2024-10-17,44.94769998,160.971798,205.919498
2024-10-18,47.34551889,169.8404366,217.1859555
2024-10-19,51.46909298,183.7897435,235.2588364
2024-10-20,56.55766052,200.3836821,256.9413426
2024-10-21,45.70063219,161.3635806,207.0642128
2024-10-22,45.4150174,161.4234126,206.83843
2024-10-23,45.6075729,161.8321243,207.4396972
2024-10-24,47.28346731,167.3279447,214.611412
2024-10-25,49.22972596,172.8714383,222.1011642
2024-10-26,51.9559996,183.1534568,235.1094564
2024-10-27,57.250454,200.0400845,257.2905385
2024-10-28,45.61573995,163.0232088,208.6389487
2024-10-29,45.49004669,161.3273306,206.8173773
2024-10-30,46.36774593,163.8901695,210.2579154
2024-11-01,23.40962465,83.39363428,106.8032589
2024-11-02,51.39212739,180.9856109,232.3777383
2024-11-03,54.74827856,193.7393982,248.4876768
2024-11-04,44.93335844,160.8137372,205.7470956
2024-11-05,43.74415031,156.5105878,200.2547381
2024-11-06,43.92401733,158.0683199,201.9923372
2024-11-07,44.64572313,159.9813798,204.6271029
2024-11-08,46.35876815,165.4523624,211.8111306
2024-11-09,51.04721399,182.7478379,233.7950519
2024-11-10,55.02093964,193.4389786,248.4599183
2024-11-11,46.07270761,163.1916082,209.2643158
2024-11-12,44.61323778,158.8885942,203.5018319
2024-11-13,45.53820288,160.6820091,206.220212
2024-11-14,45.57305024,159.9269362,205.4999865
2024-11-15,46.69891312,165.0448587,211.7437718
2024-11-16,51.28775323,181.0575983,232.3453516
2024-11-17,53.59895323,188.0874748,241.686428
2024-11-18,44.91468412,157.9440486,202.8587327
2024-11-19,46.22802564,164.1863308,210.4143565
2024-11-20,44.36658698,156.8728137,201.2394006
2024-11-21,44.98758368,158.701373,203.6889567
2024-11-22,47.23230216,166.6364303,213.8687324
2024-11-23,51.37018601,180.8481627,232.2183487
2024-11-24,54.18881822,189.9720595,244.1608777
2024-11-25,46.18528456,163.3541203,209.5394049
2024-11-26,47.24804172,167.2668117,214.5148535
2024-11-27,55.52760816,194.1073333,249.6349415
2024-11-28,46.78860783,163.8436928,210.6323006
2024-11-29,47.47834209,163.515873,210.9942151
2024-11-30,52.61078582,181.0210438,233.6318296
2024-12-01,54.3705196,185.3507087,239.7212283
2024-12-02,46.35743605,158.1109427,204.4683787
2024-12-03,46.19206125,156.9803871,203.1724483
2024-12-04,46.86816713,160.339714,207.2078811
2024-12-05,49.86136992,169.1491369,219.0105068
2024-12-06,49.65696729,166.5365488,216.1935161
2024-12-07,54.01547548,181.3063541,235.3218296
2024-12-08,57.28336522,193.3644713,250.6478365
2024-12-09,47.58870236,162.5986315,210.1873338
2024-12-10,49.38197721,166.4708745,215.8528518
2024-12-11,47.92103662,163.5858308,211.5068674
2024-12-12,50.3873282,170.9504683,221.3377965
2024-12-13,49.19084406,166.2128576,215.4037017
2024-12-14,53.67943986,183.291895,236.9713348
2024-12-15,57.90478302,194.8585841,252.7633671
2024-12-16,48.16628172,163.1027232,211.2690049
2024-12-17,49.38332731,165.2927661,214.6760934
2024-12-18,48.67688921,163.1170313,211.7939205
2024-12-19,49.58235449,164.298572,213.8809265
2024-12-20,50.58717435,167.5847122,218.1718865
2024-12-21,54.27787321,180.4992189,234.7770921
2024-12-22,54.27787321,180.4992189,234.7770921
2024-12-23,51.69541943,171.0848081,222.7802276
2024-12-24,52.58287905,175.2093176,227.7921966
2024-12-25,52.58287905,175.2093176,227.7921966
2024-12-26,52.84327716,172.6444514,225.4877286
2024-12-27,52.17061903,174.9922811,227.1629001
2024-12-28,56.3396833,188.8037271,245.1434104
2024-12-29,58.49219992,195.9627948,254.4549947
2024-12-30,53.92569943,177.0848653,231.0105647
2024-12-31,53.69464841,180.9552,234.6498484
2025-01-01,60.82,203.83,264.65
2025-01-02,50.53,166.71,217.23
2025-01-03,48.85,164.93,213.77
2025-01-04,51.24,175.46,226.7
2025-01-05,54.62,183.66,238.27
2025-01-06,45.2,155.0,200.19
2025-01-07,44.28,152.91,197.19
2025-01-08,43.67,152.02,195.69
2025-01-09,43.94,153.37,197.31
2025-01-10,46.08,160.83,206.91
2025-01-11,49.96,173.97,223.93
2025-01-12,52.63,185.01,237.63
2025-01-13,43.13,150.98,194.11
2025-01-14,43.51,154.51,198.02
2025-01-15,43.32,153.45,196.78
2025-01-16,43.57,153.15,196.73
2025-01-17,45.39,159.37,204.75
2025-01-18,47.76,169.67,217.44
2025-01-19,51.98,182.61,234.6
2025-01-20,43.08,153.49,196.57
2025-01-21,42.29,151.38,193.67
2025-01-22,42.55,151.58,194.13
2025-01-23,42.94,153.39,196.32
2025-01-24,43.77,156.78,200.55
2025-01-25,46.59,167.95,214.54
2025-01-26,53.2,187.52,240.72
2025-01-27,53.1,187.39,240.49
2025-01-28,48.13,170.45,218.58
2025-01-29,49.62,175.66,225.28
2025-01-30,42.34,151.11,193.45
2025-01-31,43.05,153.74,196.79
2025-02-01,46.71,167.65,214.35
2025-02-02,51.52,181.54,233.06
2025-02-03,42.49,150.19,192.68
2025-02-04,41.85,148.75,190.61
2025-02-05,41.96,149.72,191.68
2025-02-06,42.43,152.6,195.03
2025-02-07,44.15,158.43,202.59
2025-02-08,47.04,170.05,217.1
2025-02-09,49.45,177.52,226.97
2025-02-10,42.03,150.04,192.07
2025-02-11,42.09,150.67,192.76
2025-02-12,42.05,151.21,193.26
2025-02-13,42.76,153.91,196.67
2025-02-14,44.36,159.8,204.16
2025-02-15,47.44,169.41,216.85
2025-02-16,52.09,184.65,236.74
2025-02-17,42.54,152.41,194.94
2025-02-18,42.11,151.44,193.55
2025-02-19,42.16,150.76,192.92
2025-02-20,43.18,154.23,197.41
2025-02-21,44.34,159.66,204.0
2025-02-22,48.57,176.3,224.88
2025-02-23,51.61,183.67,235.28
2025-02-24,42.97,156.34,199.31
2025-02-25,42.56,154.27,196.83
2025-02-26,44.91,160.89,205.8
2025-02-27,46.07,164.62,210.69
2025-02-28,45.81,164.68,210.48
2025-03-01,47.46,173.26,220.72
2025-03-02,51.54,184.04,235.58
2025-03-03,45.15,162.73,207.88
2025-03-04,43.96,156.76,200.72
2025-03-05,45.23,161.68,206.91
2025-03-06,44.71,160.38,205.09
2025-03-07,45.75,162.63,208.39
2025-03-08,50.59,180.66,231.25
2025-03-09,51.78,184.0,235.79
2025-03-10,44.56,160.26,204.82
2025-03-11,44.11,156.4,200.51
2025-03-12,45.25,160.25,205.5
2025-03-13,44.97,158.52,203.5
2025-03-14,46.27,163.13,209.39
2025-03-15,50.19,179.53,229.72
