Date,Traffic_H3I (TB),Traffic_IM3 (TB),Traffic_Total(TB)
2024-10-01,72.17514472,205.4582548,277.6333995
2024-10-02,71.83149833,204.3259195,276.1574178
2024-10-03,69.01755799,195.5617246,264.5792826
2024-10-04,72.65397596,204.9693852,277.6233611
2024-10-05,79.78385657,223.6394287,303.4232853
2024-10-06,83.7898329,235.7029511,319.492784
2024-10-07,71.2115018,200.8288418,272.0403436
2024-10-08,71.31209275,201.9247656,273.2368583
2024-10-09,72.31652487,205.5107524,277.8272772
2024-10-10,75.06702086,213.9049379,288.9719588
2024-10-11,77.15857946,219.501296,296.6598755
2024-10-12,79.50136772,225.9756655,305.4770333
2024-10-13,83.46267196,235.2603971,318.7230691
2024-10-14,72.38238304,207.5429609,279.925344
2024-10-15,72.48922754,208.0230662,280.5122938
2024-10-16,69.24329361,192.9069078,262.1502015
2024-10-17,72.76234931,206.4240031,279.1863524
2024-10-18,75.46638757,214.1538297,289.6202173
2024-10-19,79.96827158,225.0988962,305.0671678
2024-10-20,84.41290291,237.4196433,321.8325462
2024-10-21,70.94740167,201.4381614,272.385563
2024-10-22,74.92043108,211.7438287,286.6642597
2024-10-23,72.96938448,206.8722894,279.8416739
2024-10-24,75.03103248,211.5633074,286.5943399
2024-10-25,77.4629549,219.4455411,296.908496
2024-10-26,80.01717815,224.3558899,304.373068
2024-10-27,86.50906963,242.0571583,328.5662279
2024-10-28,71.57603751,204.8580933,276.4341308
2024-10-29,71.6959042,203.3115796,275.0074838
2024-10-30,71.92174743,204.7949225,276.7166699
2024-11-01,38.15978015,107.5496978,145.709478
2024-11-02,76.6086712,218.3548606,294.9635318
2024-11-03,81.45420789,232.0862177,313.5404256
2024-11-04,69.39195805,201.0825167,270.4744748
2024-11-05,69.19326999,199.2183804,268.4116504
2024-11-06,68.93353507,197.1607566,266.0942916
2024-11-07,70.08530808,201.5631514,271.6484595
2024-11-08,72.08227939,206.9340754,279.0163548
2024-11-09,76.5548961,219.4900379,296.044934
2024-11-10,79.59343434,225.9324833,305.5259177
2024-11-11,72.67704875,207.0816945,279.7587432
2024-11-12,71.32412783,202.6741349,273.9982628
2024-11-13,71.09120368,202.9926491,274.0838528
2024-11-14,70.33256443,201.4740273,271.8065917
2024-11-15,72.94414542,207.9782454,280.9223908
2024-11-16,76.91517904,216.6298097,293.5449888
2024-11-17,79.82333757,227.2966872,307.1200248
2024-11-18,69.39187514,198.2290064,267.6208815
2024-11-19,69.94373422,203.1190904,273.0628246
2024-11-20,68.98979692,197.1549107,266.1447077
2024-11-21,70.36436369,200.4924225,270.8567862
2024-11-22,72.7497211,206.3987272,279.1484483
2024-11-23,76.90852099,217.304851,294.213372
2024-11-24,80.22391669,224.7280544,304.9519711
2024-11-25,71.23139311,203.4452292,274.6766223
2024-11-26,71.53864582,203.6058785,275.1445243
2024-11-27,82.13778106,229.9934615,312.1312425
2024-11-28,71.82544687,203.9470199,275.7724667
2024-11-29,72.65787064,202.9592136,275.6170842
2024-11-30,77.29568322,214.4386058,291.7342891
2024-12-01,81.05508925,224.0356682,305.0907575
2024-12-02,68.29317306,191.7632379,260.056411
2024-12-03,70.80950776,196.9040073,267.7135151
2024-12-04,71.66278699,200.0201191,271.6829061
2024-12-05,72.29400681,198.8328957,271.1269025
2024-12-06,73.17957485,202.7926805,275.9722554
2024-12-07,78.27756877,217.3588516,295.6364204
2024-12-08,80.81606831,224.3527623,305.1688306
2024-12-09,72.83594934,204.2803433,277.1162926
2024-12-10,73.63184021,206.3180035,279.9498437
2024-12-11,72.83988896,204.4815836,277.3214726
2024-12-12,76.46322937,214.0819458,290.5451751
2024-12-13,74.96222902,207.1268718,282.0891008
2024-12-14,80.44811047,224.7706474,305.2187578
2024-12-15,83.66701696,231.4528141,315.1198311
2024-12-16,72.94357008,205.0327971,277.9763672
2024-12-17,72.50927147,204.040522,276.5497935
2024-12-18,74.19210306,207.1032708,281.2953739
2024-12-19,72.89784253,207.4175882,280.3154308
2024-12-20,74.2753403,208.4490437,282.724384
2024-12-21,80.39249649,225.4378051,305.8303016
2024-12-22,80.39249649,225.4378051,305.8303016
2024-12-23,77.1305246,217.3479529,294.4784775
2024-12-24,76.48355381,216.2599371,292.7434909
2024-12-25,76.48355381,216.2599371,292.7434909
2024-12-26,79.36055957,222.5311661,301.8917257
2024-12-27,79.61287501,222.3093213,301.9221963
2024-12-28,82.59054689,227.3844877,309.9750345
2024-12-29,86.85563243,241.6776678,328.5333002
2024-12-30,78.23258658,221.5399776,299.7725642
2024-12-31,79.0000281,225.6231651,304.6231932
2025-01-01,87.71,245.51,333.22
2025-01-02,75.45,213.09,288.55
2025-01-03,75.24,214.96,290.2
2025-01-04,77.39,220.42,297.81
2025-01-05,78.01,221.98,299.98
2025-01-06,69.33,199.72,269.05
2025-01-07,68.2,196.06,264.26
2025-01-08,67.01,193.42,260.43
2025-01-09,69.01,200.45,269.47
2025-01-10,68.65,200.33,268.98
2025-01-11,72.16,210.15,282.31
2025-01-12,76.37,223.34,299.71
2025-01-13,64.45,190.91,255.36
2025-01-14,65.25,194.57,259.82
2025-01-15,64.73,190.88,255.62
2025-01-16,62.84,186.42,249.26
2025-01-17,65.54,197.17,262.72
2025-01-18,71.95,213.33,285.28
2025-01-19,73.91,220.49,294.4
2025-01-20,66.21,198.37,264.58
2025-01-21,64.81,193.98,258.79
2025-01-22,64.45,193.19,257.64
2025-01-23,63.02,190.3,253.32
2025-01-24,65.06,196.56,261.62
2025-01-25,69.6,208.02,277.63
2025-01-26,74.7,222.4,297.1
2025-01-27,75.5,223.7,299.2
2025-01-28,71.29,212.95,284.24
2025-01-29,71.26,212.38,283.64
2025-01-30,63.58,190.74,254.32
2025-01-31,64.49,192.61,257.1
2025-02-01,71.15,210.01,281.16
2025-02-02,75.78,225.04,300.82
2025-02-03,62.68,186.04,248.72
2025-02-04,61.96,186.17,248.13
2025-02-05,62.18,186.58,248.76
2025-02-06,63.09,189.21,252.3
2025-02-07,65.72,195.96,261.68
2025-02-08,68.61,204.79,273.4
2025-02-09,72.34,215.83,288.17
2025-02-10,62.7,188.18,250.88
2025-02-11,63.31,190.48,253.8
2025-02-12,63.38,191.51,254.89
2025-02-13,63.99,192.71,256.7
2025-02-14,66.42,200.96,267.38
2025-02-15,69.71,207.23,276.94
2025-02-16,73.98,221.23,295.21
2025-02-17,63.36,192.34,255.7
2025-02-18,62.47,190.13,252.6
2025-02-19,62.72,192.25,254.96
2025-02-20,62.5,190.35,252.85
2025-02-21,65.43,199.86,265.29
2025-02-22,68.91,207.3,276.21
2025-02-23,74.02,220.08,294.1
2025-02-24,63.75,193.05,256.8
2025-02-25,63.57,193.47,257.04
2025-02-26,66.62,202.92,269.53
2025-02-27,66.94,205.6,272.54
2025-02-28,67.22,204.77,271.99
2025-03-01,68.05,208.97,277.03
2025-03-02,74.98,227.58,302.56
2025-03-03,68.77,210.75,279.52
2025-03-04,65.64,201.35,266.99
2025-03-05,68.14,207.98,276.11
2025-03-06,67.97,206.8,274.77
2025-03-07,69.54,211.16,280.7
2025-03-08,73.87,221.82,295.7
2025-03-09,75.62,226.59,302.21
2025-03-10,67.47,203.09,270.56
2025-03-11,67.21,201.57,268.79
2025-03-12,68.15,203.19,271.33
2025-03-13,67.99,202.19,270.19
2025-03-14,70.44,209.59,280.03
2025-03-15,75.2,222.99,298.19
2025-03-16,78.22,230.06,308.28
2025-03-17,71.73,213.17,284.9
2025-03-18,70.85,211.18,282.03
2025-03-19,72.27,215.27,287.54
2025-03-20,74.02,221.25,295.28
2025-03-21,75.2,225.15,300.35
2025-03-22,83.13,244.75,327.88
2025-03-23,84.49,251.19,335.67
2025-03-24,79.53,239.54,319.07
2025-03-25,78.05,236.82,314.86
2025-03-26,86.9,262.14,349.05
2025-03-27,92.44,278.45,370.89
2025-03-28,106.69,315.75,422.44
2025-03-29,111.82,321.46,433.28
2025-03-30,117.49,335.0,452.48
2025-03-31,120.86,339.85,460.71
2025-04-01,120.91,337.53,458.45
2025-04-02,125.53,346.56,472.09
2025-04-03,120.0669834,337.8134225,457.8804059
2025-04-04,120.4569244,342.3246233,462.7815477
2025-04-05,111.4646023,321.6970095,433.1616118
2025-04-06,108.8462551,316.863207,425.709462
2025-04-07,96.58199168,285.7938206,382.3758123
2025-04-08,90.87115618,273.9820459,364.8532021
2025-04-09,87.18999812,260.7416396,347.9316377
2025-04-10,87.6897775,257.5923946,345.2821721
2025-04-11,83.05375608,247.0519606,330.1057167
2025-04-12,85.05451263,251.4941898,336.5487025
2025-04-13,85.62507691,252.7117204,338.3367973
2025-04-14,75.44871765,223.848875,299.2975927
2025-04-15,72.99788228,218.7978001,291.7956824
2025-04-16,72.59746864,216.1251759,288.7226446
2025-04-17,74.27866006,220.2248517,294.5035117
2025-04-18,81.12089743,241.6801542,322.8010517
2025-04-19,76.97094385,228.5726431,305.543587
2025-04-20,79.81199892,235.6686121,315.480611
2025-04-21,72.83452928,215.6582812,288.4928104
2025-04-22,68.95233728,204.8460179,273.7983551
2025-04-23,69.98207636,207.1172585,277.0993349
2025-04-24,69.79889616,207.637367,277.4362632
2025-04-25,70.69945473,210.7471817,281.4466364
2025-04-26,74.43620532,223.1088757,297.545081
2025-04-27,79.13181983,232.2925705,311.4243903
2025-04-28,67.34571018,201.2466814,268.5923916
2025-04-29,68.56105059,203.6628213,272.2238719
2025-04-30,69.28054497,206.6038123,275.8843572
2025-05-01,77.63579614,229.9683157,307.6041119
2025-05-02,65.49398065,197.1916835,262.6856641
2025-05-03,74.45801859,222.3049257,296.7629443
2025-05-04,77.53350624,231.446524,308.9800302
2025-05-05,68.04365156,205.0383212,273.0819727
2025-05-06,68.37689124,208.4621137,276.8390049
2025-05-07,71.90493232,209.6410483,281.5459806
2025-05-08,70.8617391,205.8472897,276.7090288
2025-05-09,72.26912949,212.1887373,284.4578668
2025-05-10,76.49606253,221.8410002,298.3370627
2025-05-11,82.32174381,239.5093049,321.8310487
2025-05-12,79.29726101,230.7458893,310.0431503
2025-05-13,73.89867463,218.3518844,292.250559
2025-05-14,70.40983351,206.103494,276.5133275
2025-05-15,69.90657169,205.1596255,275.0661972
2025-05-16,71.96353808,213.0380599,285.001598
2025-05-17,75.24262813,218.8404746,294.0831027
2025-05-18,79.25408538,228.8816274,308.1357128
2025-05-19,69.67459202,203.0700662,272.7446583
2025-05-20,69.48436624,203.7021131,273.1864794
2025-05-21,71.44452386,208.0521628,279.4966867
2025-05-22,70.05288703,207.0529326,277.1058197
2025-05-23,73.38495277,213.3099644,286.6949172
2025-05-24,75.91158156,220.1019679,296.0135494
2025-05-25,82.28059424,235.0796819,317.3602761
2025-05-26,70.15054616,204.2076038,274.35815
2025-05-27,69.52430935,202.9763574,272.5006667
2025-05-28,71.85194313,209.6329479,281.484891
2025-05-29,79.54245928,229.1097102,308.6521695
2025-05-30,73.41741965,214.795492,288.2129116
2025-05-31,76.79189133,221.9301974,298.7220888
2025-06-01,79.7153676,230.1251917,309.8405593
2025-06-02,68.71067432,201.1553112,269.8659855
2025-06-03,69.60676103,203.5383149,273.1450759
2025-06-04,71.25339843,208.0413658,279.2947643
2025-06-05,75.87534343,225.0164902,300.8918336
2025-06-06,88.04428918,256.7390169,344.7833061
2025-06-07,82.094942,241.0668164,323.1617584
2025-06-08,83.24989335,242.1861607,325.4360541
2025-06-09,75.88179542,222.0340371,297.9158326
2025-06-10,73.09009851,214.8000402,287.8901387
2025-06-11,73.01417085,215.7934721,288.807643
2025-06-12,74.69163683,217.5208619,292.2124988
2025-06-13,74.59498671,216.9287122,291.523699
2025-06-14,79.4783926,230.3762352,309.8546278
2025-06-15,82.53101094,237.1249845,319.6559955
2025-06-16,73.64679759,214.291427,287.9382245
2025-06-17,73.65368566,216.0437545,289.6974402
2025-06-18,72.96954726,212.0913892,285.0609365
2025-06-19,73.56065404,211.9129643,285.4736184
2025-06-20,74.66871642,214.8802228,289.5489393
2025-06-21,79.46989596,226.6433827,306.1132787
2025-06-22,83.04823385,234.8908201,317.9390539
2025-06-23,73.90687404,213.8002749,287.7071489
2025-06-24,74.8114925,213.6245639,288.4360564
2025-06-25,74.81971086,212.2149104,287.0346213
2025-06-26,75.76566775,213.7424844,289.5081521
2025-06-27,85.30100432,235.6205005,320.9215048
2025-06-28,82.71547482,230.7582029,313.4736777
2025-06-29,84.26731466,233.4047137,317.6720283
2025-06-30,75.90897744,214.7106106,290.6195881
2025-07-01,76.93363468,216.1299257,293.0635604
2025-07-02,76.63853487,214.9313731,291.569908
2025-07-03,75.85661364,212.5047621,288.3613758
2025-07-04,76.21276162,213.9410362,290.1537978
2025-07-05,76.50884827,215.3440367,291.8528849
2025-07-06,85.44771872,238.2358626,323.6835813
2025-07-07,76.57197886,215.6637367,292.2357155
2025-07-08,75.96680202,212.9405615,288.9073636
2025-07-09,74.48839062,210.423065,284.9114556
2025-07-10,74.81983796,209.5046379,284.3244759
2025-07-11,75.09794664,210.5008057,285.5987524
2025-07-12,78.63766067,219.3976474,298.035308
2025-07-13,80.93865117,223.557282,304.4959332
2025-07-14,71.95891953,200.4405306,272.3994502
2025-07-15,70.84006257,198.813533,269.6535955
2025-07-16,71.19152202,200.0573281,271.2488501
2025-07-17,71.7157222,201.7383693,273.4540915
2025-07-18,72.8831799,204.6389937,277.5221736
2025-07-19,77.17652133,216.3324691,293.5089904
2025-07-20,80.33857717,225.7698167,306.1083939
2025-07-21,70.63966051,197.5665488,268.2062093
2025-07-22,70.21904599,197.3656118,267.5846578
2025-07-23,71.18347716,201.4871826,272.6706598
2025-07-24,71.07881992,199.8338378,270.9126577
2025-07-25,71.93493331,203.0584332,274.9933665
2025-07-26,77.32188378,215.7633218,293.0852056
2025-07-27,80.94482304,226.5812177,307.5260408
2025-07-28,69.27694972,196.3370026,265.6139523
2025-07-29,70.72526804,200.8953746,271.6206427
2025-07-30,69.4126174,197.1817278,266.5943452
2025-07-31,71.12878177,197.9267033,269.0554851
2025-08-01,72.59802167,205.0958343,277.693856
2025-08-02,75.56140959,214.4532543,290.0146639
2025-08-03,81.10463478,227.6060802,308.710715
2025-08-04,69.92863966,198.3239202,268.2525599
2025-08-05,68.01133828,193.3328596,261.3441979
2025-08-06,71.03048337,202.6019416,273.6324249
2025-08-07,71.35469041,203.5138778,274.8685682
2025-08-08,73.16964001,209.8743736,283.0440137
2025-08-09,77.7257315,221.3966513,299.1223828
2025-08-10,82.06905506,230.983051,313.0521061
2025-08-11,72.05943046,205.944717,278.0041475
2025-08-12,73.43693388,209.0552101,282.4921439
2025-08-13,72.46859247,205.3456701,277.8142625
2025-08-14,68.32685705,197.1094373,265.4362943
2025-08-15,73.66081563,211.024446,284.6852616
2025-08-16,78.59290286,224.5261991,303.1191019
2025-08-17,86.51084884,248.246435,334.7572839
2025-08-18,79.13144357,231.5101322,310.6415757
2025-08-19,79.5890604,226.4163482,306.0054086
2025-08-20,73.5293474,213.3844084,286.9137558
2025-08-21,73.71012581,214.8847316,288.5948574
2025-08-22,75.75732605,219.1031051,294.8604311
2025-08-23,82.72089593,234.7874057,317.5083017
2025-08-24,86.50207364,242.3988908,328.9009644
2025-08-25,73.17093672,208.1314466,281.3023833
2025-08-26,70.94991808,202.2339711,273.1838892
2025-08-27,71.82062657,204.5181716,276.3387982
2025-08-28,69.84699288,198.197043,268.0440359
2025-08-29,76.21405484,215.1772024,291.3912572
2025-08-30,83.77179721,234.8190331,318.5908303
2025-08-31,84.45642819,237.4827264,321.9391546
2025-09-01,72.72167543,203.8714383,276.5931137
2025-09-02,68.07746707,202.2017307,270.2791978
2025-09-03,73.14740354,207.0585834,280.2059869
2025-09-04,74.73493326,210.0932486,284.8281819
2025-09-05,85.25656736,238.9889395,324.2455069
2025-09-06,83.06958275,232.259767,315.3293497
2025-09-07,85.29526353,237.4368332,322.7320967
2025-09-08,74.24901335,208.9530857,283.202099
2025-09-09,74.45253006,211.1481514,285.6006815
2025-09-10,73.08855001,207.5545333,280.6430833
2025-09-11,76.31412671,215.0418747,291.3560014
2025-09-12,76.15386343,213.4655457,289.6194091
2025-09-13,79.66326008,222.8743472,302.5376073
2025-09-14,84.48647707,235.8920565,320.3785336
2025-09-15,72.10711039,204.180117,276.2872273
2025-09-16,72.67816824,206.119974,278.7981422
2025-09-17,73.0047931,207.1486409,280.153434
2025-09-18,74.36978827,209.776486,284.1462743
2025-09-19,75.38685552,214.2438074,289.6306629
2025-09-20,80.75211625,227.4141763,308.1662926
2025-09-21,100.5878674,282.3661452,382.9540126
2025-09-22,72.44870167,204.7144385,277.1631402
2025-09-23,73.09394449,206.7460873,279.8400318
2025-09-24,73.824027,210.3572572,284.1812842
2025-09-25,74.51266366,211.3706257,285.8832893
2025-09-26,76.54871478,216.2917554,292.8404702
2025-09-27,83.40691305,232.3229732,315.7298863
2025-09-28,85.74352121,240.4307412,326.1742624
2025-09-29,75.94854675,213.6721836,289.6207304
2025-09-30,73.6841076,210.9404365,284.6245441
2025-10-01,74.12214157,209.675168,283.7973095
2025-10-02,75.27570382,212.6615696,287.9372734
2025-10-03,76.6893901,216.7978214,293.4872115
2025-10-04,82.06338947,228.6285169,310.6919063
2025-10-05,86.19727618,241.8685676,328.0658437
2025-10-06,74.79575343,208.577168,283.3729214
2025-10-07,73.91680692,207.9911862,281.9079932
2025-10-08,74.16456797,207.3300329,281.4946009
2025-10-09,86.12613661,237.6784389,323.8045755
2025-10-10,78.20672174,218.4404999,296.6472216
2025-10-11,80.33751145,224.7560502,305.0935616
2025-10-12,87.21873913,241.3854316,328.6041707
2025-10-13,73.75713787,205.9779887,279.7351266
2025-10-14,73.75697908,204.6707558,278.4277349
2025-10-15,74.28172076,207.0505432,281.3322639
2025-10-16,74.09875027,207.3983562,281.4971065
2025-10-17,76.61087232,213.7003419,290.3112142
2025-10-18,81.35087271,226.2747117,307.6255844
2025-10-19,85.97075545,237.828658,323.7994134
2025-10-20,73.4803854,204.5962603,278.0766457
2025-10-21,74.45431412,207.5119934,281.9663075
2025-10-22,77.64311451,215.6647025,293.307817
