Date,Traffic_H3I (TB),Traffic_IM3 (TB),Traffic_Total(TB)
2024-10-01,91.57675528,226.9818542,318.5586094
2024-10-02,91.23242503,224.8917033,316.1241284
2024-10-03,84.55783367,210.6741307,295.2319644
2024-10-04,87.00201359,217.3154479,304.3174615
2024-10-05,98.21238645,243.1980713,341.4104578
2024-10-06,100.1153587,247.0663439,347.1817026
2024-10-07,89.48231662,222.0857475,311.5680641
2024-10-08,89.72612842,223.3045991,313.0307275
2024-10-09,91.47223249,229.0881692,320.5604016
2024-10-10,94.63935928,236.5663746,331.2057339
2024-10-11,96.14096151,239.9568786,336.0978402
2024-10-12,99.37289635,245.9960496,345.368946
2024-10-13,100.6706686,250.3771952,351.0478638
2024-10-14,90.61202928,227.2998054,317.9118346
2024-10-15,89.83168388,225.7225678,315.5542517
2024-10-16,87.26644925,213.2800596,300.5465089
2024-10-17,90.42747648,225.9960477,316.4235242
2024-10-18,91.59006532,228.9946674,320.5847327
2024-10-19,98.06862065,243.8486447,341.9172654
2024-10-20,99.63527207,248.0447409,347.680013
2024-10-21,88.3846609,220.5275607,308.9122216
2024-10-22,91.97510256,229.0108725,320.9859751
2024-10-23,90.96436858,228.1533117,319.1176803
2024-10-24,92.73557068,232.5443471,325.2799178
2024-10-25,95.84431481,240.0204528,335.8647676
2024-10-26,99.52532002,248.2644972,347.7898172
2024-10-27,102.8881237,255.1248683,358.012992
2024-10-28,90.64575713,227.3808888,318.026646
2024-10-29,90.1935285,224.8583363,315.0518648
2024-10-30,90.54486489,226.7446132,317.2894781
2024-11-01,46.93679012,117.079614,164.0164041
2024-11-02,95.15734959,236.9155585,332.0729081
2024-11-03,98.39068154,245.307576,343.6982575
2024-11-04,87.80252246,220.7047235,308.507246
2024-11-05,87.89040845,220.079374,307.9697824
2024-11-06,88.38142006,221.1848632,309.5662832
2024-11-07,87.79792705,219.8800583,307.6779853
2024-11-08,91.52446793,227.3698474,318.8943154
2024-11-09,95.14902083,236.4468596,331.5958804
2024-11-10,97.20894239,242.2030835,339.4120259
2024-11-11,92.43329667,230.3484089,322.7817055
2024-11-12,89.99561762,223.0099748,313.0055925
2024-11-13,89.91738524,223.3154821,313.2328674
2024-11-14,89.6693005,222.3407317,312.0100322
2024-11-15,91.39761132,227.3657617,318.763373
2024-11-16,95.07356204,236.0518267,331.1253887
2024-11-17,97.51634518,240.8100315,338.3263767
2024-11-18,87.50904722,217.0349389,304.5439861
2024-11-19,88.9823028,222.7518023,311.7341051
2024-11-20,87.68010461,219.3144911,306.9945957
2024-11-21,90.15335989,224.4019935,314.5553534
2024-11-22,92.61114119,230.7719335,323.3830747
2024-11-23,96.64016344,239.4590303,336.0991938
2024-11-24,97.38925704,239.3830942,336.7723513
2024-11-25,89.60309595,220.1270195,309.7301154
2024-11-26,91.56930381,225.913672,317.4829758
2024-11-27,100.5607788,245.2169405,345.7777193
2024-11-28,97.85413363,240.2660074,338.1201411
2024-11-29,91.27049115,223.0497115,314.3202026
2024-11-30,96.0331031,232.5093527,328.5424558
2024-12-01,102.690754,247.668873,350.359627
2024-12-02,91.14647483,222.0612936,313.2077685
2024-12-03,89.87818969,218.9099476,308.7881373
2024-12-04,90.85535764,221.6786709,312.5340285
2024-12-05,89.46655352,215.6801593,305.1467128
2024-12-06,94.22996809,228.0860243,322.3159924
2024-12-07,100.8375901,241.8691409,342.7067311
2024-12-08,100.9289847,241.2436832,342.1726679
2024-12-09,92.38149413,222.9285354,315.3100296
2024-12-10,94.06996972,226.5193819,320.5893516
2024-12-11,94.26969778,227.2487966,321.5184944
2024-12-12,96.685313,233.453854,330.139167
2024-12-13,95.71150201,229.3819821,325.0934841
2024-12-14,98.8771953,239.6060265,338.4832218
2024-12-15,103.2986773,248.3730996,351.6717768
2024-12-16,93.40731762,225.8365143,319.2438319
2024-12-17,95.20474203,228.4858452,323.6905873
2024-12-18,95.06999212,229.6322034,324.7021955
2024-12-19,94.76704782,229.2136082,323.9806561
2024-12-20,96.27079675,232.0213702,328.2921669
2024-12-21,98.92560904,240.4019975,339.3276066
2024-12-22,98.92560904,240.4019975,339.3276066
2024-12-23,97.77291568,238.3708927,336.1438084
2024-12-24,100.210851,244.0318668,344.2427179
2024-12-25,100.210851,244.0318668,344.2427179
2024-12-26,102.1543434,246.8299904,348.9843338
2024-12-27,100.2009673,242.066929,342.2678963
2024-12-28,101.327446,244.7037912,346.0312373
2024-12-29,104.6973411,251.671324,356.3686651
2024-12-30,101.2992662,244.4283133,345.7275795
2024-12-31,102.1903783,248.2417433,350.4321216
2025-01-01,108.14,261.18,369.32
2025-01-02,95.97,234.71,330.68
2025-01-03,95.52,233.99,329.51
2025-01-04,95.42,232.58,327.99
2025-01-05,98.57,243.12,341.7
2025-01-06,87.45,214.76,302.21
2025-01-07,87.25,216.44,303.7
2025-01-08,84.99,212.05,297.04
2025-01-09,85.17,212.81,297.98
2025-01-10,88.19,222.49,310.68
2025-01-11,90.94,228.67,319.6
2025-01-12,93.02,232.51,325.53
2025-01-13,83.61,210.54,294.15
2025-01-14,85.44,216.1,301.54
2025-01-15,83.17,211.62,294.78
2025-01-16,82.95,210.2,293.16
2025-01-17,86.98,220.51,307.49
2025-01-18,89.85,227.43,317.28
2025-01-19,92.72,234.79,327.51
2025-01-20,82.77,208.69,291.46
2025-01-21,84.94,215.33,300.27
2025-01-22,83.51,210.99,294.5
2025-01-23,84.17,213.1,297.27
2025-01-24,87.06,220.15,307.21
2025-01-25,89.92,226.34,316.25
2025-01-26,94.61,236.27,330.88
2025-01-27,92.58,235.34,327.92
2025-01-28,92.15,233.01,325.16
2025-01-29,89.56,227.15,316.71
2025-01-30,83.9,212.55,296.45
2025-01-31,85.47,216.63,302.1
2025-02-01,87.53,223.17,310.71
2025-02-02,91.33,231.68,323.02
2025-02-03,81.91,209.05,290.96
2025-02-04,81.92,209.7,291.62
2025-02-05,82.72,212.28,295.0
2025-02-06,82.32,211.1,293.43
2025-02-07,85.27,219.14,304.41
2025-02-08,88.25,226.9,315.15
2025-02-09,89.23,228.77,318.0
2025-02-10,80.93,210.31,291.23
2025-02-11,81.85,212.44,294.29
2025-02-12,82.93,215.01,297.94
2025-02-13,85.71,222.82,308.53
2025-02-14,86.58,224.55,311.13
2025-02-15,88.97,231.22,320.18
2025-02-16,90.87,236.27,327.14
2025-02-17,82.43,215.79,298.22
2025-02-18,82.4,215.21,297.6
2025-02-19,81.53,212.45,293.98
2025-02-20,82.1,215.15,297.24
2025-02-21,85.72,224.26,309.98
2025-02-22,88.13,229.89,318.02
2025-02-23,90.04,234.44,324.48
2025-02-24,82.58,216.29,298.87
2025-02-25,82.37,214.76,297.13
2025-02-26,85.55,225.32,310.86
2025-02-27,88.03,229.43,317.46
2025-02-28,86.33,225.26,311.59
2025-03-01,85.84,226.99,312.83
2025-03-02,91.79,241.1,332.89
2025-03-03,89.88,236.39,326.27
2025-03-04,85.83,226.08,311.92
2025-03-05,87.74,231.35,319.09
2025-03-06,86.83,227.19,314.02
2025-03-07,90.49,235.95,326.44
2025-03-08,94.01,245.14,339.16
2025-03-09,92.61,241.65,334.26
2025-03-10,86.29,225.45,311.74
2025-03-11,85.78,224.66,310.43
2025-03-12,88.7,229.21,317.91
2025-03-13,86.8,224.18,310.98
2025-03-14,91.0,233.36,324.36
2025-03-15,95.1,243.02,338.12
2025-03-16,96.72,247.27,343.99
2025-03-17,92.05,233.79,325.84
2025-03-18,88.69,227.59,316.28
2025-03-19,93.2,238.17,331.37
2025-03-20,92.39,238.99,331.37
2025-03-21,94.13,242.75,336.88
2025-03-22,96.76,251.64,348.4
2025-03-23,98.77,259.35,358.11
2025-03-24,97.5,255.87,353.38
2025-03-25,95.56,252.53,348.09
2025-03-26,105.6,276.72,382.33
2025-03-27,108.03,285.55,393.58
2025-03-28,118.05,313.86,431.91
2025-03-29,123.35,325.59,448.95
2025-03-30,133.39,347.67,481.06
2025-03-31,138.36,356.57,494.94
2025-04-01,140.27,359.49,499.76
2025-04-02,143.78,365.48,509.26
2025-04-03,140.9152821,358.5975597,499.5128418
2025-04-04,138.8491255,360.0437691,498.8928947
2025-04-05,128.5017771,339.4933585,467.9951356
2025-04-06,121.1742327,320.9398606,442.1140933
2025-04-07,113.5525125,299.8504321,413.4029446
2025-04-08,109.071912,290.8690022,399.9409141
2025-04-09,104.3116224,276.3906529,380.7022754
2025-04-10,72.03154868,329.686433,401.7179817
2025-04-11,101.1383846,268.0813203,369.2197049
2025-04-12,103.8577522,274.3106428,378.168395
2025-04-13,102.890168,270.6301797,373.5203477
2025-04-14,92.83463888,244.604863,337.4395019
2025-04-15,92.12016238,243.0891753,335.2093377
2025-04-16,91.12387089,239.7434283,330.8672992
2025-04-17,93.3300359,244.7978952,338.1279311
2025-04-18,99.8837243,261.4530562,361.3367805
2025-04-19,94.96828162,250.4415557,345.4098374
2025-04-20,96.76769768,255.1462669,351.9139646
2025-04-21,90.75537456,238.5375375,329.292912
2025-04-22,89.81694661,235.2313816,325.0483283
2025-04-23,91.74191945,240.0780302,331.8199496
2025-04-24,92.02753329,239.8716928,331.8992261
2025-04-25,93.56274756,243.3716599,336.9344075
2025-04-26,96.99356384,252.697405,349.6909688
2025-04-27,98.12380441,255.2117752,353.3355796
2025-04-28,88.24066949,230.3242745,318.564944
2025-04-29,89.61064824,233.4634324,323.0740807
2025-04-30,91.15586011,236.6466925,327.8025526
2025-05-01,96.80991743,252.4533797,349.2632971
2025-05-02,85.29707095,223.3718985,308.6689695
2025-05-03,96.27304915,251.7901991,348.0632483
2025-05-04,97.9198817,253.2204128,351.1402945
2025-05-05,91.20805298,238.1809614,329.3890144
2025-05-06,91.72074837,241.4403509,333.1610993
2025-05-07,95.21605607,245.6915848,340.9076409
2025-05-08,93.51057339,241.9731129,335.4836863
2025-05-09,94.28700465,243.5357874,337.8227921
2025-05-10,97.27280134,250.5117691,347.7845705
2025-05-11,101.1020717,260.7231067,361.8251784
2025-05-12,98.20064265,253.3232606,351.5239032
2025-05-13,97.40655284,251.3200642,348.726617
