Date,Traffic_H3I (TB),Traffic_IM3 (TB),Traffic_Total(TB)
2024-10-01,69.6578921,217.1308555,286.7887476
2024-10-02,70.37484485,216.9866902,287.361535
2024-10-03,70.26015798,218.0582644,288.3184224
2024-10-04,71.9396959,223.9680118,295.9077077
2024-10-05,74.69398131,228.9191929,303.6131742
2024-10-06,77.51032262,234.8041395,312.3144621
2024-10-07,69.47208477,214.7491958,284.2212806
2024-10-08,70.54255567,218.1462987,288.6888544
2024-10-09,70.33320979,218.6614738,288.9946836
2024-10-10,72.89073859,228.142182,301.0329206
2024-10-11,74.07797227,230.8875893,304.9655615
2024-10-12,73.41620145,228.4337362,301.8499377
2024-10-13,75.95634689,232.2279697,308.1843166
2024-10-14,69.57054432,215.0337023,284.6042467
2024-10-15,70.80740308,220.8697475,291.6771506
2024-10-16,69.71184876,215.4909036,285.2027523
2024-10-17,70.47263345,219.5873001,290.0599336
2024-10-18,71.85506492,227.0170286,298.8720935
2024-10-19,73.68123326,228.5286649,302.2098981
2024-10-20,76.78039105,235.8258993,312.6062904
2024-10-21,69.5298739,217.6374102,287.1672841
2024-10-22,71.54430902,224.3779602,295.9222692
2024-10-23,72.0983123,224.5328899,296.6312022
2024-10-24,73.42972615,229.5654764,302.9952025
2024-10-25,74.76743546,234.8276861,309.5951216
2024-10-26,74.39356411,228.6608464,303.0544105
2024-10-27,78.79913247,239.4325674,318.2316999
2024-10-28,69.94751297,217.9429037,287.8904167
2024-10-29,70.48403604,220.1468491,290.6308852
2024-10-30,71.17768163,221.8899085,293.0675902
2024-11-01,34.33932556,107.0526969,141.3920224
2024-11-02,71.803131,222.2041543,294.0072853
2024-11-03,74.50253824,228.266164,302.7687022
2024-11-04,68.48719432,211.5400083,280.0272026
2024-11-05,67.78168382,212.5044923,280.2861761
2024-11-06,68.8925063,214.7503306,283.6428369
2024-11-07,68.97043691,215.6926115,284.6630484
2024-11-08,70.7108834,222.5256118,293.2364952
2024-11-09,72.87827363,226.1253623,299.003636
2024-11-10,74.98492144,230.1459942,305.1309156
2024-11-11,69.96435748,217.1607113,287.1250688
2024-11-12,69.38132941,216.5481341,285.9294635
2024-11-13,69.54647735,217.0056569,286.5521343
2024-11-14,70.15875846,218.4135268,288.5722853
2024-11-15,71.62449254,226.6925277,298.3170202
2024-11-16,71.07697738,218.6366271,289.7136045
2024-11-17,73.92892814,224.8011332,298.7300614
2024-11-18,68.03957762,209.4645198,277.5040975
2024-11-19,69.69790367,215.9560205,285.6539241
2024-11-20,68.65650597,211.4379936,280.0944996
2024-11-21,69.54637482,213.7407767,283.2871516
2024-11-22,71.8949212,223.1904096,295.0853308
2024-11-23,73.92569165,226.2159136,300.1416053
2024-11-24,75.05286957,227.2651503,302.3180199
2024-11-25,70.07757855,214.6777486,284.7553271
2024-11-26,71.15957807,218.2703059,289.4298839
2024-11-27,75.45514505,230.731841,306.186986
2024-11-28,69.86806888,213.7985403,283.6666092
2024-11-29,71.82184886,218.7171865,290.5390354
2024-11-30,73.81862778,221.6722312,295.4908589
2024-12-01,74.69378473,220.9839375,295.6777222
2024-12-02,68.73928596,207.5422262,276.2815121
2024-12-03,69.53524247,209.0367311,278.5719736
2024-12-04,71.3686873,215.1162465,286.4849338
2024-12-05,73.04500163,219.1323731,292.1773747
2024-12-06,73.9310079,221.8923558,295.8233637
2024-12-07,76.11771905,225.125543,301.2432621
2024-12-08,79.21869157,231.7584458,310.9771373
2024-12-09,71.76951666,214.7384088,286.5079255
2024-12-10,72.59774549,217.9461387,290.5438842
2024-12-11,72.62492268,219.8765603,292.501483
2024-12-12,75.57217919,229.1740654,304.7462446
2024-12-13,73.01336957,220.3629355,293.3763051
2024-12-14,75.20697607,224.551623,299.758599
2024-12-15,76.34917289,226.7353879,303.0845608
2024-12-16,72.86827539,218.4319933,291.3002687
2024-12-17,73.65640307,220.9361213,294.5925244
2024-12-18,73.22897047,220.157473,293.3864435
2024-12-19,73.4523724,220.4733637,293.9257361
2024-12-20,74.49707278,223.3466127,297.8436854
2024-12-21,76.31947289,228.0997628,304.4192357
2024-12-22,76.31947289,228.0997628,304.4192357
2024-12-23,74.19977396,223.5170954,297.7168693
2024-12-24,75.83206928,225.4633984,301.2954677
2024-12-25,75.83206928,225.4633984,301.2954677
2024-12-26,76.06907134,226.5738567,302.642928
2024-12-27,75.40185894,224.0921187,299.4939776
2024-12-28,76.81931227,227.79345,304.6127622
2024-12-29,76.11100641,224.6208791,300.7318855
2024-12-30,73.4475462,216.8565962,290.3041424
2024-12-31,73.12895393,217.2449677,290.3739216
2025-01-01,78.57,228.36,306.94
2025-01-02,70.61,208.11,278.72
2025-01-03,70.33,207.39,277.72
2025-01-04,71.15,211.66,282.8
2025-01-05,74.01,218.25,292.25
2025-01-06,67.11,201.98,269.09
2025-01-07,66.82,202.23,269.04
2025-01-08,67.86,206.02,273.87
2025-01-09,67.72,206.8,274.53
2025-01-10,69.89,215.07,284.97
2025-01-11,71.7,219.06,290.77
2025-01-12,71.83,219.32,291.16
2025-01-13,65.26,202.6,267.86
2025-01-14,66.77,208.45,275.22
2025-01-15,65.84,206.91,272.75
2025-01-16,66.47,211.16,277.63
2025-01-17,67.68,213.78,281.46
2025-01-18,68.5,213.03,281.53
2025-01-19,70.0,217.6,287.6
2025-01-20,64.42,203.29,267.71
2025-01-21,65.2,207.18,272.37
2025-01-22,66.14,209.1,275.23
2025-01-23,65.47,206.0,271.47
2025-01-24,66.25,211.63,277.88
2025-01-25,66.81,210.27,277.08
2025-01-26,69.58,215.45,285.03
2025-01-27,68.53,214.69,283.22
2025-01-28,66.31,209.8,276.11
2025-01-29,68.95,216.58,285.53
2025-01-30,64.66,204.68,269.34
2025-01-31,65.32,211.06,276.37
2025-02-01,66.6,212.1,278.7
2025-02-02,71.12,224.37,295.5
2025-02-03,62.98,201.22,264.19
2025-02-04,63.9,206.29,270.19
2025-02-05,63.7,204.46,268.16
2025-02-06,64.93,207.8,272.72
2025-02-07,66.13,213.42,279.55
2025-02-08,67.01,213.72,280.73
2025-02-09,68.67,220.62,289.29
