Date,Traffic_H3I (TB),Traffic_IM3 (TB),Traffic_Total(TB)
2024-10-01,69.96662356,191.3906432,261.3572667
2024-10-02,69.57761692,192.1555281,261.733145
2024-10-03,60.96035686,168.0744744,229.0348312
2024-10-04,60.16768589,162.3588275,222.5265134
2024-10-05,79.00856508,215.1418601,294.1504251
2024-10-06,84.15392466,229.9269702,314.0808949
2024-10-07,69.35741564,191.069163,260.4265787
2024-10-08,69.8446716,191.6679301,261.5126017
2024-10-09,70.36107692,193.2181153,263.5791923
2024-10-10,71.94769895,197.942799,269.8904979
2024-10-11,73.67998282,201.7987555,275.4787383
2024-10-12,78.46742092,215.7554287,294.2228497
2024-10-13,82.76726453,228.5539928,311.3212574
2024-10-14,69.66866592,192.9739208,262.6425867
2024-10-15,65.38172317,183.2079251,248.5896483
2024-10-16,64.90830109,176.9991311,241.9074322
2024-10-17,68.54572802,189.8040621,258.3497901
2024-10-18,71.42213667,197.3517267,268.7738634
2024-10-19,77.76454481,216.0835054,293.8480502
2024-10-20,83.24705293,231.0680865,314.3151394
2024-10-21,68.19495981,190.7045502,258.89951
2024-10-22,68.38479352,190.9386474,259.3234409
2024-10-23,69.37617075,192.2843944,261.6605652
2024-10-24,70.98620056,196.7380727,267.7242733
2024-10-25,73.35045422,202.9047541,276.2552083
2024-10-26,78.03399066,216.1133455,294.1473362
2024-10-27,85.85303983,235.9126092,321.765649
2024-10-28,69.59405845,193.7638165,263.3578749
2024-10-29,69.61265623,193.8147844,263.4274406
2024-10-30,68.9862926,192.590431,261.5767236
2024-11-01,34.38641879,97.12670832,131.5131271
2024-11-02,75.65552908,210.3257459,285.981275
2024-11-03,81.18067518,226.3064977,307.4871729
2024-11-04,67.66224737,188.3518375,256.0140849
2024-11-05,66.94943203,186.0144867,252.9639187
2024-11-06,67.62008466,188.3207377,255.9408223
2024-11-07,68.84671941,190.9847242,259.8314436
2024-11-08,70.19689449,196.2571353,266.4540298
2024-11-09,78.2626284,216.6874361,294.9500645
2024-11-10,82.50815916,227.9930905,310.5012496
2024-11-11,69.93368891,194.2284602,264.1621491
2024-11-12,67.98909513,187.5952381,255.5843332
2024-11-13,68.90225551,190.1957999,259.0980554
2024-11-14,68.55188293,189.4928235,258.0447064
2024-11-15,70.30763387,194.7868097,265.0944436
2024-11-16,75.94566231,209.9402437,285.8859061
2024-11-17,79.99981234,219.8352444,299.8350568
2024-11-18,67.84421852,187.2421995,255.086418
2024-11-19,68.9124211,190.6162286,259.5286497
2024-11-20,67.32372926,185.3915052,252.7152345
2024-11-21,68.71804037,189.1128258,257.8308662
2024-11-22,71.09311835,195.7667574,266.8598757
2024-11-23,77.02223267,211.7391232,288.7613558
2024-11-24,82.22763121,224.5279201,306.7555513
2024-11-25,70.48096947,193.939082,264.4200515
2024-11-26,70.82389163,195.7986176,266.6225092
2024-11-27,81.34550435,221.3029459,302.6484502
2024-11-28,71.39135873,193.3256579,264.7170166
2024-11-29,70.82468311,191.827841,262.6525241
2024-11-30,78.06586806,212.0609554,290.1268234
2024-12-01,80.5333563,218.1569436,298.6902999
2024-12-02,69.3745015,186.229232,255.6037335
2024-12-03,69.59914677,187.621655,257.2208018
2024-12-04,72.06338784,192.9542696,265.0176574
2024-12-05,74.42899685,199.7340446,274.1630415
2024-12-06,74.07752488,198.9382084,273.0157333
2024-12-07,80.51455571,214.5072194,295.0217751
2024-12-08,86.57468449,231.0596494,317.6343339
2024-12-09,73.15375251,195.802852,268.9566045
2024-12-10,74.39231228,198.9629302,273.3552424
2024-12-11,72.58260286,194.5381863,267.1207892
2024-12-12,76.53574195,206.003773,282.5395149
2024-12-13,74.04598911,199.5097919,273.555781
2024-12-14,82.20078886,222.0008215,304.2016103
2024-12-15,85.11439725,226.5216039,311.6360012
2024-12-16,73.81910779,197.890793,271.7099008
2024-12-17,74.39926038,199.8530573,274.2523177
2024-12-18,73.04140458,194.7303108,267.7717154
2024-12-19,73.34515084,196.3111621,269.6563129
2024-12-20,75.11260102,202.4124484,277.5250495
2024-12-21,79.33025613,214.5679109,293.898167
2024-12-22,79.33025613,214.5679109,293.898167
2024-12-23,77.27629345,206.3036192,283.5799126
2024-12-24,78.91882834,208.5632847,287.482113
2024-12-25,78.91882834,208.5632847,287.482113
2024-12-26,81.25805074,213.9949501,295.2530008
2024-12-27,79.77659759,211.6421226,291.4187202
2024-12-28,84.84094936,227.0865649,311.9275142
2024-12-29,88.31666651,234.263005,322.5796715
2024-12-30,81.22676124,214.9267688,296.1535301
2024-12-31,80.91312376,215.7527747,296.6658984
2025-01-01,89.77,238.42,328.19
2025-01-02,74.27,197.11,271.37
2025-01-03,73.51,195.98,269.49
2025-01-04,76.44,206.15,282.58
2025-01-05,81.99,222.28,304.27
2025-01-06,68.62,185.56,254.19
2025-01-07,66.58,182.55,249.13
2025-01-08,67.16,184.2,251.36
2025-01-09,66.2,182.18,248.38
2025-01-10,68.36,191.22,259.58
2025-01-11,71.5,201.67,273.17
2025-01-12,77.78,219.99,297.77
2025-01-13,64.19,181.44,245.64
2025-01-14,65.38,185.61,250.99
2025-01-15,64.61,183.2,247.81
2025-01-16,64.19,183.44,247.63
2025-01-17,65.83,190.08,255.91
2025-01-18,69.48,201.09,270.57
2025-01-19,75.51,219.12,294.64
2025-01-20,63.28,182.51,245.79
2025-01-21,63.19,182.87,246.07
2025-01-22,62.59,181.62,244.21
2025-01-23,63.48,185.4,248.89
2025-01-24,65.35,190.33,255.68
2025-01-25,68.45,200.37,268.82
2025-01-26,77.82,224.68,302.5
2025-01-27,77.59,225.6,303.19
2025-01-28,71.76,209.39,281.15
2025-01-29,72.36,211.97,284.33
2025-01-30,62.4,181.39,243.8
2025-01-31,63.48,186.55,250.03
2025-02-01,67.83,200.75,268.58
2025-02-02,74.99,220.94,295.93
2025-02-03,61.12,180.64,241.76
2025-02-04,61.47,181.56,243.04
2025-02-05,61.21,181.82,243.03
2025-02-06,62.22,184.18,246.4
2025-02-07,63.89,188.62,252.51
2025-02-08,67.77,203.15,270.92
2025-02-09,72.63,215.19,287.82
2025-02-10,61.21,181.76,242.97
2025-02-11,60.14,180.82,240.95
2025-02-12,60.74,181.53,242.27
2025-02-13,61.88,185.0,246.88
2025-02-14,63.11,191.86,254.97
2025-02-15,67.69,203.6,271.29
2025-02-16,72.84,217.06,289.91
2025-02-17,60.99,182.91,243.9
2025-02-18,60.92,181.2,242.13
2025-02-19,60.41,181.73,242.14
2025-02-20,61.52,183.21,244.73
2025-02-21,63.58,191.02,254.6
2025-02-22,70.43,211.65,282.08
2025-02-23,74.41,221.38,295.79
2025-02-24,62.97,188.18,251.15
2025-02-25,61.24,183.84,245.09
2025-02-26,64.42,192.55,256.97
2025-02-27,66.65,197.24,263.9
2025-02-28,65.27,196.34,261.61
2025-03-01,68.23,205.97,274.2
2025-03-02,73.21,220.3,293.51
2025-03-03,66.05,198.4,264.45
2025-03-04,63.77,190.72,254.48
2025-03-05,65.32,197.49,262.8
