Date,Traffic_H3I (TB),Traffic_IM3 (TB),Traffic_Total(TB)
2024-10-01,106.8866532,182.8620716,289.7487248
2024-10-02,105.9364632,180.9823749,286.9188381
2024-10-03,105.6550177,178.0827009,283.7377186
2024-10-04,103.0742897,165.9386089,269.0128986
2024-10-05,106.1779576,167.7058814,273.883839
2024-10-06,110.8603064,181.6583287,292.5186351
2024-10-07,107.0796433,181.5469273,288.6265706
2024-10-08,107.5607203,184.1913307,291.7520509
2024-10-09,107.8056939,184.6584943,292.4641882
2024-10-10,110.1528542,188.1332978,298.286152
2024-10-11,111.2775267,188.9066704,300.1841971
2024-10-12,110.8881005,185.4136687,296.3017693
2024-10-13,112.7444242,190.3432375,303.0876618
2024-10-14,106.2113844,181.4502345,287.6616189
2024-10-15,107.4051728,182.4762934,289.8814662
2024-10-16,104.467005,176.3392996,280.8063046
2024-10-17,105.3625949,175.4721108,280.8347057
2024-10-18,108.3743406,181.4898246,289.8641651
2024-10-19,110.7815229,183.6088296,294.3903525
2024-10-20,113.4690277,190.9680605,304.4370881
2024-10-21,107.7869987,183.714006,291.5010047
2024-10-22,109.3486014,184.9819645,294.3305658
2024-10-23,110.3105674,187.1951848,297.5057522
2024-10-24,112.406503,191.7375832,304.1440861
2024-10-25,113.7057708,192.9003139,306.6060848
2024-10-26,112.6904215,190.2225877,302.9130091
2024-10-27,118.7356616,200.6727234,319.4083849
2024-10-28,107.642225,186.0263291,293.6685541
2024-10-29,108.708665,185.8049947,294.5136597
2024-10-30,107.8206722,183.8499624,291.6706346
2024-11-01,51.13173641,87.29528159,138.427018
2024-11-02,108.6092388,180.274666,288.8839048
2024-11-03,110.4301637,185.0829723,295.513136
2024-11-04,104.761098,176.4917036,281.2528016
2024-11-05,104.8150471,177.1560529,281.9710999
2024-11-06,106.2431635,179.1327898,285.3759534
2024-11-07,106.2866593,180.3558407,286.6425
2024-11-08,107.8405161,183.9683775,291.8088935
2024-11-09,109.7283455,181.226586,290.9549315
2024-11-10,112.5739812,187.989553,300.5635342
2024-11-11,107.2095453,181.6440516,288.8535969
2024-11-12,106.9566673,181.0322402,287.9889075
2024-11-13,107.9810523,181.3419326,289.3229849
2024-11-14,106.8963149,179.3897633,286.2860782
2024-11-15,106.6563097,179.7191508,286.3754605
2024-11-16,106.9260029,174.5402138,281.4662167
2024-11-17,110.314321,184.0450595,294.3593805
2024-11-18,105.489296,178.187199,283.676495
2024-11-19,107.9472203,182.0567397,290.00396
2024-11-20,107.0169594,179.8329118,286.8498711
2024-11-21,108.3128901,183.180962,291.4938521
2024-11-22,109.6436788,183.5206181,293.164297
2024-11-23,110.8971544,183.9020284,294.7991829
2024-11-24,113.7947238,189.7515867,303.5463105
2024-11-25,108.5095572,182.6554452,291.1650024
2024-11-26,108.3129622,179.3141774,287.6271396
2024-11-27,112.2603929,179.9418478,292.2022408
2024-11-28,109.3303988,181.1108223,290.4412211
2024-11-29,108.3237143,180.8081831,289.1318974
2024-11-30,113.1923099,186.1963916,299.3887016
2024-12-01,114.299668,189.700224,303.999892
2024-12-02,105.7736021,176.1560895,281.9296916
2024-12-03,102.0665657,170.8503766,272.9169423
2024-12-04,111.3985322,185.5255333,296.9240655
2024-12-05,113.1184591,187.1067894,300.2252485
2024-12-06,116.7546733,193.880666,310.6353393
2024-12-07,114.3689388,187.2082395,301.5771783
2024-12-08,120.7787525,199.2589892,320.0377417
2024-12-09,114.1007104,191.9232002,306.0239105
2024-12-10,109.152014,183.0569245,292.2089385
2024-12-11,114.5167184,192.1282737,306.644992
2024-12-12,117.9599442,197.3565451,315.3164893
2024-12-13,111.130376,183.6984176,294.8287936
2024-12-14,115.2877616,188.8216772,304.1094388
2024-12-15,117.0940344,192.7456045,309.8396388
2024-12-16,114.03289,189.8531363,303.8860263
2024-12-17,112.1353477,185.4880283,297.623376
2024-12-18,117.1694446,197.6576821,314.8271267
2024-12-19,112.409487,187.1847915,299.5942785
2024-12-20,113.6656467,187.5096622,301.1753089
2024-12-21,119.0431964,199.7820788,318.8252752
2024-12-22,119.0431964,199.7820788,318.8252752
2024-12-23,110.0894054,182.1861207,292.2755261
2024-12-24,110.3961327,179.4865822,289.8827149
2024-12-25,110.3961327,179.4865822,289.8827149
2024-12-26,115.6625172,188.4429597,304.1054769
2024-12-27,111.9931993,182.717239,294.7104382
2024-12-28,116.1976225,188.3310282,304.5286508
2024-12-29,117.342407,187.8555788,305.1979857
2024-12-30,110.8610936,176.6731678,287.5342614
2024-12-31,112.8871047,178.784562,291.6716667
2025-01-01,118.62,189.98,308.6
2025-01-02,110.56,177.95,288.51
2025-01-03,109.26,176.62,285.88
2025-01-04,111.0,178.99,289.98
2025-01-05,111.68,180.88,292.56
2025-01-06,106.15,174.57,280.72
2025-01-07,106.38,175.25,281.63
2025-01-08,106.8,174.1,280.9
2025-01-09,105.87,173.26,279.13
2025-01-10,110.71,184.32,295.03
2025-01-11,117.03,194.47,311.5
2025-01-12,115.58,191.95,307.54
2025-01-13,104.96,175.59,280.56
2025-01-14,106.1,177.99,284.09
2025-01-15,106.92,179.54,286.46
2025-01-16,105.55,179.53,285.08
2025-01-17,106.59,179.72,286.31
2025-01-18,109.14,180.93,290.06
2025-01-19,111.48,185.66,297.14
2025-01-20,105.31,178.93,284.25
2025-01-21,103.52,175.23,278.75
2025-01-22,104.81,174.52,279.34
2025-01-23,106.25,177.65,283.9
2025-01-24,108.1,182.74,290.84
2025-01-25,107.18,178.45,285.63
2025-01-26,111.16,185.21,296.37
2025-01-27,109.15,182.17,291.32
2025-01-28,105.99,176.31,282.3
2025-01-29,107.85,177.88,285.73
2025-01-30,108.58,184.71,293.29
2025-01-31,105.84,177.76,283.6
2025-02-01,107.93,179.55,287.48
2025-02-02,110.51,186.56,297.07
2025-02-03,103.64,175.56,279.19
2025-02-04,103.6,176.99,280.59
2025-02-05,103.34,176.53,279.88
2025-02-06,105.26,179.68,284.93
2025-02-07,105.71,179.69,285.4
2025-02-08,108.74,180.09,288.83
2025-02-09,112.72,188.91,301.63
2025-02-10,110.56,192.33,302.89
2025-02-11,108.28,184.7,292.98
2025-02-12,109.36,182.48,291.84
2025-02-13,106.71,180.45,287.15
2025-02-14,108.28,184.41,292.69
2025-02-15,109.41,184.91,294.32
2025-02-16,113.46,192.66,306.12
2025-02-17,105.3,180.25,285.55
2025-02-18,106.64,182.29,288.93
2025-02-19,105.79,182.25,288.04
2025-02-20,105.79,181.29,287.08
2025-02-21,107.78,182.0,289.78
2025-02-22,111.11,182.94,294.05
2025-02-23,110.74,184.94,295.68
2025-02-24,105.36,181.02,286.38
2025-02-25,107.79,183.57,291.36
2025-02-26,107.21,180.6,287.81
2025-02-27,108.36,181.32,289.68
2025-02-28,108.12,181.53,289.65
2025-03-01,106.96,180.97,287.93
2025-03-02,112.77,190.42,303.19
2025-03-03,109.19,185.34,294.53
2025-03-04,104.34,178.26,282.6
2025-03-05,109.17,187.82,296.99
2025-03-06,109.6,186.92,296.52
2025-03-07,110.28,187.92,298.2
2025-03-08,113.74,191.97,305.72
2025-03-09,116.28,195.77,312.05
2025-03-10,109.06,187.56,296.61
2025-03-11,108.9,187.05,295.95
2025-03-12,110.25,187.3,297.55
2025-03-13,110.19,187.38,297.57
2025-03-14,113.18,190.02,303.2
2025-03-15,114.36,190.51,304.87
2025-03-16,117.96,197.57,315.52
2025-03-17,109.81,185.63,295.44
2025-03-18,107.81,183.36,291.17
2025-03-19,111.45,190.76,302.2
2025-03-20,110.76,187.51,298.27
2025-03-21,112.6,187.04,299.65
2025-03-22,118.52,195.45,313.98
2025-03-23,116.12,188.33,304.45
2025-03-24,108.92,175.7,284.62
2025-03-25,100.94,161.09,262.03
2025-03-26,103.0,154.66,257.66
2025-03-27,96.76,138.83,235.59
2025-03-28,95.92,120.77,216.69
2025-03-29,32.09,38.18,70.27
2025-03-30,85.67,114.57,200.24
2025-03-31,87.83,125.98,213.81
2025-04-01,86.38,126.17,212.55
2025-04-02,88.01,129.7,217.71
2025-04-03,90.1720443,135.5419527,225.713997
2025-04-04,92.18376583,137.835261,230.0190268
2025-04-05,93.65532292,139.7399933,233.3953162
2025-04-06,98.31950362,146.704722,245.0242256
2025-04-07,98.89943413,150.0665744,248.9660086
2025-04-08,100.4775105,154.2073551,254.6848655
2025-04-09,102.7121169,159.7079393,262.4200562
2025-04-10,28.70555377,242.1013267,270.8068804
2025-04-11,104.8976657,166.3216531,271.2193188
2025-04-12,106.1047075,166.1299031,272.2346105
2025-04-13,109.7444921,175.7526225,285.4971146
2025-04-14,104.6763507,174.1616442,278.8379949
2025-04-15,104.9963055,174.1394112,279.1357167
