Date,Traffic_H3I (TB),Traffic_IM3 (TB),Traffic_Total(TB)
2024-10-01,224.0271691,266.7122106,490.7393797
2024-10-02,222.0764779,266.9192545,488.9957324
2024-10-03,212.8893729,254.3769028,467.2662757
2024-10-04,220.8825119,260.7653928,481.6479047
2024-10-05,233.1121708,276.0973784,509.2095493
2024-10-06,231.4626875,272.4183514,503.8810388
2024-10-07,216.4639955,257.3870634,473.8510589
2024-10-08,222.2410355,265.4223052,487.6633408
2024-10-09,223.1250898,267.3094815,490.4345712
2024-10-10,230.6565761,275.1982555,505.8548316
2024-10-11,234.5806731,280.2668114,514.8474845
2024-10-12,231.32042,275.1220775,506.4424975
2024-10-13,233.3711343,275.4290999,508.8002342
2024-10-14,220.4824359,262.0311973,482.5136333
2024-10-15,225.5324985,271.2742995,496.806798
2024-10-16,212.9521513,249.7704628,462.7226142
2024-10-17,219.4071663,263.1934755,482.6006418
2024-10-18,225.0528635,268.5635823,493.6164459
2024-10-19,230.0042194,274.4771645,504.4813839
2024-10-20,235.1183264,278.6517313,513.7700577
2024-10-21,211.7936846,253.5574646,465.3511492
2024-10-22,226.2423312,269.9629937,496.2053249
2024-10-23,226.951902,272.5029649,499.4548669
2024-10-24,230.4979855,279.0897034,509.5876889
2024-10-25,233.8130595,281.8580762,515.6711357
2024-10-26,234.5329125,279.8151447,514.3480571
2024-10-27,241.2247148,287.7609184,528.9856332
2024-10-28,220.7696752,266.017205,486.7868802
2024-10-29,227.1597395,274.5914558,501.7511954
2024-10-30,227.924743,275.3415343,503.2662773
2024-11-01,115.6854587,137.5032834,253.1887421
2024-11-02,226.8106055,271.613783,498.4243885
2024-11-03,226.9145211,268.4765804,495.3911015
2024-11-04,217.0771971,259.7830365,476.8602336
2024-11-05,218.9265651,263.1057218,482.0322868
2024-11-06,219.3908625,264.3242387,483.7151012
2024-11-07,219.2131977,263.2718807,482.4850784
2024-11-08,223.5410526,268.5753125,492.116365
2024-11-09,227.1743906,274.14294,501.3173305
2024-11-10,232.1989122,276.6158588,508.8147709
2024-11-11,221.323404,265.3182617,486.6416656
2024-11-12,221.9666209,266.9004645,488.8670854
2024-11-13,224.6968249,271.0090391,495.705864
2024-11-14,223.8938456,268.7516967,492.6455423
2024-11-15,228.121581,274.5728501,502.6944311
2024-11-16,230.5312833,275.7400516,506.2713348
2024-11-17,228.197686,269.5077923,497.7054784
