Date,Traffic_H3I (TB),Traffic_IM3 (TB),Traffic_Total(TB)
2024-10-01,275.2125812,514.3972191,789.6098003
2024-10-02,275.133996,515.6401987,790.7741947
2024-10-03,276.4229805,515.5762188,791.9991994
2024-10-04,278.7793258,518.6797337,797.4590595
2024-10-05,283.1230337,520.125223,803.2482566
2024-10-06,284.3628636,518.1497224,802.512586
2024-10-07,271.2673668,502.2251682,773.492535
2024-10-08,275.1139506,515.6719114,790.7858619
2024-10-09,277.5466568,523.3924859,800.9391427
2024-10-10,285.3317603,536.9980008,822.3297611
2024-10-11,285.007301,533.4795392,818.4868402
2024-10-12,280.193471,512.0887746,792.2822456
2024-10-13,281.7776528,512.9966141,794.7742669
2024-10-14,271.8324275,504.1619406,775.9943681
2024-10-15,276.2324541,519.6126389,795.8450931
2024-10-16,271.6691946,509.4057879,781.0749825
2024-10-17,276.2116956,519.0528072,795.2645028
2024-10-18,281.8266429,526.2897897,808.1164326
2024-10-19,280.3769088,518.2290355,798.6059443
2024-10-20,283.0274782,519.2078497,802.2353279
2024-10-21,272.2442015,506.8197805,779.063982
2024-10-22,276.561988,519.2070136,795.7690016
2024-10-23,280.2414708,528.377094,808.6185649
2024-10-24,288.1983235,543.2508684,831.4491919
2024-10-25,292.1035979,547.174513,839.2781109
2024-10-26,285.5510498,527.8432018,813.3942517
2024-10-27,295.9480883,540.72357,836.6716583
2024-10-28,271.7451325,513.2488249,784.9939575
2024-10-29,277.1278961,524.6737461,801.8016422
2024-10-30,279.7032465,529.0338917,808.7371382
2024-11-01,133.5848531,248.8119866,382.3968396
2024-11-02,278.4773531,512.9889419,791.466295
2024-11-03,280.0052287,512.3993742,792.4046029
2024-11-04,268.7851385,502.3863239,771.1714623
2024-11-05,269.5855397,508.7502492,778.3357889
2024-11-06,273.3402657,515.6985224,789.0387881
2024-11-07,271.8358682,513.9625913,785.7984595
2024-11-08,278.6242284,522.8169113,801.4411397
2024-11-09,278.2457518,517.2298119,795.4755637
2024-11-10,282.8470694,518.3921738,801.2392432
2024-11-11,275.9726052,514.1874065,790.1600116
2024-11-12,273.7927177,517.2533433,791.046061
2024-11-13,277.6333919,524.7122746,802.3456665
2024-11-14,276.0755341,520.9604107,797.0359448
2024-11-15,280.3411533,528.8490194,809.1901726
2024-11-16,273.9593225,507.7281419,781.6874644
2024-11-17,278.934037,512.3811888,791.3152258
2024-11-18,268.5767326,502.3528819,770.9296145
2024-11-19,275.6360498,522.4021848,798.0382346
2024-11-20,272.2821991,512.2796825,784.5618816
2024-11-21,275.651286,518.9089939,794.5602799
2024-11-22,281.4138333,525.6165866,807.0304199
2024-11-23,281.9956922,521.1686504,803.1643426
2024-11-24,282.3511666,514.3862584,796.737425
2024-11-25,273.6924063,505.461241,779.1536473
2024-11-26,276.0570598,504.0151989,780.0722587
2024-11-27,287.4498083,517.0398578,804.4896661
2024-11-28,273.9176429,500.4097511,774.3273939
2024-11-29,278.276673,509.6210779,787.8977508
2024-11-30,278.7868932,505.0960246,783.8829178
2024-12-01,280.6802625,504.200222,784.8804845
2024-12-02,271.4166615,496.757901,768.1745625
2024-12-03,275.475576,505.5561626,781.0317386
2024-12-04,284.3036014,521.0030703,805.3066717
2024-12-05,287.8611957,526.0482973,813.909493
2024-12-06,287.153074,525.5949443,812.7480183
2024-12-07,290.9517766,524.9634596,815.9152362
2024-12-08,297.0129063,529.4344721,826.4473784
2024-12-09,279.0280814,508.5947136,787.6227949
2024-12-10,284.5221287,520.4220349,804.9441636
2024-12-11,287.6591182,528.2383077,815.8974259
2024-12-12,295.6963936,545.6835295,841.3799231
2024-12-13,282.8631789,521.4758021,804.338981
2024-12-14,284.8708993,521.5179348,806.388834
2024-12-15,288.2703143,520.9979883,809.2683027
2024-12-16,278.1677317,508.9246946,787.0924263
2024-12-17,281.7395273,519.5257557,801.2652829
2024-12-18,280.8596296,518.5686742,799.4283038
2024-12-19,279.8227555,518.5281276,798.3508831
2024-12-20,280.7208243,518.6122683,799.3330926
2024-12-21,280.3049065,513.0266246,793.331531
2024-12-22,280.3049065,513.0266246,793.331531
2024-12-23,274.1841771,501.3686262,775.5528032
2024-12-24,279.0923898,509.6429058,788.7352956
2024-12-25,279.0923898,509.6429058,788.7352956
2024-12-26,271.4217798,493.7585363,765.180316
2024-12-27,271.6963904,496.5165238,768.2129142
2024-12-28,272.7455605,491.6604261,764.4059866
2024-12-29,270.8269014,478.3898741,749.2167755
2024-12-30,265.9233324,471.0865834,737.0099158
2024-12-31,262.6773746,460.2518797,722.9292543
2025-01-01,275.13,476.6,751.73
2025-01-02,258.23,458.5,716.73
2025-01-03,257.98,465.5,723.48
2025-01-04,263.24,474.48,737.71
2025-01-05,268.46,484.5,752.97
2025-01-06,255.34,469.87,725.21
2025-01-07,254.33,473.0,727.32
2025-01-08,254.97,479.18,734.15
2025-01-09,256.04,482.46,738.51
2025-01-10,261.04,494.45,755.49
