Date,Traffic_H3I (TB),Traffic_IM3 (TB),Traffic_Total(TB)
2024-10-01,49.63461632,160.3556894,209.9903057
2024-10-02,49.2327511,159.2797935,208.5125446
2024-10-03,43.55326843,140.7179468,184.2712153
2024-10-04,42.42631527,135.3536379,177.7799532
2024-10-05,55.84197249,176.3193703,232.1613428
2024-10-06,58.56091284,185.4309121,243.991825
2024-10-07,48.81868848,158.0327245,206.851413
2024-10-08,49.02481599,159.9356862,208.9605022
2024-10-09,49.02246272,160.2937883,209.3162511
2024-10-10,50.89734683,166.4028851,217.3002319
2024-10-11,52.21679052,169.1365515,221.353342
2024-10-12,55.76640655,177.7220901,233.4884966
2024-10-13,58.86966798,186.4683105,245.3379785
2024-10-14,49.5426761,161.1622942,210.7049703
2024-10-15,46.97350356,153.9162314,200.889735
2024-10-16,46.52136979,148.4857856,195.0071554
2024-10-17,49.03835346,159.0290228,208.0673763
2024-10-18,51.2111537,165.9119929,217.1231466
2024-10-19,55.9151218,178.8029363,234.7180581
2024-10-20,59.27736055,188.3386991,247.6160596
2024-10-21,49.1853504,158.4827715,207.6681219
2024-10-22,49.90197932,160.8470632,210.7490426
2024-10-23,49.44637098,160.6144359,210.0608069
2024-10-24,51.11952273,166.1817427,217.3012654
2024-10-25,53.22288411,172.6542465,225.8771306
2024-10-26,56.53951124,179.8308841,236.3703954
2024-10-27,61.15576994,193.320502,254.4762719
2024-10-28,49.83292722,161.9823939,211.8153211
2024-10-29,49.55012981,161.3294868,210.8796166
2024-10-30,49.78984139,161.8479115,211.6377529
2024-11-01,24.8959137,80.49559493,105.3915086
2024-11-02,54.53868525,172.452237,226.9909222
2024-11-03,53.06723683,174.0733318,227.1405686
2024-11-04,48.47185451,156.284765,204.7566196
2024-11-05,47.34654731,153.8940769,201.2406243
2024-11-06,47.63874576,154.1137775,201.7525232
2024-11-07,48.44242809,156.2258694,204.6682975
2024-11-08,50.4771318,162.8475329,213.3246647
2024-11-09,55.67414582,175.4410493,231.1151951
2024-11-10,58.37812415,184.5671754,242.9452996
2024-11-11,49.77978257,160.6167126,210.3964952
2024-11-12,48.52799173,155.0576717,203.5856635
2024-11-13,48.67976961,156.8120403,205.4918099
2024-11-14,48.70387307,156.05119,204.7550631
2024-11-15,50.58010981,162.3624037,212.9425136
2024-11-16,54.49519904,173.2573304,227.7525294
2024-11-17,56.21732836,179.573804,235.7911324
2024-11-18,48.28017843,155.3454099,203.6255883
2024-11-19,50.05407603,159.1082269,209.1623029
2024-11-20,47.93134241,152.7234366,200.654779
2024-11-21,49.29784711,156.5807851,205.8786322
2024-11-22,50.63461085,161.4181201,212.052731
2024-11-23,54.83879718,172.2270759,227.0658731
2024-11-24,57.08552648,179.893656,236.9791825
2024-11-25,48.66656994,155.3671709,204.0337408
2024-11-26,50.60405339,159.9845259,210.5885793
2024-11-27,57.19082684,180.1557348,237.3465616
2024-11-28,50.11619865,159.3101378,209.4263364
2024-11-29,50.47293547,157.5316056,208.0045411
2024-11-30,56.27795976,174.0764208,230.3543806
2024-12-01,58.0264547,179.1967522,237.2232069
2024-12-02,48.95538976,151.5517074,200.5070972
2024-12-03,49.89258685,153.3410164,203.2336032
2024-12-04,51.13111228,156.327894,207.4590063
2024-12-05,52.29139573,158.9527908,211.2441866
2024-12-06,52.67946549,160.9315715,213.611037
2024-12-07,56.38581046,171.3693372,227.7551477
