Date,Traffic_H3I (TB),Traffic_IM3 (TB),Traffic_Total(TB)
2024-10-01,65.69378942,189.8443567,255.5381462
2024-10-02,65.21017338,187.7392119,252.9493853
2024-10-03,64.82197601,185.7817947,250.6037707
2024-10-04,66.56982768,190.5495745,257.1194021
2024-10-05,70.34704142,201.4265887,271.7736302
2024-10-06,75.43546397,212.181003,287.616467
2024-10-07,65.29648515,188.2946523,253.5911375
2024-10-08,64.49760775,186.9319324,251.4295402
2024-10-09,65.75585892,192.3370599,258.0929188
2024-10-10,68.12281475,198.4569143,266.579729
2024-10-11,70.3280461,205.4782221,275.8062682
2024-10-12,72.15496932,208.3476646,280.5026339
2024-10-13,77.35625386,219.2242491,296.580503
2024-10-14,66.1118459,193.7293697,259.8412156
2024-10-15,66.98247008,196.2840228,263.2664929
2024-10-16,64.04939692,187.9954201,252.0448171
2024-10-17,66.00679003,191.1989201,257.2057102
2024-10-18,67.9165081,198.0987467,266.0152548
2024-10-19,71.15932309,206.2253134,277.3846365
2024-10-20,78.31266303,222.7472158,301.0598788
2024-10-21,66.03460017,191.0793881,257.1139883
2024-10-22,66.47741827,192.2057267,258.683145
2024-10-23,66.87989988,193.3409787,260.2208786
2024-10-24,68.83499069,198.0196915,266.8546822
2024-10-25,70.95950798,204.8316377,275.7911457
2024-10-26,72.24464421,207.5389817,279.7836259
2024-10-27,80.48165524,231.0269336,311.5085888
2024-10-28,67.31825135,196.7802135,264.0984648
2024-10-29,67.52829832,195.6272483,263.1555467
2024-10-30,67.23211731,193.8686281,261.1007454
2024-11-01,32.70114413,93.94461215,126.6457563
2024-11-02,70.51952667,200.4080623,270.9275889
2024-11-03,76.27865188,216.7910335,293.0696854
2024-11-04,65.19629772,185.9468164,251.1431141
2024-11-05,64.10273333,184.4943175,248.5970508
2024-11-06,64.65700631,184.7103075,249.3673138
2024-11-07,64.1657404,183.9575506,248.123291
2024-11-08,66.35633391,190.7879757,257.1443096
2024-11-09,72.19396494,203.8622304,276.0561953
2024-11-10,76.58707751,215.8858091,292.4728866
2024-11-11,65.96390066,189.4505736,255.4144743
2024-11-12,64.90683723,186.773981,251.6808182
2024-11-13,65.15353707,186.1696006,251.3231377
2024-11-14,64.58028189,183.9119512,248.4922331
2024-11-15,66.65797049,190.5722091,257.2301796
2024-11-16,69.98961827,197.4994782,267.4890964
2024-11-17,73.13734865,204.3105609,277.4479096
2024-11-18,64.6211282,181.817485,246.4386132
2024-11-19,67.02442144,191.6570062,258.6814276
2024-11-20,65.21202787,186.3360977,251.5481255
2024-11-21,66.01655079,186.7425963,252.7591471
2024-11-22,67.70328227,190.7891336,258.4924159
2024-11-23,70.59092428,195.7405108,266.331435
2024-11-24,74.73020311,207.0972853,281.8274884
2024-11-25,66.37514129,186.1272546,252.5023959
2024-11-26,66.67734109,186.6866532,253.3639943
2024-11-27,73.53801385,200.2003073,273.7383212
2024-11-28,68.45866792,194.6985436,263.1572115
2024-11-29,68.62296945,192.0226731,260.6456425
2024-11-30,71.37683291,196.4755007,267.8523336
2024-12-01,73.27671949,199.0360825,272.312802
2024-12-02,66.07902736,180.0048574,246.0838848
2024-12-03,66.64796396,182.7154269,249.3633909
2024-12-04,67.75496693,185.7743833,253.5293502
2024-12-05,68.2233539,187.4452318,255.6685857
2024-12-06,69.75509024,191.0268326,260.7819228
2024-12-07,72.00470343,197.6737894,269.6784928
2024-12-08,76.58211261,206.4644538,283.0465664
2024-12-09,68.2838544,190.2397841,258.5236385
2024-12-10,67.59985365,185.7411674,253.341021
2024-12-11,67.53448481,185.8680175,253.4025023
2024-12-12,71.81757829,197.1259521,268.9435304
2024-12-13,67.26476027,187.5990845,254.8638447
