Date,Traffic_H3I (TB),Traffic_IM3 (TB),Traffic_Total(TB)
2024-10-01,33.75439674,186.1292706,219.8836673
2024-10-02,33.8554451,185.2018638,219.0573089
2024-10-03,33.92168636,184.7557162,218.6774026
2024-10-04,34.84020744,189.5659217,224.4061292
2024-10-05,37.98587705,200.4501056,238.4359826
2024-10-06,41.22497987,214.3798443,255.6048241
2024-10-07,33.25966457,182.2238232,215.4834878
2024-10-08,33.05153552,183.1738996,216.2254351
2024-10-09,33.87136708,186.6058479,220.477215
2024-10-10,34.79909856,191.4367842,226.2358827
2024-10-11,35.72234742,194.9504166,230.672764
2024-10-12,37.55541837,201.0684923,238.6239107
2024-10-13,41.11084714,213.2589456,254.3697927
2024-10-14,33.83072956,187.2120102,221.0427398
2024-10-15,34.22717649,188.9333541,223.1605306
2024-10-16,33.44540044,185.1248714,218.5702718
2024-10-17,34.00990157,187.2150439,221.2249454
2024-10-18,35.48652196,193.518651,229.005173
2024-10-19,38.11009513,200.1050071,238.2151022
2024-10-20,41.26713724,217.383745,258.6508822
2024-10-21,33.76404842,188.0885447,221.8525931
2024-10-22,34.26983696,190.0993439,224.3691809
2024-10-23,34.40871479,188.8936913,223.3024061
2024-10-24,35.34168956,194.6320441,229.9737336
2024-10-25,36.26261271,197.0169478,233.2795605
2024-10-26,37.48457725,201.3479113,238.8324885
2024-10-27,42.1296803,218.6887247,260.818405
2024-10-28,33.69561383,186.8040093,220.4996231
2024-10-29,33.83408446,188.0294516,221.8635361
2024-10-30,34.14557542,187.6747639,221.8203393
2024-11-01,16.78938406,90.8481938,107.6375779
2024-11-02,37.06484485,194.6524362,231.717281
2024-11-03,40.88323798,211.2559662,252.1392042
2024-11-04,33.34109802,181.9057378,215.2468358
2024-11-05,32.95359484,180.3650469,213.3186418
2024-11-06,33.02346103,181.0310518,214.0545128
2024-11-07,33.17831576,181.2284754,214.4067912
2024-11-08,34.08494268,186.3890517,220.4739944
2024-11-09,37.14878673,197.1817054,234.3304921
2024-11-10,40.35263879,209.5475752,249.900214
2024-11-11,34.47376406,188.5645605,223.0383245
2024-11-12,33.52320203,183.9337146,217.4569166
2024-11-13,33.68755322,182.1764101,215.8639634
2024-11-14,33.21329329,181.7010084,214.9143017
2024-11-15,34.58421368,187.8603065,222.4445202
2024-11-16,36.58799212,192.1166628,228.7046549
2024-11-17,39.79749324,207.1054286,246.9029219
2024-11-18,33.48706629,182.6300002,216.1170665
2024-11-19,33.84097582,184.9182342,218.7592101
2024-11-20,33.53986676,181.7345845,215.2744513
2024-11-21,34.00629165,185.0782179,219.0845095
2024-11-22,35.39515476,188.9994641,224.3946189
2024-11-23,37.73018926,197.7856502,235.5158395
2024-11-24,40.34569224,206.8722054,247.2178977
2024-11-25,34.64383562,186.7038513,221.3476869
2024-11-26,34.95107742,188.9271399,223.8782173
2024-11-27,40.32922241,212.5376492,252.8668716
2024-11-28,35.23018244,189.8328668,225.0630492
2024-11-29,35.69178896,189.5192562,225.2110451
2024-11-30,38.4282294,197.0217217,235.4499511
2024-12-01,41.34939185,208.2587435,249.6081353
2024-12-02,34.49036894,181.235387,215.7257559
2024-12-03,34.82803882,182.7360642,217.564103
2024-12-04,35.43458271,185.4673127,220.9018954
2024-12-05,35.73440244,189.8946791,225.6290815
2024-12-06,37.35059192,195.7158911,233.066483
2024-12-07,40.69243028,208.613919,249.3063493
2024-12-08,44.19481961,220.7532211,264.9480407
2024-12-09,36.04127119,189.9240954,225.9653666
2024-12-10,36.75865139,192.3114568,229.0701082
2024-12-11,36.38040462,189.8392251,226.2196297
2024-12-12,38.24973647,198.7147884,236.9645249
2024-12-13,36.80793862,194.1933742,231.0013128
2024-12-14,38.97565283,200.7640087,239.7396616
2024-12-15,42.54580818,212.0270293,254.5728375
2024-12-16,36.08937761,189.7696248,225.8590024
2024-12-17,36.31547416,190.3155733,226.6310474
2024-12-18,35.9339505,187.3486294,223.2825799
2024-12-19,36.27874917,187.8902907,224.1690398
2024-12-20,36.62737135,190.5097195,227.1370909
2024-12-21,39.65193567,200.7094451,240.3613808
2024-12-22,39.65193567,200.7094451,240.3613808
2024-12-23,37.71922858,191.6077349,229.3269635
2024-12-24,38.49674606,195.2502723,233.7470184
2024-12-25,38.49674606,195.2502723,233.7470184
2024-12-26,38.94039375,194.6499704,233.5903642
2024-12-27,38.10515277,191.9091743,230.0143271
2024-12-28,39.5658603,198.2321691,237.7980294
2024-12-29,42.26868723,207.9750932,250.2437804
2024-12-30,38.29802081,192.8460586,231.1440794
2024-12-31,40.74083281,204.2661385,245.0069713
2025-01-01,46.06,225.38,271.44
2025-01-02,36.52,189.01,225.54
2025-01-03,34.82,180.57,215.39
2025-01-04,36.39,186.01,222.4
2025-01-05,39.14,198.88,238.02
2025-01-06,33.01,176.86,209.87
2025-01-07,32.75,176.91,209.65
2025-01-08,32.36,174.99,207.35
2025-01-09,32.14,175.55,207.68
2025-01-10,33.66,182.48,216.14
2025-01-11,35.11,189.08,224.18
2025-01-12,38.28,201.05,239.33
2025-01-13,31.96,176.56,208.52
2025-01-14,31.95,177.83,209.78
2025-01-15,31.44,174.9,206.34
2025-01-16,31.37,176.85,208.22
2025-01-17,32.48,181.86,214.34
2025-01-18,33.86,186.94,220.8
2025-01-19,36.92,200.92,237.84
2025-01-20,30.76,174.41,205.16
2025-01-21,31.12,175.88,207.0
2025-01-22,30.85,175.77,206.62
2025-01-23,30.82,176.7,207.53
2025-01-24,30.84,176.63,207.48
2025-01-25,32.58,185.06,217.64
