Date,Traffic_H3I (TB),Traffic_IM3 (TB),Traffic_Total(TB)
2024-10-01,47.72984013,166.5916848,214.3215249
2024-10-02,47.47139452,164.1049513,211.5763458
2024-10-03,47.55671812,164.0420531,211.5987712
2024-10-04,48.72085122,169.3408004,218.0616516
2024-10-05,51.17760575,174.4394656,225.6170713
2024-10-06,54.57373527,187.075036,241.6487712
2024-10-07,47.089033,164.2638771,211.3529101
2024-10-08,46.96509737,165.8928675,212.8579649
2024-10-09,49.00220544,171.9435621,220.9457675
2024-10-10,50.59178056,177.0886093,227.6803899
2024-10-11,51.18680589,178.3168827,229.5036886
2024-10-12,51.27737512,177.8935819,229.170957
2024-10-13,54.42999392,189.4833335,243.9133274
2024-10-14,47.43235293,167.0191614,214.4515143
2024-10-15,48.64096005,170.8690158,219.5099759
2024-10-16,47.43200077,167.3857314,214.8177322
2024-10-17,47.97343393,169.5287644,217.5021984
2024-10-18,49.99208921,175.0322941,225.0243833
2024-10-19,50.83686648,176.3450203,227.1818868
2024-10-20,54.34302934,187.1901438,241.5331732
2024-10-21,47.86538749,170.754477,218.6198645
2024-10-22,48.55412762,169.3056872,217.8598148
2024-10-23,48.39495574,168.4262506,216.8212063
2024-10-24,50.02008617,172.9418673,222.9619534
2024-10-25,51.17932938,179.8378853,231.0172147
2024-10-26,51.49091156,177.543153,229.0340646
2024-10-27,56.36378265,192.5083122,248.8720948
2024-10-28,48.36603172,169.2901466,217.6561783
2024-10-29,48.29469344,168.1911556,216.4858491
2024-10-30,48.13950763,168.898807,217.0383147
2024-11-01,23.174474,80.28109265,103.4555667
2024-11-02,49.80954817,170.9359346,220.7454828
2024-11-03,52.97209101,180.3373127,233.3094037
2024-11-04,46.59422283,162.8309836,209.4252064
2024-11-05,46.79048299,162.2646658,209.0551488
2024-11-06,46.83832301,162.2714904,209.1098134
2024-11-07,46.66195342,162.1582802,208.8202336
2024-11-08,48.09627606,166.0528995,214.1491756
2024-11-09,50.16241376,171.829199,221.9916128
2024-11-10,53.43921492,180.5658981,234.005113
2024-11-11,48.01749086,166.2642203,214.2817112
2024-11-12,47.75863769,164.2799804,212.0386181
2024-11-13,47.41187513,163.0735112,210.4853863
2024-11-14,47.40098409,162.1829081,209.5838922
2024-11-15,48.83463269,167.5095668,216.3441995
2024-11-16,49.5785273,167.6588648,217.2373921
2024-11-17,51.94324636,176.1126364,228.0558828
2024-11-18,46.66056612,159.4290792,206.0896453
2024-11-19,48.29400551,166.047563,214.3415685
2024-11-20,47.10212673,161.4230766,208.5252033
2024-11-21,47.4157593,163.7127876,211.1285469
2024-11-22,49.19237436,168.5440904,217.7364647
2024-11-23,52.77681166,180.0619615,232.8387732
2024-11-24,53.0546899,178.0279861,231.082676
2024-11-25,48.56840784,165.6745189,214.2429267
2024-11-26,49.9533362,170.2412681,220.1946043
2024-11-27,53.54386842,183.9188255,237.4626939
2024-11-28,49.10359578,168.668249,217.7718448
2024-11-29,49.44577705,167.3159166,216.7616937
