Date,Traffic_H3I (TB),Traffic_IM3 (TB),Traffic_Total(TB)
2024-10-01,61.29769237,150.878487,212.1761794
2024-10-02,61.23407417,150.2323919,211.4664661
2024-10-03,57.72002933,139.3074582,197.0274875
2024-10-04,59.44371425,142.65757,202.1012842
2024-10-05,69.442226,170.7767812,240.2190072
2024-10-06,74.03643739,181.2365836,255.273021
2024-10-07,60.09677581,147.8921351,207.9889109
2024-10-08,61.28247056,150.4465949,211.7290655
2024-10-09,61.27239344,151.1132829,212.3856763
2024-10-10,63.36062222,155.7645131,219.1251353
2024-10-11,65.57811008,160.2503909,225.828501
2024-10-12,69.70415782,168.9103405,238.6144983
2024-10-13,73.74661047,177.754608,251.5012185
2024-10-14,60.93123072,149.8797155,210.8109462
2024-10-15,62.05005772,150.1530228,212.2030805
2024-10-16,58.11253879,140.0370663,198.1496051
2024-10-17,60.55399853,148.3912029,208.9452014
2024-10-18,62.14116147,154.104509,216.2456705
2024-10-19,68.53486631,167.8209077,236.355774
2024-10-20,74.26610754,181.5512744,255.8173819
2024-10-21,58.85928342,144.7146137,203.5738971
2024-10-22,61.57165502,149.6505886,211.2222436
2024-10-23,61.106715,149.3222177,210.4289327
2024-10-24,63.13289069,154.3709906,217.5038813
2024-10-25,65.43712246,158.218748,223.6558705
2024-10-26,69.21557839,168.1655888,237.3811671
2024-10-27,76.80698413,183.8343308,260.641315
2024-10-28,60.26001104,147.7604975,208.0205085
2024-10-29,60.80999127,147.8995303,208.7095215
2024-10-30,61.09702754,149.7379216,210.8349491
2024-11-01,32.66629271,79.16694737,111.8332401
2024-11-02,67.68890411,163.7753269,231.464231
2024-11-03,71.10549505,172.9586888,244.0641838
2024-11-04,59.06385499,143.5924226,202.6562775
2024-11-05,59.34125617,144.0729412,203.4141973
2024-11-06,59.43916433,144.0782669,203.5174312
2024-11-07,59.90862942,145.9954528,205.9040822
2024-11-08,61.62064069,149.8411833,211.461824
2024-11-09,68.32016181,165.1074205,233.4275823
2024-11-10,72.59890515,175.1723819,247.771287
2024-11-11,60.63322611,148.1879852,208.8212113
