Date,Traffic_H3I (TB),Traffic_IM3 (TB),Traffic_Total(TB)
2024-10-01,209.6271691,341.514861,551.1420301
2024-10-02,209.8423544,341.8792504,551.7216047
2024-10-03,209.5031253,342.1313148,551.6344401
2024-10-04,214.3456098,349.7474837,564.0930935
2024-10-05,225.0265654,364.1044932,589.1310586
2024-10-06,232.2786298,372.8392571,605.1178869
2024-10-07,208.1615005,337.3688251,545.5303257
2024-10-08,210.8861442,344.7748389,555.6609832
2024-10-09,210.6917611,346.9369709,557.628732
2024-10-10,216.4382826,355.3472873,571.7855699
2024-10-11,220.1059909,361.384554,581.4905449
2024-10-12,222.6937925,362.119064,584.8128566
2024-10-13,230.3213248,371.850835,602.1721598
2024-10-14,209.2839369,339.2197536,548.5036905
2024-10-15,211.3140618,345.1427075,556.4567693
2024-10-16,207.0513555,339.4604031,546.5117586
2024-10-17,210.5863728,343.6316023,554.217975
2024-10-18,216.3658261,352.775727,569.1415531
2024-10-19,222.4042602,362.3261435,584.7304037
2024-10-20,232.3993918,376.2877471,608.6871388
2024-10-21,210.8792686,342.9221002,553.8013689
2024-10-22,213.9795379,349.3927398,563.3722777
2024-10-23,213.5862722,351.494311,565.0805832
2024-10-24,219.5274649,359.4113466,578.9388115
2024-10-25,223.394183,367.3833743,590.7775573
2024-10-26,224.2708077,367.6696362,591.9404438
2024-10-27,237.9216683,385.7266792,623.6483475
2024-10-28,209.7512676,344.0868849,553.8381525
2024-10-29,211.5237672,348.2925779,559.8163451
2024-10-30,210.5437569,348.1128011,558.656558
2024-11-01,102.485249,168.3789882,270.8642372
2024-11-02,218.9825579,356.7598991,575.742457
2024-11-03,225.3572777,365.2228463,590.5801241
2024-11-04,204.9703674,333.8859441,538.8563114
2024-11-05,204.2662352,334.9516811,539.2179163
2024-11-06,206.2088806,338.9385603,545.1474409
2024-11-07,207.4886641,339.9888991,547.4775632
2024-11-08,212.3073503,347.0928951,559.4002454
2024-11-09,221.7867708,359.6426469,581.4294177
2024-11-10,228.209449,369.055241,597.26469
2024-11-11,211.6638738,343.9553435,555.6192174
2024-11-12,208.3699619,341.442452,549.8124139
2024-11-13,210.0551806,343.2072628,553.2624434
2024-11-14,207.4125681,340.1554602,547.5680283
2024-11-15,212.8803176,348.426678,561.3069956
2024-11-16,217.2741626,350.8721497,568.1463123
2024-11-17,226.7749349,363.2483606,590.0232955
2024-11-18,204.7064816,331.8234518,536.5299334
2024-11-19,208.8178502,342.6861582,551.5040084
2024-11-20,207.1373036,337.7969906,544.9342941
2024-11-21,208.9286386,340.8534249,549.7820634
2024-11-22,214.6599977,350.4021135,565.0621112
2024-11-23,223.3613391,363.265396,586.6267351
2024-11-24,230.6090564,372.4867326,603.095789
2024-11-25,213.2025609,343.1515869,556.3541477
2024-11-26,215.3319615,343.5992948,558.9312563
2024-11-27,236.1241032,371.2977243,607.4218275
2024-11-28,214.1258679,340.6892221,554.81509
2024-11-29,215.7260805,343.8718641,559.5979446
2024-11-30,222.8575797,352.7062571,575.5638368
2024-12-01,229.3848921,359.632732,589.0176241
2024-12-02,207.9933926,328.7806473,536.7740399
2024-12-03,212.2919408,336.763543,549.0554838
2024-12-04,216.1283508,343.2958495,559.4242003
2024-12-05,222.042504,350.5771727,572.6196767
2024-12-06,221.8323604,352.0302358,573.8625962
