Date,Traffic_H3I (TB),Traffic_IM3 (TB),Traffic_Total(TB)
2024-10-01,172.7301627,200.6524377,373.3826004
2024-10-02,170.7664432,198.8548159,369.6212592
2024-10-03,151.5744428,176.3613526,327.9357954
2024-10-04,143.1976539,162.4676213,305.6652752
2024-10-05,182.8914602,212.0610014,394.9524616
2024-10-06,185.6470744,212.6042397,398.2513142
2024-10-07,168.6114642,193.4230945,362.0345587
2024-10-08,170.7863461,197.0275491,367.8138952
2024-10-09,172.1035025,200.843134,372.9466365
2024-10-10,175.6839355,206.0028134,381.6867489
2024-10-11,177.6220354,208.5850575,386.2070929
2024-10-12,181.0263282,209.6806751,390.7070032
2024-10-13,184.2696781,211.4161695,395.6858476
2024-10-14,166.5543793,192.9002492,359.4546285
2024-10-15,158.8634796,187.2616602,346.1251398
2024-10-16,156.7338713,179.0427285,335.7765997
2024-10-17,165.1234705,194.5576132,359.6810837
2024-10-18,174.2709542,204.5709916,378.8419458
2024-10-19,183.1263942,213.1362728,396.262667
2024-10-20,186.0698295,215.4001863,401.4700158
2024-10-21,165.9636374,193.5588725,359.5225098
2024-10-22,167.6773987,195.5361566,363.2135553
2024-10-23,171.8024547,201.7906978,373.5931525
2024-10-24,175.8330513,208.5304676,384.3635189
2024-10-25,179.8357071,211.9762702,391.8119773
2024-10-26,184.9302461,216.5472416,401.4774877
2024-10-27,192.5829392,223.1878019,415.7707411
2024-10-28,171.7669253,201.0079102,372.7748355
2024-10-29,174.1076049,203.8674809,377.9750858
2024-10-30,175.6490782,205.9958158,381.6448941
2024-11-01,82.27024396,96.59586522,178.8661092
2024-11-02,177.8401481,208.9657633,386.8059115
2024-11-03,181.7055279,211.2276438,392.9331717
2024-11-04,165.8509367,193.1638581,359.0147948
2024-11-05,163.1778706,191.5186114,354.696482
2024-11-06,167.8921572,197.1306019,365.0227591
2024-11-07,169.0346603,199.5338784,368.5685386
2024-11-08,170.9604832,201.3723798,372.332863
2024-11-09,183.8349132,215.6810519,399.515965
2024-11-10,184.8233744,215.9546191,400.7779934
2024-11-11,170.6924205,198.7640155,369.456436
2024-11-12,167.6699414,196.620254,364.2901954
2024-11-13,168.3773305,198.0858107,366.4631412
2024-11-14,170.0526553,199.4901852,369.5428405
2024-11-15,172.4100861,202.8955281,375.3056142
2024-11-16,175.5317655,205.9429599,381.4747254
2024-11-17,181.5589765,208.6911465,390.2501229
2024-11-18,167.1767815,193.8472018,361.0239833
2024-11-19,172.8343927,202.5860951,375.4204878
2024-11-20,168.7601723,198.3365177,367.0966901
2024-11-21,170.3242977,200.141302,370.4655997
2024-11-22,174.9717775,202.9942188,377.9659963
2024-11-23,182.7287852,211.5406961,394.2694813
2024-11-24,188.8399332,215.0409069,403.8808401
2024-11-25,174.5496178,198.3791253,372.9287431
2024-11-26,170.2554853,193.3551065,363.6105918
2024-11-27,180.0148624,200.0167993,380.0316617
2024-11-28,171.8726552,195.5466211,367.4192763
2024-11-29,171.9574102,195.2012525,367.1586627
2024-11-30,185.0527484,211.8806992,396.9334475
2024-12-01,182.4787966,204.3517109,386.8305075
2024-12-02,167.1867414,188.3122277,355.4989691
2024-12-03,172.1768021,193.9063815,366.0831836
2024-12-04,175.4980367,198.8378803,374.335917
2024-12-05,180.4697367,203.0420181,383.5117548
2024-12-06,180.7785491,202.7316913,383.5102404
2024-12-07,186.1714172,212.7135852,398.8850024
2024-12-08,190.7382987,212.6627848,403.4010835
2024-12-09,175.0308505,195.4964833,370.5273338
2024-12-10,179.7744756,201.9365826,381.7110582
2024-12-11,175.6692754,199.9070197,375.5762951
2024-12-12,185.458785,211.9976319,397.4564169
2024-12-13,179.3696217,204.3395743,383.709196
2024-12-14,184.6458131,213.6474273,398.2932403
2024-12-15,186.7816244,212.7469717,399.528596
2024-12-16,173.3432889,196.5831608,369.9264497
2024-12-17,177.0705245,202.4810533,379.5515778
2024-12-18,176.5152224,201.8897679,378.4049903
2024-12-19,175.2274774,200.9085052,376.1359826
