Date,Traffic_H3I (TB),Traffic_IM3 (TB),Traffic_Total(TB)
2024-10-01,86.88413539,162.52154,249.4056754
2024-10-02,87.04596581,163.4445161,250.4904819
2024-10-03,74.38563288,140.6822941,215.067927
2024-10-04,73.77431935,138.4898278,212.2641471
2024-10-05,92.18942913,175.3435707,267.5329998
2024-10-06,96.57494404,182.833353,279.408297
2024-10-07,83.91492648,158.9256495,242.840576
2024-10-08,84.9588317,161.0400336,245.9988653
2024-10-09,86.41755997,163.2944636,249.7120235
2024-10-10,88.5419729,168.1914572,256.7334301
2024-10-11,89.857604,170.2693739,260.1269779
2024-10-12,92.51937399,176.3556341,268.8750081
2024-10-13,96.89374487,184.8281508,281.7218957
2024-10-14,85.90982182,162.3055519,248.2153737
2024-10-15,80.78244072,154.3984566,235.1808973
2024-10-16,79.84215085,149.5722347,229.4143856
2024-10-17,84.47785295,160.3601259,244.8379788
2024-10-18,87.82578261,167.6474955,255.4732781
2024-10-19,92.56369156,177.9752531,270.5389447
2024-10-20,97.29556496,186.0335779,283.3291429
2024-10-21,84.66288537,161.1501044,245.8129898
2024-10-22,85.02954413,161.9601312,246.9896753
2024-10-23,87.26381809,165.5805196,252.8443377
2024-10-24,89.43309754,169.595078,259.0281755
2024-10-25,91.27918521,172.6633873,263.9425725
2024-10-26,92.79648604,177.7368671,270.5333531
2024-10-27,100.5589648,191.4453019,292.0042667
2024-10-28,85.52853585,163.6721744,249.2007102
2024-10-29,85.78594648,163.4672702,249.2532166
2024-10-30,85.93137063,163.8872178,249.8185884
2024-11-01,42.79016944,81.76908493,124.5592544
2024-11-02,91.33891318,174.2019264,265.5408396
2024-11-03,95.62249583,183.0186075,278.6411033
2024-11-04,83.96131106,158.4622725,242.4235836
2024-11-05,82.46778257,156.7827938,239.2505764
2024-11-06,83.093562,157.8645438,240.9581058
2024-11-07,84.03654375,159.6076348,243.6441785
2024-11-08,87.04502921,164.4634877,251.5085169
2024-11-09,92.12810371,176.0858181,268.2139219
2024-11-10,96.08148517,181.7003428,277.781828
2024-11-11,86.42888896,162.9596935,249.3885824
2024-11-12,83.96424501,158.544757,242.509002
2024-11-13,85.30266112,160.2973958,245.600057
2024-11-14,84.9868426,160.2570593,245.2439019
2024-11-15,87.03136703,163.9115968,250.9429639
2024-11-16,89.04278624,170.4922468,259.5350331
2024-11-17,94.02674583,176.9774799,271.0042257
2024-11-18,83.94738806,157.7642027,241.7115908
2024-11-19,86.14944107,161.2906932,247.4401343
2024-11-20,83.67218883,157.2210473,240.8932361
2024-11-21,84.65800998,159.029659,243.6876689
2024-11-22,88.16548181,164.3109163,252.4763981
2024-11-23,91.612008,172.564975,264.176983
2024-11-24,96.03122475,180.427897,276.4591217
2024-11-25,86.05943507,161.3808894,247.4403244
2024-11-26,86.97157936,161.520433,248.4920124
2024-11-27,95.37316679,176.9636339,272.3368007
2024-11-28,86.43427537,158.4044359,244.8387113
2024-11-29,86.95552679,158.9660802,245.921607
2024-11-30,94.62036915,172.7486326,267.3690018
2024-12-01,94.65258839,173.2754558,267.9280442
2024-12-02,84.86318783,153.2383206,238.1015084
2024-12-03,85.31170075,154.2454644,239.5571652
2024-12-04,88.65273281,158.748972,247.4017048
2024-12-05,91.05175027,164.0215815,255.0733318
2024-12-06,90.97333225,163.7132438,254.6865761
2024-12-07,94.85992438,172.4966498,267.3565742
2024-12-08,99.88172562,182.0112564,281.8929821
2024-12-09,88.67922625,160.5549593,249.2341855
2024-12-10,91.4595745,165.2564511,256.7160256
2024-12-11,90.00847176,162.1558399,252.1643117
2024-12-12,93.49318278,169.9084317,263.4016145
2024-12-13,90.71962828,164.2350699,254.9546981
2024-12-14,95.82688194,175.8590779,271.6859598
2024-12-15,99.84085883,182.5638232,282.4046821
2024-12-16,89.60287291,162.3852945,251.9881674
2024-12-17,90.50958002,164.9358149,255.4453949
2024-12-18,89.84536613,161.9201024,251.7654685
2024-12-19,90.55303798,164.4740717,255.0271097
