Date,Traffic_H3I (TB),Traffic_IM3 (TB),Traffic_Total(TB)
2024-10-01,248.355288283,735.37678224,983.73207053
2024-10-02,245.192224212,720.43116403,965.62338819
2024-10-03,244.994795215,720.84015167,965.8349468600001
2024-10-04,248.837054608,728.98647302,977.8235276400001
2024-10-05,268.895892534,785.01995789,1053.91585031
2024-10-06,266.416815233,780.00444096,1046.42125612
2024-10-07,246.862945277,727.26660062,974.12954594
2024-10-08,246.58600507100002,727.56220877,974.14821365
2024-10-09,247.86470654299998,730.86529119,978.72999779
2024-10-10,254.269087834,746.28866937,1000.55775714
2024-10-11,255.995151657,751.0793809200001,1007.07453257
2024-10-12,257.677117884,750.38537898,1008.06249699
2024-10-13,262.409505245,767.33689486,1029.74640016
2024-10-14,244.782090496,719.15958592,963.94167638
2024-10-15,248.431750153,730.32842924,978.76017943
2024-10-16,243.799456586,718.72560921,962.52506578
2024-10-17,250.804964949,741.92788229,992.73284717
2024-10-18,253.358926328,749.77019848,1003.12912467
2024-10-19,258.567335683,754.88702936,1013.4543650100001
2024-10-20,264.071585976,775.24754237,1039.31912821
2024-10-21,246.692736903,727.44695789,974.13969482
2024-10-22,250.023871398,729.73606295,979.7599342
2024-10-23,252.077195201,735.38183393,987.45902917
2024-10-24,257.9010867,754.63717905,1012.5382656099999
2024-10-25,262.101748204,764.10444705,1026.20619536
2024-10-26,262.70563727399997,764.09774001,1026.80337712
2024-10-27,276.434757189,800.2998212699999,1076.73457833
2024-10-28,247.576330556,730.23959804,977.81592855
2024-10-29,250.028825551,732.17229651,982.2011221
2024-10-30,251.85788607700002,734.34273444,986.2006204400001
2024-11-01,119.24924408300001,349.257049949,468.50629405
2024-11-02,252.934061751,727.07517598,980.00923774
2024-11-03,259.686954183,747.06216703,1006.7491212299999
2024-11-04,242.95301951899998,704.44074175,947.39376122
2024-11-05,242.22669108600002,699.3161966499999,941.54288765
2024-11-06,245.645990159,710.47961793,956.12560826
2024-11-07,245.957020886,713.64100172,959.59802253
2024-11-08,250.111480896,725.2051077,975.31658853
2024-11-09,255.975900368,734.90077783,990.87667811
2024-11-10,264.127716586,756.9656482,1021.09336478
2024-11-11,246.259395112,708.60672619,954.86612128
2024-11-12,247.84337023,712.2926622,960.13603252
2024-11-13,251.15248337,719.1970916500001,970.3495750300001
2024-11-14,248.831806261,712.94282307,961.77462931
2024-11-15,249.362683619,721.20982069,970.57250431
2024-11-16,255.982046183,730.98918838,986.9712345600001
2024-11-17,260.601869366,751.3601446700001,1011.96201399
2024-11-18,242.992936525,704.78415254,947.77708905
2024-11-19,249.961100045,722.87986397,972.84096408
2024-11-20,246.864574916,712.61195941,959.47653426
2024-11-21,250.63699176400002,720.6327212799999,971.2697130399999
2024-11-22,251.926376033,718.06597541,969.99235148
2024-11-23,257.67566901600003,734.27114984,991.94681888
2024-11-24,265.794151486,754.23332797,1020.02747944
2024-11-25,250.189760804,719.59863501,969.78839579
2024-11-26,250.056408551,716.80499304,966.86140159
2024-11-27,264.311284093,754.5360458800001,1018.84733013
2024-11-28,252.375873371,723.9836583700001,976.35953179
2024-11-29,250.424766416,718.61125525,969.03602174
2024-11-30,263.802598288,750.85303418,1014.65563261
2024-12-01,264.167349768,759.0557151400001,1023.22306488
2024-12-02,241.024533676,690.71265953,931.7371932
2024-12-03,232.410669279,672.84565508,905.2563244500001
2024-12-04,255.406630986,734.91789219,990.32452316
2024-12-05,260.190123061,740.68540351,1000.87552661
2024-12-06,269.460401696,777.32071318,1046.78111498
2024-12-07,266.748490452,756.94047613,1023.6889665200001
2024-12-08,277.996499496,786.24519207,1064.24169153
