Date,Traffic_H3I (TB),Traffic_IM3 (TB),Traffic_Total(TB)
2024-10-01,406.90129429,476.19309417,883.09438841
2024-10-02,404.34210358,475.04235714000004,879.3844608
2024-10-03,356.56530302,417.92403528,774.4893382
2024-10-04,338.72086575000003,392.43577236,731.15663811
2024-10-05,435.06476781000003,511.5468228,946.61159058
2024-10-06,448.2476236,524.45252736,972.70015099
2024-10-07,400.96421998,464.48561572999995,865.4498357699999
2024-10-08,403.97707729,470.02538431,874.0024615
2024-10-09,406.76480317,478.35637207,885.12117521
2024-10-10,416.45415266,492.13583671000004,908.58998951
2024-10-11,421.95120486,499.14753945,921.0987443
2024-10-12,433.34927405,512.21030606,945.55957997
2024-10-13,443.80440751,521.38047978,965.18488724
2024-10-14,397.85568022,466.44062942,864.29630975
2024-10-15,377.95634541000004,448.67918018,826.6355256100001
2024-10-16,373.09493676,430.48401896,803.57895549
2024-10-17,392.94928847,466.89465091,859.8439393499999
2024-10-18,412.38798111,490.10324852,902.49122967
2024-10-19,434.65501984,515.7249402699999,950.37996017
2024-10-20,448.29885117,528.80536318,977.1042144200001
2024-10-21,392.31882129,463.29095261000003,855.60977377
2024-10-22,397.32277812999996,467.26541735,864.58819552
2024-10-23,404.64710698,480.36327216999996,885.0103791399999
2024-10-24,414.67591136,494.57302246,909.2489337999999
2024-10-25,425.83374405,507.368682,933.20242599
2024-10-26,438.37741158000006,522.69733994,961.0747515099999
2024-10-27,462.73746307,546.47905196,1009.21651507
2024-10-28,404.62747511,478.83231536,883.4597905200001
2024-10-29,409.36066134,484.86247925,894.22314068
2024-10-30,410.75393923,488.6452991,899.39923846
2024-11-01,193.38446266,231.11880234999998,424.50326502
2024-11-02,422.14807991,505.44444555,927.59252554
2024-11-03,436.18982865,519.81873168,956.00856033
2024-11-04,391.40111701,461.51598598,852.91710303
2024-11-05,388.12164445,459.76342032,847.88506464
2024-11-06,392.74122507,467.35838125,860.09960625
2024-11-07,396.09924634000004,473.01709205000003,869.11633826
2024-11-08,402.85199414,480.16175635,883.01375054
2024-11-09,434.85288836,520.2708943299999,955.12378265
2024-11-10,442.09574972,527.27998863,969.37573824
2024-11-11,401.60727937,472.72221773999996,874.32949707
2024-11-12,393.50984132,466.5803519,860.0901932
2024-11-13,396.39876807,470.33895588999997,866.73772391
2024-11-14,397.19340489,470.67309398000003,867.8664989399999
2024-11-15,406.33726032000004,482.88913901,889.22639936
2024-11-16,420.67117196000004,499.89698392,920.56815585
2024-11-17,432.44824979,509.75799204,942.20624174
2024-11-18,390.05521798,456.20738991999997,846.26260803
2024-11-19,402.52203441,476.55020126,879.0722356599999
2024-11-20,393.30860908,466.11923096,859.42784018
2024-11-21,396.65802877,472.46975043,869.1277791800001
2024-11-22,408.40762934,479.87544336999997,888.2830726699999
2024-11-23,429.18864127,506.79825399,935.98689521
2024-11-24,446.04628802,519.10414711,965.15043525
2024-11-25,408.06787431,471.10154378,879.16941808
2024-11-26,402.00337698,463.92601924999997,865.92939629
2024-11-27,430.17625955,489.15105451,919.3273140599999
2024-11-28,405.27239203,467.89164859,873.16404056
2024-11-29,405.11987325999996,464.87049947,869.99037269
2024-11-30,435.71397851,506.36296974000004,942.07694816
2024-12-01,435.95080403,499.52044871,935.4712526999999
2024-12-02,393.03432642999996,448.45131933,841.48564578
2024-12-03,402.76122355,458.54578778,861.30701129
2024-12-04,411.534876,471.07368212,882.60855814
2024-12-05,423.09073849,481.45165957,904.54239793
2024-12-06,425.81173136999996,483.54596613,909.35769753
2024-12-07,440.17142771,508.54476878,948.71619653
2024-12-08,453.30398876,516.02282845,969.32681722
2024-12-09,411.57232602,466.94136206,878.5136880700001
2024-12-10,420.54794234,477.9306825,898.47862482
2024-12-11,411.5524194,472.99264514000004,884.54506443
2024-12-12,439.23079008,508.84971966,948.08050977
2024-12-13,421.24086846,483.79517869,905.03604713
2024-12-14,441.85291739,518.46768644,960.32060371
2024-12-15,449.37982036,521.27380317,970.6536234
2024-12-16,410.01431053,470.20207929000003,880.21638979
2024-12-17,418.1605452,480.70874377,898.86928896
2024-12-18,416.3147379,481.48343410000007,897.79817197
