Date,Traffic_H3I (TB),Traffic_IM3 (TB),Traffic_Total(TB)
2024-10-01,1959.80667315,3893.82143287,5853.62810589
2024-10-02,1956.9992195099999,3887.96702688,5844.96624633
2024-10-03,1810.92937463,3585.65316098,5396.58253591
2024-10-04,1869.611656,3671.89560833,5541.50726416
2024-10-05,2116.18546203,4198.42838103,6314.61384337
2024-10-06,2202.27111636,4362.42897091,6564.70008754
2024-10-07,1916.47597986,3816.03303723,5732.5090171
2024-10-08,1933.38303869,3844.54068952,5777.92372847
2024-10-09,1959.8925427899999,3912.45856753,5872.35111051
2024-10-10,2027.94302898,4047.86829606,6075.81132492
2024-10-11,2074.05808209,4131.78490619,6205.84298818
2024-10-12,2116.2170965,4221.29381641,6337.51091289
2024-10-13,2205.14137338,4382.38471746,6587.52609106
2024-10-14,1949.96791582,3899.10764373,5849.07555935
2024-10-15,1932.11542609,3867.5288125,5799.64423854
2024-10-16,1848.72755496,3626.93056906,5475.6581244399995
2024-10-17,1930.02834957,3871.3669581,5801.39530777
2024-10-18,2001.61901569,4001.07468743,6002.69370378
2024-10-19,2101.6992171800002,4200.86642161,6302.56563878
2024-10-20,2212.2885535,4417.15210207,6629.44065535
2024-10-21,1895.46044607,3801.31373939,5696.77418539
2024-10-22,1972.00015769,3932.09961197,5904.09976984
2024-10-23,1963.05586329,3924.1608366,5887.2166998
2024-10-24,2010.81006043,4022.04080613,6032.85086641
2024-10-25,2077.9414150000002,4159.50407254,6237.44548776
2024-10-26,2116.6355176,4240.40390854,6357.03942554
2024-10-27,2267.63146167,4512.27628884,6779.90775061
2024-10-28,1938.73517024,3897.28202739,5836.01719732
2024-10-29,1946.70182257,3891.33952255,5838.04134499
2024-10-30,1953.67988995,3914.41701395,5868.096904
2024-11-01,1006.453393836,2002.29698533,3008.75037921
2024-11-02,2049.9854933799998,4107.26783183,6157.25332533
2024-11-03,2155.68359524,4311.8751459000005,6467.55874094
2024-11-04,1892.52323482,3792.79147716,5685.31471197
2024-11-05,1880.72430271,3771.01833166,5651.74263427
2024-11-06,1888.2524285,3776.85790724,5665.11033548
2024-11-07,1900.77290869,3807.36355623,5708.13646493
2024-11-08,1970.73355503,3946.95519533,5917.68875031
2024-11-09,2052.28837719,4128.68580889,6180.97418626
2024-11-10,2158.33585368,4307.06485655,6465.40071007
2024-11-11,1948.16006124,3899.87738157,5848.03744254
2024-11-12,1913.0643388400001,3818.7688654099998,5731.83320447
2024-11-13,1926.44056962,3832.32298986,5758.76355978
2024-11-14,1922.00089667,3820.03274381,5742.03364055
2024-11-15,1986.38976356,3955.30053063,5941.69029407
2024-11-16,2059.24627812,4095.5801399,6154.82641805
2024-11-17,2119.65668336,4205.32078822,6324.97747175
2024-11-18,1889.73385298,3749.8481687,5639.58202187
2024-11-19,1945.52743825,3874.48588606,5820.01332397
2024-11-20,1892.0733324,3753.94936437,5646.02269684
2024-11-21,1928.67232734,3830.49296237,5759.16528963
2024-11-22,1998.24942285,3955.62660719,5953.87602992
2024-11-23,2076.51921283,4121.95469923,6198.47391224
2024-11-24,2157.72155217,4242.36738742,6400.0889397500005
2024-11-25,1948.5434815,3835.89732412,5784.44080545
2024-11-26,1984.65597021,3895.04569888,5879.70166897
2024-11-27,2206.19934548,4304.22915338,6510.42849872
2024-11-28,1988.5193743,3900.2101032,5888.72947718
2024-11-29,1985.73725806,3862.04594976,5847.78320763
2024-11-30,2105.52021187,4078.29840852,6183.81862061
2024-12-01,2174.25289098,4210.79482973,6385.04772036
2024-12-02,1923.1160355900001,3725.62684878,5648.74288462
2024-12-03,1948.83103722,3755.42879627,5704.25983345
2024-12-04,1973.96066858,3802.39184294,5776.35251117
2024-12-05,2008.98401414,3850.80640243,5859.7904169
2024-12-06,2045.08288281,3919.60017517,5964.68305813
2024-12-07,2142.15747403,4115.29469,6257.45216431
2024-12-08,2230.96795473,4275.81674973,6506.78470469
2024-12-09,1986.3004467599999,3840.1849463500002,5826.48539332
2024-12-10,2021.40499866,3892.88234713,5914.28734593
2024-12-11,2009.4219615900001,3872.56055466,5881.98251633
2024-12-12,2109.32323674,4066.15045394,6175.47369066
2024-12-13,2036.4827770900001,3919.3033680500002,5955.78614515
2024-12-14,2152.31662233,4164.84527537,6317.16189783
2024-12-15,2244.79292802,4329.05050519,6573.8434329
2024-12-16,1997.13624833,3853.26604312,5850.40229132
2024-12-17,2015.0884513600001,3889.09120196,5904.17965341
2024-12-18,2031.60273429,3916.16289367,5947.76562782
2024-12-19,2015.50606213,3904.01505459,5919.52111671
2024-12-20,2047.59831413,3976.91492358,6024.51323775
2024-12-21,2131.76753475,4150.71950639,6282.48704118
2024-12-22,2131.76753475,4150.71950639,6282.48704118
2024-12-23,2073.54339503,4027.7954152,6101.33881047
2024-12-24,2093.55151094,4061.88811128,6155.43962246
2024-12-25,2093.55151094,4061.88811128,6155.43962246
2024-12-26,2125.55817041,4124.72705908,6250.28522954
2024-12-27,2114.88510553,4110.95498232,6225.84008768
2024-12-28,2197.16127254,4271.16371855,6468.32499131
2024-12-29,2258.56912935,4375.06003392,6633.62916322
2024-12-30,2127.58434729,4120.11161561,6247.69596308
2024-12-31,2147.12631781,4181.70366751,6328.82998526
2025-01-01,2314.64,4486.13,6800.77
2025-01-02,2019.65,3912.63,5932.26
2025-01-03,1986.99,3895.14,5882.09
2025-01-04,2020.11,3983.82,6003.92
2025-01-05,2078.51,4093.4,6171.93
2025-01-06,1857.73,3669.06,5526.79
2025-01-07,1811.61,3606.31,5417.93
2025-01-08,1756.01,3536.23,5292.28
2025-01-09,1819.56,3642.29,5461.860000000001
2025-01-10,1866.1,3755.89,5622.0
2025-01-11,1931.81,3910.37,5842.16
2025-01-12,2023.89,4105.53,6129.41
2025-01-13,1758.75,3581.39,5340.15
2025-01-14,1775.18,3633.43,5408.63
2025-01-15,1756.26,3596.34,5352.62
2025-01-16,1728.05,3564.88,5292.88
2025-01-17,1809.93,3733.9,5543.81
2025-01-18,1867.31,3864.23,5731.5199999999995
2025-01-19,1966.04,4057.5,6023.56
2025-01-20,1674.23,3514.99,5189.24
2025-01-21,1761.76,3649.24,5411.01
2025-01-22,1750.13,3627.15,5377.25
2025-01-23,1745.1200000000001,3625.2200000000003,5370.3
2025-01-24,1798.71,3740.15,5538.87
2025-01-25,1860.9,3877.06,5737.96
2025-01-26,2019.52,4195.91,6215.46
2025-01-27,2007.43,4185.07,6192.49
2025-01-28,1907.19,3969.73,5876.95
2025-01-29,1941.72,4036.48,5978.17
2025-01-30,1777.55,3675.2400000000002,5452.76
2025-01-31,1771.21,3685.34,5456.53
2025-02-01,1860.34,3879.73,5740.07
2025-02-02,1976.6,4107.83,6084.46
2025-02-03,1699.87,3532.45,5232.33
2025-02-04,1699.45,3547.3399999999997,5246.75
2025-02-05,1708.63,3573.34,5281.91
2025-02-06,1756.34,3677.48,5433.85
2025-02-07,1778.57,3738.18,5516.75
2025-02-08,1840.76,3890.11,5730.88
