Date,Traffic_H3I (TB),Traffic_IM3 (TB),Traffic_Total(TB)
2024-10-01,1338.82171163,3819.593188145,5158.4148998
2024-10-02,1336.23377135,3805.496512577,5141.73028383
2024-10-03,1334.971685905,3801.742716886,5136.71440289
2024-10-04,1363.557678441,3883.3839228780002,5246.9416014299995
2024-10-05,1412.134308095,3998.42937891,5410.56368678
2024-10-06,1458.479462919,4128.59695287,5587.07641557
2024-10-07,1319.670568705,3763.650642772,5083.32121199
2024-10-08,1328.88444946,3801.130639625,5130.01508921
2024-10-09,1342.898574125,3850.361777507,5193.2603514
2024-10-10,1388.387882014,3989.06253943,5377.45042161
2024-10-11,1411.398708908,4056.8767724,5468.27548115
2024-10-12,1407.80104426,4019.30732561,5427.10837007
2024-10-13,1451.746401273,4135.15780005,5586.90420121
2024-10-14,1328.893192074,3811.56984128,5140.4630331299995
2024-10-15,1351.1176377709999,3881.904200507,5233.02183837
2024-10-16,1320.04411555,3785.624891285,5105.66900671
2024-10-17,1342.69323805,3856.27815251,5198.97139057
2024-10-18,1386.745243646,3973.00734978,5359.75259342
2024-10-19,1409.690383084,4022.37864799,5432.06903109
2024-10-20,1472.372808245,4209.11474716,5681.48755551
2024-10-21,1334.7581237489999,3819.163361889,5153.92148578
2024-10-22,1357.308287548,3882.2043401,5239.51262768
2024-10-23,1363.33114397,3891.9432482400002,5255.27439252
2024-10-24,1401.890642632,3996.8062894,5398.69693178
2024-10-25,1434.357410471,4102.81186183,5537.16927226
2024-10-26,1424.162684609,4055.08014527,5479.24283011
2024-10-27,1511.386675169,4282.53922116,5793.9258962
2024-10-28,1337.030858267,3846.65069445,5183.68155277
2024-10-29,1348.473484345,3866.4142503000003,5214.88773506
2024-10-30,1351.002038284,3872.609879432,5223.61191802
2024-11-01,654.9819708910001,1862.739617858,2517.721588662
2024-11-02,1384.116077135,3935.30013628,5319.41621332
2024-11-03,1433.275459776,4088.81079349,5522.0862535
2024-11-04,1310.409642607,3740.751154892,5051.16079711
2024-11-05,1301.975323228,3725.779903466,5027.7552268
2024-11-06,1312.84230535,3744.857128864,5057.69943419
2024-11-07,1313.171432518,3746.970383346,5060.14181578
2024-11-08,1352.140289111,3856.101278616,5208.24156766
2024-11-09,1391.265280251,3947.11379723,5338.3790775
2024-11-10,1439.282616129,4082.5729025,5521.85551863
2024-11-11,1338.088379971,3820.623361011,5158.71174128
2024-11-12,1321.393652291,3771.191921383,5092.58557373
2024-11-13,1325.894459539,3765.199671572,5091.09413134
2024-11-14,1320.727356566,3745.438129645,5066.16548606
2024-11-15,1358.8705467999998,3860.398662342,5219.26920902
2024-11-16,1363.02517937,3843.50769033,5206.53286957
2024-11-17,1407.445454018,3947.9195045700003,5355.3649587400005
2024-11-18,1300.633641487,3672.017411998,4972.65105347
2024-11-19,1342.515594074,3812.577345743,5155.09293973
2024-11-20,1319.651008076,3736.3360920640002,5055.98709985
2024-11-21,1331.2806385640001,3765.16822348,5096.4488618899995
2024-11-22,1370.163625265,3863.121705561,5233.28533108
2024-11-23,1397.903824391,3923.866315269,5321.77013978
2024-11-24,1430.041179371,3989.29141222,5419.33259151
2024-11-25,1347.895832745,3787.405032867,5135.30086525
2024-11-26,1367.901772617,3819.982288976,5187.88406174
2024-11-27,1471.742275107,4069.407268494,5541.14954355
2024-11-28,1372.434736235,3829.75010274,5202.184839
