Date,Traffic_H3I (TB),Traffic_IM3 (TB),Traffic_Total(TB)
2024-10-01,126.255891425,108.05438774,234.310279173
2024-10-02,124.790580589,106.33117892899999,231.12175952500002
2024-10-03,124.85551763,106.13077825799999,230.986295893
2024-10-04,127.13231300199999,108.678837661,235.81115065100002
2024-10-05,131.178882803,111.170385169,242.349267958
2024-10-06,135.498576987,115.50536531099999,251.003942292
2024-10-07,122.450531296,103.956658886,226.407190174
2024-10-08,122.86382648899999,105.21004774800001,228.07387424799998
2024-10-09,124.11013552600001,106.562192912,230.67232843
2024-10-10,129.43386511,111.536273681,240.970138815
2024-10-11,131.78919462599998,114.943318213,246.732512845
2024-10-12,128.984710957,110.774498319,239.759209277
2024-10-13,133.707314354,114.46432704,248.171641392
2024-10-14,123.72942400000001,107.277616408,231.007040403
2024-10-15,128.457971712,111.217251776,239.67522348
2024-10-16,123.84399785800001,107.29769697100001,231.141694827
2024-10-17,125.951401945,108.21899688399999,234.17039883500001
2024-10-18,129.716716789,111.666271991,241.382988759
2024-10-19,130.575170305,112.256900895,242.832071182
2024-10-20,135.851435121,116.183531508,252.03496664099998
2024-10-21,124.252955332,106.84362303,231.09657835
2024-10-22,127.613682014,108.420124466,236.033806482
2024-10-23,128.863530984,110.073914011,238.937445
2024-10-24,133.859259627,114.39056273899999,248.249822368
2024-10-25,136.170007906,116.066955949,252.236963836
2024-10-26,132.46749904200001,113.130015312,245.597514353
2024-10-27,144.660039328,122.185305435,266.845344775
2024-10-28,126.42244713299999,108.72853097299999,235.15097808599998
2024-10-29,128.51318538700002,109.231282383,237.74446775799998
2024-10-30,130.596629399,111.78408179,242.380711196
2024-11-01,60.312497993,52.030319914,112.34281790099999
2024-11-02,128.860959509,107.732892639,236.593852145
2024-11-03,132.871114447,111.963693167,244.834807627
2024-11-04,122.73537497200002,103.307184073,226.042559051
2024-11-05,123.269161885,103.444872606,226.714034485
2024-11-06,124.957592152,105.35467039000001,230.31226253
2024-11-07,125.58930369000001,105.712887821,231.302191479
2024-11-08,129.02253914399998,107.60563892600001,236.628178083
2024-11-09,132.016962039,109.85386864,241.87083066600002
2024-11-10,135.980665154,113.68265297100001,249.663318132
2024-11-11,126.45982232600001,105.818336359,232.278158666
2024-11-12,126.341330466,105.780320459,232.121650942
2024-11-13,126.056574595,105.834222022,231.890796599
2024-11-14,128.358286632,107.875060443,236.233347078
2024-11-15,127.943967106,106.038084821,233.982051941
2024-11-16,128.9964004,107.79578309499999,236.79218347
2024-11-17,132.336952761,111.963350233,244.300302983
2024-11-18,122.26722995,102.815515294,225.082745263
2024-11-19,128.861972808,108.498576414,237.360549211
2024-11-20,124.688161055,103.996957865,228.685118913
2024-11-21,126.68479346800001,106.173259897,232.858053367
2024-11-22,127.826046949,107.297599026,235.123645982
2024-11-23,129.356307216,108.482114601,237.838421821
2024-11-24,131.822556766,110.098550082,241.92110683800001
2024-11-25,127.542426054,105.826100278,233.368526328
2024-11-26,127.283138279,106.822191729,234.105329993
2024-11-27,134.780894153,112.389804805,247.17069896
2024-11-28,125.28710572899999,104.33033313,229.61743886
2024-11-29,129.322328073,106.686995981,236.009324064
2024-11-30,134.754661091,109.677122033,244.431783122
2024-12-01,136.07921028500002,112.609685242,248.688895564
2024-12-02,122.214666439,100.427605197,222.642271623
2024-12-03,111.429133393,94.35228647,205.78141986
2024-12-04,130.358876178,107.095642965,237.454519125
2024-12-05,133.978858494,108.821135455,242.79999394
2024-12-06,137.037891357,110.931614376,247.969505724
2024-12-07,134.333172384,109.447194522,243.780366905
2024-12-08,143.661257163,114.879678151,258.540935343
2024-12-09,134.775822056,108.400879437,243.17670148000002
2024-12-10,128.976737322,101.795696565,230.772433892
2024-12-11,136.685453382,108.188183501,244.87363689300003
2024-12-12,131.92088447400002,107.10879050199999,239.029674996
2024-12-13,134.165808141,106.23867736300001,240.404485518
2024-12-14,136.126866862,107.152796954,243.279663817
2024-12-15,146.640257138,116.352054267,262.9923114
2024-12-16,138.21129026,108.692216466,246.903506718
2024-12-17,133.331467486,104.856458033,238.187925517
2024-12-18,138.540503631,109.706437681,248.246941314
2024-12-19,134.609398749,106.346540592,240.955939342
2024-12-20,137.015996212,108.742515392,245.758511596
2024-12-21,141.11432811999998,112.970931952,254.085260054
2024-12-22,141.11432811999998,112.970931952,254.085260054
2024-12-23,135.879282162,108.728599807,244.607881963
2024-12-24,136.972396862,110.428619647,247.401016513
2024-12-25,136.972396862,110.428619647,247.401016513
2024-12-26,143.313140079,115.624731346,258.937871418
2024-12-27,139.324459265,112.285111916,251.609571189
2024-12-28,135.095650515,109.532061548,244.62771205500002
2024-12-29,139.129916559,112.50234293700001,251.632259513
2024-12-30,127.677405161,105.33495121600001,233.01235636899997
2024-12-31,135.594395666,109.8151366,245.40953227900002
2025-01-01,145.94,116.96000000000001,262.88
2025-01-02,131.47,107.14,238.60999999999999
2025-01-03,131.89,107.17,239.07
2025-01-04,129.65,106.51,236.15
2025-01-05,130.85,108.83,239.68
2025-01-06,121.25999999999999,101.53,222.8
2025-01-07,118.44,100.19,218.64000000000001
2025-01-08,118.48,100.98,219.47
2025-01-09,118.32,102.28,220.61
2025-01-10,123.79,107.74,231.51999999999998
2025-01-11,123.39,107.18,230.58
2025-01-12,121.35,107.13000000000001,228.46
2025-01-13,112.48,100.15,212.64
2025-01-14,108.85000000000001,99.63,208.47
2025-01-15,109.96000000000001,101.39999999999999,211.37
2025-01-16,109.0,100.27,209.26
2025-01-17,111.01,103.53,214.51
2025-01-18,111.9,104.45,216.32999999999998
2025-01-19,113.83,107.53,221.35999999999999
2025-01-20,107.25,103.29,210.56
2025-01-21,105.22,99.72,204.93
2025-01-22,103.92,100.1,204.04999999999998
2025-01-23,105.25,102.09,207.32999999999998
2025-01-24,105.14,103.39999999999999,208.52
2025-01-25,104.44,103.47,207.91
2025-01-26,108.42,107.52,215.94
2025-01-27,107.32000000000001,106.7,214.01
2025-01-28,104.29,105.74,210.05
2025-01-29,105.46000000000001,107.36,212.85
2025-01-30,103.04,104.63,207.65
2025-01-31,100.2,101.43,201.63
2025-02-01,102.78999999999999,102.76,205.55
2025-02-02,107.07,106.62,213.69
2025-02-03,98.14,97.19,195.32
2025-02-04,98.61,97.61,196.22
2025-02-05,97.46,96.41,193.88
2025-02-06,100.76,100.22999999999999,200.99
2025-02-07,102.14,100.43,202.57
2025-02-08,109.94,107.39,217.32
2025-02-09,109.26,107.06,216.32999999999998
2025-02-10,109.97,107.53,217.53
2025-02-11,107.67999999999999,104.95,212.63
2025-02-12,104.63,102.53,207.17
2025-02-13,102.28,100.53,202.8
2025-02-14,104.61,102.34,206.94
2025-02-15,104.28,101.27,205.54
2025-02-16,108.46,106.43,214.9
2025-02-17,99.39999999999999,98.8,198.19
2025-02-18,101.23,101.41000000000001,202.65
2025-02-19,101.31,102.42,203.71
2025-02-20,101.93,104.14,206.07
2025-02-21,104.48,107.62,212.09
2025-02-22,108.02,111.36,219.38
2025-02-23,109.95,113.22999999999999,223.17
2025-02-24,103.21,107.85,211.07
2025-02-25,103.43,108.51,211.95
2025-02-26,104.5,111.05999999999999,215.57
2025-02-27,105.59,113.0,218.60999999999999
2025-02-28,105.23,111.94,217.17
2025-03-01,106.00999999999999,114.73,220.71
2025-03-02,113.16,122.66,235.84
2025-03-03,109.18,118.26,227.43
2025-03-04,105.9,114.02,219.92000000000002
2025-03-05,112.66,120.2,232.82
2025-03-06,111.86,118.16,230.0
2025-03-07,113.85,120.91999999999999,234.78
2025-03-08,118.5,125.39999999999999,243.92000000000002
2025-03-09,120.88,128.04,248.91
2025-03-10,114.14,120.34,234.5
2025-03-11,116.13,119.34,235.47
2025-03-12,122.11,123.11,245.23
2025-03-13,125.09,125.93,251.04000000000002
2025-03-14,126.57,126.4,252.99
2025-03-15,127.10000000000001,125.74000000000001,252.82999999999998
2025-03-16,131.33,131.07,262.39
2025-03-17,123.96,124.68,248.65
2025-03-18,123.25999999999999,123.64999999999999,246.93
2025-03-19,132.20999999999998,132.78,265.0
2025-03-20,130.8,130.48,261.28
2025-03-21,131.64,129.41,261.07
2025-03-22,136.64,135.0,271.64
2025-03-23,137.01,136.65,273.63
2025-03-24,132.27,132.56,264.83
2025-03-25,125.42,127.47,252.87
2025-03-26,128.82999999999998,131.04,259.83
2025-03-27,133.16,138.70000000000002,271.86
2025-03-28,132.91,140.51999999999998,273.44
2025-03-29,138.22,148.57,286.8
2025-03-30,136.38,146.7,283.08
2025-03-31,139.54,146.59,286.14
2025-04-01,134.11,143.25,277.35
2025-04-02,136.17,146.96,283.15
2025-04-03,135.529213847,146.657453436,282.186667279
2025-04-04,134.564829637,146.39963305999999,280.9644627
2025-04-05,131.399980593,142.70933361299998,274.109314201
2025-04-06,132.973690106,144.430571713,277.404261817
2025-04-07,133.168230946,144.196277462,277.364508399
2025-04-08,129.077177435,141.427828552,270.50500597399997
2025-04-09,127.370634535,139.25547002000002,266.626104556
2025-04-10,169.611392295,98.884104566,268.495496841
2025-04-11,125.642815492,137.447658846,263.090474336
2025-04-12,125.294557876,136.767824989,262.062382861
2025-04-13,130.47857627899998,140.158889682,270.637465948
2025-04-14,120.196411927,129.46297027100002,249.65938221599998
2025-04-15,117.871473748,125.629305492,243.500779259
2025-04-16,119.941681449,126.918127999,246.85980944
2025-04-17,123.206397905,127.714281543,250.920679428
2025-04-18,131.954021426,134.369541064,266.323562483
2025-04-19,126.768691132,129.16919295,255.937884089
2025-04-20,127.851027929,128.99125927400002,256.84228719600003
2025-04-21,121.072069855,120.515478704,241.58754857399998
2025-04-22,122.124441619,120.152773085,242.277214671
2025-04-23,124.926233203,123.714816328,248.64104953
2025-04-24,126.84707576,125.734606798,252.581682562
2025-04-25,126.16012169,126.30026456,252.46038626499998
2025-04-26,128.504673817,129.22646552999998,257.731139331
2025-04-27,134.455722828,135.130315598,269.586038433
2025-04-28,122.318029014,124.34377790799999,246.66180692
2025-04-29,124.010443661,126.464548506,250.474992168
2025-04-30,126.54249103000001,127.44817643,253.99066746
2025-05-01,132.81211565799998,134.12672480700002,266.938840456
2025-05-02,129.49219798000001,131.544217318,261.036415294
2025-05-03,133.24142699700002,133.639531783,266.880958785
2025-05-04,138.170574987,138.678886447,276.849461408
2025-05-05,128.02627050799998,129.911654483,257.93792497100003
2025-05-06,130.608069421,132.338139283,262.946208689
2025-05-07,134.962004039,135.029031979,269.991036007
2025-05-08,135.37288817,136.547658321,271.920546472
2025-05-09,136.34275245700002,139.417501629,275.760254074
2025-05-10,139.864474123,143.460796056,283.325270202
2025-05-11,150.769075244,152.154725278,302.923800513
2025-05-12,143.250407197,145.840989585,289.091396783
2025-05-13,140.107627938,143.629715166,283.737343108
2025-05-14,135.15723959,140.061798654,275.219038241
2025-05-15,136.62883721100002,140.902078353,277.530915576
2025-05-16,136.037175887,142.05243226300001,278.089608159
2025-05-17,136.04049491199999,140.997652389,277.038147309
2025-05-18,140.665823597,145.224680714,285.89050432700003
2025-05-19,131.906111766,137.48486702,269.390978792
2025-05-20,132.786253479,137.758242041,270.544495513
2025-05-21,133.626370571,139.646729521,273.273100096
2025-05-22,138.52300383800002,144.312533236,282.835537067
2025-05-23,139.942979052,145.528427126,285.47140618599997
2025-05-24,139.51569466,144.73224126,284.247935925
2025-05-25,146.22770456499998,147.004890106,293.232594649
2025-05-26,135.770484323,135.746499198,271.5169835
2025-05-27,137.217781944,134.88866176,272.106443703
2025-05-28,138.959706471,136.792245049,275.751951513
2025-05-29,144.892420279,140.503905622,285.396325924
2025-05-30,143.652354716,140.934229864,284.586584565
2025-05-31,140.874785346,138.521154992,279.395940352
2025-06-01,143.875532493,140.215594348,284.09112683800004
2025-06-02,135.170887373,132.781251425,267.95213879799996
2025-06-03,135.371651156,133.256158597,268.627809761
2025-06-04,136.31919031500001,135.044618411,271.363808726
2025-06-05,143.615245649,143.573511156,287.188756779
2025-06-06,152.60147047200002,150.911404975,303.512875457
2025-06-07,142.535185382,141.86098514900002,284.39617056500003
2025-06-08,140.9465586,140.382189797,281.328748405
2025-06-09,137.31665057,137.629887824,274.9465384
2025-06-10,134.770543275,135.324148109,270.094691377
2025-06-11,134.96841712,134.852026465,269.820443594
2025-06-12,136.784364738,138.195373731,274.979738463
2025-06-13,138.223522251,140.16554006,278.3890623
2025-06-14,140.170709575,141.462163003,281.632872578
2025-06-15,143.889507952,144.06441179,287.953919751
2025-06-16,130.055179711,132.257579879,262.312759582
2025-06-17,130.431674754,134.2182447,264.649919454
2025-06-18,130.456836636,134.078661481,264.535498134
2025-06-19,130.752735648,134.822850539,265.575586186
2025-06-20,131.927508601,136.900256796,268.827765405
2025-06-21,131.870946927,135.62700311700002,267.49795005
2025-06-22,137.004139823,138.979690332,275.983830181
2025-06-23,132.860731849,134.678441378,267.53917322899997
2025-06-24,134.39372477,136.663415575,271.057140319
2025-06-25,136.404130174,137.808173195,274.212303372
2025-06-26,136.145750744,137.744699533,273.890450262
2025-06-27,141.140043428,143.305514749,284.44555818
2025-06-28,138.94628127,139.948421266,278.894702548
2025-06-29,141.327918213,142.395371917,283.723290132
2025-06-30,133.41737136,135.944895842,269.362267207
2025-07-01,136.583366368,138.580149441,275.163515829
2025-07-02,135.047112961,138.275458734,273.322571669
2025-07-03,137.661370396,140.071817087,277.733187476
2025-07-04,140.705441594,142.938457522,283.643899112
2025-07-05,142.229183112,141.662915858,283.89209897800004
2025-07-06,151.918326898,149.588922139,301.507249054
2025-07-07,138.97248154,139.378231189,278.350712726
2025-07-08,138.33162883,139.144801202,277.476430029
2025-07-09,139.09982381700001,140.107655806,279.20747962999997
2025-07-10,141.120801637,141.032422988,282.153224639
2025-07-11,139.488752822,139.378619531,278.867372353
2025-07-12,142.895182857,140.241847253,283.137030107
2025-07-13,142.189224718,139.362947877,281.552172583
2025-07-14,135.766490933,133.72507148100001,269.491562439
2025-07-15,137.419744575,136.299204932,273.718949513
2025-07-16,135.357186494,133.557782841,268.914969344
2025-07-17,137.30527702,134.915512748,272.220789785
2025-07-18,140.092334833,137.602854283,277.695189109
2025-07-19,139.695978662,137.218090488,276.914069152
2025-07-20,141.620791252,137.131295788,278.752087066
2025-07-21,136.504543496,136.313823781,272.81836727900003
2025-07-22,137.204316538,137.456038139,274.66035466200003
2025-07-23,139.259566973,138.668408128,277.927975089
2025-07-24,141.138911281,140.385841022,281.524752322
2025-07-25,144.855568439,145.495658361,290.35122679
2025-07-26,144.142501297,144.337179879,288.479681191
2025-07-27,150.659680552,149.618045195,300.27772576
2025-07-28,137.570488284,139.984052491,277.554540787
2025-07-29,141.927284918,144.234831721,286.162116638
2025-07-30,141.653538402,144.063109375,285.716647794
2025-07-31,139.560796295,139.970819622,279.531615911
2025-08-01,141.388322707,144.083686454,285.472009158
2025-08-02,144.443815436,145.369210874,289.813026305
2025-08-03,149.58453720400001,149.565687052,299.15022425899997
2025-08-04,137.60759527300002,139.62251025199998,277.230105538
2025-08-05,140.667974179,140.911253957,281.579228142
2025-08-06,144.60101909,145.389648362,289.990667449
2025-08-07,144.820919796,146.135268034,290.9561878
2025-08-08,148.689177695,150.41664408,299.105821767
2025-08-09,146.94909935500002,148.172203976,295.121303337
