Date,Traffic_H3I (TB),Traffic_IM3 (TB),Traffic_Total(TB)
2024-10-01,109.577869845,131.409968519,240.98783835700002
2024-10-02,109.281777093,131.75664517,241.038422252
2024-10-03,111.437784807,133.82467721,245.262462029
2024-10-04,111.073345031,133.81462617,244.88797120499999
2024-10-05,113.934613651,136.529653925,250.46426757700002
2024-10-06,118.51503700500001,141.533598285,260.048635308
2024-10-07,107.379718912,129.240144372,236.61986328799998
2024-10-08,110.843755464,132.021109536,242.864865
2024-10-09,112.975277062,134.253188295,247.228465354
2024-10-10,116.917269811,137.72196899600002,254.639238811
2024-10-11,118.736626255,140.18304601,258.919672276
2024-10-12,117.597148564,138.927654822,256.524803372
2024-10-13,120.767390433,143.223261883,263.990652317
2024-10-14,114.99713906599999,134.206305355,249.203444417
2024-10-15,118.799205946,138.626695487,257.425901448
2024-10-16,113.115309449,132.220513436,245.335822879
2024-10-17,115.521872403,134.877744633,250.39961700700002
2024-10-18,116.130526872,135.568667476,251.699194337
2024-10-19,118.541575311,137.434238118,255.975813403
2024-10-20,121.702626632,142.316366809,264.018993443
2024-10-21,112.573532489,132.008303066,244.581835537
2024-10-22,115.423604053,133.228434389,248.652038458
2024-10-23,115.805289639,133.587566874,249.392856504
2024-10-24,117.999078557,137.03134593000001,255.030424501
2024-10-25,118.496652597,137.996502556,256.493155141
2024-10-26,121.295754017,140.793701166,262.089455189
2024-10-27,127.811012603,150.035555612,277.846568209
2024-10-28,117.189862416,136.045010992,253.234873418
2024-10-29,119.29053947,136.570579925,255.861119384
2024-10-30,119.134053045,137.272305603,256.40635863
2024-11-01,57.463292044,66.54855524,124.01184729
2024-11-02,118.878679041,137.174886262,256.053565317
2024-11-03,122.20733933,141.53911196,263.746451286
2024-11-04,115.698790495,134.310554827,250.009345329
2024-11-05,115.20497037,132.688944928,247.893915309
2024-11-06,118.629260695,136.34391019999998,254.973170885
2024-11-07,119.483860892,136.631817649,256.11567854000003
2024-11-08,119.205530435,137.349380139,256.55491057300003
2024-11-09,122.273490465,140.76639664200002,263.039887109
2024-11-10,127.72422441,145.702274671,273.426499083
2024-11-11,117.578719488,135.604989817,253.183709319
2024-11-12,118.66280083,135.167429479,253.8302303
2024-11-13,118.494567971,134.469229642,252.963797636
2024-11-14,121.249549274,136.431683044,257.681232328
2024-11-15,119.564905722,136.401725252,255.966630969
2024-11-16,121.420038089,138.175152142,259.59519022300003
2024-11-17,122.42988715999999,140.51370209,262.943589262
2024-11-18,116.471214677,131.377929712,247.84914439300002
2024-11-19,122.561920821,137.446321018,260.008241835
2024-11-20,117.562408363,131.448793626,249.011201984
