Date,Traffic_H3I (TB),Traffic_IM3 (TB),Traffic_Total(TB)
2024-10-01,484.189049553,974.841138499,1459.03018806
2024-10-02,479.264581894,958.518988129,1437.783569967
2024-10-03,481.288097652,960.7956071379999,1442.083704782
2024-10-04,487.042712641,971.4799368509999,1458.522649496
2024-10-05,514.009388988,1032.719996984,1546.729385845
2024-10-06,520.430429225,1037.043404556,1557.47383372
2024-10-07,476.693195485,960.463403878,1437.156599402
2024-10-08,480.29358702400003,964.793366054,1445.086952898
2024-10-09,484.950119131,971.680672397,1456.630791574
2024-10-10,500.620222755,995.546912047,1496.1671347660001
2024-10-11,506.520972538,1006.2057451430001,1512.726717691
2024-10-12,504.258977405,1000.087532121,1504.346509639
2024-10-13,516.884210032,1025.024483783,1541.908693869
2024-10-14,483.508653562,960.643507683,1444.1521612
2024-10-15,495.688927811,980.172376503,1475.8613043579999
2024-10-16,480.758763893,958.243819617,1439.002583486
2024-10-17,492.278239297,985.024623807,1477.302863012
2024-10-18,499.206169989,997.005137947,1496.2113077660001
2024-10-19,507.684081299,1004.578168373,1512.262249595
2024-10-20,521.625647729,1033.747440687,1555.373088294
2024-10-21,483.519224724,966.298883986,1449.818108707
2024-10-22,493.061157465,971.384621805,1464.44577914
2024-10-23,496.746015824,979.043314815,1475.789330674
2024-10-24,509.759424884,1006.059087719,1515.818512479
2024-10-25,516.768408707,1018.167905555,1534.936314337
2024-10-26,516.468890333,1018.021456488,1534.490346662
2024-10-27,548.90580912,1072.520682317,1621.426491314
2024-10-28,491.188640105,975.013140005,1466.201780054
2024-10-29,497.832550408,977.974158818,1475.8067092420001
2024-10-30,501.588568521,983.399121833,1484.987690266
2024-11-01,237.02503412000002,467.83592510299997,704.8609592409999
2024-11-02,500.673700301,971.982954881,1472.656655202
2024-11-03,514.76540796,1000.5649721569999,1515.330380143
2024-11-04,481.387184986,942.05848065,1423.4456656
2024-11-05,480.700823341,935.450014184,1416.150837444
2024-11-06,489.232843006,952.17819852,1441.411041675
2024-11-07,491.030185468,955.98570719,1447.015892549
2024-11-08,498.339550475,970.160126765,1468.499677186
2024-11-09,510.26635287199997,985.521043112,1495.787395885
2024-11-10,527.8326061500001,1016.350575842,1544.183181995
2024-11-11,490.29793692600003,950.0300523660001,1440.327989265
2024-11-12,492.847501526,953.240412138,1446.087913762
2024-11-13,495.703625936,959.5005433140001,1455.204169265
2024-11-14,498.439642167,957.2495665570001,1455.689208716
2024-11-15,496.871556447,963.649630763,1460.52118722
2024-11-16,506.398484672,976.960123617,1483.358608253
2024-11-17,515.368709287,1003.837196993,1519.205906235
2024-11-18,481.731381152,938.9775975460001,1420.708978706
2024-11-19,501.384993674,968.824761402,1470.209755126
2024-11-20,489.11514433400004,948.057710901,1437.172855157
2024-11-21,494.02851047900003,960.356952838,1454.3854632970001
2024-11-22,501.713844295,961.650362603,1463.3642069329999
2024-11-23,511.56431084999997,983.396680612,1494.960991505
2024-11-24,524.378215626,1007.882017378,1532.260233001
2024-11-25,499.065724217,962.626735652,1461.692459863
2024-11-26,501.187317042,961.247420661,1462.434737697
2024-11-27,526.285828837,1010.922936208,1537.208765205
2024-11-28,503.348711618,968.799027335,1472.147738999
2024-11-29,504.950783699,965.470164107,1470.420947888
2024-11-30,524.473408244,1002.256948079,1526.73035647
2024-12-01,529.4466005749999,1015.687387531,1545.133988116
2024-12-02,480.46283312500003,921.689353382,1402.152186484
2024-12-03,458.810653307,894.341605095,1353.1522585
2024-12-04,509.83629427,979.983166088,1489.819460322
2024-12-05,522.749988388,992.103599432,1514.853587856
2024-12-06,536.112819326,1029.337577876,1565.450397307
2024-12-07,531.749017341,1010.201520295,1541.950537571
2024-12-08,553.999972468,1047.309141321,1601.3091137650001
2024-12-09,527.139624014,1013.699335811,1540.838959598
2024-12-10,508.441264361,959.617445302,1468.058709612
2024-12-11,528.442450401,997.138393424,1525.580843771
2024-12-12,522.538978561,1012.821711649,1535.360690208
2024-12-13,519.8296332900001,974.350173285,1494.179806548
2024-12-14,530.812473978,1003.614898427,1534.427372398
2024-12-15,555.11616874,1044.543598577,1599.659767295
2024-12-16,525.982168594,998.014893085,1523.997061799
2024-12-17,514.901493833,963.371544935,1478.2730387670001
2024-12-18,533.984447663,1013.6464170449999,1547.630864803
2024-12-19,518.791658171,972.943845531,1491.735503748
2024-12-20,522.576919915,974.643728247,1497.220648195
2024-12-21,552.295857703,1055.102247195,1607.398104839
2024-12-22,552.295857703,1055.102247195,1607.398104839
2024-12-23,505.5899253,957.062374538,1462.6522997509999
2024-12-24,518.2438366490001,971.726145894,1489.969982612
2024-12-25,518.2438366490001,971.726145894,1489.969982612
2024-12-26,547.476113633,1015.584198786,1563.06031239
2024-12-27,532.7720344740001,980.1959053510001,1512.967939741
2024-12-28,516.174191343,982.6122659299999,1498.786457379
2024-12-29,546.17051014,1007.093723872,1553.264233946
2024-12-30,515.099702695,952.663095055,1467.762797737
2024-12-31,536.01229825,1002.196348208,1538.208646518
2025-01-01,568.52,1058.93,1627.46
2025-01-02,518.9,964.14,1483.05
2025-01-03,513.3000000000001,949.08,1462.3999999999999
2025-01-04,513.79,964.86,1478.64
2025-01-05,516.13,967.57,1483.67
2025-01-06,488.26,924.8,1413.07
2025-01-07,481.48,919.11,1400.63
2025-01-08,484.64,929.22,1413.85
2025-01-09,483.86,936.63,1420.51
2025-01-10,503.05,979.1999999999999,1482.23
2025-01-11,514.8,1014.3100000000001,1529.09
2025-01-12,509.16,998.03,1507.15
2025-01-13,469.83,921.89,1391.74
2025-01-14,464.71,937.11,1401.81
2025-01-15,470.64000000000004,943.88,1414.52
2025-01-16,466.65,940.74,1407.35
2025-01-17,467.82,947.12,1414.93
2025-01-18,479.17,963.81,1442.94
2025-01-19,492.84000000000003,990.42,1483.27
2025-01-20,461.14,944.04,1405.2
2025-01-21,456.38,920.88,1377.29
2025-01-22,463.78,947.89,1411.6899999999998
2025-01-23,463.85,955.18,1419.05
2025-01-24,465.64,967.21,1432.78
2025-01-25,462.17,957.94,1420.14
2025-01-26,485.09,1008.38,1493.48
2025-01-27,479.07,1002.98,1482.0
2025-01-28,468.46,980.15,1448.6499999999999
2025-01-29,472.03999999999996,981.6,1453.65
2025-01-30,463.33,967.94,1431.25
2025-01-31,453.71,945.94,1399.66
2025-02-01,461.72,960.94,1422.71
2025-02-02,478.58,989.2099999999999,1467.78
2025-02-03,441.02,915.88,1356.8700000000001
2025-02-04,445.1,927.8000000000001,1372.8799999999999
2025-02-05,443.08,924.39,1367.46
2025-02-06,451.29,944.15,1395.4
2025-02-07,445.69,938.84,1384.53
2025-02-08,463.19,975.44,1438.62
2025-02-09,481.55,1020.35,1501.9
2025-02-10,466.98,998.2600000000001,1465.28
2025-02-11,463.23,968.96,1432.21
2025-02-12,473.56,1000.5699999999999,1474.14
2025-02-13,457.35,956.58,1413.97
2025-02-14,464.45,965.4499999999999,1429.86
2025-02-15,462.21000000000004,966.38,1428.57
2025-02-16,485.68,1009.68,1495.34
2025-02-17,448.9,940.4200000000001,1389.25
2025-02-18,454.71,948.32,1403.05
2025-02-19,452.56,949.48,1402.01
2025-02-20,456.46,955.47,1411.98
2025-02-21,465.8,971.83,1437.58
2025-02-22,486.86,1017.37,1504.25
2025-02-23,492.92,1025.23,1518.1200000000001
2025-02-24,458.19,960.79,1419.01
2025-02-25,463.36,968.33,1431.72
2025-02-26,468.34999999999997,981.86,1450.26
2025-02-27,474.22,990.92,1465.16
2025-02-28,472.56,988.91,1461.5
2025-03-01,471.95,985.85,1457.75
2025-03-02,497.75,1031.01,1528.74
2025-03-03,477.62,991.81,1469.4199999999998
2025-03-04,463.29,967.16,1430.46
2025-03-05,485.79,1007.77,1493.52
2025-03-06,480.51,995.5,1475.98
2025-03-07,484.55,1004.4399999999999,1488.98
2025-03-08,504.23,1042.37,1546.63
2025-03-09,515.85,1063.54,1579.31
2025-03-10,483.05,998.3,1481.3600000000001
2025-03-11,487.5,994.54,1482.03
2025-03-12,498.55,1004.01,1502.55
2025-03-13,505.62,1014.42,1520.09
2025-03-14,508.58,1029.67,1538.27
2025-03-15,519.15,1043.89,1563.02
2025-03-16,535.14,1071.65,1606.76
2025-03-17,497.59,1001.47,1499.09
2025-03-18,497.76,999.07,1496.89
2025-03-19,517.2,1045.08,1562.31
2025-03-20,515.98,1023.64,1539.62
2025-03-21,522.78,1035.16,1557.95
2025-03-22,539.58,1078.61,1618.21
2025-03-23,536.73,1047.35,1584.0
2025-03-24,514.33,999.75,1514.07
2025-03-25,488.58,942.42,1431.01
2025-03-26,498.34000000000003,949.96,1448.29
2025-03-27,497.06,945.8000000000001,1442.8600000000001
2025-03-28,512.82,973.82,1486.64
2025-03-29,354.34000000000003,469.17,823.5
2025-03-30,503.47,978.62,1482.06
2025-03-31,501.04,947.32,1448.33
2025-04-01,487.64,922.58,1410.23
2025-04-02,493.78000000000003,932.53,1426.38
2025-04-03,500.005516383,942.422630722,1442.428147127
2025-04-04,500.229950259,941.963933836,1442.193884043
2025-04-05,501.54096228599997,943.2209844490001,1444.761946732
2025-04-06,510.550823935,962.87781738,1473.4286412689999
2025-04-07,503.96834623,950.297166368,1454.265512668
2025-04-08,503.99593608,959.740876375,1463.736812318
2025-04-09,509.649483581,978.839329025,1488.488812659
2025-04-10,686.6145171430001,827.059403881,1513.6739209290001
2025-04-11,509.64846112600003,984.016690046,1493.665151063
2025-04-12,518.343120595,1008.851569301,1527.194689859
