Date,Traffic_H3I (TB),Traffic_IM3 (TB),Traffic_Total(TB)
2024-10-01,2366.70796744,4370.01452704,6736.7224943
2024-10-02,2361.34132309,4363.00938402,6724.35070713
2024-10-03,2167.49467765,4003.57719626,6171.07187411
2024-10-04,2208.33252175,4064.33138069,6272.66390227
2024-10-05,2551.25022984,4709.97520383,7261.2254339500005
2024-10-06,2650.51873996,4886.88149827,7537.40023853
2024-10-07,2317.44019984,4280.51865296,6597.95885287
2024-10-08,2337.36011598,4314.56607383,6651.92618997
2024-10-09,2366.65734596,4390.8149396,6757.4722857199995
2024-10-10,2444.39718164,4540.00413277,6984.40131443
2024-10-11,2496.00928695,4630.93244564,7126.94173248
2024-10-12,2549.56637055,4733.50412247,7283.07049286
2024-10-13,2648.94578089,4903.76519724,7552.7109783
2024-10-14,2347.82359604,4365.54827315,6713.3718691
2024-10-15,2310.0717715,4316.20799268,6626.27976415
2024-10-16,2221.82249172,4057.41458802,6279.23707993
2024-10-17,2322.97763804,4338.26160901,6661.23924712
2024-10-18,2414.0069968,4491.17793595,6905.18493345
2024-10-19,2536.3542370200003,4716.59136188,7252.94559895
2024-10-20,2660.58740467,4945.95746525,7606.54486977
2024-10-21,2287.77926736,4264.604692,6552.38395916
2024-10-22,2369.32293582,4399.36502932,6768.68796536
2024-10-23,2367.70297027,4404.52410877,6772.22707894
2024-10-24,2425.48597179,4516.61382859,6942.09980021
2024-10-25,2503.77515905,4666.87275454,7170.64791375
2024-10-26,2555.01292918,4763.10124848,7318.11417705
2024-10-27,2730.36892474,5058.7553408,7789.1242656800005
2024-10-28,2343.36264535,4376.11434275,6719.47698784
2024-10-29,2356.06248391,4376.2020018,6732.26448567
2024-10-30,2364.43382918,4403.06231305,6767.49614246
2024-11-01,1199.837856496,2233.41578768,3433.25364423
2024-11-02,2472.13357329,4612.71227738,7084.84585087
2024-11-03,2591.87342389,4831.69387758,7423.56730127
2024-11-04,2283.92435183,4254.3074631399995,6538.231815
2024-11-05,2268.84594716,4230.78175198,6499.62769891
2024-11-06,2280.99365357,4244.21628849,6525.2099417300005
2024-11-07,2296.87215503,4280.38064828,6577.25280319
2024-11-08,2373.58554917,4427.11695168,6800.7025008499995
2024-11-09,2487.14126555,4648.95670322,7136.09796891
2024-11-10,2600.4316034,4834.34484518,7434.77644831
2024-11-11,2349.76734061,4372.59959931,6722.36693961
2024-11-12,2306.57418016,4285.34921731,6591.92339767
2024-11-13,2322.83933769,4302.66194575,6625.50128369
2024-11-14,2319.19430156,4290.70583779,6609.90013949
2024-11-15,2392.72702388,4438.18966964,6830.91669343
2024-11-16,2479.91745008,4595.47712382,7075.3945739
2024-11-17,2552.10493315,4715.07878026,7267.18371349
2024-11-18,2279.78907096,4206.05555862,6485.8446299
2024-11-19,2348.04947266,4351.03608732,6699.08555963
2024-11-20,2285.38194148,4220.06859533,6505.4505370199995
2024-11-21,2325.33035611,4302.9627128,6628.29306881
2024-11-22,2406.65705219,4435.50205056,6842.15910259
2024-11-23,2505.7078541,4628.75295322,7134.46080745
2024-11-24,2603.76784019,4761.47153453,7365.239375
2024-11-25,2356.61135581,4306.9988679,6663.61022353
2024-11-26,2386.65934719,4358.97171813,6745.63106526
2024-11-27,2636.37560503,4793.38020789,7429.75581278
2024-11-28,2393.79176633,4368.10175179,6761.89351774
2024-11-29,2390.85713132,4326.91644923,6717.77358032
2024-11-30,2541.23419038,4584.66137826,7125.89556877
2024-12-01,2610.20369501,4710.31527844,7320.51897306
2024-12-02,2316.15036202,4174.07816811,6490.2285304
2024-12-03,2351.59226077,4213.97458405,6565.56684474
2024-12-04,2385.49554458,4273.46552506,6658.96106931
2024-12-05,2432.07475263,4332.258062,6764.33281483
2024-12-06,2470.89461418,4403.1461413,6874.04075566
2024-12-07,2582.3289017399998,4623.83945878,7206.16836084
2024-12-08,2684.27194349,4791.83957818,7476.11152191
2024-12-09,2397.87277278,4307.12630841,6704.99908139
2024-12-10,2441.952941,4370.81302963,6812.76597075
2024-12-11,2420.97438099,4345.5531998,6766.52758076
2024-12-12,2548.5540268199998,4575.0001736,7123.55420043
2024-12-13,2457.72364555,4403.09854674,6860.82219228
2024-12-14,2594.16953972,4683.31296181,7277.48250154
2024-12-15,2694.17274838,4850.32430836,7544.4970563
2024-12-16,2407.15055886,4323.46812241,6730.61868111
2024-12-17,2433.2489965600003,4369.79994573,6803.04894237
2024-12-18,2447.91747219,4397.64632777,6845.56379979
2024-12-19,2431.82439707,4384.11794224,6815.94233935
2024-12-20,2463.68760129,4457.12948497,6920.81708628
2024-12-21,2557.95515994,4651.81276432,7209.76792422
2024-12-22,2557.95515994,4651.81276432,7209.76792422
2024-12-23,2487.57903381,4508.97966535,6996.55869931
2024-12-24,2513.41188345,4548.64295407,7062.05483791
2024-12-25,2513.41188345,4548.64295407,7062.05483791
2024-12-26,2548.6604607,4626.76772842,7175.428189220001
2024-12-27,2532.32715148,4608.67840954,7141.00556073
2024-12-28,2629.59200185,4786.35497269,7415.94697478
2024-12-29,2703.37354849,4897.23889116,7600.61243976
2024-12-30,2545.8476205,4607.54393465,7153.39155537
2024-12-31,2570.12618309,4674.14295397,7244.26913692
2025-01-01,2770.65,5012.52,7783.18
2025-01-02,2410.23,4363.97,6774.18
2025-01-03,2379.9700000000003,4347.37,6727.32
2025-01-04,2424.92,4452.83,6877.73
2025-01-05,2499.49,4577.37,7076.88
2025-01-06,2227.87,4091.13,6318.99
2025-01-07,2180.02,4032.71,6212.73
2025-01-08,2127.7,3965.88,6093.61
2025-01-09,2189.6,4073.21,6262.83
2025-01-10,2250.49,4204.8,6455.3099999999995
2025-01-11,2329.04,4380.45,6709.48
2025-01-12,2434.85,4590.68,7025.53
2025-01-13,2118.0,4003.21,6121.22
2025-01-14,2144.07,4068.35,6212.42
2025-01-15,2120.56,4030.9900000000002,6151.56
2025-01-16,2094.07,4003.02,6097.04
2025-01-17,2185.04,4180.8,6365.81
2025-01-18,2255.24,4335.18,6590.42
2025-01-19,2363.84,4534.38,6898.26
2025-01-20,2031.92,3942.55,5974.49
2025-01-21,2121.86,4082.81,6204.67
2025-01-22,2106.37,4061.17,6167.51
2025-01-23,2107.82,4065.38,6173.16
2025-01-24,2169.04,4189.92,6358.96
2025-01-25,2242.8,4348.18,6590.99
2025-01-26,2430.47,4711.28,7141.79
2025-01-27,2418.47,4703.42,7121.88
2025-01-28,2295.92,4457.83,6753.79
2025-01-29,2332.59,4519.05,6851.61
2025-01-30,2134.92,4111.75,6246.63
2025-01-31,2137.23,4128.59,6265.82
2025-02-01,2239.33,4342.68,6582.02
2025-02-02,2370.79,4584.89,6955.7
2025-02-03,2051.4,3954.41,6005.82
2025-02-04,2052.6,3975.84,6028.39
2025-02-05,2061.23,4004.36,6065.54
2025-02-06,2117.38,4119.82,6237.23
2025-02-07,2145.12,4185.79,6330.89
2025-02-08,2222.54,4359.8,6582.34
2025-02-09,2305.4,4512.84,6818.27
2025-02-10,2059.2200000000003,4030.93,6090.15
2025-02-11,2066.35,4047.53,6113.88
2025-02-12,2081.75,4094.89,6176.63
2025-02-13,2120.21,4168.42,6288.63
2025-02-14,2158.26,4262.36,6420.58
2025-02-15,2230.33,4397.12,6627.43
2025-02-16,2337.95,4605.04,6943.01
2025-02-17,2088.78,4111.7,6200.45
2025-02-18,2062.13,4055.24,6117.35
2025-02-19,2069.64,4072.84,6142.49
2025-02-20,2098.34,4135.0,6233.31
2025-02-21,2170.2,4285.74,6455.9
2025-02-22,2273.18,4480.57,6753.7699999999995
2025-02-23,2355.31,4621.62,6976.93
2025-02-24,2112.2400000000002,4146.89,6259.14
2025-02-25,2109.82,4138.46,6248.3
2025-02-26,2184.76,4295.7699999999995,6480.47
2025-02-27,2224.72,4366.9,6591.58
2025-02-28,2196.01,4316.62,6512.65
2025-03-01,2180.15,4305.54,6485.71
