Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,4.36367458,0.0,0.0
2024-10-02,4.594867745,0.0,0.0
2024-10-03,4.894350762,0.0,0.0
2024-10-04,4.406174769,0.0,0.0
2024-10-05,4.348205284,0.0,0.0
2024-10-06,4.493161674,0.0,0.0
2024-10-07,4.2878372,0.0,0.0
2024-10-08,4.437019841,0.0,0.0
2024-10-09,4.526914497,0.0,0.0
2024-10-10,4.735107803,0.0,0.0
2024-10-11,4.727313218,0.0,0.0
2024-10-12,4.534984269,0.0,0.0
2024-10-13,4.713045892,0.0,0.0
2024-10-14,4.392297169,0.0,0.0
2024-10-15,4.669551429,0.0,0.0
2024-10-16,4.437501421,0.0,0.0
2024-10-17,4.503121844,0.0,0.0
2024-10-18,4.446426472,0.0,0.0
2024-10-19,4.526061302,0.0,0.0
2024-10-20,4.697433724,0.0,0.0
2024-10-21,4.482934473,0.0,0.0
2024-10-22,4.432882973,0.0,0.0
2024-10-23,4.549849297,0.0,0.0
2024-10-24,4.57900305,0.0,0.0
2024-10-25,4.528588684,0.0,0.0
2024-10-26,4.607659565,0.0,0.0
2024-10-27,4.743697252,0.0,0.0
2024-10-28,4.252480284,0.0,0.0
2024-10-29,4.25029108,0.0,0.0
2024-10-30,4.546696945,0.0,0.0
2024-11-01,2.018502881,0.0,0.0
2024-11-02,4.329777157,0.0,0.0
2024-11-03,4.634360204,0.0,0.0
2024-11-04,4.432283921,0.0,0.0
2024-11-05,4.379584043,0.0,0.0
2024-11-06,4.456964688,0.0,0.0
2024-11-07,4.355826692,0.0,0.0
2024-11-08,4.547392414,0.0,0.0
2024-11-09,4.445871293,0.0,0.0
2024-11-10,4.435553501,0.0,0.0
2024-11-11,4.242279157,0.0,0.0
2024-11-12,4.277141696,0.0,0.0
2024-11-13,4.464549645,0.0,0.0
2024-11-14,4.400917302,0.0,0.0
2024-11-15,4.362161692,0.0,0.0
2024-11-16,4.416524265,0.0,0.0
2024-11-17,4.486903565,0.0,0.0
2024-11-18,4.211559558,0.0,0.0
2024-11-19,4.512288126,0.0,0.0
2024-11-20,4.218316204,0.0,0.0
2024-11-21,4.514366453,0.0,0.0
2024-11-22,4.406645003,0.0,0.0
2024-11-23,4.686928929,0.0,0.0
2024-11-24,4.486926879,0.0,0.0
2024-11-25,3.474708813,0.0,0.0
2024-11-26,4.190526786,0.0,0.0
2024-11-27,4.211886494,0.0,0.0
2024-11-28,3.728437414,0.0,0.0
2024-11-29,4.304756748,0.0,0.0
2024-11-30,3.33810232,0.0,0.0
2024-12-01,4.447762456,0.0,0.0
2024-12-02,4.120109169,0.0,0.0
2024-12-03,3.576753375,0.0,0.0
2024-12-04,4.290809639,0.0,0.0
2024-12-05,4.358530093,0.0,0.0
2024-12-06,4.018993658,0.0,0.0
2024-12-07,4.308316473,0.0,0.0
2024-12-08,4.551444575,0.0,0.0
2024-12-09,4.371137425,0.0,0.0
2024-12-10,4.466088174,0.0,0.0
2024-12-11,4.497780226,0.0,0.0
2024-12-12,4.122556984,0.0,0.0
2024-12-13,4.267456395,0.0,0.0
2024-12-14,4.295306497,0.0,0.0
2024-12-15,4.310736953,0.0,0.0
2024-12-16,4.233835375,0.0,0.0
2024-12-17,4.314746713,0.0,0.0
2024-12-18,4.313745422,0.0,0.0
2024-12-19,4.417758337,0.0,0.0
2024-12-20,4.38925304,0.0,0.0
2024-12-21,4.687774809,0.0,0.0
2024-12-22,4.687774809,0.0,0.0
2024-12-23,4.616371077,0.0,0.0
2024-12-24,4.554276849,0.0,0.0
2024-12-25,4.554276849,0.0,0.0
2024-12-26,4.514016949,0.0,0.0
2024-12-27,4.575942214,0.0,0.0
2024-12-28,4.622263255,0.0,0.0
2024-12-29,4.457287708,0.0,0.0
2024-12-30,4.326304464,0.0,0.0
2024-12-31,4.364865735,0.0,0.0
2025-01-01,4.9,0.0,0.0
2025-01-02,4.42,0.0,0.0
2025-01-03,4.52,0.0,0.0
2025-01-04,4.44,0.0,0.0
2025-01-05,4.35,0.0,0.0
2025-01-06,4.26,0.0,0.0
2025-01-07,4.21,0.0,0.0
2025-01-08,4.27,0.0,0.0
2025-01-09,4.41,0.0,0.0
2025-01-10,4.3,0.0,0.0
2025-01-11,4.42,0.0,0.0
2025-01-12,4.32,0.0,0.0
2025-01-13,4.2,0.0,0.0
2025-01-14,4.19,0.0,0.0
2025-01-15,4.19,0.0,0.0
2025-01-16,4.38,0.0,0.0
2025-01-17,4.4,0.0,0.0
2025-01-18,5.29,0.0,0.0
2025-01-19,5.41,0.0,0.0
