Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,231.9839338,0.0,0.0
2024-10-02,232.6018507,0.0,0.0
2024-10-03,200.7510915,0.0,0.0
2024-10-04,190.9395083,0.0,0.0
2024-10-05,251.5618579,0.0,0.0
2024-10-06,262.1350483,0.0,0.0
2024-10-07,227.8096379,0.0,0.0
2024-10-08,229.5426574,0.0,0.0
2024-10-09,232.6192835,0.0,0.0
2024-10-10,238.7644607,0.0,0.0
2024-10-11,242.3884498,0.0,0.0
2024-10-12,250.647321,0.0,0.0
2024-10-13,258.6332253,0.0,0.0
2024-10-14,228.6033049,0.0,0.0
2024-10-15,216.3679792,0.0,0.0
2024-10-16,210.2858554,0.0,0.0
2024-10-17,224.7016569,0.0,0.0
2024-10-18,235.5170313,0.0,0.0
2024-10-19,250.2644179,0.0,0.0
2024-10-20,262.2586092,0.0,0.0
2024-10-21,223.8632127,0.0,0.0
2024-10-22,226.3933669,0.0,0.0
2024-10-23,230.5906415,0.0,0.0
2024-10-24,236.4439909,0.0,0.0
2024-10-25,243.3763996,0.0,0.0
2024-10-26,251.9398176,0.0,0.0
2024-10-27,269.5563977,0.0,0.0
2024-10-28,232.01871,0.0,0.0
2024-10-29,233.9113768,0.0,0.0
2024-10-30,233.4066428,0.0,0.0
2024-11-01,111.780369,0.0,0.0
2024-11-02,245.1469993,0.0,0.0
2024-11-03,256.1236181,0.0,0.0
2024-11-04,223.6854543,0.0,0.0
2024-11-05,222.5170468,0.0,0.0
2024-11-06,223.1224472,0.0,0.0
2024-11-07,225.8313839,0.0,0.0
2024-11-08,230.273997,0.0,0.0
2024-11-09,252.537454,0.0,0.0
2024-11-10,260.7298032,0.0,0.0
2024-11-11,229.790887,0.0,0.0
2024-11-12,224.7813105,0.0,0.0
2024-11-13,226.0721185,0.0,0.0
2024-11-14,225.9389514,0.0,0.0
2024-11-15,232.293895,0.0,0.0
2024-11-16,243.5034651,0.0,0.0
2024-11-17,251.5479159,0.0,0.0
2024-11-18,220.7081701,0.0,0.0
2024-11-19,227.9076173,0.0,0.0
2024-11-20,223.3608837,0.0,0.0
2024-11-21,226.2829945,0.0,0.0
2024-11-22,231.8411855,0.0,0.0
2024-11-23,246.2577968,0.0,0.0
2024-11-24,257.6156835,0.0,0.0
2024-11-25,231.253606,0.0,0.0
2024-11-26,226.9203343,0.0,0.0
