Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,315.7053183,0.0,0.0
2024-10-02,310.8706649,0.0,0.0
2024-10-03,290.464649,0.0,0.0
2024-10-04,296.3343863,0.0,0.0
2024-10-05,329.3427381,0.0,0.0
2024-10-06,342.632946,0.0,0.0
2024-10-07,302.0440481,0.0,0.0
2024-10-08,305.4695962,0.0,0.0
2024-10-09,313.6136794,0.0,0.0
2024-10-10,323.8754966,0.0,0.0
2024-10-11,323.851384,0.0,0.0
2024-10-12,334.1131567,0.0,0.0
2024-10-13,344.805673,0.0,0.0
2024-10-14,308.8765175,0.0,0.0
2024-10-15,307.2946652,0.0,0.0
2024-10-16,290.2094771,0.0,0.0
2024-10-17,307.6500105,0.0,0.0
2024-10-18,307.0209807,0.0,0.0
2024-10-19,330.4821784,0.0,0.0
2024-10-20,342.5185408,0.0,0.0
2024-10-21,300.1056611,0.0,0.0
2024-10-22,313.6482127,0.0,0.0
2024-10-23,309.7612831,0.0,0.0
2024-10-24,316.7819765,0.0,0.0
2024-10-25,328.0569493,0.0,0.0
2024-10-26,333.3805601,0.0,0.0
2024-10-27,352.4356412,0.0,0.0
2024-10-28,308.1154519,0.0,0.0
2024-10-29,309.6669064,0.0,0.0
2024-10-30,313.147113,0.0,0.0
2024-11-01,160.8829551,0.0,0.0
2024-11-02,324.5786362,0.0,0.0
2024-11-03,338.6581053,0.0,0.0
2024-11-04,303.5899055,0.0,0.0
2024-11-05,300.6972842,0.0,0.0
2024-11-06,302.9945961,0.0,0.0
2024-11-07,302.041306,0.0,0.0
2024-11-08,311.8053987,0.0,0.0
2024-11-09,324.4052315,0.0,0.0
2024-11-10,335.9337084,0.0,0.0
2024-11-11,313.7213372,0.0,0.0
2024-11-12,307.891013,0.0,0.0
2024-11-13,309.7751479,0.0,0.0
2024-11-14,305.9088275,0.0,0.0
2024-11-15,312.080961,0.0,0.0
2024-11-16,324.640722,0.0,0.0
2024-11-17,326.9049646,0.0,0.0
2024-11-18,300.6679852,0.0,0.0
2024-11-19,307.4119365,0.0,0.0
2024-11-20,302.0684573,0.0,0.0
2024-11-21,309.5292273,0.0,0.0
2024-11-22,313.8368793,0.0,0.0
2024-11-23,326.5926224,0.0,0.0
2024-11-24,330.7363727,0.0,0.0
2024-11-25,302.2669956,0.0,0.0
2024-11-26,304.248738,0.0,0.0
2024-11-27,328.8582334,0.0,0.0
2024-11-28,314.7748356,0.0,0.0
2024-11-29,301.3201633,0.0,0.0
2024-11-30,316.4192254,0.0,0.0
2024-12-01,334.2650677,0.0,0.0
2024-12-02,295.1755096,0.0,0.0
2024-12-03,297.9739914,0.0,0.0
2024-12-04,304.971766,0.0,0.0
2024-12-05,299.5552993,0.0,0.0
2024-12-06,308.0349345,0.0,0.0
