Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,11.15452109,0.0,0.0
2024-10-02,10.91663041,0.0,0.0
2024-10-03,11.20302585,0.0,0.0
2024-10-04,11.47181135,0.0,0.0
2024-10-05,11.61763736,0.0,0.0
2024-10-06,11.77520175,0.0,0.0
2024-10-07,10.79491372,0.0,0.0
2024-10-08,11.06914709,0.0,0.0
2024-10-09,10.90182979,0.0,0.0
2024-10-10,11.21471767,0.0,0.0
2024-10-11,11.72957077,0.0,0.0
2024-10-12,11.45230866,0.0,0.0
2024-10-13,11.44322421,0.0,0.0
2024-10-14,11.26410936,0.0,0.0
2024-10-15,11.54285369,0.0,0.0
2024-10-16,11.20429935,0.0,0.0
2024-10-17,11.20840623,0.0,0.0
2024-10-18,11.89372273,0.0,0.0
2024-10-19,11.5558415,0.0,0.0
2024-10-20,11.80896776,0.0,0.0
2024-10-21,10.90270895,0.0,0.0
2024-10-22,11.52657182,0.0,0.0
2024-10-23,11.44325932,0.0,0.0
2024-10-24,11.84813949,0.0,0.0
2024-10-25,12.01042314,0.0,0.0
2024-10-26,11.97158964,0.0,0.0
2024-10-27,12.24397557,0.0,0.0
2024-10-28,11.4674545,0.0,0.0
2024-10-29,11.6769597,0.0,0.0
2024-10-30,11.85598288,0.0,0.0
2024-11-01,5.529288347,0.0,0.0
2024-11-02,11.42334663,0.0,0.0
2024-11-03,11.7531825,0.0,0.0
2024-11-04,10.95718875,0.0,0.0
2024-11-05,11.1968611,0.0,0.0
2024-11-06,11.39628553,0.0,0.0
2024-11-07,11.35327337,0.0,0.0
2024-11-08,10.75134274,0.0,0.0
2024-11-09,11.96981705,0.0,0.0
2024-11-10,12.11488214,0.0,0.0
2024-11-11,11.39504528,0.0,0.0
2024-11-12,11.63488394,0.0,0.0
2024-11-13,11.56436178,0.0,0.0
2024-11-14,11.56049165,0.0,0.0
2024-11-15,9.373763245,0.0,0.0
2024-11-16,11.64233528,0.0,0.0
2024-11-17,11.71757117,0.0,0.0
2024-11-18,11.08669951,0.0,0.0
2024-11-19,11.69897563,0.0,0.0
2024-11-20,11.37696628,0.0,0.0
2024-11-21,11.67652519,0.0,0.0
2024-11-22,11.95828558,0.0,0.0
2024-11-23,12.34078546,0.0,0.0
2024-11-24,12.18568412,0.0,0.0
2024-11-25,11.9644818,0.0,0.0
2024-11-26,12.64719491,0.0,0.0
2024-11-27,13.8269414,0.0,0.0
2024-11-28,13.46340523,0.0,0.0
2024-11-29,13.02470656,0.0,0.0
2024-11-30,12.60046187,0.0,0.0
2024-12-01,13.02330634,0.0,0.0
2024-12-02,12.00278823,0.0,0.0
2024-12-03,10.85558918,0.0,0.0
2024-12-04,12.57980546,0.0,0.0
2024-12-05,12.12550592,0.0,0.0
2024-12-06,12.86761111,0.0,0.0
2024-12-07,12.34112632,0.0,0.0
2024-12-08,12.57727535,0.0,0.0
2024-12-09,12.41662548,0.0,0.0
2024-12-10,11.98725364,0.0,0.0
2024-12-11,12.20240938,0.0,0.0
2024-12-12,12.34639501,0.0,0.0
2024-12-13,12.61285481,0.0,0.0
2024-12-14,12.48870361,0.0,0.0
2024-12-15,13.29704498,0.0,0.0
2024-12-16,12.67368296,0.0,0.0
2024-12-17,11.79984776,0.0,0.0
2024-12-18,12.41195242,0.0,0.0
2024-12-19,12.93478494,0.0,0.0
2024-12-20,12.98667282,0.0,0.0
2024-12-21,12.5845347,0.0,0.0
2024-12-22,12.5845347,0.0,0.0
2024-12-23,12.99543442,0.0,0.0
2024-12-24,13.13028226,0.0,0.0
2024-12-25,13.13028226,0.0,0.0
2024-12-26,13.18354992,0.0,0.0
2024-12-27,13.15628298,0.0,0.0
2024-12-28,12.9127868,0.0,0.0
2024-12-29,13.40207119,0.0,0.0
2024-12-30,12.19010014,0.0,0.0
2024-12-31,12.90423648,0.0,0.0
2025-01-01,13.34,0.0,0.0
2025-01-02,12.78,0.0,0.0
2025-01-03,12.84,0.0,0.0
2025-01-04,12.66,0.0,0.0
2025-01-05,12.9,0.0,0.0
2025-01-06,12.24,0.0,0.0
2025-01-07,12.27,0.0,0.0
2025-01-08,12.16,0.0,0.0
2025-01-09,11.26,0.0,0.0
2025-01-10,12.75,0.0,0.0
2025-01-11,12.14,0.0,0.0
2025-01-12,12.39,0.0,0.0
2025-01-13,11.97,0.0,0.0
2025-01-14,11.06,0.0,0.0
2025-01-15,12.08,0.0,0.0
2025-01-16,11.54,0.0,0.0
2025-01-17,12.51,0.0,0.0
2025-01-18,11.7,0.0,0.0
2025-01-19,12.4,0.0,0.0
2025-01-20,12.35,0.0,0.0
2025-01-21,12.0,0.0,0.0
2025-01-22,11.64,0.0,0.0
2025-01-23,11.81,0.0,0.0
2025-01-24,12.07,0.0,0.0
2025-01-25,12.04,0.0,0.0
2025-01-26,12.32,0.0,0.0
2025-01-27,12.57,0.0,0.0
2025-01-28,12.3,0.0,0.0
