Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,104.911713,0.0,0.0
2024-10-02,102.0923388,0.0,0.0
2024-10-03,100.8625722,0.0,0.0
2024-10-04,102.6114526,0.0,0.0
2024-10-05,112.7245492,0.0,0.0
2024-10-06,113.3641922,0.0,0.0
2024-10-07,104.7496634,0.0,0.0
2024-10-08,104.617373,0.0,0.0
2024-10-09,105.3709888,0.0,0.0
2024-10-10,107.179892,0.0,0.0
2024-10-11,107.6477993,0.0,0.0
2024-10-12,109.4029206,0.0,0.0
2024-10-13,111.2913651,0.0,0.0
2024-10-14,102.7965519,0.0,0.0
2024-10-15,105.3659923,0.0,0.0
2024-10-16,101.870717,0.0,0.0
2024-10-17,103.7398827,0.0,0.0
2024-10-18,106.7706545,0.0,0.0
2024-10-19,109.7900742,0.0,0.0
2024-10-20,112.3008449,0.0,0.0
2024-10-21,105.2083453,0.0,0.0
2024-10-22,105.3453362,0.0,0.0
2024-10-23,106.0823721,0.0,0.0
2024-10-24,108.5018502,0.0,0.0
2024-10-25,110.3016657,0.0,0.0
2024-10-26,111.4673711,0.0,0.0
2024-10-27,115.5386562,0.0,0.0
2024-10-28,103.4507365,0.0,0.0
2024-10-29,103.8517093,0.0,0.0
2024-10-30,105.5365475,0.0,0.0
2024-11-01,50.90469267,0.0,0.0
2024-11-02,104.3897313,0.0,0.0
2024-11-03,107.9241302,0.0,0.0
2024-11-04,100.4944451,0.0,0.0
2024-11-05,99.9583491,0.0,0.0
2024-11-06,101.9616863,0.0,0.0
2024-11-07,101.7636267,0.0,0.0
2024-11-08,103.3481141,0.0,0.0
2024-11-09,106.8282441,0.0,0.0
2024-11-10,110.6840536,0.0,0.0
2024-11-11,101.8285422,0.0,0.0
2024-11-12,102.789824,0.0,0.0
2024-11-13,104.1631158,0.0,0.0
2024-11-14,102.471449,0.0,0.0
2024-11-15,101.791645,0.0,0.0
2024-11-16,104.8544061,0.0,0.0
2024-11-17,109.2689633,0.0,0.0
2024-11-18,101.0621063,0.0,0.0
2024-11-19,104.0752123,0.0,0.0
2024-11-20,103.9005226,0.0,0.0
2024-11-21,105.8364243,0.0,0.0
2024-11-22,103.8234853,0.0,0.0
2024-11-23,108.6940902,0.0,0.0
2024-11-24,111.7511634,0.0,0.0
2024-11-25,104.5375493,0.0,0.0
2024-11-26,103.6182048,0.0,0.0
2024-11-27,110.0553305,0.0,0.0
2024-11-28,105.0523185,0.0,0.0
2024-11-29,103.8879585,0.0,0.0
2024-11-30,110.1309147,0.0,0.0
2024-12-01,111.9591791,0.0,0.0
2024-12-02,98.07159332,0.0,0.0
2024-12-03,96.01819699,0.0,0.0
2024-12-04,105.1843604,0.0,0.0
2024-12-05,106.4572163,0.0,0.0
2024-12-06,113.1020692,0.0,0.0
2024-12-07,110.2951346,0.0,0.0
2024-12-08,114.1150927,0.0,0.0
2024-12-09,111.7625304,0.0,0.0
2024-12-10,104.0928445,0.0,0.0
2024-12-11,107.3002551,0.0,0.0
2024-12-12,112.1172352,0.0,0.0
2024-12-13,105.480737,0.0,0.0
2024-12-14,110.6960785,0.0,0.0
2024-12-15,112.4452441,0.0,0.0
2024-12-16,108.9990049,0.0,0.0
2024-12-17,104.8585192,0.0,0.0
2024-12-18,111.4584737,0.0,0.0
2024-12-19,105.5396715,0.0,0.0
2024-12-20,106.8831021,0.0,0.0
2024-12-21,119.1755388,0.0,0.0
2024-12-22,119.1755388,0.0,0.0
2024-12-23,103.9625316,0.0,0.0
2024-12-24,105.8827314,0.0,0.0
2024-12-25,105.8827314,0.0,0.0
2024-12-26,112.4836969,0.0,0.0
2024-12-27,105.4701125,0.0,0.0
2024-12-28,109.2255247,0.0,0.0
2024-12-29,110.2138095,0.0,0.0
2024-12-30,103.1239419,0.0,0.0
2024-12-31,109.8503678,0.0,0.0
2025-01-01,116.49,0.0,0.0
2025-01-02,104.28,0.0,0.0
2025-01-03,102.21,0.0,0.0
2025-01-04,102.81,0.0,0.0
2025-01-05,104.42,0.0,0.0
2025-01-06,101.64,0.0,0.0
2025-01-07,98.72,0.0,0.0
2025-01-08,100.56,0.0,0.0
2025-01-09,100.89,0.0,0.0
2025-01-10,105.04,0.0,0.0
2025-01-11,113.25,0.0,0.0
2025-01-12,108.86,0.0,0.0
2025-01-13,98.66,0.0,0.0
2025-01-14,100.95,0.0,0.0
2025-01-15,101.05,0.0,0.0
2025-01-16,100.39,0.0,0.0
2025-01-17,101.56,0.0,0.0
2025-01-18,106.38,0.0,0.0
2025-01-19,108.39,0.0,0.0
2025-01-20,103.16,0.0,0.0
2025-01-21,99.71,0.0,0.0
2025-01-22,103.32,0.0,0.0
2025-01-23,105.35,0.0,0.0
2025-01-24,106.73,0.0,0.0
2025-01-25,109.02,0.0,0.0
2025-01-26,111.42,0.0,0.0
2025-01-27,111.25,0.0,0.0
2025-01-28,109.25,0.0,0.0
2025-01-29,109.9,0.0,0.0
2025-01-30,105.36,0.0,0.0
2025-01-31,102.41,0.0,0.0
2025-02-01,105.8,0.0,0.0
2025-02-02,108.35,0.0,0.0
2025-02-03,100.72,0.0,0.0
2025-02-04,101.54,0.0,0.0
2025-02-05,102.24,0.0,0.0
2025-02-06,103.38,0.0,0.0
2025-02-07,102.67,0.0,0.0
2025-02-08,109.18,0.0,0.0
2025-02-09,116.5,0.0,0.0
2025-02-10,111.14,0.0,0.0
2025-02-11,105.26,0.0,0.0
2025-02-12,108.43,0.0,0.0
2025-02-13,103.78,0.0,0.0
2025-02-14,105.98,0.0,0.0
2025-02-15,105.68,0.0,0.0
2025-02-16,111.72,0.0,0.0
2025-02-17,102.5,0.0,0.0
2025-02-18,102.35,0.0,0.0
2025-02-19,103.77,0.0,0.0
2025-02-20,102.37,0.0,0.0
2025-02-21,104.45,0.0,0.0
2025-02-22,111.07,0.0,0.0
2025-02-23,111.56,0.0,0.0
2025-02-24,103.5,0.0,0.0
2025-02-25,105.13,0.0,0.0
2025-02-26,105.91,0.0,0.0
2025-02-27,103.66,0.0,0.0
2025-02-28,105.36,0.0,0.0
2025-03-01,105.42,0.0,0.0
2025-03-02,109.35,0.0,0.0
2025-03-03,103.63,0.0,0.0
2025-03-04,102.72,0.0,0.0
2025-03-05,105.79,0.0,0.0
2025-03-06,105.16,0.0,0.0
2025-03-07,105.86,0.0,0.0
2025-03-08,111.09,0.0,0.0
2025-03-09,112.27,0.0,0.0
2025-03-10,105.8,0.0,0.0
2025-03-11,104.14,0.0,0.0
2025-03-12,105.0,0.0,0.0
2025-03-13,105.03,0.0,0.0
2025-03-14,106.94,0.0,0.0
2025-03-15,109.73,0.0,0.0
2025-03-16,113.23,0.0,0.0
2025-03-17,103.18,0.0,0.0
2025-03-18,101.98,0.0,0.0
2025-03-19,108.18,0.0,0.0
2025-03-20,103.71,0.0,0.0
2025-03-21,105.23,0.0,0.0
2025-03-22,111.89,0.0,0.0
2025-03-23,106.04,0.0,0.0
2025-03-24,98.62,0.0,0.0
2025-03-25,90.33,0.0,0.0
2025-03-26,91.07,0.0,0.0
2025-03-27,90.64,0.0,0.0
2025-03-28,93.32,0.0,0.0
2025-03-29,15.03,0.0,0.0
2025-03-30,92.36,0.0,0.0
2025-03-31,91.95,0.0,0.0
2025-04-01,90.99,0.0,0.0
2025-04-02,92.18,0.0,0.0
2025-04-03,91.73810354,0.0,0.0
2025-04-04,92.17357996,0.0,0.0
2025-04-05,92.2616853,0.0,0.0
2025-04-06,94.36388856,0.0,0.0
2025-04-07,91.00888616,0.0,0.0
2025-04-08,91.13666713,0.0,0.0
2025-04-09,96.17942501,0.0,0.0
2025-04-10,95.77874006,0.0,0.0
2025-04-11,95.38457828,0.0,0.0
2025-04-12,101.132044,0.0,0.0
2025-04-13,105.3782684,0.0,0.0
2025-04-14,100.6649738,0.0,0.0
2025-04-15,99.5606373,0.0,0.0
2025-04-16,99.47212422,0.0,0.0
2025-04-17,107.5783484,0.0,0.0
2025-04-18,111.5894457,0.0,0.0
2025-04-19,107.3105713,0.0,0.0
2025-04-20,106.6599157,0.0,0.0
2025-04-21,98.99776139,0.0,0.0
2025-04-22,99.69001707,0.0,0.0
2025-04-23,111.1541707,0.0,0.0
2025-04-24,112.3850816,0.0,0.0
2025-04-25,112.3948578,0.0,0.0
2025-04-26,114.3667221,0.0,0.0
2025-04-27,114.7035316,0.0,0.0
2025-04-28,107.3145985,0.0,0.0
2025-04-29,109.0705152,0.0,0.0
2025-04-30,109.312824,0.0,0.0
2025-05-01,110.1984329,0.0,0.0
2025-05-02,97.22947366,0.0,0.0
2025-05-03,118.9601347,0.0,0.0
2025-05-04,119.0904415,0.0,0.0
2025-05-05,108.8214618,0.0,0.0
2025-05-06,112.5616371,0.0,0.0
2025-05-07,113.2860353,0.0,0.0
2025-05-08,111.5309561,0.0,0.0
2025-05-09,115.9513386,0.0,0.0
2025-05-10,116.3984684,0.0,0.0
2025-05-11,122.8772796,0.0,0.0
2025-05-12,117.0932909,0.0,0.0
2025-05-13,116.4156122,0.0,0.0
2025-05-14,115.9432488,0.0,0.0
2025-05-15,115.6684511,0.0,0.0
2025-05-16,114.9100175,0.0,0.0
2025-05-17,116.3866255,0.0,0.0
2025-05-18,120.0074975,0.0,0.0
2025-05-19,112.3610605,0.0,0.0
2025-05-20,112.4845864,0.0,0.0
2025-05-21,113.4671814,0.0,0.0
2025-05-22,117.6080529,0.0,0.0
2025-05-23,119.2553178,0.0,0.0
2025-05-24,117.7759962,0.0,0.0
2025-05-25,118.9891366,0.0,0.0
2025-05-26,111.181999,0.0,0.0
2025-05-27,111.1435027,0.0,0.0
2025-05-28,111.9578491,0.0,0.0
2025-05-29,118.3081865,0.0,0.0
2025-05-30,117.7828372,0.0,0.0
2025-05-31,117.0531985,0.0,0.0
2025-06-01,116.9288568,0.0,0.0
2025-06-02,108.7512563,0.0,0.0
2025-06-03,108.3090252,0.0,0.0
2025-06-04,108.5980402,0.0,0.0
2025-06-05,111.5641089,0.0,0.0
2025-06-06,116.3270882,0.0,0.0
2025-06-07,114.7180719,0.0,0.0
2025-06-08,119.711465,0.0,0.0
2025-06-09,109.0388566,0.0,0.0
2025-06-10,110.1273446,0.0,0.0
2025-06-11,111.166766,0.0,0.0
2025-06-12,114.2264542,0.0,0.0
2025-06-13,118.9403163,0.0,0.0
2025-06-14,119.6139813,0.0,0.0
2025-06-15,120.5951629,0.0,0.0
2025-06-16,111.3585547,0.0,0.0
2025-06-17,112.6941701,0.0,0.0
2025-06-18,112.4220029,0.0,0.0
2025-06-19,113.5998582,0.0,0.0
2025-06-20,113.9326696,0.0,0.0
2025-06-21,116.8089917,0.0,0.0
2025-06-22,120.9325391,0.0,0.0
2025-06-23,117.9309176,0.0,0.0
2025-06-24,115.5964219,0.0,0.0
2025-06-25,125.0872903,0.0,0.0
2025-06-26,119.1785598,0.0,0.0
2025-06-27,121.5971919,0.0,0.0
2025-06-28,120.7184407,0.0,0.0
2025-06-29,121.4652286,0.0,0.0
2025-06-30,114.548144,0.0,0.0
2025-07-01,115.9866965,0.0,0.0
2025-07-02,115.6123749,0.0,0.0
2025-07-03,120.6384982,0.0,0.0
2025-07-04,122.6117433,0.0,0.0
2025-07-05,122.4103034,0.0,0.0
2025-07-06,127.4790021,0.0,0.0
2025-07-07,114.5763755,0.0,0.0
2025-07-08,116.5739151,0.0,0.0
2025-07-09,115.0249577,0.0,0.0
2025-07-10,117.572024,0.0,0.0
2025-07-11,117.214736,0.0,0.0
2025-07-12,121.0902865,0.0,0.0
2025-07-13,121.2767348,0.0,0.0
2025-07-14,117.5944193,0.0,0.0
2025-07-15,117.9046365,0.0,0.0
2025-07-16,116.710416,0.0,0.0
2025-07-17,117.414552,0.0,0.0
2025-07-18,117.2778721,0.0,0.0
2025-07-19,119.5493977,0.0,0.0
2025-07-20,121.3596995,0.0,0.0
2025-07-21,116.6654562,0.0,0.0
2025-07-22,119.1389421,0.0,0.0
2025-07-23,118.8201556,0.0,0.0
2025-07-24,118.7076723,0.0,0.0
2025-07-25,122.4168521,0.0,0.0
2025-07-26,122.8866451,0.0,0.0
2025-07-27,123.239818,0.0,0.0
2025-07-28,117.0822184,0.0,0.0
2025-07-29,119.6363594,0.0,0.0
2025-07-30,121.3552169,0.0,0.0
2025-07-31,118.3262856,0.0,0.0
2025-08-01,116.4753702,0.0,0.0
2025-08-02,119.6623547,0.0,0.0
2025-08-03,121.9571082,0.0,0.0
2025-08-04,116.096424,0.0,0.0
2025-08-05,117.2915738,0.0,0.0
2025-08-06,119.889345,0.0,0.0
2025-08-07,118.7359645,0.0,0.0
2025-08-08,119.0308746,0.0,0.0
2025-08-09,120.854648,0.0,0.0
2025-08-10,128.2391433,0.0,0.0
2025-08-11,117.9634227,0.0,0.0
2025-08-12,117.3269582,0.0,0.0
2025-08-13,118.2508282,0.0,0.0
2025-08-14,119.4430708,0.0,0.0
2025-08-15,121.4238138,0.0,0.0
2025-08-16,123.4175626,0.0,0.0
2025-08-17,130.3903207,0.0,0.0
2025-08-18,123.6918958,0.0,0.0
2025-08-19,117.54731,0.0,0.0
2025-08-20,117.7726427,0.0,0.0
2025-08-21,119.4007735,0.0,0.0
2025-08-22,119.833658,0.0,0.0
2025-08-23,126.115636,0.0,0.0
2025-08-24,130.2610399,0.0,0.0
2025-08-25,118.9235103,0.0,0.0
2025-08-26,119.9458624,0.0,0.0
2025-08-27,122.3388827,0.0,0.0
2025-08-28,113.9836098,0.0,0.0
2025-08-29,123.0706656,0.0,0.0
2025-08-30,128.1994616,0.0,0.0
2025-08-31,126.4542617,0.0,0.0
2025-09-01,114.821548,0.0,0.0
2025-09-02,116.84289,0.0,0.0
2025-09-03,119.2012616,0.0,0.0
2025-09-04,119.2612149,0.0,0.0
2025-09-05,124.1391568,0.0,0.0
2025-09-06,125.2326964,0.0,0.0
2025-09-07,125.4227847,0.0,0.0
2025-09-08,120.2059819,0.0,0.0
2025-09-09,129.7428972,0.0,0.0
2025-09-10,138.8585946,0.0,0.0
2025-09-11,122.0547844,0.0,0.0
2025-09-12,123.1759394,0.0,0.0
2025-09-13,127.1147348,0.0,0.0
