Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,148.8771179,0.0,0.0
2024-10-02,151.2353823,0.0,0.0
2024-10-03,148.3854663,0.0,0.0
2024-10-04,149.2745842,0.0,0.0
2024-10-05,152.8399611,0.0,0.0
2024-10-06,155.8459785,0.0,0.0
2024-10-07,145.1997457,0.0,0.0
2024-10-08,146.4511147,0.0,0.0
2024-10-09,147.6842204,0.0,0.0
2024-10-10,153.8299152,0.0,0.0
2024-10-11,156.8173876,0.0,0.0
2024-10-12,149.7987097,0.0,0.0
2024-10-13,151.7048998,0.0,0.0
2024-10-14,143.6564405,0.0,0.0
2024-10-15,149.31599,0.0,0.0
2024-10-16,143.7059093,0.0,0.0
2024-10-17,147.0639968,0.0,0.0
2024-10-18,150.4589341,0.0,0.0
2024-10-19,149.0213117,0.0,0.0
2024-10-20,157.3978895,0.0,0.0
2024-10-21,144.0947766,0.0,0.0
2024-10-22,145.9996698,0.0,0.0
2024-10-23,146.5919142,0.0,0.0
2024-10-24,153.0546905,0.0,0.0
2024-10-25,155.4896479,0.0,0.0
2024-10-26,150.5006356,0.0,0.0
2024-10-27,161.5136896,0.0,0.0
2024-10-28,147.850335,0.0,0.0
2024-10-29,148.4700133,0.0,0.0
2024-10-30,149.211779,0.0,0.0
2024-11-01,71.0526773,0.0,0.0
2024-11-02,151.3554245,0.0,0.0
2024-11-03,154.7220123,0.0,0.0
2024-11-04,143.9022123,0.0,0.0
2024-11-05,141.202492,0.0,0.0
2024-11-06,141.6904089,0.0,0.0
2024-11-07,143.1891348,0.0,0.0
2024-11-08,155.5522572,0.0,0.0
2024-11-09,149.9803834,0.0,0.0
2024-11-10,154.244881,0.0,0.0
2024-11-11,147.1567562,0.0,0.0
2024-11-12,145.0073635,0.0,0.0
2024-11-13,146.0164159,0.0,0.0
2024-11-14,143.3351588,0.0,0.0
2024-11-15,151.2801974,0.0,0.0
2024-11-16,147.2105137,0.0,0.0
2024-11-17,148.344593,0.0,0.0
2024-11-18,138.8599675,0.0,0.0
2024-11-19,147.463119,0.0,0.0
2024-11-20,143.2723026,0.0,0.0
2024-11-21,144.9528313,0.0,0.0
2024-11-22,147.7832773,0.0,0.0
2024-11-23,143.0441534,0.0,0.0
2024-11-24,146.4514146,0.0,0.0
2024-11-25,144.1550554,0.0,0.0
2024-11-26,142.3983797,0.0,0.0
2024-11-27,146.0286037,0.0,0.0
2024-11-28,143.4212119,0.0,0.0
2024-11-29,146.8510143,0.0,0.0
2024-11-30,144.4047091,0.0,0.0
2024-12-01,141.8125134,0.0,0.0
2024-12-02,132.8337222,0.0,0.0
2024-12-03,135.9380329,0.0,0.0
2024-12-04,139.8195646,0.0,0.0
2024-12-05,142.8279227,0.0,0.0
2024-12-06,143.0299864,0.0,0.0
2024-12-07,144.9379816,0.0,0.0
2024-12-08,145.880781,0.0,0.0
2024-12-09,150.5683332,0.0,0.0
2024-12-10,139.2482585,0.0,0.0
2024-12-11,143.6686343,0.0,0.0
2024-12-12,156.5644919,0.0,0.0
2024-12-13,141.20659,0.0,0.0
2024-12-14,148.8598366,0.0,0.0
2024-12-15,146.0577511,0.0,0.0
2024-12-16,137.7423588,0.0,0.0
2024-12-17,136.5245625,0.0,0.0
