Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,189.7988121,0.0,0.0
2024-10-02,187.4843589,0.0,0.0
2024-10-03,187.8525272,0.0,0.0
2024-10-04,197.115703,0.0,0.0
2024-10-05,205.8631558,0.0,0.0
2024-10-06,222.440619,0.0,0.0
2024-10-07,190.0891044,0.0,0.0
2024-10-08,188.5959511,0.0,0.0
2024-10-09,190.3289145,0.0,0.0
2024-10-10,199.025963,0.0,0.0
2024-10-11,210.0441401,0.0,0.0
2024-10-12,211.0789203,0.0,0.0
2024-10-13,224.0242329,0.0,0.0
2024-10-14,194.2541131,0.0,0.0
2024-10-15,193.1069444,0.0,0.0
2024-10-16,190.3593033,0.0,0.0
2024-10-17,193.6680467,0.0,0.0
2024-10-18,203.8230653,0.0,0.0
2024-10-19,212.2422516,0.0,0.0
2024-10-20,230.2377503,0.0,0.0
2024-10-21,193.7344043,0.0,0.0
2024-10-22,196.0309656,0.0,0.0
2024-10-23,191.5981941,0.0,0.0
2024-10-24,197.2694289,0.0,0.0
2024-10-25,207.8191558,0.0,0.0
2024-10-26,209.485716,0.0,0.0
2024-10-27,228.5208519,0.0,0.0
2024-10-28,192.7979853,0.0,0.0
2024-10-29,191.0955469,0.0,0.0
2024-10-30,191.2844456,0.0,0.0
2024-11-01,95.07184324,0.0,0.0
2024-11-02,203.6148222,0.0,0.0
2024-11-03,218.1901138,0.0,0.0
2024-11-04,185.9167543,0.0,0.0
2024-11-05,181.8570604,0.0,0.0
2024-11-06,183.6000737,0.0,0.0
2024-11-07,183.9309474,0.0,0.0
2024-11-08,195.4849811,0.0,0.0
2024-11-09,204.2715519,0.0,0.0
2024-11-10,218.4580985,0.0,0.0
2024-11-11,191.4236071,0.0,0.0
2024-11-12,185.9363419,0.0,0.0
2024-11-13,184.7844781,0.0,0.0
2024-11-14,184.9511629,0.0,0.0
2024-11-15,195.9479079,0.0,0.0
2024-11-16,198.6706723,0.0,0.0
2024-11-17,209.2589483,0.0,0.0
2024-11-18,183.2787832,0.0,0.0
2024-11-19,187.1532589,0.0,0.0
2024-11-20,185.1634183,0.0,0.0
2024-11-21,187.2105849,0.0,0.0
2024-11-22,198.4667878,0.0,0.0
2024-11-23,201.1029578,0.0,0.0
2024-11-24,211.5524789,0.0,0.0
2024-11-25,191.5222305,0.0,0.0
2024-11-26,193.708863,0.0,0.0
2024-11-27,214.110922,0.0,0.0
2024-11-28,192.7787169,0.0,0.0
2024-11-29,197.4168375,0.0,0.0
2024-11-30,199.4778304,0.0,0.0
2024-12-01,208.764743,0.0,0.0
2024-12-02,184.1924748,0.0,0.0
2024-12-03,182.7756223,0.0,0.0
2024-12-04,186.4580845,0.0,0.0
2024-12-05,194.1673514,0.0,0.0
2024-12-06,198.135877,0.0,0.0
2024-12-07,205.3589097,0.0,0.0
2024-12-08,220.7615263,0.0,0.0
2024-12-09,196.1181421,0.0,0.0
2024-12-10,194.7321512,0.0,0.0
2024-12-11,191.9497561,0.0,0.0
2024-12-12,200.4468635,0.0,0.0
2024-12-13,198.059313,0.0,0.0
2024-12-14,204.8290533,0.0,0.0
2024-12-15,223.996956,0.0,0.0
2024-12-16,195.260094,0.0,0.0
2024-12-17,192.5732239,0.0,0.0
2024-12-18,190.6894652,0.0,0.0
2024-12-19,191.455106,0.0,0.0
2024-12-20,193.6777708,0.0,0.0
2024-12-21,208.534692,0.0,0.0
2024-12-22,208.534692,0.0,0.0
2024-12-23,199.2731753,0.0,0.0
2024-12-24,201.4132769,0.0,0.0
2024-12-25,201.4132769,0.0,0.0
2024-12-26,198.7341265,0.0,0.0
2024-12-27,198.2662855,0.0,0.0
2024-12-28,206.3627911,0.0,0.0
2024-12-29,216.9677753,0.0,0.0
2024-12-30,201.6181949,0.0,0.0
2024-12-31,215.6366833,0.0,0.0
2025-01-01,234.48,0.0,0.0
2025-01-02,190.98,0.0,0.0
2025-01-03,187.11,0.0,0.0
2025-01-04,188.49,0.0,0.0
2025-01-05,200.66,0.0,0.0
2025-01-06,178.16,0.0,0.0
2025-01-07,173.84,0.0,0.0
2025-01-08,173.74,0.0,0.0
2025-01-09,173.6,0.0,0.0
2025-01-10,180.86,0.0,0.0
2025-01-11,187.54,0.0,0.0
2025-01-12,197.81,0.0,0.0
2025-01-13,174.24,0.0,0.0
2025-01-14,174.95,0.0,0.0
2025-01-15,170.52,0.0,0.0
2025-01-16,174.18,0.0,0.0
2025-01-17,180.67,0.0,0.0
2025-01-18,185.14,0.0,0.0
2025-01-19,199.79,0.0,0.0
2025-01-20,173.95,0.0,0.0
2025-01-21,173.89,0.0,0.0
2025-01-22,173.43,0.0,0.0
2025-01-23,176.04,0.0,0.0
2025-01-24,180.88,0.0,0.0
2025-01-25,186.46,0.0,0.0
2025-01-26,207.17,0.0,0.0
2025-01-27,212.8,0.0,0.0
2025-01-28,193.6,0.0,0.0
2025-01-29,192.82,0.0,0.0
2025-01-30,172.74,0.0,0.0
2025-01-31,179.94,0.0,0.0
2025-02-01,181.86,0.0,0.0
2025-02-02,197.92,0.0,0.0
2025-02-03,169.98,0.0,0.0
2025-02-04,170.68,0.0,0.0
2025-02-05,168.2,0.0,0.0
2025-02-06,174.03,0.0,0.0
2025-02-07,181.87,0.0,0.0
2025-02-08,185.42,0.0,0.0
2025-02-09,200.78,0.0,0.0
2025-02-10,172.31,0.0,0.0
2025-02-11,171.72,0.0,0.0
2025-02-12,171.71,0.0,0.0
2025-02-13,174.58,0.0,0.0
2025-02-14,181.11,0.0,0.0
2025-02-15,185.78,0.0,0.0
2025-02-16,200.01,0.0,0.0
2025-02-17,171.94,0.0,0.0
2025-02-18,168.82,0.0,0.0
2025-02-19,168.44,0.0,0.0
2025-02-20,171.85,0.0,0.0
2025-02-21,184.4,0.0,0.0
2025-02-22,192.95,0.0,0.0
2025-02-23,209.62,0.0,0.0
2025-02-24,181.3,0.0,0.0
2025-02-25,174.27,0.0,0.0
2025-02-26,180.89,0.0,0.0
2025-02-27,183.89,0.0,0.0
2025-02-28,188.9,0.0,0.0
2025-03-01,183.99,0.0,0.0
2025-03-02,198.5,0.0,0.0
2025-03-03,178.39,0.0,0.0
2025-03-04,168.53,0.0,0.0
2025-03-05,174.21,0.0,0.0
2025-03-06,177.48,0.0,0.0
2025-03-07,182.93,0.0,0.0
2025-03-08,191.02,0.0,0.0
2025-03-09,197.4,0.0,0.0
2025-03-10,176.84,0.0,0.0
2025-03-11,175.45,0.0,0.0
2025-03-12,177.08,0.0,0.0
2025-03-13,181.53,0.0,0.0
2025-03-14,184.12,0.0,0.0
2025-03-15,192.22,0.0,0.0
2025-03-16,205.14,0.0,0.0
2025-03-17,186.51,0.0,0.0
2025-03-18,182.28,0.0,0.0
2025-03-19,183.5,0.0,0.0
2025-03-20,185.36,0.0,0.0
2025-03-21,184.93,0.0,0.0
2025-03-22,194.9,0.0,0.0
2025-03-23,206.74,0.0,0.0
2025-03-24,187.97,0.0,0.0
2025-03-25,182.52,0.0,0.0
2025-03-26,192.14,0.0,0.0
2025-03-27,197.06,0.0,0.0
2025-03-28,218.38,0.0,0.0
2025-03-29,223.44,0.0,0.0
2025-03-30,248.5,0.0,0.0
2025-03-31,278.74,0.0,0.0
2025-04-01,286.63,0.0,0.0
2025-04-02,286.58,0.0,0.0
2025-04-03,272.384674,0.0,0.0
2025-04-04,258.4216138,0.0,0.0
2025-04-05,246.4917794,0.0,0.0
2025-04-06,237.875592,0.0,0.0
2025-04-07,216.7332349,0.0,0.0
2025-04-08,203.6182464,0.0,0.0
2025-04-09,196.7320361,0.0,0.0
2025-04-10,197.3752965,0.0,0.0
2025-04-11,196.3186449,0.0,0.0
2025-04-12,201.6556659,0.0,0.0
2025-04-13,211.5542161,0.0,0.0
2025-04-14,186.2249495,0.0,0.0
2025-04-15,180.8511025,0.0,0.0
2025-04-16,181.2146134,0.0,0.0
2025-04-17,189.5617442,0.0,0.0
2025-04-18,204.1500316,0.0,0.0
2025-04-19,200.6194156,0.0,0.0
2025-04-20,208.7417314,0.0,0.0
2025-04-21,186.3852228,0.0,0.0
2025-04-22,181.5576833,0.0,0.0
2025-04-23,182.1175187,0.0,0.0
2025-04-24,190.8591443,0.0,0.0
2025-04-25,193.8807986,0.0,0.0
2025-04-26,206.137907,0.0,0.0
2025-04-27,215.1575077,0.0,0.0
2025-04-28,184.4901296,0.0,0.0
2025-04-29,181.658973,0.0,0.0
2025-04-30,187.3858974,0.0,0.0
2025-05-01,200.0115894,0.0,0.0
2025-05-02,189.4105558,0.0,0.0
2025-05-03,194.6957939,0.0,0.0
2025-05-04,209.393251,0.0,0.0
2025-05-05,184.7999095,0.0,0.0
2025-05-06,181.5675619,0.0,0.0
2025-05-07,184.1001783,0.0,0.0
2025-05-08,182.5969124,0.0,0.0
2025-05-09,192.932643,0.0,0.0
2025-05-10,200.0302404,0.0,0.0
2025-05-11,226.6650437,0.0,0.0
2025-05-12,214.0868828,0.0,0.0
2025-05-13,192.725701,0.0,0.0
2025-05-14,188.4967702,0.0,0.0
2025-05-15,184.6504629,0.0,0.0
2025-05-16,193.4409484,0.0,0.0
2025-05-17,191.6212836,0.0,0.0
2025-05-18,208.4949779,0.0,0.0
2025-05-19,186.5621918,0.0,0.0
2025-05-20,183.1453436,0.0,0.0
2025-05-21,185.6881994,0.0,0.0
2025-05-22,188.1358084,0.0,0.0
2025-05-23,193.6450017,0.0,0.0
2025-05-24,205.5524708,0.0,0.0
2025-05-25,217.5232162,0.0,0.0
2025-05-26,189.4115593,0.0,0.0
2025-05-27,183.0375517,0.0,0.0
2025-05-28,187.504175,0.0,0.0
2025-05-29,199.5393554,0.0,0.0
2025-05-30,196.9377337,0.0,0.0
2025-05-31,203.486772,0.0,0.0
2025-06-01,209.7772739,0.0,0.0
2025-06-02,185.3713784,0.0,0.0
2025-06-03,183.3399616,0.0,0.0
2025-06-04,189.1036168,0.0,0.0
2025-06-05,209.8487781,0.0,0.0
2025-06-06,229.2842488,0.0,0.0
2025-06-07,211.8868808,0.0,0.0
2025-06-08,220.2832637,0.0,0.0
2025-06-09,196.0346067,0.0,0.0
2025-06-10,187.4294732,0.0,0.0
2025-06-11,190.4294737,0.0,0.0
2025-06-12,190.5185082,0.0,0.0
2025-06-13,193.4187559,0.0,0.0
2025-06-14,199.2597139,0.0,0.0
2025-06-15,212.5466992,0.0,0.0
2025-06-16,187.1875315,0.0,0.0
2025-06-17,189.1677384,0.0,0.0
2025-06-18,186.7057626,0.0,0.0
2025-06-19,184.7487229,0.0,0.0
2025-06-20,187.9723356,0.0,0.0
2025-06-21,203.3196915,0.0,0.0
2025-06-22,214.9119942,0.0,0.0
2025-06-23,190.7523193,0.0,0.0
2025-06-24,189.5673573,0.0,0.0
2025-06-25,188.1128112,0.0,0.0
2025-06-26,193.4906282,0.0,0.0
2025-06-27,205.2737012,0.0,0.0
2025-06-28,203.2135867,0.0,0.0
2025-06-29,211.2526484,0.0,0.0
2025-06-30,186.6481729,0.0,0.0
2025-07-01,186.1824247,0.0,0.0
2025-07-02,185.5808004,0.0,0.0
2025-07-03,187.0953704,0.0,0.0
2025-07-04,187.2697476,0.0,0.0
2025-07-05,195.0296006,0.0,0.0
2025-07-06,213.8737112,0.0,0.0
2025-07-07,193.1987461,0.0,0.0
2025-07-08,185.5620836,0.0,0.0
2025-07-09,186.406558,0.0,0.0
2025-07-10,188.3838946,0.0,0.0
2025-07-11,189.6197644,0.0,0.0
2025-07-12,197.2235455,0.0,0.0
2025-07-13,200.4453791,0.0,0.0
2025-07-14,182.1811764,0.0,0.0
2025-07-15,179.9403054,0.0,0.0
2025-07-16,178.8258265,0.0,0.0
