Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,72.55322953,0.0,0.0
2024-10-02,71.79183263,0.0,0.0
2024-10-03,73.67630058,0.0,0.0
2024-10-04,83.96642092,0.0,0.0
2024-10-05,97.34970051,0.0,0.0
2024-10-06,87.02511894,0.0,0.0
2024-10-07,72.54227233,0.0,0.0
2024-10-08,69.49060595,0.0,0.0
2024-10-09,70.27030619,0.0,0.0
2024-10-10,71.19114553,0.0,0.0
2024-10-11,73.03578689,0.0,0.0
2024-10-12,73.58607798,0.0,0.0
2024-10-13,76.07280179,0.0,0.0
2024-10-14,71.03994099,0.0,0.0
2024-10-15,73.09275502,0.0,0.0
2024-10-16,77.83150944,0.0,0.0
2024-10-17,88.64534041,0.0,0.0
2024-10-18,83.74968993,0.0,0.0
2024-10-19,80.0685861,0.0,0.0
2024-10-20,80.38472411,0.0,0.0
2024-10-21,70.58190568,0.0,0.0
2024-10-22,70.44979633,0.0,0.0
2024-10-23,70.61034351,0.0,0.0
2024-10-24,72.11304628,0.0,0.0
2024-10-25,73.95162999,0.0,0.0
2024-10-26,74.81085633,0.0,0.0
2024-10-27,78.62290481,0.0,0.0
2024-10-28,71.01490794,0.0,0.0
2024-10-29,71.50515955,0.0,0.0
2024-10-30,72.66336532,0.0,0.0
2024-11-01,33.33619101,0.0,0.0
2024-11-02,73.00476832,0.0,0.0
2024-11-03,75.75289434,0.0,0.0
2024-11-04,69.9189775,0.0,0.0
2024-11-05,69.16227185,0.0,0.0
2024-11-06,68.98357134,0.0,0.0
2024-11-07,68.7656448,0.0,0.0
2024-11-08,69.56593606,0.0,0.0
2024-11-09,73.55088544,0.0,0.0
2024-11-10,74.96676347,0.0,0.0
2024-11-11,68.24570549,0.0,0.0
2024-11-12,68.98186413,0.0,0.0
2024-11-13,71.1396028,0.0,0.0
2024-11-14,70.56486688,0.0,0.0
2024-11-15,74.31291848,0.0,0.0
2024-11-16,82.07621697,0.0,0.0
2024-11-17,79.60851539,0.0,0.0
2024-11-18,69.99240426,0.0,0.0
2024-11-19,71.70823812,0.0,0.0
2024-11-20,68.97592999,0.0,0.0
2024-11-21,68.73218166,0.0,0.0
2024-11-22,65.38919646,0.0,0.0
2024-11-23,69.03776206,0.0,0.0
2024-11-24,72.76197846,0.0,0.0
2024-11-25,70.4670304,0.0,0.0
2024-11-26,72.45608108,0.0,0.0
2024-11-27,82.96966437,0.0,0.0
2024-11-28,71.56503856,0.0,0.0
2024-11-29,69.67886238,0.0,0.0
2024-11-30,73.20829039,0.0,0.0
2024-12-01,73.82398886,0.0,0.0
2024-12-02,65.81462459,0.0,0.0
2024-12-03,65.14992571,0.0,0.0
2024-12-04,71.41480749,0.0,0.0
2024-12-05,71.31210155,0.0,0.0
2024-12-06,74.63135349,0.0,0.0
2024-12-07,74.62723198,0.0,0.0
2024-12-08,76.67047155,0.0,0.0
2024-12-09,72.18755815,0.0,0.0
2024-12-10,68.77985203,0.0,0.0
2024-12-11,71.36606175,0.0,0.0
2024-12-12,76.35401789,0.0,0.0
2024-12-13,73.90007649,0.0,0.0
2024-12-14,75.56853684,0.0,0.0
2024-12-15,79.92788611,0.0,0.0
2024-12-16,74.41071145,0.0,0.0
2024-12-17,70.62531289,0.0,0.0
2024-12-18,73.53093254,0.0,0.0
2024-12-19,70.41301864,0.0,0.0
2024-12-20,70.4093662,0.0,0.0
2024-12-21,77.45165321,0.0,0.0
2024-12-22,77.45165321,0.0,0.0
