Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2024-10-01,203.5079182,0.0,0.0
2024-10-02,202.1388138,0.0,0.0
2024-10-03,200.9637915,0.0,0.0
2024-10-04,206.3650105,0.0,0.0
2024-10-05,217.7556259,0.0,0.0
2024-10-06,235.3516888,0.0,0.0
2024-10-07,202.7087154,0.0,0.0
2024-10-08,201.8769783,0.0,0.0
2024-10-09,203.5893483,0.0,0.0
2024-10-10,212.7202857,0.0,0.0
2024-10-11,217.4657687,0.0,0.0
2024-10-12,220.3175425,0.0,0.0
2024-10-13,233.1989495,0.0,0.0
2024-10-14,204.8715576,0.0,0.0
2024-10-15,205.4168689,0.0,0.0
2024-10-16,199.0295021,0.0,0.0
2024-10-17,204.4982951,0.0,0.0
2024-10-18,210.6794593,0.0,0.0
2024-10-19,221.4766982,0.0,0.0
2024-10-20,238.9191758,0.0,0.0
2024-10-21,203.1502935,0.0,0.0
2024-10-22,205.3855731,0.0,0.0
2024-10-23,206.6460969,0.0,0.0
2024-10-24,211.8542849,0.0,0.0
2024-10-25,218.1907708,0.0,0.0
2024-10-26,221.0124959,0.0,0.0
2024-10-27,238.5613307,0.0,0.0
2024-10-28,203.1999027,0.0,0.0
2024-10-29,206.1161424,0.0,0.0
2024-10-30,204.9679588,0.0,0.0
2024-11-01,104.4242198,0.0,0.0
2024-11-02,217.6701647,0.0,0.0
2024-11-03,233.3055587,0.0,0.0
2024-11-04,199.2507645,0.0,0.0
2024-11-05,198.6493378,0.0,0.0
2024-11-06,196.6478022,0.0,0.0
2024-11-07,197.75598,0.0,0.0
2024-11-08,203.4019418,0.0,0.0
2024-11-09,215.0061661,0.0,0.0
2024-11-10,231.3279686,0.0,0.0
2024-11-11,207.5708761,0.0,0.0
2024-11-12,199.823902,0.0,0.0
2024-11-13,197.5459118,0.0,0.0
2024-11-14,197.687634,0.0,0.0
2024-11-15,203.6523425,0.0,0.0
2024-11-16,209.7182164,0.0,0.0
2024-11-17,218.9098018,0.0,0.0
2024-11-18,193.7079131,0.0,0.0
2024-11-19,201.0326921,0.0,0.0
2024-11-20,198.3542971,0.0,0.0
2024-11-21,201.6420235,0.0,0.0
2024-11-22,207.261204,0.0,0.0
2024-11-23,208.3385733,0.0,0.0
2024-11-24,221.7319677,0.0,0.0
2024-11-25,203.8337138,0.0,0.0
2024-11-26,205.6481164,0.0,0.0
2024-11-27,222.6942839,0.0,0.0
2024-11-28,205.5622249,0.0,0.0
2024-11-29,209.6309124,0.0,0.0
2024-11-30,210.0880158,0.0,0.0
2024-12-01,215.8869779,0.0,0.0
2024-12-02,193.8054826,0.0,0.0
2024-12-03,194.5564147,0.0,0.0
2024-12-04,200.3501317,0.0,0.0
2024-12-05,204.4236833,0.0,0.0
2024-12-06,209.8339201,0.0,0.0
2024-12-07,213.7239802,0.0,0.0
2024-12-08,230.9504318,0.0,0.0
2024-12-09,201.5683398,0.0,0.0
2024-12-10,204.2276635,0.0,0.0
2024-12-11,204.0066379,0.0,0.0
